# CLASS: Activity
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Activity
# COLUMNS:
#   id: id — Unique identifier, e.g. activity_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
activity_0001,social,prefrontal,norepinephrine,History,26.93,32.61,desiredPoints_value_610,Literature,streak_count,medium,Causal reversal,hasPG_value_260,hasPS_value_343,hasPT_value_535,typeC,cluster_4,easy,precedence_value_84,0.179,0.736,0.295,hasCalculations_value_678,hasSuggestedTags_value_953,has_Answers_value_674,has_Epoch_value_147,has_Knowledge_value_306,has_token_value_167,superKC_value_674,OptionAnswer_value_898,Too abstract,context_value_221,corrected_value_418,currentOperation_value_611,active,79,enabled_value_93,2023-03-08,Formula inversion,exercise_value_373,Sample hint text #255,item_value_10,medium,mastery_level,methodStep_value_932,methodname_35,multipleChoiceAnswer_value_584,numberOfFavorites_value_463,numberOfViews_value_415,2,2023-04-20,2023-07-21,Sample question text #780,resolution_value_460,size_value_1,2023-03-25,stepName_38,8,Literature,2023-06-05,calculus,Critical Thinking,Sample tokenized_statement text #316,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0002,exploratory,amygdala,serotonin,Data Science,76.41,25.58,desiredPoints_value_772,Physics,xp_earned,expert,Unit confusion,hasPG_value_798,hasPS_value_965,hasPT_value_286,typeC,cluster_1,medium,precedence_value_895,0.4,0.702,0.84,hasCalculations_value_921,hasSuggestedTags_value_523,has_Answers_value_560,has_Epoch_value_151,has_Knowledge_value_122,has_token_value_361,superKC_value_896,OptionAnswer_value_735,Challenging but rewarding,context_value_463,corrected_value_511,currentOperation_value_255,pending,40,enabled_value_962,2023-12-13,Formula inversion,exercise_value_156,Sample hint text #203,item_value_984,medium,time_on_task,methodStep_value_439,methodname_05,multipleChoiceAnswer_value_391,numberOfFavorites_value_413,numberOfViews_value_827,15,2023-10-25,2023-10-17,Sample question text #418,resolution_value_291,size_value_600,2023-02-05,stepName_48,19,History,2023-10-27,computer_science,Research Methods,Sample tokenized_statement text #927,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0003,cooperative,hippocampus,norepinephrine,Chemistry,60.48,38.7,desiredPoints_value_170,Literature,progress_ratio,medium,Off-by-one error,hasPG_value_394,hasPS_value_427,hasPT_value_408,typeA,cluster_4,expert,precedence_value_182,0.189,0.345,0.61,hasCalculations_value_605,hasSuggestedTags_value_931,has_Answers_value_912,has_Epoch_value_971,has_Knowledge_value_616,has_token_value_674,superKC_value_841,OptionAnswer_value_159,Challenging but rewarding,context_value_937,corrected_value_755,currentOperation_value_618,completed,32,enabled_value_329,2023-09-24,Formula inversion,exercise_value_886,Sample hint text #996,item_value_410,expert,xp_earned,methodStep_value_508,methodname_58,multipleChoiceAnswer_value_626,numberOfFavorites_value_192,numberOfViews_value_382,14,2023-01-10,2023-02-08,Sample question text #261,resolution_value_538,size_value_177,2023-01-17,stepName_33,20,Calculus,2023-04-04,geography,Introduction to Literature,Sample tokenized_statement text #618,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0004,survivor,prefrontal,oxytocin,Physics,15.48,12.61,desiredPoints_value_11,Mathematics,error_rate,easy,Unit confusion,hasPG_value_305,hasPS_value_51,hasPT_value_669,typeC,cluster_4,expert,precedence_value_151,0.84,0.724,0.944,hasCalculations_value_980,hasSuggestedTags_value_812,has_Answers_value_313,has_Epoch_value_759,has_Knowledge_value_668,has_token_value_678,superKC_value_233,OptionAnswer_value_874,Good explanation,context_value_892,corrected_value_292,currentOperation_value_749,active,32,enabled_value_308,2023-02-01,Sign error,exercise_value_529,Sample hint text #832,item_value_589,expert,attempt_count,methodStep_value_156,methodname_82,multipleChoiceAnswer_value_864,numberOfFavorites_value_557,numberOfViews_value_482,5,2023-01-19,2023-10-18,Sample question text #446,resolution_value_660,size_value_336,2023-11-13,stepName_39,6,Data Science,2023-11-23,chemistry,Introduction to Philosophy,Sample tokenized_statement text #931,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0005,exploratory,cerebellum,serotonin,Mathematics,51.86,23.35,desiredPoints_value_852,Biology,error_rate,expert,Formula inversion,hasPG_value_439,hasPS_value_624,hasPT_value_966,typeA,cluster_5,hard,precedence_value_573,0.906,0.401,0.915,hasCalculations_value_583,hasSuggestedTags_value_963,has_Answers_value_848,has_Epoch_value_796,has_Knowledge_value_559,has_token_value_944,superKC_value_997,OptionAnswer_value_837,Good explanation,context_value_665,corrected_value_878,currentOperation_value_379,paused,73,enabled_value_135,2023-01-03,Formula inversion,exercise_value_675,Sample hint text #374,item_value_252,easy,engagement_score,methodStep_value_631,methodname_53,multipleChoiceAnswer_value_419,numberOfFavorites_value_103,numberOfViews_value_959,17,2023-07-19,2023-06-16,Sample question text #157,resolution_value_776,size_value_783,2023-11-24,stepName_83,10,Calculus,2023-01-10,biology,Introduction to Philosophy,Sample tokenized_statement text #503,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0006,competitive,prefrontal,norepinephrine,Biology,96.44,65.66,desiredPoints_value_494,Statistics,progress_ratio,hard,Formula inversion,hasPG_value_100,hasPS_value_14,hasPT_value_54,typeB,cluster_4,expert,precedence_value_202,0.642,0.073,0.991,hasCalculations_value_359,hasSuggestedTags_value_64,has_Answers_value_232,has_Epoch_value_430,has_Knowledge_value_89,has_token_value_776,superKC_value_590,OptionAnswer_value_781,Could be improved,context_value_184,corrected_value_990,currentOperation_value_47,completed,93,enabled_value_342,2023-10-24,Concept conflation,exercise_value_612,Sample hint text #740,item_value_73,medium,mastery_level,methodStep_value_496,methodname_25,multipleChoiceAnswer_value_216,numberOfFavorites_value_471,numberOfViews_value_42,7,2023-05-24,2023-03-26,Sample question text #301,resolution_value_873,size_value_318,2023-05-28,stepName_58,10,Economics,2023-10-01,algebra,Introduction to Economics,Sample tokenized_statement text #506,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0007,competitive,striatum,oxytocin,Literature,86.6,77.45,desiredPoints_value_323,Physics,error_rate,expert,Formula inversion,hasPG_value_330,hasPS_value_79,hasPT_value_797,typeC,cluster_1,expert,precedence_value_645,0.034,0.919,0.557,hasCalculations_value_800,hasSuggestedTags_value_999,has_Answers_value_366,has_Epoch_value_92,has_Knowledge_value_495,has_token_value_712,superKC_value_245,OptionAnswer_value_985,Could be improved,context_value_171,corrected_value_885,currentOperation_value_552,pending,15,enabled_value_275,2023-06-13,Sign error,exercise_value_995,Sample hint text #262,item_value_38,easy,mastery_level,methodStep_value_814,methodname_46,multipleChoiceAnswer_value_522,numberOfFavorites_value_2,numberOfViews_value_353,12,2023-09-24,2023-02-24,Sample question text #755,resolution_value_828,size_value_98,2023-06-27,stepName_58,9,History,2023-12-26,philosophy,Introduction to Algebra,Sample tokenized_statement text #686,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0008,cooperative,cerebellum,dopamine,Literature,4.69,49.19,desiredPoints_value_485,Mathematics,error_rate,hard,Off-by-one error,hasPG_value_602,hasPS_value_252,hasPT_value_914,typeA,cluster_3,hard,precedence_value_915,0.312,0.54,0.985,hasCalculations_value_780,hasSuggestedTags_value_255,has_Answers_value_619,has_Epoch_value_946,has_Knowledge_value_808,has_token_value_729,superKC_value_560,OptionAnswer_value_154,Needs more examples,context_value_84,corrected_value_824,currentOperation_value_553,active,92,enabled_value_215,2023-10-13,Formula inversion,exercise_value_788,Sample hint text #165,item_value_786,easy,time_on_task,methodStep_value_527,methodname_48,multipleChoiceAnswer_value_938,numberOfFavorites_value_841,numberOfViews_value_558,18,2023-07-22,2023-05-21,Sample question text #996,resolution_value_711,size_value_762,2023-01-22,stepName_57,18,Economics,2023-01-05,literature,Introduction to Statistics,Sample tokenized_statement text #162,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0009,survivor,amygdala,dopamine,Literature,28.25,43.73,desiredPoints_value_615,Biology,time_on_task,medium,Unit confusion,hasPG_value_739,hasPS_value_428,hasPT_value_136,typeA,cluster_1,medium,precedence_value_620,0.985,0.3,0.85,hasCalculations_value_516,hasSuggestedTags_value_930,has_Answers_value_520,has_Epoch_value_922,has_Knowledge_value_55,has_token_value_781,superKC_value_788,OptionAnswer_value_861,Very clear,context_value_500,corrected_value_44,currentOperation_value_518,paused,10,enabled_value_611,2023-03-02,Causal reversal,exercise_value_733,Sample hint text #121,item_value_614,easy,mastery_level,methodStep_value_860,methodname_93,multipleChoiceAnswer_value_843,numberOfFavorites_value_710,numberOfViews_value_645,10,2023-04-03,2023-02-07,Sample question text #698,resolution_value_877,size_value_933,2023-03-26,stepName_50,13,Physics,2023-02-11,economics,Introduction to Economics,Sample tokenized_statement text #567,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity_0010,achiever,hippocampus,norepinephrine,Chemistry,80.03,24.1,desiredPoints_value_674,Physics,score,expert,Off-by-one error,hasPG_value_303,hasPS_value_466,hasPT_value_818,typeC,cluster_2,medium,precedence_value_19,0.314,0.601,0.47,hasCalculations_value_8,hasSuggestedTags_value_488,has_Answers_value_489,has_Epoch_value_975,has_Knowledge_value_280,has_token_value_373,superKC_value_729,OptionAnswer_value_286,Too abstract,context_value_492,corrected_value_744,currentOperation_value_715,active,115,enabled_value_545,2023-11-22,Sign error,exercise_value_941,Sample hint text #656,item_value_917,medium,score,methodStep_value_455,methodname_97,multipleChoiceAnswer_value_66,numberOfFavorites_value_297,numberOfViews_value_400,3,2023-10-19,2023-06-24,Sample question text #250,resolution_value_591,size_value_279,2023-07-26,stepName_63,13,Literature,2023-03-28,literature,Introduction to Geography,Sample tokenized_statement text #255,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
