# CLASS: BehaviouralKnowledge
# IRI: http://meututor.com.br/Ontologies/meututor_domain_curriculum.owl#BehaviouralKnowledge
# COLUMNS:
#   id: id — Unique identifier, e.g. behaviouralKnowledge_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
behaviouralKnowledge_0001,social,cerebellum,serotonin,Mathematics,73.89,98.07,desiredPoints_value_586,Mathematics,streak_count,hard,Sign error,hasPG_value_177,hasPS_value_843,hasPT_value_161,typeA,cluster_1,medium,precedence_value_201,0.827,0.198,0.295,hasCalculations_value_63,hasSuggestedTags_value_678,has_Answers_value_461,has_Epoch_value_232,has_Knowledge_value_634,has_token_value_138,superKC_value_33,OptionAnswer_value_121,Could be improved,context_value_935,corrected_value_742,currentOperation_value_210,pending,85,enabled_value_775,2023-05-27,Causal reversal,exercise_value_443,Sample hint text #158,item_value_705,easy,completion_rate,methodStep_value_486,methodname_49,multipleChoiceAnswer_value_8,numberOfFavorites_value_176,numberOfViews_value_384,2,2023-09-06,2023-11-27,Sample question text #915,resolution_value_431,size_value_112,2023-02-25,stepName_21,7,Physics,2023-03-14,physics,Introduction to Calculus,Sample tokenized_statement text #235,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0002,cooperative,amygdala,oxytocin,Data Science,55.5,67.71,desiredPoints_value_973,Philosophy,progress_ratio,hard,Formula inversion,hasPG_value_162,hasPS_value_849,hasPT_value_609,typeC,cluster_5,medium,precedence_value_977,0.449,0.172,0.837,hasCalculations_value_456,hasSuggestedTags_value_286,has_Answers_value_324,has_Epoch_value_267,has_Knowledge_value_621,has_token_value_220,superKC_value_949,OptionAnswer_value_752,Good explanation,context_value_201,corrected_value_416,currentOperation_value_303,paused,103,enabled_value_549,2023-08-03,Concept conflation,exercise_value_119,Sample hint text #816,item_value_712,medium,error_rate,methodStep_value_236,methodname_95,multipleChoiceAnswer_value_718,numberOfFavorites_value_547,numberOfViews_value_973,4,2023-09-16,2023-07-21,Sample question text #595,resolution_value_730,size_value_756,2023-03-02,stepName_67,6,Economics,2023-04-26,chemistry,Introduction to Computer Science,Sample tokenized_statement text #930,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0003,achiever,cerebellum,oxytocin,Physics,24.15,55.23,desiredPoints_value_348,Economics,mastery_level,easy,Unit confusion,hasPG_value_268,hasPS_value_341,hasPT_value_563,typeA,cluster_2,easy,precedence_value_438,0.491,0.838,0.14,hasCalculations_value_809,hasSuggestedTags_value_226,has_Answers_value_716,has_Epoch_value_652,has_Knowledge_value_92,has_token_value_531,superKC_value_152,OptionAnswer_value_640,Very clear,context_value_74,corrected_value_433,currentOperation_value_739,active,99,enabled_value_779,2023-06-15,Sign error,exercise_value_698,Sample hint text #283,item_value_868,hard,error_rate,methodStep_value_34,methodname_98,multipleChoiceAnswer_value_12,numberOfFavorites_value_799,numberOfViews_value_28,1,2023-12-01,2023-02-11,Sample question text #169,resolution_value_776,size_value_761,2023-11-19,stepName_11,3,Data Science,2023-04-16,algebra,Introduction to Biology,Sample tokenized_statement text #450,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0004,survivor,amygdala,dopamine,Algebra,63.08,96.86,desiredPoints_value_27,Data Science,completion_rate,hard,Unit confusion,hasPG_value_389,hasPS_value_689,hasPT_value_118,typeC,cluster_3,hard,precedence_value_268,0.159,0.546,0.148,hasCalculations_value_685,hasSuggestedTags_value_591,has_Answers_value_553,has_Epoch_value_489,has_Knowledge_value_295,has_token_value_503,superKC_value_535,OptionAnswer_value_933,Good explanation,context_value_155,corrected_value_180,currentOperation_value_845,pending,69,enabled_value_637,2023-01-11,Formula inversion,exercise_value_481,Sample hint text #42,item_value_520,expert,engagement_score,methodStep_value_27,methodname_06,multipleChoiceAnswer_value_614,numberOfFavorites_value_51,numberOfViews_value_3,9,2023-04-13,2023-06-21,Sample question text #350,resolution_value_91,size_value_371,2023-12-17,stepName_36,17,Chemistry,2023-07-13,philosophy,Introduction to Biology,Sample tokenized_statement text #242,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0005,cooperative,amygdala,oxytocin,Biology,99.07,36.96,desiredPoints_value_51,Geography,hint_usage,medium,Concept conflation,hasPG_value_385,hasPS_value_748,hasPT_value_43,typeC,cluster_1,expert,precedence_value_55,0.407,0.24,0.602,hasCalculations_value_629,hasSuggestedTags_value_572,has_Answers_value_472,has_Epoch_value_633,has_Knowledge_value_364,has_token_value_806,superKC_value_18,OptionAnswer_value_791,Challenging but rewarding,context_value_798,corrected_value_652,currentOperation_value_976,completed,21,enabled_value_67,2023-01-09,Off-by-one error,exercise_value_951,Sample hint text #126,item_value_887,expert,hint_usage,methodStep_value_855,methodname_68,multipleChoiceAnswer_value_128,numberOfFavorites_value_912,numberOfViews_value_570,17,2023-12-01,2023-05-21,Sample question text #751,resolution_value_265,size_value_986,2023-11-06,stepName_71,16,Computer Science,2023-04-17,biology,Introduction to Algebra,Sample tokenized_statement text #736,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0006,achiever,hippocampus,acetylcholine,History,24.22,67.3,desiredPoints_value_145,Data Science,correct_answers,hard,Causal reversal,hasPG_value_175,hasPS_value_535,hasPT_value_586,typeC,cluster_3,expert,precedence_value_305,0.159,0.243,0.42,hasCalculations_value_735,hasSuggestedTags_value_134,has_Answers_value_378,has_Epoch_value_740,has_Knowledge_value_743,has_token_value_866,superKC_value_542,OptionAnswer_value_442,Needs more examples,context_value_107,corrected_value_318,currentOperation_value_984,pending,15,enabled_value_474,2023-01-27,Formula inversion,exercise_value_299,Sample hint text #969,item_value_647,expert,completion_rate,methodStep_value_364,methodname_97,multipleChoiceAnswer_value_383,numberOfFavorites_value_776,numberOfViews_value_298,2,2023-03-13,2023-04-24,Sample question text #692,resolution_value_378,size_value_349,2023-09-22,stepName_24,10,Biology,2023-12-01,statistics,Introduction to Chemistry,Sample tokenized_statement text #482,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0007,exploratory,striatum,norepinephrine,Calculus,29.06,57.57,desiredPoints_value_835,Economics,mastery_level,easy,Sign error,hasPG_value_749,hasPS_value_112,hasPT_value_378,typeA,cluster_5,medium,precedence_value_851,0.982,0.332,0.972,hasCalculations_value_477,hasSuggestedTags_value_625,has_Answers_value_852,has_Epoch_value_714,has_Knowledge_value_64,has_token_value_690,superKC_value_705,OptionAnswer_value_349,Good explanation,context_value_297,corrected_value_704,currentOperation_value_655,active,114,enabled_value_299,2023-04-07,Sign error,exercise_value_214,Sample hint text #994,item_value_784,hard,time_on_task,methodStep_value_849,methodname_68,multipleChoiceAnswer_value_264,numberOfFavorites_value_602,numberOfViews_value_323,4,2023-07-24,2023-04-26,Sample question text #145,resolution_value_826,size_value_105,2023-02-04,stepName_92,20,Computer Science,2023-09-15,data_science,Introduction to Biology,Sample tokenized_statement text #558,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0008,achiever,prefrontal,serotonin,Philosophy,9.14,67.88,desiredPoints_value_505,Biology,completion_rate,expert,Causal reversal,hasPG_value_331,hasPS_value_232,hasPT_value_41,typeB,cluster_1,easy,precedence_value_980,0.084,0.75,0.761,hasCalculations_value_509,hasSuggestedTags_value_777,has_Answers_value_985,has_Epoch_value_336,has_Knowledge_value_399,has_token_value_98,superKC_value_473,OptionAnswer_value_984,Challenging but rewarding,context_value_879,corrected_value_417,currentOperation_value_798,active,6,enabled_value_934,2023-03-07,Off-by-one error,exercise_value_831,Sample hint text #31,item_value_601,easy,attempt_count,methodStep_value_798,methodname_54,multipleChoiceAnswer_value_115,numberOfFavorites_value_563,numberOfViews_value_131,20,2023-09-01,2023-04-23,Sample question text #387,resolution_value_342,size_value_484,2023-11-23,stepName_64,9,Data Science,2023-05-27,philosophy,Introduction to Biology,Sample tokenized_statement text #984,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0009,social,hippocampus,oxytocin,Statistics,21.37,36.79,desiredPoints_value_812,Geography,completion_rate,easy,Off-by-one error,hasPG_value_319,hasPS_value_619,hasPT_value_73,typeA,cluster_5,hard,precedence_value_112,0.539,0.226,0.397,hasCalculations_value_489,hasSuggestedTags_value_352,has_Answers_value_859,has_Epoch_value_28,has_Knowledge_value_601,has_token_value_143,superKC_value_775,OptionAnswer_value_418,Needs more examples,context_value_175,corrected_value_835,currentOperation_value_741,completed,32,enabled_value_622,2023-10-17,Sign error,exercise_value_76,Sample hint text #246,item_value_463,hard,attempt_count,methodStep_value_346,methodname_54,multipleChoiceAnswer_value_79,numberOfFavorites_value_95,numberOfViews_value_262,2,2023-12-24,2023-12-10,Sample question text #134,resolution_value_533,size_value_549,2023-07-24,stepName_06,12,Statistics,2023-01-25,algebra,Introduction to Statistics,Sample tokenized_statement text #244,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behaviouralKnowledge_0010,social,striatum,acetylcholine,Algebra,74.38,51.93,desiredPoints_value_99,Physics,xp_earned,medium,Formula inversion,hasPG_value_800,hasPS_value_867,hasPT_value_19,typeA,cluster_2,easy,precedence_value_533,0.885,0.361,0.398,hasCalculations_value_623,hasSuggestedTags_value_91,has_Answers_value_838,has_Epoch_value_893,has_Knowledge_value_782,has_token_value_28,superKC_value_396,OptionAnswer_value_158,Could be improved,context_value_467,corrected_value_75,currentOperation_value_329,completed,17,enabled_value_976,2023-03-25,Sign error,exercise_value_261,Sample hint text #920,item_value_349,hard,error_rate,methodStep_value_838,methodname_56,multipleChoiceAnswer_value_522,numberOfFavorites_value_564,numberOfViews_value_188,14,2023-10-04,2023-08-21,Sample question text #868,resolution_value_497,size_value_435,2023-09-21,stepName_19,20,Biology,2023-09-27,history,Introduction to Philosophy,Sample tokenized_statement text #768,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
