# CLASS: BrainHex
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#BrainHex
# COLUMNS:
#   id: id — Unique identifier, e.g. brainHex_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
brainHex_0001,cooperative,prefrontal,oxytocin,History,91.29,39.21,desiredPoints_value_717,Statistics,attempt_count,hard,Formula inversion,hasPG_value_500,hasPS_value_31,hasPT_value_67,typeB,cluster_1,hard,precedence_value_491,0.461,0.171,0.768,hasCalculations_value_619,hasSuggestedTags_value_589,has_Answers_value_131,has_Epoch_value_521,has_Knowledge_value_106,has_token_value_416,superKC_value_838,OptionAnswer_value_732,Good explanation,context_value_334,corrected_value_570,currentOperation_value_666,active,106,enabled_value_310,2023-09-15,Formula inversion,exercise_value_605,Sample hint text #424,item_value_245,medium,mastery_level,methodStep_value_163,methodname_62,multipleChoiceAnswer_value_394,numberOfFavorites_value_68,numberOfViews_value_349,7,2023-12-19,2023-07-26,Sample question text #446,resolution_value_581,size_value_807,2023-06-18,stepName_89,8,Chemistry,2023-11-22,physics,Project Management,Sample tokenized_statement text #954,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0002,achiever,striatum,dopamine,Philosophy,59.61,32.54,desiredPoints_value_100,Calculus,engagement_score,medium,Unit confusion,hasPG_value_979,hasPS_value_416,hasPT_value_72,typeC,cluster_1,expert,precedence_value_336,0.494,0.66,0.091,hasCalculations_value_837,hasSuggestedTags_value_143,has_Answers_value_909,has_Epoch_value_595,has_Knowledge_value_925,has_token_value_774,superKC_value_652,OptionAnswer_value_830,Good explanation,context_value_776,corrected_value_151,currentOperation_value_677,completed,62,enabled_value_545,2023-05-13,Concept conflation,exercise_value_592,Sample hint text #458,item_value_201,medium,streak_count,methodStep_value_899,methodname_41,multipleChoiceAnswer_value_307,numberOfFavorites_value_584,numberOfViews_value_814,10,2023-07-23,2023-06-03,Sample question text #597,resolution_value_9,size_value_627,2023-09-13,stepName_17,10,Mathematics,2023-06-18,mathematics,Introduction to Mathematics,Sample tokenized_statement text #721,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0003,exploratory,hippocampus,norepinephrine,Calculus,3.12,43.17,desiredPoints_value_605,Literature,streak_count,hard,Causal reversal,hasPG_value_392,hasPS_value_416,hasPT_value_391,typeB,cluster_5,medium,precedence_value_679,0.173,0.139,0.555,hasCalculations_value_864,hasSuggestedTags_value_947,has_Answers_value_369,has_Epoch_value_861,has_Knowledge_value_428,has_token_value_158,superKC_value_296,OptionAnswer_value_894,Could be improved,context_value_129,corrected_value_138,currentOperation_value_12,active,87,enabled_value_17,2023-03-24,Formula inversion,exercise_value_674,Sample hint text #448,item_value_999,medium,score,methodStep_value_141,methodname_83,multipleChoiceAnswer_value_826,numberOfFavorites_value_426,numberOfViews_value_881,15,2023-12-20,2023-07-20,Sample question text #185,resolution_value_466,size_value_522,2023-07-18,stepName_58,13,Geography,2023-04-06,literature,Advanced Geography,Sample tokenized_statement text #8,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0004,social,prefrontal,oxytocin,History,41.08,54.62,desiredPoints_value_376,Mathematics,error_rate,expert,Causal reversal,hasPG_value_378,hasPS_value_116,hasPT_value_595,typeB,cluster_1,medium,precedence_value_748,0.731,0.984,0.984,hasCalculations_value_798,hasSuggestedTags_value_287,has_Answers_value_477,has_Epoch_value_530,has_Knowledge_value_81,has_token_value_536,superKC_value_912,OptionAnswer_value_625,Good explanation,context_value_252,corrected_value_484,currentOperation_value_646,active,92,enabled_value_649,2023-09-26,Concept conflation,exercise_value_320,Sample hint text #628,item_value_55,hard,mastery_level,methodStep_value_798,methodname_02,multipleChoiceAnswer_value_481,numberOfFavorites_value_465,numberOfViews_value_525,16,2023-10-24,2023-06-14,Sample question text #362,resolution_value_984,size_value_818,2023-05-10,stepName_22,2,Data Science,2023-10-24,history,Project Management,Sample tokenized_statement text #804,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0005,exploratory,hippocampus,acetylcholine,Philosophy,16.91,5.16,desiredPoints_value_299,Algebra,xp_earned,easy,Unit confusion,hasPG_value_497,hasPS_value_85,hasPT_value_130,typeC,cluster_1,hard,precedence_value_259,0.133,0.281,0.858,hasCalculations_value_15,hasSuggestedTags_value_760,has_Answers_value_115,has_Epoch_value_619,has_Knowledge_value_179,has_token_value_932,superKC_value_606,OptionAnswer_value_757,Needs more examples,context_value_675,corrected_value_458,currentOperation_value_379,completed,38,enabled_value_802,2023-12-08,Formula inversion,exercise_value_186,Sample hint text #819,item_value_541,easy,attempt_count,methodStep_value_87,methodname_19,multipleChoiceAnswer_value_610,numberOfFavorites_value_957,numberOfViews_value_842,5,2023-08-25,2023-07-25,Sample question text #393,resolution_value_244,size_value_677,2023-08-24,stepName_82,6,Biology,2023-10-24,calculus,Introduction to Data Science,Sample tokenized_statement text #56,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0006,exploratory,hippocampus,dopamine,Chemistry,46.4,47.62,desiredPoints_value_488,Data Science,mastery_level,medium,Formula inversion,hasPG_value_700,hasPS_value_723,hasPT_value_400,typeB,cluster_3,medium,precedence_value_544,0.87,0.012,0.927,hasCalculations_value_460,hasSuggestedTags_value_392,has_Answers_value_695,has_Epoch_value_324,has_Knowledge_value_985,has_token_value_543,superKC_value_700,OptionAnswer_value_979,Good explanation,context_value_100,corrected_value_940,currentOperation_value_545,pending,113,enabled_value_443,2023-10-21,Unit confusion,exercise_value_344,Sample hint text #277,item_value_274,easy,hint_usage,methodStep_value_671,methodname_75,multipleChoiceAnswer_value_401,numberOfFavorites_value_473,numberOfViews_value_792,8,2023-12-22,2023-10-25,Sample question text #200,resolution_value_533,size_value_346,2023-11-23,stepName_24,11,Economics,2023-01-22,mathematics,Introduction to Chemistry,Sample tokenized_statement text #13,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0007,competitive,cerebellum,dopamine,Statistics,44.59,21.94,desiredPoints_value_291,History,time_on_task,easy,Off-by-one error,hasPG_value_635,hasPS_value_95,hasPT_value_59,typeC,cluster_2,easy,precedence_value_726,0.958,0.086,0.605,hasCalculations_value_385,hasSuggestedTags_value_673,has_Answers_value_783,has_Epoch_value_922,has_Knowledge_value_664,has_token_value_580,superKC_value_823,OptionAnswer_value_991,Needs more examples,context_value_918,corrected_value_114,currentOperation_value_713,completed,37,enabled_value_302,2023-08-22,Off-by-one error,exercise_value_655,Sample hint text #465,item_value_945,hard,correct_answers,methodStep_value_709,methodname_86,multipleChoiceAnswer_value_789,numberOfFavorites_value_789,numberOfViews_value_332,9,2023-03-25,2023-02-09,Sample question text #796,resolution_value_64,size_value_392,2023-07-11,stepName_08,9,Calculus,2023-05-06,computer_science,Introduction to Chemistry,Sample tokenized_statement text #504,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0008,achiever,striatum,serotonin,Statistics,49.21,14.39,desiredPoints_value_788,Literature,time_on_task,easy,Formula inversion,hasPG_value_733,hasPS_value_266,hasPT_value_106,typeA,cluster_1,easy,precedence_value_586,0.728,0.777,0.019,hasCalculations_value_510,hasSuggestedTags_value_153,has_Answers_value_669,has_Epoch_value_656,has_Knowledge_value_1,has_token_value_956,superKC_value_39,OptionAnswer_value_681,Very clear,context_value_273,corrected_value_156,currentOperation_value_717,pending,120,enabled_value_401,2023-10-01,Concept conflation,exercise_value_725,Sample hint text #963,item_value_790,expert,engagement_score,methodStep_value_447,methodname_52,multipleChoiceAnswer_value_865,numberOfFavorites_value_746,numberOfViews_value_800,3,2023-09-08,2023-01-13,Sample question text #978,resolution_value_706,size_value_838,2023-08-04,stepName_73,18,Geography,2023-06-22,history,Introduction to Algebra,Sample tokenized_statement text #57,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0009,survivor,hippocampus,norepinephrine,Economics,85.33,34.01,desiredPoints_value_862,Computer Science,hint_usage,medium,Sign error,hasPG_value_568,hasPS_value_41,hasPT_value_991,typeB,cluster_2,hard,precedence_value_713,0.39,0.107,0.689,hasCalculations_value_499,hasSuggestedTags_value_87,has_Answers_value_907,has_Epoch_value_648,has_Knowledge_value_449,has_token_value_753,superKC_value_195,OptionAnswer_value_144,Good explanation,context_value_198,corrected_value_26,currentOperation_value_738,completed,67,enabled_value_399,2023-02-26,Concept conflation,exercise_value_659,Sample hint text #316,item_value_512,expert,error_rate,methodStep_value_38,methodname_44,multipleChoiceAnswer_value_58,numberOfFavorites_value_346,numberOfViews_value_807,2,2023-07-04,2023-04-26,Sample question text #670,resolution_value_684,size_value_536,2023-08-22,stepName_69,5,Data Science,2023-10-08,physics,Introduction to Physics,Sample tokenized_statement text #754,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brainHex_0010,social,hippocampus,acetylcholine,Philosophy,4.58,70.13,desiredPoints_value_134,Mathematics,completion_rate,easy,Unit confusion,hasPG_value_841,hasPS_value_813,hasPT_value_100,typeB,cluster_5,medium,precedence_value_856,0.591,0.818,0.106,hasCalculations_value_510,hasSuggestedTags_value_610,has_Answers_value_819,has_Epoch_value_631,has_Knowledge_value_226,has_token_value_65,superKC_value_824,OptionAnswer_value_208,Very clear,context_value_346,corrected_value_831,currentOperation_value_856,paused,46,enabled_value_124,2023-11-19,Concept conflation,exercise_value_141,Sample hint text #330,item_value_857,medium,error_rate,methodStep_value_608,methodname_23,multipleChoiceAnswer_value_344,numberOfFavorites_value_65,numberOfViews_value_124,9,2023-03-25,2023-07-06,Sample question text #714,resolution_value_379,size_value_567,2023-03-15,stepName_32,19,Mathematics,2023-03-04,algebra,Advanced Literature,Sample tokenized_statement text #628,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
