# CLASS: Comment
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Comment
# COLUMNS:
#   id: id — Unique identifier, e.g. comment_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
comment_0001,social,hippocampus,dopamine,Calculus,54.3,57.39,desiredPoints_value_145,Literature,score,expert,Formula inversion,hasPG_value_136,hasPS_value_8,hasPT_value_102,typeB,cluster_3,hard,precedence_value_923,0.319,0.45,0.507,hasCalculations_value_974,hasSuggestedTags_value_285,has_Answers_value_339,has_Epoch_value_512,has_Knowledge_value_682,has_token_value_950,superKC_value_536,OptionAnswer_value_970,Very clear,context_value_331,corrected_value_336,currentOperation_value_770,pending,118,enabled_value_506,2023-06-04,Sign error,exercise_value_261,Sample hint text #482,item_value_442,hard,error_rate,methodStep_value_8,methodname_07,multipleChoiceAnswer_value_396,numberOfFavorites_value_537,numberOfViews_value_458,11,2023-09-26,2023-07-26,Sample question text #544,resolution_value_877,size_value_136,2023-05-22,stepName_08,12,Physics,2023-07-13,geography,Introduction to Economics,Sample tokenized_statement text #333,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0002,cooperative,prefrontal,norepinephrine,Calculus,30.25,6.87,desiredPoints_value_525,Philosophy,progress_ratio,expert,Unit confusion,hasPG_value_6,hasPS_value_148,hasPT_value_821,typeA,cluster_2,expert,precedence_value_935,0.534,0.426,0.513,hasCalculations_value_239,hasSuggestedTags_value_857,has_Answers_value_326,has_Epoch_value_841,has_Knowledge_value_482,has_token_value_889,superKC_value_43,OptionAnswer_value_748,Good explanation,context_value_464,corrected_value_21,currentOperation_value_982,completed,57,enabled_value_199,2023-01-20,Unit confusion,exercise_value_830,Sample hint text #960,item_value_275,medium,time_on_task,methodStep_value_525,methodname_83,multipleChoiceAnswer_value_422,numberOfFavorites_value_63,numberOfViews_value_178,2,2023-12-11,2023-12-02,Sample question text #554,resolution_value_627,size_value_754,2023-09-08,stepName_04,20,Algebra,2023-05-24,physics,Introduction to Literature,Sample tokenized_statement text #276,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0003,achiever,hippocampus,oxytocin,Algebra,43.33,6.62,desiredPoints_value_622,Computer Science,progress_ratio,expert,Concept conflation,hasPG_value_899,hasPS_value_499,hasPT_value_139,typeB,cluster_3,medium,precedence_value_569,0.269,0.21,0.389,hasCalculations_value_277,hasSuggestedTags_value_540,has_Answers_value_14,has_Epoch_value_306,has_Knowledge_value_326,has_token_value_937,superKC_value_44,OptionAnswer_value_476,Needs more examples,context_value_363,corrected_value_772,currentOperation_value_789,paused,101,enabled_value_708,2023-08-10,Concept conflation,exercise_value_998,Sample hint text #15,item_value_587,hard,engagement_score,methodStep_value_656,methodname_82,multipleChoiceAnswer_value_977,numberOfFavorites_value_229,numberOfViews_value_587,9,2023-11-01,2023-06-19,Sample question text #849,resolution_value_644,size_value_780,2023-09-02,stepName_18,14,Mathematics,2023-03-23,philosophy,Introduction to Economics,Sample tokenized_statement text #277,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0004,survivor,hippocampus,serotonin,Physics,35.38,53.04,desiredPoints_value_999,Algebra,completion_rate,hard,Concept conflation,hasPG_value_288,hasPS_value_626,hasPT_value_862,typeA,cluster_4,medium,precedence_value_865,0.312,0.041,0.096,hasCalculations_value_762,hasSuggestedTags_value_451,has_Answers_value_681,has_Epoch_value_471,has_Knowledge_value_483,has_token_value_293,superKC_value_546,OptionAnswer_value_448,Very clear,context_value_372,corrected_value_625,currentOperation_value_375,active,89,enabled_value_317,2023-02-17,Formula inversion,exercise_value_756,Sample hint text #274,item_value_931,medium,time_on_task,methodStep_value_4,methodname_65,multipleChoiceAnswer_value_535,numberOfFavorites_value_773,numberOfViews_value_742,5,2023-10-11,2023-11-17,Sample question text #895,resolution_value_406,size_value_714,2023-09-26,stepName_36,4,Philosophy,2023-07-06,biology,Advanced Literature,Sample tokenized_statement text #785,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0005,cooperative,striatum,dopamine,Data Science,64.28,72.26,desiredPoints_value_386,Data Science,progress_ratio,hard,Sign error,hasPG_value_471,hasPS_value_431,hasPT_value_859,typeB,cluster_3,medium,precedence_value_102,0.849,0.443,0.7,hasCalculations_value_394,hasSuggestedTags_value_413,has_Answers_value_187,has_Epoch_value_864,has_Knowledge_value_605,has_token_value_219,superKC_value_673,OptionAnswer_value_990,Could be improved,context_value_937,corrected_value_698,currentOperation_value_89,pending,16,enabled_value_832,2023-09-26,Off-by-one error,exercise_value_480,Sample hint text #554,item_value_513,medium,hint_usage,methodStep_value_798,methodname_19,multipleChoiceAnswer_value_908,numberOfFavorites_value_391,numberOfViews_value_844,12,2023-06-19,2023-05-14,Sample question text #638,resolution_value_562,size_value_608,2023-01-14,stepName_20,8,Chemistry,2023-08-24,chemistry,Introduction to Computer Science,Sample tokenized_statement text #670,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0006,competitive,striatum,oxytocin,Economics,94.58,2.7,desiredPoints_value_156,Chemistry,time_on_task,expert,Causal reversal,hasPG_value_848,hasPS_value_587,hasPT_value_58,typeA,cluster_4,hard,precedence_value_844,0.273,0.799,0.542,hasCalculations_value_654,hasSuggestedTags_value_459,has_Answers_value_57,has_Epoch_value_688,has_Knowledge_value_910,has_token_value_566,superKC_value_288,OptionAnswer_value_830,Very clear,context_value_458,corrected_value_595,currentOperation_value_331,pending,14,enabled_value_643,2023-08-14,Formula inversion,exercise_value_322,Sample hint text #322,item_value_208,easy,mastery_level,methodStep_value_554,methodname_80,multipleChoiceAnswer_value_702,numberOfFavorites_value_41,numberOfViews_value_864,15,2023-12-07,2023-08-17,Sample question text #68,resolution_value_362,size_value_598,2023-02-11,stepName_64,20,Mathematics,2023-09-19,history,Introduction to Data Science,Sample tokenized_statement text #523,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0007,survivor,striatum,serotonin,Literature,82.68,21.01,desiredPoints_value_270,Economics,mastery_level,expert,Formula inversion,hasPG_value_211,hasPS_value_538,hasPT_value_24,typeA,cluster_1,expert,precedence_value_409,0.079,0.238,0.399,hasCalculations_value_112,hasSuggestedTags_value_185,has_Answers_value_118,has_Epoch_value_959,has_Knowledge_value_647,has_token_value_806,superKC_value_684,OptionAnswer_value_618,Good explanation,context_value_648,corrected_value_871,currentOperation_value_342,active,75,enabled_value_900,2023-09-04,Sign error,exercise_value_951,Sample hint text #581,item_value_663,expert,streak_count,methodStep_value_803,methodname_98,multipleChoiceAnswer_value_101,numberOfFavorites_value_524,numberOfViews_value_786,5,2023-01-21,2023-08-01,Sample question text #938,resolution_value_412,size_value_398,2023-12-25,stepName_77,2,Calculus,2023-02-02,computer_science,Advanced History,Sample tokenized_statement text #136,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0008,social,prefrontal,oxytocin,Economics,14.4,55.33,desiredPoints_value_915,Biology,time_on_task,hard,Causal reversal,hasPG_value_524,hasPS_value_679,hasPT_value_953,typeB,cluster_3,expert,precedence_value_944,0.046,0.714,0.044,hasCalculations_value_503,hasSuggestedTags_value_336,has_Answers_value_472,has_Epoch_value_524,has_Knowledge_value_629,has_token_value_424,superKC_value_883,OptionAnswer_value_532,Could be improved,context_value_886,corrected_value_231,currentOperation_value_998,completed,48,enabled_value_363,2023-12-15,Off-by-one error,exercise_value_820,Sample hint text #499,item_value_453,medium,xp_earned,methodStep_value_104,methodname_99,multipleChoiceAnswer_value_175,numberOfFavorites_value_861,numberOfViews_value_825,7,2023-02-11,2023-06-11,Sample question text #648,resolution_value_44,size_value_698,2023-06-15,stepName_87,2,Geography,2023-03-21,physics,Advanced Chemistry,Sample tokenized_statement text #490,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0009,achiever,prefrontal,oxytocin,History,71.09,28.02,desiredPoints_value_46,History,attempt_count,medium,Off-by-one error,hasPG_value_996,hasPS_value_79,hasPT_value_319,typeA,cluster_3,expert,precedence_value_974,0.051,0.92,0.102,hasCalculations_value_157,hasSuggestedTags_value_959,has_Answers_value_233,has_Epoch_value_664,has_Knowledge_value_813,has_token_value_331,superKC_value_872,OptionAnswer_value_51,Needs more examples,context_value_411,corrected_value_549,currentOperation_value_455,active,46,enabled_value_643,2023-07-27,Concept conflation,exercise_value_617,Sample hint text #77,item_value_762,easy,progress_ratio,methodStep_value_655,methodname_57,multipleChoiceAnswer_value_900,numberOfFavorites_value_894,numberOfViews_value_462,20,2023-08-18,2023-01-28,Sample question text #904,resolution_value_146,size_value_238,2023-11-10,stepName_81,9,Geography,2023-07-17,history,Introduction to Economics,Sample tokenized_statement text #422,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment_0010,achiever,amygdala,dopamine,Algebra,98.97,81.94,desiredPoints_value_434,Data Science,correct_answers,hard,Off-by-one error,hasPG_value_68,hasPS_value_443,hasPT_value_224,typeA,cluster_5,hard,precedence_value_492,0.219,0.499,0.662,hasCalculations_value_890,hasSuggestedTags_value_122,has_Answers_value_364,has_Epoch_value_597,has_Knowledge_value_968,has_token_value_511,superKC_value_375,OptionAnswer_value_464,Could be improved,context_value_940,corrected_value_165,currentOperation_value_616,completed,89,enabled_value_450,2023-04-04,Concept conflation,exercise_value_403,Sample hint text #985,item_value_573,medium,xp_earned,methodStep_value_39,methodname_18,multipleChoiceAnswer_value_579,numberOfFavorites_value_850,numberOfViews_value_91,11,2023-09-12,2023-12-22,Sample question text #312,resolution_value_658,size_value_168,2023-04-08,stepName_23,10,Physics,2023-07-28,data_science,Introduction to Data Science,Sample tokenized_statement text #71,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
