# CLASS: Competence
# IRI: http://meututor.com.br/Ontologies/meututor_domain.owl#Competence
# COLUMNS:
#   id: id — Unique identifier, e.g. competence_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
competence_0001,survivor,hippocampus,norepinephrine,Geography,8.84,36.73,desiredPoints_value_841,Computer Science,Understanding Algebra fundamentals,medium,Unit confusion,hasPG_value_675,hasPS_value_924,hasPT_value_381,typeC,cluster_5,medium,precedence_value_329,0.735,0.347,0.174,hasCalculations_value_412,hasSuggestedTags_value_382,has_Answers_value_479,has_Epoch_value_356,has_Knowledge_value_786,has_token_value_300,superKC_value_152,OptionAnswer_value_834,Could be improved,context_value_770,corrected_value_911,currentOperation_value_507,paused,51,enabled_value_985,2023-07-03,Concept conflation,exercise_value_260,Sample hint text #907,item_value_141,hard,attempt_count,methodStep_value_661,methodname_60,multipleChoiceAnswer_value_462,numberOfFavorites_value_772,numberOfViews_value_553,6,2023-01-11,2023-09-28,Sample question text #641,resolution_value_149,size_value_614,2023-06-18,stepName_81,6,Calculus,2023-10-05,calculus,Introduction to Chemistry,Sample tokenized_statement text #845,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0002,social,hippocampus,oxytocin,Economics,4.2,10.38,desiredPoints_value_5,History,Understanding Literature fundamentals,medium,Causal reversal,hasPG_value_233,hasPS_value_701,hasPT_value_727,typeB,cluster_4,easy,precedence_value_334,0.732,0.797,0.548,hasCalculations_value_405,hasSuggestedTags_value_536,has_Answers_value_673,has_Epoch_value_840,has_Knowledge_value_403,has_token_value_225,superKC_value_591,OptionAnswer_value_360,Could be improved,context_value_418,corrected_value_705,currentOperation_value_770,active,33,enabled_value_656,2023-11-15,Sign error,exercise_value_855,Sample hint text #711,item_value_917,medium,xp_earned,methodStep_value_1,methodname_65,multipleChoiceAnswer_value_820,numberOfFavorites_value_111,numberOfViews_value_508,5,2023-02-23,2023-05-08,Sample question text #774,resolution_value_416,size_value_311,2023-04-18,stepName_82,4,Calculus,2023-04-01,mathematics,Introduction to Geography,Sample tokenized_statement text #303,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0003,survivor,hippocampus,dopamine,History,45.26,11.9,desiredPoints_value_968,Geography,Understanding Physics fundamentals,expert,Off-by-one error,hasPG_value_715,hasPS_value_612,hasPT_value_308,typeB,cluster_4,hard,precedence_value_214,0.304,0.619,0.92,hasCalculations_value_651,hasSuggestedTags_value_630,has_Answers_value_608,has_Epoch_value_43,has_Knowledge_value_696,has_token_value_504,superKC_value_33,OptionAnswer_value_512,Too abstract,context_value_360,corrected_value_32,currentOperation_value_262,paused,115,enabled_value_817,2023-07-25,Concept conflation,exercise_value_789,Sample hint text #101,item_value_433,hard,streak_count,methodStep_value_503,methodname_04,multipleChoiceAnswer_value_390,numberOfFavorites_value_40,numberOfViews_value_986,16,2023-02-16,2023-05-18,Sample question text #95,resolution_value_85,size_value_252,2023-12-27,stepName_92,4,Computer Science,2023-07-24,geography,Introduction to Statistics,Sample tokenized_statement text #619,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0004,exploratory,cerebellum,acetylcholine,Biology,61.37,9.5,desiredPoints_value_701,Chemistry,Understanding History fundamentals,easy,Concept conflation,hasPG_value_456,hasPS_value_71,hasPT_value_515,typeA,cluster_4,hard,precedence_value_714,0.565,0.801,0.536,hasCalculations_value_742,hasSuggestedTags_value_50,has_Answers_value_260,has_Epoch_value_600,has_Knowledge_value_121,has_token_value_715,superKC_value_530,OptionAnswer_value_503,Needs more examples,context_value_924,corrected_value_463,currentOperation_value_301,completed,10,enabled_value_298,2023-10-11,Formula inversion,exercise_value_113,Sample hint text #704,item_value_159,easy,time_on_task,methodStep_value_494,methodname_63,multipleChoiceAnswer_value_256,numberOfFavorites_value_6,numberOfViews_value_397,6,2023-07-02,2023-05-06,Sample question text #229,resolution_value_349,size_value_887,2023-11-19,stepName_64,8,Data Science,2023-08-26,data_science,Introduction to History,Sample tokenized_statement text #104,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0005,survivor,cerebellum,oxytocin,Mathematics,43.81,36.67,desiredPoints_value_716,Literature,Applied methodology,hard,Causal reversal,hasPG_value_557,hasPS_value_109,hasPT_value_429,typeB,cluster_1,hard,precedence_value_447,0.557,0.422,0.065,hasCalculations_value_270,hasSuggestedTags_value_899,has_Answers_value_972,has_Epoch_value_681,has_Knowledge_value_367,has_token_value_487,superKC_value_411,OptionAnswer_value_520,Needs more examples,context_value_929,corrected_value_951,currentOperation_value_897,completed,20,enabled_value_25,2023-03-03,Concept conflation,exercise_value_192,Sample hint text #681,item_value_202,expert,streak_count,methodStep_value_560,methodname_48,multipleChoiceAnswer_value_571,numberOfFavorites_value_270,numberOfViews_value_490,3,2023-11-06,2023-10-14,Sample question text #119,resolution_value_574,size_value_41,2023-04-07,stepName_19,10,Chemistry,2023-12-23,literature,Introduction to Mathematics,Sample tokenized_statement text #381,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0006,competitive,cerebellum,norepinephrine,Philosophy,53.05,30.33,desiredPoints_value_831,Chemistry,Conceptual reasoning,medium,Formula inversion,hasPG_value_821,hasPS_value_219,hasPT_value_194,typeC,cluster_4,expert,precedence_value_491,0.214,0.172,0.553,hasCalculations_value_643,hasSuggestedTags_value_555,has_Answers_value_880,has_Epoch_value_824,has_Knowledge_value_73,has_token_value_150,superKC_value_684,OptionAnswer_value_131,Challenging but rewarding,context_value_149,corrected_value_882,currentOperation_value_779,active,66,enabled_value_526,2023-02-19,Sign error,exercise_value_253,Sample hint text #642,item_value_772,expert,streak_count,methodStep_value_371,methodname_29,multipleChoiceAnswer_value_848,numberOfFavorites_value_269,numberOfViews_value_417,2,2023-07-02,2023-06-25,Sample question text #405,resolution_value_29,size_value_198,2023-11-24,stepName_48,13,Computer Science,2023-10-27,calculus,Advanced Geography,Sample tokenized_statement text #767,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0007,achiever,striatum,serotonin,Biology,59.9,28.76,desiredPoints_value_792,Physics,Understanding Data Science fundamentals,easy,Formula inversion,hasPG_value_68,hasPS_value_576,hasPT_value_87,typeC,cluster_2,easy,precedence_value_379,0.277,0.281,0.65,hasCalculations_value_940,hasSuggestedTags_value_350,has_Answers_value_311,has_Epoch_value_857,has_Knowledge_value_549,has_token_value_620,superKC_value_335,OptionAnswer_value_942,Too abstract,context_value_876,corrected_value_972,currentOperation_value_482,paused,54,enabled_value_776,2023-12-19,Causal reversal,exercise_value_574,Sample hint text #946,item_value_699,medium,engagement_score,methodStep_value_346,methodname_12,multipleChoiceAnswer_value_709,numberOfFavorites_value_502,numberOfViews_value_999,11,2023-09-17,2023-10-21,Sample question text #65,resolution_value_258,size_value_645,2023-05-09,stepName_37,20,Economics,2023-04-11,geography,Introduction to Philosophy,Sample tokenized_statement text #580,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0008,cooperative,amygdala,oxytocin,Statistics,41.15,26.39,desiredPoints_value_435,Statistics,Problem solving strategies,medium,Concept conflation,hasPG_value_912,hasPS_value_806,hasPT_value_143,typeC,cluster_3,medium,precedence_value_704,0.686,0.713,0.553,hasCalculations_value_210,hasSuggestedTags_value_818,has_Answers_value_474,has_Epoch_value_596,has_Knowledge_value_533,has_token_value_178,superKC_value_121,OptionAnswer_value_742,Could be improved,context_value_898,corrected_value_299,currentOperation_value_654,completed,31,enabled_value_613,2023-11-27,Unit confusion,exercise_value_188,Sample hint text #909,item_value_664,expert,attempt_count,methodStep_value_252,methodname_51,multipleChoiceAnswer_value_496,numberOfFavorites_value_735,numberOfViews_value_278,19,2023-08-18,2023-06-05,Sample question text #261,resolution_value_621,size_value_74,2023-05-04,stepName_49,18,Literature,2023-01-03,biology,Advanced Biology,Sample tokenized_statement text #951,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0009,achiever,amygdala,oxytocin,Philosophy,42.05,26.57,desiredPoints_value_438,Statistics,Formative evaluation,easy,Formula inversion,hasPG_value_448,hasPS_value_397,hasPT_value_321,typeA,cluster_2,medium,precedence_value_126,0.361,0.801,0.055,hasCalculations_value_868,hasSuggestedTags_value_72,has_Answers_value_285,has_Epoch_value_111,has_Knowledge_value_562,has_token_value_549,superKC_value_275,OptionAnswer_value_131,Good explanation,context_value_948,corrected_value_761,currentOperation_value_704,paused,31,enabled_value_41,2023-11-19,Off-by-one error,exercise_value_11,Sample hint text #115,item_value_346,hard,hint_usage,methodStep_value_441,methodname_31,multipleChoiceAnswer_value_237,numberOfFavorites_value_226,numberOfViews_value_634,20,2023-10-25,2023-05-18,Sample question text #363,resolution_value_861,size_value_243,2023-03-01,stepName_71,19,Geography,2023-04-06,algebra,Introduction to Mathematics,Sample tokenized_statement text #209,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competence_0010,cooperative,hippocampus,oxytocin,Data Science,61.41,97.41,desiredPoints_value_829,Computer Science,Understanding Data Science fundamentals,easy,Sign error,hasPG_value_866,hasPS_value_417,hasPT_value_227,typeA,cluster_4,medium,precedence_value_914,0.174,0.22,0.107,hasCalculations_value_245,hasSuggestedTags_value_688,has_Answers_value_316,has_Epoch_value_446,has_Knowledge_value_594,has_token_value_882,superKC_value_615,OptionAnswer_value_870,Very clear,context_value_457,corrected_value_219,currentOperation_value_238,active,113,enabled_value_84,2023-07-23,Formula inversion,exercise_value_454,Sample hint text #154,item_value_757,expert,progress_ratio,methodStep_value_769,methodname_49,multipleChoiceAnswer_value_24,numberOfFavorites_value_555,numberOfViews_value_784,9,2023-04-22,2023-08-14,Sample question text #809,resolution_value_897,size_value_537,2023-06-11,stepName_03,16,Economics,2023-10-13,calculus,Introduction to History,Sample tokenized_statement text #622,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
