# CLASS: Concept
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Concept
# COLUMNS:
#   id: id — Unique identifier, e.g. concept_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
concept_0001,exploratory,prefrontal,norepinephrine,Algebra,45.41,5.29,desiredPoints_value_658,Economics,streak_count,easy,Sign error,hasPG_value_885,hasPS_value_439,hasPT_value_842,typeC,cluster_2,medium,precedence_value_947,0.809,0.072,0.942,hasCalculations_value_184,hasSuggestedTags_value_724,has_Answers_value_761,has_Epoch_value_201,has_Knowledge_value_13,has_token_value_414,superKC_value_35,OptionAnswer_value_55,Needs more examples,context_value_200,corrected_value_56,currentOperation_value_190,paused,116,enabled_value_344,2023-11-23,Unit confusion,exercise_value_932,Sample hint text #713,item_value_20,hard,completion_rate,methodStep_value_173,methodname_37,multipleChoiceAnswer_value_759,numberOfFavorites_value_98,numberOfViews_value_99,10,2023-03-01,2023-07-14,Sample question text #492,resolution_value_38,size_value_106,2023-06-03,stepName_33,11,Data Science,2023-10-19,chemistry,Introduction to Mathematics,Sample tokenized_statement text #98,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0002,social,prefrontal,serotonin,Calculus,74.02,14.06,desiredPoints_value_139,Calculus,completion_rate,hard,Off-by-one error,hasPG_value_33,hasPS_value_328,hasPT_value_238,typeC,cluster_2,medium,precedence_value_681,0.176,0.372,0.14,hasCalculations_value_29,hasSuggestedTags_value_98,has_Answers_value_984,has_Epoch_value_680,has_Knowledge_value_757,has_token_value_629,superKC_value_776,OptionAnswer_value_48,Good explanation,context_value_117,corrected_value_777,currentOperation_value_213,pending,73,enabled_value_315,2023-04-08,Concept conflation,exercise_value_104,Sample hint text #198,item_value_234,medium,attempt_count,methodStep_value_186,methodname_67,multipleChoiceAnswer_value_388,numberOfFavorites_value_979,numberOfViews_value_997,4,2023-04-06,2023-04-24,Sample question text #613,resolution_value_261,size_value_344,2023-07-22,stepName_37,11,Chemistry,2023-04-10,chemistry,Advanced Chemistry,Sample tokenized_statement text #410,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0003,exploratory,cerebellum,acetylcholine,Literature,79.31,17.33,desiredPoints_value_598,Economics,correct_answers,expert,Sign error,hasPG_value_275,hasPS_value_179,hasPT_value_764,typeA,cluster_5,hard,precedence_value_254,0.437,0.454,0.67,hasCalculations_value_641,hasSuggestedTags_value_927,has_Answers_value_888,has_Epoch_value_841,has_Knowledge_value_249,has_token_value_284,superKC_value_678,OptionAnswer_value_587,Challenging but rewarding,context_value_653,corrected_value_641,currentOperation_value_370,completed,84,enabled_value_484,2023-04-12,Formula inversion,exercise_value_855,Sample hint text #793,item_value_95,hard,xp_earned,methodStep_value_182,methodname_50,multipleChoiceAnswer_value_983,numberOfFavorites_value_414,numberOfViews_value_380,11,2023-10-28,2023-02-09,Sample question text #500,resolution_value_783,size_value_919,2023-07-06,stepName_48,8,Calculus,2023-11-17,mathematics,Advanced Geography,Sample tokenized_statement text #939,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0004,social,amygdala,dopamine,History,47.27,99.26,desiredPoints_value_225,Biology,correct_answers,hard,Sign error,hasPG_value_296,hasPS_value_900,hasPT_value_453,typeB,cluster_4,expert,precedence_value_737,0.318,0.233,0.208,hasCalculations_value_595,hasSuggestedTags_value_716,has_Answers_value_706,has_Epoch_value_717,has_Knowledge_value_949,has_token_value_418,superKC_value_131,OptionAnswer_value_781,Could be improved,context_value_902,corrected_value_785,currentOperation_value_591,pending,100,enabled_value_256,2023-03-10,Sign error,exercise_value_899,Sample hint text #933,item_value_725,expert,engagement_score,methodStep_value_946,methodname_76,multipleChoiceAnswer_value_155,numberOfFavorites_value_305,numberOfViews_value_106,11,2023-08-03,2023-03-21,Sample question text #469,resolution_value_885,size_value_661,2023-12-14,stepName_26,18,Biology,2023-06-09,biology,Research Methods,Sample tokenized_statement text #294,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0005,achiever,amygdala,oxytocin,Data Science,42.92,66.88,desiredPoints_value_27,Literature,score,expert,Causal reversal,hasPG_value_552,hasPS_value_151,hasPT_value_304,typeC,cluster_4,medium,precedence_value_631,0.608,0.889,0.546,hasCalculations_value_674,hasSuggestedTags_value_80,has_Answers_value_426,has_Epoch_value_99,has_Knowledge_value_363,has_token_value_882,superKC_value_230,OptionAnswer_value_690,Challenging but rewarding,context_value_86,corrected_value_104,currentOperation_value_404,completed,93,enabled_value_473,2023-02-01,Sign error,exercise_value_24,Sample hint text #510,item_value_826,medium,engagement_score,methodStep_value_134,methodname_49,multipleChoiceAnswer_value_61,numberOfFavorites_value_483,numberOfViews_value_708,6,2023-01-04,2023-05-18,Sample question text #629,resolution_value_434,size_value_835,2023-08-18,stepName_92,1,Economics,2023-03-13,data_science,Introduction to Economics,Sample tokenized_statement text #588,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0006,competitive,prefrontal,dopamine,History,39.82,19.65,desiredPoints_value_787,History,engagement_score,expert,Sign error,hasPG_value_332,hasPS_value_658,hasPT_value_285,typeA,cluster_5,medium,precedence_value_398,0.842,0.297,0.751,hasCalculations_value_211,hasSuggestedTags_value_940,has_Answers_value_836,has_Epoch_value_196,has_Knowledge_value_613,has_token_value_112,superKC_value_472,OptionAnswer_value_143,Could be improved,context_value_954,corrected_value_600,currentOperation_value_882,pending,6,enabled_value_221,2023-07-27,Concept conflation,exercise_value_269,Sample hint text #518,item_value_867,easy,streak_count,methodStep_value_113,methodname_24,multipleChoiceAnswer_value_658,numberOfFavorites_value_424,numberOfViews_value_720,13,2023-12-10,2023-10-15,Sample question text #91,resolution_value_636,size_value_420,2023-08-22,stepName_04,14,Statistics,2023-09-08,biology,Introduction to Statistics,Sample tokenized_statement text #226,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0007,competitive,hippocampus,dopamine,Literature,10.74,34.99,desiredPoints_value_792,Philosophy,error_rate,easy,Formula inversion,hasPG_value_795,hasPS_value_736,hasPT_value_253,typeC,cluster_5,hard,precedence_value_749,0.585,0.761,0.081,hasCalculations_value_232,hasSuggestedTags_value_238,has_Answers_value_279,has_Epoch_value_996,has_Knowledge_value_279,has_token_value_221,superKC_value_488,OptionAnswer_value_940,Could be improved,context_value_430,corrected_value_854,currentOperation_value_494,completed,92,enabled_value_281,2023-09-26,Off-by-one error,exercise_value_289,Sample hint text #47,item_value_846,hard,score,methodStep_value_746,methodname_08,multipleChoiceAnswer_value_978,numberOfFavorites_value_73,numberOfViews_value_886,14,2023-08-20,2023-04-02,Sample question text #76,resolution_value_258,size_value_931,2023-09-03,stepName_14,13,Mathematics,2023-05-19,statistics,Critical Thinking,Sample tokenized_statement text #605,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0008,survivor,hippocampus,dopamine,Mathematics,84.84,65.62,desiredPoints_value_945,Chemistry,error_rate,medium,Concept conflation,hasPG_value_576,hasPS_value_851,hasPT_value_903,typeB,cluster_4,easy,precedence_value_414,0.916,0.999,0.748,hasCalculations_value_75,hasSuggestedTags_value_898,has_Answers_value_636,has_Epoch_value_617,has_Knowledge_value_41,has_token_value_253,superKC_value_299,OptionAnswer_value_148,Good explanation,context_value_978,corrected_value_866,currentOperation_value_789,completed,38,enabled_value_514,2023-12-11,Unit confusion,exercise_value_567,Sample hint text #268,item_value_910,medium,error_rate,methodStep_value_215,methodname_41,multipleChoiceAnswer_value_203,numberOfFavorites_value_77,numberOfViews_value_436,2,2023-12-16,2023-10-22,Sample question text #99,resolution_value_498,size_value_858,2023-10-04,stepName_27,18,Literature,2023-01-03,geography,Advanced Physics,Sample tokenized_statement text #102,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0009,competitive,striatum,dopamine,Biology,87.69,78.27,desiredPoints_value_101,Philosophy,streak_count,hard,Off-by-one error,hasPG_value_139,hasPS_value_311,hasPT_value_928,typeB,cluster_1,medium,precedence_value_994,0.933,0.556,0.655,hasCalculations_value_297,hasSuggestedTags_value_95,has_Answers_value_123,has_Epoch_value_136,has_Knowledge_value_861,has_token_value_547,superKC_value_471,OptionAnswer_value_872,Could be improved,context_value_307,corrected_value_325,currentOperation_value_140,paused,94,enabled_value_77,2023-10-07,Formula inversion,exercise_value_488,Sample hint text #870,item_value_523,hard,engagement_score,methodStep_value_390,methodname_38,multipleChoiceAnswer_value_881,numberOfFavorites_value_439,numberOfViews_value_193,20,2023-02-08,2023-09-26,Sample question text #988,resolution_value_82,size_value_39,2023-11-16,stepName_39,20,Physics,2023-11-13,physics,Advanced History,Sample tokenized_statement text #294,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept_0010,cooperative,prefrontal,dopamine,Geography,28.4,4.79,desiredPoints_value_728,Biology,score,hard,Sign error,hasPG_value_340,hasPS_value_53,hasPT_value_421,typeC,cluster_4,medium,precedence_value_398,0.066,0.548,0.814,hasCalculations_value_346,hasSuggestedTags_value_172,has_Answers_value_331,has_Epoch_value_180,has_Knowledge_value_776,has_token_value_672,superKC_value_509,OptionAnswer_value_758,Too abstract,context_value_915,corrected_value_77,currentOperation_value_3,completed,86,enabled_value_373,2023-05-16,Causal reversal,exercise_value_829,Sample hint text #67,item_value_957,expert,progress_ratio,methodStep_value_556,methodname_77,multipleChoiceAnswer_value_722,numberOfFavorites_value_629,numberOfViews_value_283,17,2023-09-12,2023-07-13,Sample question text #620,resolution_value_290,size_value_519,2023-10-20,stepName_29,2,Mathematics,2023-06-04,philosophy,Advanced Literature,Sample tokenized_statement text #718,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
