# CLASS: ConceptualKnowledge
# IRI: http://meututor.com.br/Ontologies/meututor_domain_curriculum.owl#ConceptualKnowledge
# COLUMNS:
#   id: id — Unique identifier, e.g. conceptualKnowledge_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
conceptualKnowledge_0001,competitive,striatum,acetylcholine,Biology,58.83,21.9,desiredPoints_value_735,History,hint_usage,medium,Concept conflation,hasPG_value_311,hasPS_value_991,hasPT_value_182,typeB,cluster_2,expert,precedence_value_944,0.981,0.908,0.969,hasCalculations_value_306,hasSuggestedTags_value_416,has_Answers_value_937,has_Epoch_value_142,has_Knowledge_value_554,has_token_value_49,superKC_value_339,OptionAnswer_value_343,Good explanation,context_value_457,corrected_value_836,currentOperation_value_455,pending,95,enabled_value_52,2023-07-12,Formula inversion,exercise_value_635,Sample hint text #344,item_value_361,easy,attempt_count,methodStep_value_984,methodname_51,multipleChoiceAnswer_value_164,numberOfFavorites_value_211,numberOfViews_value_579,6,2023-12-27,2023-01-20,Sample question text #35,resolution_value_554,size_value_960,2023-06-25,stepName_42,4,Mathematics,2023-08-21,data_science,Introduction to Philosophy,Sample tokenized_statement text #749,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0002,survivor,cerebellum,dopamine,Biology,9.97,8.33,desiredPoints_value_103,Computer Science,mastery_level,expert,Off-by-one error,hasPG_value_616,hasPS_value_704,hasPT_value_20,typeA,cluster_3,hard,precedence_value_722,0.942,0.682,0.054,hasCalculations_value_720,hasSuggestedTags_value_182,has_Answers_value_173,has_Epoch_value_650,has_Knowledge_value_25,has_token_value_416,superKC_value_735,OptionAnswer_value_636,Too abstract,context_value_942,corrected_value_240,currentOperation_value_323,pending,94,enabled_value_964,2023-02-22,Sign error,exercise_value_1,Sample hint text #915,item_value_85,medium,completion_rate,methodStep_value_449,methodname_41,multipleChoiceAnswer_value_804,numberOfFavorites_value_813,numberOfViews_value_922,19,2023-06-28,2023-01-01,Sample question text #162,resolution_value_881,size_value_428,2023-12-02,stepName_11,11,Physics,2023-06-07,calculus,Project Management,Sample tokenized_statement text #953,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0003,exploratory,cerebellum,norepinephrine,Computer Science,63.37,61.76,desiredPoints_value_33,Computer Science,hint_usage,easy,Formula inversion,hasPG_value_103,hasPS_value_784,hasPT_value_454,typeC,cluster_2,medium,precedence_value_475,0.595,0.05,0.354,hasCalculations_value_761,hasSuggestedTags_value_605,has_Answers_value_691,has_Epoch_value_375,has_Knowledge_value_660,has_token_value_29,superKC_value_936,OptionAnswer_value_237,Could be improved,context_value_770,corrected_value_850,currentOperation_value_68,active,6,enabled_value_403,2023-05-22,Concept conflation,exercise_value_222,Sample hint text #994,item_value_312,easy,time_on_task,methodStep_value_707,methodname_75,multipleChoiceAnswer_value_122,numberOfFavorites_value_4,numberOfViews_value_285,12,2023-03-02,2023-04-14,Sample question text #47,resolution_value_519,size_value_627,2023-12-25,stepName_37,3,Physics,2023-09-10,statistics,Advanced Geography,Sample tokenized_statement text #932,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0004,cooperative,amygdala,oxytocin,Philosophy,89.19,95.98,desiredPoints_value_368,Geography,time_on_task,hard,Causal reversal,hasPG_value_581,hasPS_value_349,hasPT_value_151,typeA,cluster_3,expert,precedence_value_73,0.033,0.408,0.487,hasCalculations_value_964,hasSuggestedTags_value_592,has_Answers_value_14,has_Epoch_value_660,has_Knowledge_value_20,has_token_value_408,superKC_value_585,OptionAnswer_value_439,Challenging but rewarding,context_value_61,corrected_value_76,currentOperation_value_560,paused,96,enabled_value_450,2023-08-09,Off-by-one error,exercise_value_797,Sample hint text #713,item_value_917,medium,engagement_score,methodStep_value_513,methodname_35,multipleChoiceAnswer_value_712,numberOfFavorites_value_697,numberOfViews_value_129,7,2023-11-07,2023-10-28,Sample question text #296,resolution_value_315,size_value_595,2023-12-12,stepName_29,1,Mathematics,2023-07-16,computer_science,Introduction to Algebra,Sample tokenized_statement text #777,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0005,exploratory,amygdala,dopamine,Biology,16.07,34.79,desiredPoints_value_12,Physics,engagement_score,medium,Formula inversion,hasPG_value_321,hasPS_value_262,hasPT_value_134,typeB,cluster_2,hard,precedence_value_109,0.459,0.255,0.582,hasCalculations_value_643,hasSuggestedTags_value_192,has_Answers_value_678,has_Epoch_value_970,has_Knowledge_value_587,has_token_value_720,superKC_value_798,OptionAnswer_value_154,Needs more examples,context_value_809,corrected_value_227,currentOperation_value_316,pending,114,enabled_value_98,2023-02-01,Causal reversal,exercise_value_807,Sample hint text #33,item_value_586,easy,streak_count,methodStep_value_917,methodname_54,multipleChoiceAnswer_value_860,numberOfFavorites_value_694,numberOfViews_value_48,12,2023-04-01,2023-11-25,Sample question text #983,resolution_value_554,size_value_570,2023-07-17,stepName_33,8,Mathematics,2023-03-04,physics,Introduction to Algebra,Sample tokenized_statement text #403,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0006,cooperative,prefrontal,oxytocin,Mathematics,28.16,67.83,desiredPoints_value_981,Computer Science,attempt_count,expert,Unit confusion,hasPG_value_878,hasPS_value_580,hasPT_value_882,typeA,cluster_1,medium,precedence_value_608,0.737,0.771,0.312,hasCalculations_value_405,hasSuggestedTags_value_48,has_Answers_value_237,has_Epoch_value_977,has_Knowledge_value_864,has_token_value_247,superKC_value_430,OptionAnswer_value_688,Needs more examples,context_value_817,corrected_value_9,currentOperation_value_906,completed,63,enabled_value_379,2023-06-17,Sign error,exercise_value_80,Sample hint text #262,item_value_474,expert,error_rate,methodStep_value_712,methodname_77,multipleChoiceAnswer_value_130,numberOfFavorites_value_2,numberOfViews_value_930,15,2023-02-03,2023-06-27,Sample question text #166,resolution_value_232,size_value_731,2023-09-01,stepName_24,7,Literature,2023-12-06,physics,Advanced Literature,Sample tokenized_statement text #815,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0007,survivor,prefrontal,dopamine,Geography,90.69,52.44,desiredPoints_value_128,Economics,progress_ratio,expert,Causal reversal,hasPG_value_5,hasPS_value_703,hasPT_value_375,typeC,cluster_1,expert,precedence_value_109,0.773,0.503,0.211,hasCalculations_value_381,hasSuggestedTags_value_341,has_Answers_value_564,has_Epoch_value_564,has_Knowledge_value_84,has_token_value_748,superKC_value_603,OptionAnswer_value_902,Too abstract,context_value_583,corrected_value_768,currentOperation_value_475,paused,26,enabled_value_721,2023-12-04,Formula inversion,exercise_value_570,Sample hint text #530,item_value_46,easy,attempt_count,methodStep_value_940,methodname_31,multipleChoiceAnswer_value_491,numberOfFavorites_value_548,numberOfViews_value_784,20,2023-04-03,2023-09-13,Sample question text #624,resolution_value_966,size_value_159,2023-09-19,stepName_62,6,Algebra,2023-09-09,geography,Introduction to Philosophy,Sample tokenized_statement text #888,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0008,survivor,hippocampus,oxytocin,Chemistry,16.81,75.4,desiredPoints_value_167,Mathematics,error_rate,medium,Concept conflation,hasPG_value_219,hasPS_value_630,hasPT_value_302,typeC,cluster_2,medium,precedence_value_139,0.662,0.155,0.252,hasCalculations_value_285,hasSuggestedTags_value_286,has_Answers_value_499,has_Epoch_value_286,has_Knowledge_value_671,has_token_value_217,superKC_value_749,OptionAnswer_value_135,Could be improved,context_value_881,corrected_value_538,currentOperation_value_766,active,13,enabled_value_432,2023-06-19,Concept conflation,exercise_value_728,Sample hint text #201,item_value_718,easy,streak_count,methodStep_value_130,methodname_95,multipleChoiceAnswer_value_643,numberOfFavorites_value_753,numberOfViews_value_14,5,2023-01-21,2023-04-02,Sample question text #284,resolution_value_960,size_value_732,2023-12-05,stepName_29,5,Chemistry,2023-12-15,computer_science,Introduction to Data Science,Sample tokenized_statement text #871,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0009,survivor,hippocampus,serotonin,Geography,71.79,4.14,desiredPoints_value_796,Algebra,completion_rate,easy,Formula inversion,hasPG_value_344,hasPS_value_908,hasPT_value_49,typeB,cluster_3,expert,precedence_value_202,0.003,0.984,0.057,hasCalculations_value_733,hasSuggestedTags_value_813,has_Answers_value_610,has_Epoch_value_237,has_Knowledge_value_958,has_token_value_849,superKC_value_451,OptionAnswer_value_468,Very clear,context_value_365,corrected_value_408,currentOperation_value_925,active,83,enabled_value_551,2023-04-05,Off-by-one error,exercise_value_701,Sample hint text #24,item_value_668,medium,progress_ratio,methodStep_value_92,methodname_54,multipleChoiceAnswer_value_700,numberOfFavorites_value_905,numberOfViews_value_833,3,2023-08-10,2023-07-28,Sample question text #623,resolution_value_42,size_value_882,2023-03-19,stepName_96,17,Biology,2023-02-26,mathematics,Introduction to Economics,Sample tokenized_statement text #254,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptualKnowledge_0010,achiever,amygdala,dopamine,Philosophy,38.71,16.22,desiredPoints_value_582,Physics,time_on_task,easy,Formula inversion,hasPG_value_499,hasPS_value_15,hasPT_value_514,typeA,cluster_3,expert,precedence_value_571,0.885,0.969,0.418,hasCalculations_value_993,hasSuggestedTags_value_930,has_Answers_value_403,has_Epoch_value_472,has_Knowledge_value_977,has_token_value_772,superKC_value_899,OptionAnswer_value_913,Good explanation,context_value_393,corrected_value_240,currentOperation_value_718,paused,24,enabled_value_87,2023-10-17,Formula inversion,exercise_value_371,Sample hint text #371,item_value_62,hard,progress_ratio,methodStep_value_294,methodname_98,multipleChoiceAnswer_value_803,numberOfFavorites_value_261,numberOfViews_value_308,2,2023-08-14,2023-07-07,Sample question text #702,resolution_value_314,size_value_620,2023-04-23,stepName_29,19,Literature,2023-06-01,history,Advanced Literature,Sample tokenized_statement text #620,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
