# CLASS: Content
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Content
# COLUMNS:
#   id: id — Unique identifier, e.g. content_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
content_0001,exploratory,striatum,acetylcholine,Geography,93.91,91.7,desiredPoints_value_214,Geography,attempt_count,hard,Sign error,hasPG_value_873,hasPS_value_189,hasPT_value_460,typeC,cluster_1,expert,precedence_value_160,0.39,0.133,0.653,hasCalculations_value_415,hasSuggestedTags_value_376,has_Answers_value_27,has_Epoch_value_266,has_Knowledge_value_392,has_token_value_895,superKC_value_9,OptionAnswer_value_488,Good explanation,context_value_680,corrected_value_44,currentOperation_value_85,pending,114,enabled_value_670,2023-05-04,Sign error,exercise_value_6,Sample hint text #839,item_value_388,expert,completion_rate,methodStep_value_267,methodname_06,multipleChoiceAnswer_value_807,numberOfFavorites_value_718,numberOfViews_value_525,15,2023-02-01,2023-01-21,Sample question text #833,resolution_value_422,size_value_419,2023-09-20,stepName_08,9,Algebra,2023-02-16,chemistry,Advanced Biology,Sample tokenized_statement text #145,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0002,social,striatum,serotonin,Biology,50.15,11.13,desiredPoints_value_360,Calculus,streak_count,medium,Sign error,hasPG_value_235,hasPS_value_147,hasPT_value_566,typeA,cluster_2,medium,precedence_value_570,0.155,0.013,0.278,hasCalculations_value_335,hasSuggestedTags_value_888,has_Answers_value_160,has_Epoch_value_539,has_Knowledge_value_198,has_token_value_367,superKC_value_621,OptionAnswer_value_606,Challenging but rewarding,context_value_305,corrected_value_33,currentOperation_value_2,pending,16,enabled_value_40,2023-12-25,Concept conflation,exercise_value_275,Sample hint text #464,item_value_620,easy,time_on_task,methodStep_value_382,methodname_14,multipleChoiceAnswer_value_722,numberOfFavorites_value_119,numberOfViews_value_959,8,2023-06-22,2023-01-27,Sample question text #874,resolution_value_969,size_value_793,2023-06-07,stepName_41,15,Chemistry,2023-03-25,statistics,Advanced Chemistry,Sample tokenized_statement text #607,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0003,competitive,striatum,norepinephrine,Physics,63.96,93.6,desiredPoints_value_369,Computer Science,mastery_level,easy,Concept conflation,hasPG_value_778,hasPS_value_476,hasPT_value_537,typeA,cluster_1,medium,precedence_value_949,0.54,0.851,0.024,hasCalculations_value_308,hasSuggestedTags_value_105,has_Answers_value_637,has_Epoch_value_295,has_Knowledge_value_932,has_token_value_888,superKC_value_730,OptionAnswer_value_966,Too abstract,context_value_249,corrected_value_309,currentOperation_value_80,pending,116,enabled_value_778,2023-03-26,Concept conflation,exercise_value_780,Sample hint text #929,item_value_98,hard,hint_usage,methodStep_value_481,methodname_72,multipleChoiceAnswer_value_420,numberOfFavorites_value_820,numberOfViews_value_466,10,2023-12-21,2023-03-18,Sample question text #38,resolution_value_180,size_value_88,2023-11-17,stepName_87,18,Philosophy,2023-04-01,literature,Introduction to Computer Science,Sample tokenized_statement text #775,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0004,social,cerebellum,dopamine,Statistics,99.54,46.47,desiredPoints_value_600,Algebra,score,medium,Off-by-one error,hasPG_value_228,hasPS_value_844,hasPT_value_677,typeC,cluster_4,hard,precedence_value_954,0.918,0.24,0.72,hasCalculations_value_611,hasSuggestedTags_value_590,has_Answers_value_15,has_Epoch_value_327,has_Knowledge_value_834,has_token_value_340,superKC_value_566,OptionAnswer_value_331,Too abstract,context_value_937,corrected_value_505,currentOperation_value_804,pending,80,enabled_value_586,2023-05-23,Off-by-one error,exercise_value_558,Sample hint text #778,item_value_285,medium,progress_ratio,methodStep_value_917,methodname_95,multipleChoiceAnswer_value_1,numberOfFavorites_value_855,numberOfViews_value_430,20,2023-07-19,2023-11-02,Sample question text #707,resolution_value_306,size_value_368,2023-03-17,stepName_78,18,Literature,2023-01-13,physics,Project Management,Sample tokenized_statement text #50,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0005,exploratory,striatum,acetylcholine,Biology,23.35,75.61,desiredPoints_value_381,Computer Science,error_rate,easy,Formula inversion,hasPG_value_326,hasPS_value_148,hasPT_value_455,typeB,cluster_1,medium,precedence_value_429,0.664,0.069,0.588,hasCalculations_value_566,hasSuggestedTags_value_60,has_Answers_value_144,has_Epoch_value_367,has_Knowledge_value_226,has_token_value_651,superKC_value_21,OptionAnswer_value_525,Too abstract,context_value_200,corrected_value_491,currentOperation_value_741,paused,83,enabled_value_629,2023-03-21,Concept conflation,exercise_value_870,Sample hint text #408,item_value_303,hard,hint_usage,methodStep_value_471,methodname_64,multipleChoiceAnswer_value_881,numberOfFavorites_value_932,numberOfViews_value_185,11,2023-01-18,2023-05-22,Sample question text #189,resolution_value_247,size_value_762,2023-03-09,stepName_23,7,History,2023-09-01,algebra,Introduction to Physics,Sample tokenized_statement text #281,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0006,social,prefrontal,norepinephrine,Physics,72.01,34.2,desiredPoints_value_965,Calculus,correct_answers,easy,Unit confusion,hasPG_value_548,hasPS_value_347,hasPT_value_323,typeB,cluster_3,easy,precedence_value_394,0.174,0.499,0.809,hasCalculations_value_16,hasSuggestedTags_value_167,has_Answers_value_285,has_Epoch_value_169,has_Knowledge_value_378,has_token_value_464,superKC_value_63,OptionAnswer_value_245,Needs more examples,context_value_227,corrected_value_673,currentOperation_value_148,pending,91,enabled_value_615,2023-05-12,Sign error,exercise_value_954,Sample hint text #228,item_value_869,easy,attempt_count,methodStep_value_656,methodname_69,multipleChoiceAnswer_value_944,numberOfFavorites_value_830,numberOfViews_value_143,17,2023-07-08,2023-01-09,Sample question text #21,resolution_value_934,size_value_849,2023-03-20,stepName_56,13,Chemistry,2023-12-20,philosophy,Introduction to Chemistry,Sample tokenized_statement text #454,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0007,competitive,striatum,norepinephrine,Chemistry,60.02,82.92,desiredPoints_value_28,History,score,expert,Formula inversion,hasPG_value_555,hasPS_value_950,hasPT_value_788,typeA,cluster_1,hard,precedence_value_701,0.241,0.176,0.406,hasCalculations_value_619,hasSuggestedTags_value_215,has_Answers_value_487,has_Epoch_value_880,has_Knowledge_value_855,has_token_value_6,superKC_value_406,OptionAnswer_value_227,Needs more examples,context_value_840,corrected_value_364,currentOperation_value_770,active,32,enabled_value_125,2023-04-19,Sign error,exercise_value_513,Sample hint text #47,item_value_310,hard,error_rate,methodStep_value_190,methodname_20,multipleChoiceAnswer_value_47,numberOfFavorites_value_429,numberOfViews_value_98,19,2023-01-04,2023-10-08,Sample question text #659,resolution_value_250,size_value_217,2023-06-20,stepName_29,16,Philosophy,2023-08-03,philosophy,Introduction to Physics,Sample tokenized_statement text #3,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0008,survivor,hippocampus,serotonin,Data Science,58.18,34.16,desiredPoints_value_102,Literature,completion_rate,medium,Unit confusion,hasPG_value_386,hasPS_value_733,hasPT_value_736,typeC,cluster_3,expert,precedence_value_66,0.514,0.368,0.97,hasCalculations_value_317,hasSuggestedTags_value_3,has_Answers_value_745,has_Epoch_value_461,has_Knowledge_value_594,has_token_value_637,superKC_value_832,OptionAnswer_value_921,Needs more examples,context_value_233,corrected_value_1,currentOperation_value_293,pending,98,enabled_value_824,2023-04-05,Causal reversal,exercise_value_240,Sample hint text #85,item_value_986,expert,streak_count,methodStep_value_643,methodname_60,multipleChoiceAnswer_value_477,numberOfFavorites_value_939,numberOfViews_value_801,18,2023-02-10,2023-06-13,Sample question text #297,resolution_value_452,size_value_752,2023-05-27,stepName_32,15,Mathematics,2023-12-04,philosophy,Introduction to Philosophy,Sample tokenized_statement text #968,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0009,cooperative,cerebellum,dopamine,Physics,67.01,97.4,desiredPoints_value_439,Literature,xp_earned,expert,Unit confusion,hasPG_value_60,hasPS_value_353,hasPT_value_182,typeC,cluster_4,expert,precedence_value_69,0.125,0.784,0.16,hasCalculations_value_89,hasSuggestedTags_value_842,has_Answers_value_718,has_Epoch_value_664,has_Knowledge_value_329,has_token_value_489,superKC_value_561,OptionAnswer_value_57,Very clear,context_value_679,corrected_value_76,currentOperation_value_817,active,24,enabled_value_136,2023-04-03,Causal reversal,exercise_value_117,Sample hint text #401,item_value_490,expert,error_rate,methodStep_value_396,methodname_81,multipleChoiceAnswer_value_846,numberOfFavorites_value_490,numberOfViews_value_648,14,2023-04-11,2023-04-05,Sample question text #155,resolution_value_204,size_value_701,2023-08-04,stepName_70,12,Philosophy,2023-03-03,calculus,Introduction to History,Sample tokenized_statement text #388,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content_0010,achiever,amygdala,oxytocin,Geography,41.41,91.16,desiredPoints_value_86,Physics,hint_usage,medium,Concept conflation,hasPG_value_320,hasPS_value_198,hasPT_value_23,typeA,cluster_1,medium,precedence_value_465,0.83,0.773,0.246,hasCalculations_value_771,hasSuggestedTags_value_551,has_Answers_value_579,has_Epoch_value_930,has_Knowledge_value_714,has_token_value_153,superKC_value_895,OptionAnswer_value_250,Could be improved,context_value_715,corrected_value_75,currentOperation_value_213,completed,38,enabled_value_448,2023-06-20,Causal reversal,exercise_value_642,Sample hint text #515,item_value_872,expert,correct_answers,methodStep_value_628,methodname_27,multipleChoiceAnswer_value_130,numberOfFavorites_value_995,numberOfViews_value_491,18,2023-12-09,2023-02-16,Sample question text #675,resolution_value_568,size_value_207,2023-11-16,stepName_53,11,Philosophy,2023-02-11,biology,Advanced Chemistry,Sample tokenized_statement text #143,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
