# CLASS: Curriculum
# IRI: http://meututor.com.br/Ontologies/meututor_domain_cp.owl#Curriculum
# COLUMNS:
#   id: id — Unique identifier, e.g. curriculum_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
curriculum_0001,exploratory,cerebellum,dopamine,Calculus,29.06,48.15,desiredPoints_value_340,Calculus,Formative evaluation,easy,Causal reversal,hasPG_value_599,hasPS_value_691,hasPT_value_524,typeC,cluster_1,medium,precedence_value_529,0.144,0.74,0.495,hasCalculations_value_229,hasSuggestedTags_value_917,has_Answers_value_692,has_Epoch_value_656,has_Knowledge_value_873,has_token_value_159,superKC_value_309,OptionAnswer_value_644,Too abstract,context_value_737,corrected_value_960,currentOperation_value_7,paused,84,enabled_value_705,2023-04-04,Off-by-one error,exercise_value_1,Sample hint text #157,item_value_619,easy,mastery_level,methodStep_value_100,methodname_32,multipleChoiceAnswer_value_210,numberOfFavorites_value_107,numberOfViews_value_486,1,2023-09-15,2023-07-02,Sample question text #949,resolution_value_125,size_value_308,2023-07-16,stepName_24,8,Calculus,2023-09-09,calculus,Introduction to Biology,Sample tokenized_statement text #698,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0002,social,prefrontal,dopamine,Chemistry,14.17,74.46,desiredPoints_value_247,Chemistry,Case study analysis,medium,Formula inversion,hasPG_value_492,hasPS_value_297,hasPT_value_297,typeC,cluster_1,expert,precedence_value_377,0.668,0.391,0.698,hasCalculations_value_110,hasSuggestedTags_value_476,has_Answers_value_427,has_Epoch_value_834,has_Knowledge_value_436,has_token_value_152,superKC_value_29,OptionAnswer_value_291,Very clear,context_value_124,corrected_value_578,currentOperation_value_399,active,79,enabled_value_311,2023-01-21,Causal reversal,exercise_value_915,Sample hint text #673,item_value_635,expert,error_rate,methodStep_value_930,methodname_46,multipleChoiceAnswer_value_986,numberOfFavorites_value_143,numberOfViews_value_480,15,2023-05-01,2023-03-12,Sample question text #513,resolution_value_877,size_value_882,2023-09-07,stepName_45,17,Literature,2023-09-03,chemistry,Introduction to Statistics,Sample tokenized_statement text #156,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0003,social,prefrontal,norepinephrine,Algebra,76.26,30.29,desiredPoints_value_404,Physics,Problem solving strategies,expert,Formula inversion,hasPG_value_986,hasPS_value_484,hasPT_value_621,typeC,cluster_2,hard,precedence_value_133,0.698,0.589,0.581,hasCalculations_value_599,hasSuggestedTags_value_633,has_Answers_value_850,has_Epoch_value_414,has_Knowledge_value_70,has_token_value_47,superKC_value_31,OptionAnswer_value_873,Could be improved,context_value_163,corrected_value_238,currentOperation_value_99,active,68,enabled_value_957,2023-11-16,Unit confusion,exercise_value_779,Sample hint text #238,item_value_791,medium,score,methodStep_value_922,methodname_23,multipleChoiceAnswer_value_746,numberOfFavorites_value_914,numberOfViews_value_394,14,2023-02-02,2023-10-09,Sample question text #118,resolution_value_39,size_value_868,2023-12-03,stepName_57,12,Philosophy,2023-11-27,mathematics,Introduction to Algebra,Sample tokenized_statement text #329,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0004,cooperative,cerebellum,oxytocin,Biology,19.57,49.11,desiredPoints_value_696,History,Conceptual reasoning,medium,Causal reversal,hasPG_value_166,hasPS_value_445,hasPT_value_834,typeC,cluster_2,easy,precedence_value_597,0.024,0.96,0.096,hasCalculations_value_35,hasSuggestedTags_value_830,has_Answers_value_144,has_Epoch_value_915,has_Knowledge_value_6,has_token_value_369,superKC_value_793,OptionAnswer_value_418,Challenging but rewarding,context_value_560,corrected_value_886,currentOperation_value_74,pending,28,enabled_value_699,2023-12-24,Causal reversal,exercise_value_541,Sample hint text #509,item_value_195,medium,progress_ratio,methodStep_value_848,methodname_61,multipleChoiceAnswer_value_513,numberOfFavorites_value_361,numberOfViews_value_366,20,2023-09-28,2023-03-26,Sample question text #69,resolution_value_450,size_value_438,2023-11-13,stepName_10,19,Physics,2023-03-26,economics,Introduction to Computer Science,Sample tokenized_statement text #104,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0005,competitive,cerebellum,oxytocin,Geography,2.25,82.13,desiredPoints_value_297,Calculus,Practical exercises,expert,Causal reversal,hasPG_value_367,hasPS_value_70,hasPT_value_894,typeA,cluster_3,easy,precedence_value_548,0.575,0.853,0.932,hasCalculations_value_513,hasSuggestedTags_value_320,has_Answers_value_409,has_Epoch_value_634,has_Knowledge_value_59,has_token_value_560,superKC_value_715,OptionAnswer_value_914,Good explanation,context_value_597,corrected_value_483,currentOperation_value_960,pending,88,enabled_value_31,2023-01-11,Formula inversion,exercise_value_268,Sample hint text #206,item_value_343,easy,completion_rate,methodStep_value_210,methodname_71,multipleChoiceAnswer_value_837,numberOfFavorites_value_752,numberOfViews_value_338,2,2023-04-16,2023-02-26,Sample question text #971,resolution_value_578,size_value_927,2023-10-23,stepName_98,2,Geography,2023-02-14,philosophy,Advanced Physics,Sample tokenized_statement text #628,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0006,cooperative,amygdala,dopamine,Physics,3.56,50.76,desiredPoints_value_666,Geography,Understanding History fundamentals,expert,Unit confusion,hasPG_value_801,hasPS_value_871,hasPT_value_898,typeA,cluster_1,easy,precedence_value_27,0.774,0.811,0.534,hasCalculations_value_881,hasSuggestedTags_value_389,has_Answers_value_699,has_Epoch_value_701,has_Knowledge_value_756,has_token_value_19,superKC_value_566,OptionAnswer_value_494,Good explanation,context_value_397,corrected_value_785,currentOperation_value_387,completed,60,enabled_value_719,2023-07-18,Sign error,exercise_value_119,Sample hint text #449,item_value_121,hard,attempt_count,methodStep_value_199,methodname_44,multipleChoiceAnswer_value_448,numberOfFavorites_value_941,numberOfViews_value_60,8,2023-04-03,2023-10-01,Sample question text #233,resolution_value_423,size_value_766,2023-09-19,stepName_06,1,Calculus,2023-12-08,calculus,Advanced Mathematics,Sample tokenized_statement text #79,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0007,cooperative,amygdala,dopamine,Geography,34.97,65.52,desiredPoints_value_251,History,Problem solving strategies,expert,Formula inversion,hasPG_value_674,hasPS_value_126,hasPT_value_673,typeA,cluster_1,hard,precedence_value_961,0.544,0.495,0.735,hasCalculations_value_366,hasSuggestedTags_value_920,has_Answers_value_938,has_Epoch_value_880,has_Knowledge_value_226,has_token_value_455,superKC_value_731,OptionAnswer_value_310,Too abstract,context_value_799,corrected_value_565,currentOperation_value_300,completed,72,enabled_value_915,2023-05-11,Causal reversal,exercise_value_555,Sample hint text #516,item_value_107,easy,attempt_count,methodStep_value_923,methodname_53,multipleChoiceAnswer_value_723,numberOfFavorites_value_974,numberOfViews_value_637,16,2023-05-03,2023-04-05,Sample question text #862,resolution_value_534,size_value_237,2023-05-24,stepName_71,7,Physics,2023-06-24,calculus,Advanced Literature,Sample tokenized_statement text #37,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0008,social,hippocampus,dopamine,Computer Science,83.63,27.03,desiredPoints_value_603,Literature,Understanding Economics fundamentals,easy,Off-by-one error,hasPG_value_286,hasPS_value_876,hasPT_value_625,typeB,cluster_4,easy,precedence_value_884,0.383,0.444,0.224,hasCalculations_value_389,hasSuggestedTags_value_189,has_Answers_value_676,has_Epoch_value_442,has_Knowledge_value_546,has_token_value_54,superKC_value_677,OptionAnswer_value_313,Good explanation,context_value_555,corrected_value_782,currentOperation_value_357,active,82,enabled_value_773,2023-06-27,Unit confusion,exercise_value_830,Sample hint text #772,item_value_606,medium,error_rate,methodStep_value_350,methodname_93,multipleChoiceAnswer_value_850,numberOfFavorites_value_637,numberOfViews_value_445,14,2023-12-24,2023-01-26,Sample question text #112,resolution_value_567,size_value_398,2023-12-22,stepName_37,18,Computer Science,2023-07-19,data_science,Introduction to Geography,Sample tokenized_statement text #788,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0009,social,striatum,serotonin,Chemistry,90.77,28.07,desiredPoints_value_699,History,Understanding Computer Science fundamentals,medium,Concept conflation,hasPG_value_303,hasPS_value_346,hasPT_value_585,typeB,cluster_1,hard,precedence_value_371,0.269,0.251,0.653,hasCalculations_value_791,hasSuggestedTags_value_623,has_Answers_value_13,has_Epoch_value_128,has_Knowledge_value_315,has_token_value_583,superKC_value_677,OptionAnswer_value_329,Too abstract,context_value_868,corrected_value_184,currentOperation_value_455,paused,7,enabled_value_451,2023-01-15,Off-by-one error,exercise_value_990,Sample hint text #368,item_value_492,medium,correct_answers,methodStep_value_60,methodname_75,multipleChoiceAnswer_value_962,numberOfFavorites_value_82,numberOfViews_value_284,20,2023-09-11,2023-02-15,Sample question text #185,resolution_value_265,size_value_785,2023-05-09,stepName_64,5,Biology,2023-11-06,chemistry,Introduction to Biology,Sample tokenized_statement text #672,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curriculum_0010,survivor,hippocampus,serotonin,Statistics,50.67,44.03,desiredPoints_value_325,Mathematics,Applied methodology,medium,Off-by-one error,hasPG_value_975,hasPS_value_732,hasPT_value_266,typeB,cluster_1,hard,precedence_value_554,0.718,0.601,0.35,hasCalculations_value_80,hasSuggestedTags_value_520,has_Answers_value_455,has_Epoch_value_116,has_Knowledge_value_524,has_token_value_80,superKC_value_243,OptionAnswer_value_209,Too abstract,context_value_585,corrected_value_381,currentOperation_value_850,paused,14,enabled_value_658,2023-07-10,Sign error,exercise_value_26,Sample hint text #335,item_value_622,hard,attempt_count,methodStep_value_999,methodname_53,multipleChoiceAnswer_value_919,numberOfFavorites_value_668,numberOfViews_value_384,16,2023-05-20,2023-01-06,Sample question text #378,resolution_value_46,size_value_298,2023-03-19,stepName_04,4,Philosophy,2023-04-26,geography,Advanced History,Sample tokenized_statement text #733,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
