# CLASS: Diagnosis
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Diagnosis
# COLUMNS:
#   id: id — Unique identifier, e.g. diagnosis_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
diagnosis_0001,competitive,hippocampus,norepinephrine,Statistics,87.08,81.45,desiredPoints_value_824,Geography,completion_rate,expert,Formula inversion,hasPG_value_300,hasPS_value_189,hasPT_value_442,typeB,cluster_2,hard,precedence_value_66,0.805,0.488,0.993,hasCalculations_value_324,hasSuggestedTags_value_966,has_Answers_value_354,has_Epoch_value_226,has_Knowledge_value_986,has_token_value_828,superKC_value_932,OptionAnswer_value_255,Very clear,context_value_973,corrected_value_855,currentOperation_value_375,paused,45,enabled_value_953,2023-07-20,Formula inversion,exercise_value_421,Sample hint text #267,item_value_542,expert,mastery_level,methodStep_value_301,methodname_76,multipleChoiceAnswer_value_437,numberOfFavorites_value_164,numberOfViews_value_169,9,2023-10-10,2023-12-12,Sample question text #851,resolution_value_124,size_value_23,2023-05-14,stepName_81,5,Geography,2023-01-14,philosophy,Introduction to History,Sample tokenized_statement text #994,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0002,social,amygdala,acetylcholine,Economics,92.88,85.87,desiredPoints_value_147,Calculus,streak_count,easy,Formula inversion,hasPG_value_785,hasPS_value_130,hasPT_value_769,typeB,cluster_4,expert,precedence_value_184,0.597,0.231,0.32,hasCalculations_value_23,hasSuggestedTags_value_629,has_Answers_value_452,has_Epoch_value_599,has_Knowledge_value_797,has_token_value_221,superKC_value_264,OptionAnswer_value_702,Too abstract,context_value_888,corrected_value_142,currentOperation_value_75,completed,78,enabled_value_113,2023-05-14,Causal reversal,exercise_value_381,Sample hint text #923,item_value_5,medium,completion_rate,methodStep_value_807,methodname_26,multipleChoiceAnswer_value_300,numberOfFavorites_value_915,numberOfViews_value_506,15,2023-09-28,2023-12-28,Sample question text #717,resolution_value_685,size_value_748,2023-12-01,stepName_37,12,Computer Science,2023-12-19,computer_science,Introduction to History,Sample tokenized_statement text #383,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0003,achiever,amygdala,dopamine,Computer Science,2.42,23.02,desiredPoints_value_626,Economics,completion_rate,easy,Unit confusion,hasPG_value_464,hasPS_value_569,hasPT_value_697,typeA,cluster_2,medium,precedence_value_456,0.645,0.881,0.693,hasCalculations_value_949,hasSuggestedTags_value_582,has_Answers_value_716,has_Epoch_value_721,has_Knowledge_value_277,has_token_value_325,superKC_value_66,OptionAnswer_value_735,Very clear,context_value_500,corrected_value_410,currentOperation_value_785,paused,6,enabled_value_405,2023-04-14,Causal reversal,exercise_value_225,Sample hint text #688,item_value_144,expert,time_on_task,methodStep_value_5,methodname_15,multipleChoiceAnswer_value_69,numberOfFavorites_value_142,numberOfViews_value_905,5,2023-01-27,2023-01-24,Sample question text #693,resolution_value_531,size_value_300,2023-09-09,stepName_17,13,Calculus,2023-05-25,calculus,Advanced Biology,Sample tokenized_statement text #209,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0004,cooperative,striatum,acetylcholine,Statistics,57.63,2.29,desiredPoints_value_809,Economics,completion_rate,expert,Formula inversion,hasPG_value_742,hasPS_value_758,hasPT_value_654,typeA,cluster_2,expert,precedence_value_9,0.852,0.64,0.253,hasCalculations_value_940,hasSuggestedTags_value_293,has_Answers_value_913,has_Epoch_value_446,has_Knowledge_value_898,has_token_value_938,superKC_value_614,OptionAnswer_value_137,Good explanation,context_value_576,corrected_value_380,currentOperation_value_940,paused,40,enabled_value_582,2023-12-27,Off-by-one error,exercise_value_117,Sample hint text #888,item_value_193,medium,hint_usage,methodStep_value_637,methodname_48,multipleChoiceAnswer_value_782,numberOfFavorites_value_888,numberOfViews_value_96,19,2023-04-12,2023-01-27,Sample question text #669,resolution_value_993,size_value_912,2023-01-03,stepName_14,11,History,2023-07-04,computer_science,Introduction to Data Science,Sample tokenized_statement text #806,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0005,survivor,hippocampus,oxytocin,Mathematics,21.67,52.39,desiredPoints_value_522,Philosophy,streak_count,easy,Unit confusion,hasPG_value_262,hasPS_value_654,hasPT_value_70,typeA,cluster_3,easy,precedence_value_279,0.242,0.349,0.385,hasCalculations_value_522,hasSuggestedTags_value_349,has_Answers_value_78,has_Epoch_value_704,has_Knowledge_value_219,has_token_value_854,superKC_value_339,OptionAnswer_value_196,Challenging but rewarding,context_value_650,corrected_value_671,currentOperation_value_106,pending,70,enabled_value_662,2023-04-16,Unit confusion,exercise_value_470,Sample hint text #328,item_value_361,easy,time_on_task,methodStep_value_44,methodname_80,multipleChoiceAnswer_value_655,numberOfFavorites_value_13,numberOfViews_value_106,13,2023-09-11,2023-07-10,Sample question text #459,resolution_value_113,size_value_499,2023-08-18,stepName_34,2,Physics,2023-10-02,chemistry,Advanced Mathematics,Sample tokenized_statement text #810,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0006,competitive,striatum,oxytocin,Economics,69.39,64.58,desiredPoints_value_210,Computer Science,xp_earned,easy,Formula inversion,hasPG_value_96,hasPS_value_110,hasPT_value_375,typeC,cluster_4,expert,precedence_value_819,0.517,0.422,0.085,hasCalculations_value_585,hasSuggestedTags_value_482,has_Answers_value_847,has_Epoch_value_852,has_Knowledge_value_395,has_token_value_450,superKC_value_365,OptionAnswer_value_594,Could be improved,context_value_730,corrected_value_534,currentOperation_value_207,completed,25,enabled_value_424,2023-02-16,Off-by-one error,exercise_value_737,Sample hint text #329,item_value_886,easy,attempt_count,methodStep_value_993,methodname_69,multipleChoiceAnswer_value_213,numberOfFavorites_value_384,numberOfViews_value_195,9,2023-06-21,2023-09-03,Sample question text #603,resolution_value_357,size_value_433,2023-06-15,stepName_91,5,Economics,2023-06-08,geography,Introduction to Computer Science,Sample tokenized_statement text #254,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0007,survivor,cerebellum,oxytocin,Chemistry,28.23,38.79,desiredPoints_value_676,Chemistry,score,expert,Causal reversal,hasPG_value_494,hasPS_value_344,hasPT_value_573,typeA,cluster_1,hard,precedence_value_553,0.814,0.929,0.428,hasCalculations_value_497,hasSuggestedTags_value_620,has_Answers_value_890,has_Epoch_value_214,has_Knowledge_value_5,has_token_value_835,superKC_value_896,OptionAnswer_value_796,Needs more examples,context_value_7,corrected_value_156,currentOperation_value_808,pending,31,enabled_value_162,2023-08-06,Formula inversion,exercise_value_773,Sample hint text #394,item_value_441,medium,hint_usage,methodStep_value_325,methodname_09,multipleChoiceAnswer_value_654,numberOfFavorites_value_380,numberOfViews_value_831,2,2023-03-11,2023-03-28,Sample question text #531,resolution_value_380,size_value_967,2023-05-14,stepName_14,8,Mathematics,2023-09-15,calculus,Introduction to Literature,Sample tokenized_statement text #964,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0008,achiever,cerebellum,acetylcholine,Chemistry,88.6,84.24,desiredPoints_value_655,Computer Science,time_on_task,medium,Formula inversion,hasPG_value_813,hasPS_value_487,hasPT_value_481,typeB,cluster_1,easy,precedence_value_900,0.76,0.292,0.319,hasCalculations_value_710,hasSuggestedTags_value_751,has_Answers_value_493,has_Epoch_value_669,has_Knowledge_value_517,has_token_value_944,superKC_value_400,OptionAnswer_value_204,Good explanation,context_value_799,corrected_value_618,currentOperation_value_63,active,61,enabled_value_930,2023-02-05,Off-by-one error,exercise_value_50,Sample hint text #848,item_value_145,hard,completion_rate,methodStep_value_199,methodname_38,multipleChoiceAnswer_value_692,numberOfFavorites_value_298,numberOfViews_value_501,7,2023-11-02,2023-06-24,Sample question text #675,resolution_value_496,size_value_870,2023-12-22,stepName_58,16,Physics,2023-10-27,algebra,Critical Thinking,Sample tokenized_statement text #925,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0009,competitive,cerebellum,oxytocin,Statistics,47.47,37.62,desiredPoints_value_727,Philosophy,correct_answers,hard,Formula inversion,hasPG_value_413,hasPS_value_789,hasPT_value_467,typeB,cluster_3,easy,precedence_value_622,0.609,0.681,0.524,hasCalculations_value_241,hasSuggestedTags_value_200,has_Answers_value_295,has_Epoch_value_798,has_Knowledge_value_273,has_token_value_17,superKC_value_18,OptionAnswer_value_630,Could be improved,context_value_376,corrected_value_156,currentOperation_value_166,pending,22,enabled_value_691,2023-07-22,Causal reversal,exercise_value_374,Sample hint text #201,item_value_800,expert,progress_ratio,methodStep_value_206,methodname_89,multipleChoiceAnswer_value_187,numberOfFavorites_value_131,numberOfViews_value_858,3,2023-10-03,2023-05-08,Sample question text #639,resolution_value_721,size_value_14,2023-08-01,stepName_47,10,Computer Science,2023-11-08,literature,Introduction to Physics,Sample tokenized_statement text #781,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_0010,exploratory,striatum,oxytocin,Physics,8.26,94.47,desiredPoints_value_39,Data Science,xp_earned,easy,Off-by-one error,hasPG_value_71,hasPS_value_407,hasPT_value_726,typeA,cluster_4,easy,precedence_value_32,0.504,0.135,0.349,hasCalculations_value_586,hasSuggestedTags_value_735,has_Answers_value_214,has_Epoch_value_686,has_Knowledge_value_268,has_token_value_865,superKC_value_480,OptionAnswer_value_932,Too abstract,context_value_613,corrected_value_467,currentOperation_value_885,completed,33,enabled_value_327,2023-05-17,Concept conflation,exercise_value_731,Sample hint text #212,item_value_367,expert,score,methodStep_value_615,methodname_24,multipleChoiceAnswer_value_111,numberOfFavorites_value_291,numberOfViews_value_585,13,2023-08-19,2023-02-27,Sample question text #259,resolution_value_394,size_value_249,2023-12-17,stepName_53,13,Calculus,2023-05-22,calculus,Introduction to Computer Science,Sample tokenized_statement text #832,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
