# CLASS: DiscursiveOption
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#DiscursiveOption
# COLUMNS:
#   id: id — Unique identifier, e.g. discursiveOption_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
discursiveOption_0001,competitive,prefrontal,dopamine,Computer Science,69.27,81.73,desiredPoints_value_418,Literature,attempt_count,medium,Concept conflation,hasPG_value_146,hasPS_value_318,hasPT_value_403,typeC,cluster_3,hard,precedence_value_879,0.889,0.902,0.989,hasCalculations_value_511,hasSuggestedTags_value_686,has_Answers_value_132,has_Epoch_value_298,has_Knowledge_value_3,has_token_value_41,superKC_value_831,OptionAnswer_value_36,Could be improved,context_value_902,corrected_value_753,currentOperation_value_692,completed,7,enabled_value_560,2023-07-22,Off-by-one error,exercise_value_89,Sample hint text #312,item_value_683,expert,error_rate,methodStep_value_328,methodname_12,multipleChoiceAnswer_value_604,numberOfFavorites_value_25,numberOfViews_value_573,11,2023-05-07,2023-03-16,Sample question text #899,resolution_value_118,size_value_411,2023-11-07,stepName_94,2,Statistics,2023-12-24,biology,Introduction to Computer Science,Sample tokenized_statement text #328,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0002,survivor,prefrontal,acetylcholine,Philosophy,71.28,83.26,desiredPoints_value_206,Algebra,error_rate,easy,Off-by-one error,hasPG_value_59,hasPS_value_740,hasPT_value_39,typeC,cluster_1,medium,precedence_value_68,0.553,0.521,0.727,hasCalculations_value_829,hasSuggestedTags_value_964,has_Answers_value_318,has_Epoch_value_875,has_Knowledge_value_844,has_token_value_545,superKC_value_991,OptionAnswer_value_46,Needs more examples,context_value_540,corrected_value_660,currentOperation_value_972,completed,47,enabled_value_716,2023-05-03,Unit confusion,exercise_value_557,Sample hint text #902,item_value_966,medium,progress_ratio,methodStep_value_700,methodname_07,multipleChoiceAnswer_value_637,numberOfFavorites_value_758,numberOfViews_value_236,2,2023-05-23,2023-04-21,Sample question text #455,resolution_value_428,size_value_435,2023-02-08,stepName_99,14,Literature,2023-03-18,statistics,Introduction to Mathematics,Sample tokenized_statement text #525,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0003,cooperative,prefrontal,acetylcholine,Economics,6.68,85.3,desiredPoints_value_886,Algebra,progress_ratio,hard,Formula inversion,hasPG_value_916,hasPS_value_715,hasPT_value_263,typeB,cluster_1,hard,precedence_value_934,0.718,0.074,0.828,hasCalculations_value_91,hasSuggestedTags_value_38,has_Answers_value_358,has_Epoch_value_698,has_Knowledge_value_562,has_token_value_970,superKC_value_218,OptionAnswer_value_691,Could be improved,context_value_251,corrected_value_9,currentOperation_value_883,paused,68,enabled_value_953,2023-04-20,Formula inversion,exercise_value_634,Sample hint text #516,item_value_298,medium,score,methodStep_value_572,methodname_75,multipleChoiceAnswer_value_128,numberOfFavorites_value_765,numberOfViews_value_316,5,2023-11-14,2023-10-08,Sample question text #486,resolution_value_418,size_value_752,2023-06-21,stepName_04,4,Literature,2023-08-14,computer_science,Critical Thinking,Sample tokenized_statement text #888,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0004,achiever,striatum,acetylcholine,Literature,86.97,12.53,desiredPoints_value_544,Economics,time_on_task,expert,Sign error,hasPG_value_443,hasPS_value_558,hasPT_value_539,typeC,cluster_3,easy,precedence_value_90,0.729,0.397,0.776,hasCalculations_value_656,hasSuggestedTags_value_166,has_Answers_value_471,has_Epoch_value_947,has_Knowledge_value_412,has_token_value_177,superKC_value_607,OptionAnswer_value_163,Needs more examples,context_value_436,corrected_value_443,currentOperation_value_446,paused,70,enabled_value_851,2023-12-17,Off-by-one error,exercise_value_584,Sample hint text #717,item_value_705,medium,engagement_score,methodStep_value_660,methodname_51,multipleChoiceAnswer_value_88,numberOfFavorites_value_973,numberOfViews_value_405,11,2023-03-06,2023-09-21,Sample question text #617,resolution_value_693,size_value_914,2023-12-18,stepName_78,1,Computer Science,2023-05-19,philosophy,Introduction to Computer Science,Sample tokenized_statement text #828,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0005,achiever,cerebellum,dopamine,Chemistry,32.35,62.25,desiredPoints_value_492,Computer Science,completion_rate,expert,Unit confusion,hasPG_value_998,hasPS_value_618,hasPT_value_857,typeB,cluster_4,hard,precedence_value_26,0.549,0.188,0.557,hasCalculations_value_983,hasSuggestedTags_value_760,has_Answers_value_545,has_Epoch_value_26,has_Knowledge_value_325,has_token_value_31,superKC_value_947,OptionAnswer_value_75,Could be improved,context_value_964,corrected_value_958,currentOperation_value_298,active,103,enabled_value_452,2023-02-25,Formula inversion,exercise_value_338,Sample hint text #495,item_value_565,medium,progress_ratio,methodStep_value_72,methodname_18,multipleChoiceAnswer_value_605,numberOfFavorites_value_981,numberOfViews_value_972,12,2023-07-12,2023-02-18,Sample question text #546,resolution_value_452,size_value_83,2023-11-04,stepName_40,17,Literature,2023-01-02,calculus,Advanced Literature,Sample tokenized_statement text #370,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0006,competitive,cerebellum,serotonin,History,26.98,70.4,desiredPoints_value_186,Economics,engagement_score,expert,Unit confusion,hasPG_value_655,hasPS_value_475,hasPT_value_51,typeC,cluster_2,easy,precedence_value_793,0.141,0.196,0.123,hasCalculations_value_749,hasSuggestedTags_value_899,has_Answers_value_154,has_Epoch_value_349,has_Knowledge_value_649,has_token_value_14,superKC_value_66,OptionAnswer_value_660,Challenging but rewarding,context_value_401,corrected_value_856,currentOperation_value_641,active,68,enabled_value_282,2023-03-19,Off-by-one error,exercise_value_412,Sample hint text #678,item_value_659,hard,completion_rate,methodStep_value_186,methodname_21,multipleChoiceAnswer_value_233,numberOfFavorites_value_872,numberOfViews_value_194,14,2023-10-07,2023-02-21,Sample question text #575,resolution_value_17,size_value_394,2023-03-02,stepName_02,16,Statistics,2023-04-01,chemistry,Introduction to Economics,Sample tokenized_statement text #805,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0007,social,striatum,serotonin,History,70.17,57.42,desiredPoints_value_373,Biology,engagement_score,hard,Off-by-one error,hasPG_value_715,hasPS_value_829,hasPT_value_335,typeB,cluster_1,hard,precedence_value_313,0.391,0.663,0.598,hasCalculations_value_923,hasSuggestedTags_value_418,has_Answers_value_695,has_Epoch_value_796,has_Knowledge_value_931,has_token_value_508,superKC_value_262,OptionAnswer_value_51,Could be improved,context_value_390,corrected_value_556,currentOperation_value_925,paused,105,enabled_value_214,2023-06-21,Unit confusion,exercise_value_260,Sample hint text #963,item_value_382,medium,hint_usage,methodStep_value_339,methodname_93,multipleChoiceAnswer_value_68,numberOfFavorites_value_288,numberOfViews_value_390,14,2023-09-18,2023-11-27,Sample question text #429,resolution_value_363,size_value_950,2023-09-07,stepName_86,9,Economics,2023-04-26,history,Advanced Biology,Sample tokenized_statement text #760,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0008,survivor,amygdala,oxytocin,Literature,63.0,85.47,desiredPoints_value_853,Computer Science,time_on_task,expert,Formula inversion,hasPG_value_850,hasPS_value_307,hasPT_value_531,typeB,cluster_2,medium,precedence_value_31,0.861,0.811,0.473,hasCalculations_value_538,hasSuggestedTags_value_483,has_Answers_value_5,has_Epoch_value_947,has_Knowledge_value_521,has_token_value_923,superKC_value_624,OptionAnswer_value_298,Needs more examples,context_value_163,corrected_value_792,currentOperation_value_906,paused,103,enabled_value_824,2023-10-18,Sign error,exercise_value_673,Sample hint text #850,item_value_665,hard,hint_usage,methodStep_value_250,methodname_94,multipleChoiceAnswer_value_441,numberOfFavorites_value_612,numberOfViews_value_708,11,2023-09-02,2023-06-01,Sample question text #782,resolution_value_742,size_value_810,2023-05-11,stepName_08,12,Data Science,2023-01-20,chemistry,Advanced Biology,Sample tokenized_statement text #276,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0009,social,prefrontal,dopamine,Mathematics,45.79,28.04,desiredPoints_value_940,Algebra,progress_ratio,medium,Concept conflation,hasPG_value_47,hasPS_value_714,hasPT_value_479,typeB,cluster_2,expert,precedence_value_929,0.142,0.972,0.315,hasCalculations_value_651,hasSuggestedTags_value_808,has_Answers_value_945,has_Epoch_value_354,has_Knowledge_value_683,has_token_value_644,superKC_value_993,OptionAnswer_value_703,Good explanation,context_value_248,corrected_value_576,currentOperation_value_948,active,13,enabled_value_432,2023-03-11,Concept conflation,exercise_value_360,Sample hint text #113,item_value_363,easy,streak_count,methodStep_value_136,methodname_89,multipleChoiceAnswer_value_714,numberOfFavorites_value_652,numberOfViews_value_5,10,2023-06-01,2023-11-06,Sample question text #983,resolution_value_576,size_value_97,2023-05-07,stepName_44,8,Physics,2023-03-15,philosophy,Introduction to Economics,Sample tokenized_statement text #791,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discursiveOption_0010,survivor,prefrontal,serotonin,Algebra,49.15,85.85,desiredPoints_value_777,Geography,time_on_task,easy,Causal reversal,hasPG_value_743,hasPS_value_928,hasPT_value_103,typeA,cluster_2,medium,precedence_value_673,0.353,0.029,0.994,hasCalculations_value_171,hasSuggestedTags_value_411,has_Answers_value_367,has_Epoch_value_190,has_Knowledge_value_907,has_token_value_472,superKC_value_837,OptionAnswer_value_271,Needs more examples,context_value_565,corrected_value_445,currentOperation_value_861,paused,120,enabled_value_188,2023-11-12,Off-by-one error,exercise_value_709,Sample hint text #53,item_value_537,hard,engagement_score,methodStep_value_229,methodname_68,multipleChoiceAnswer_value_198,numberOfFavorites_value_568,numberOfViews_value_733,12,2023-06-10,2023-06-03,Sample question text #266,resolution_value_648,size_value_775,2023-07-02,stepName_78,3,Philosophy,2023-04-11,physics,Introduction to Chemistry,Sample tokenized_statement text #489,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
