# CLASS: DomainModel
# IRI: http://meututor.com.br/Ontologies/meututor_domain.owl#DomainModel
# COLUMNS:
#   id: id — Unique identifier, e.g. domainModel_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
domainModel_0001,competitive,hippocampus,norepinephrine,Literature,30.63,80.0,desiredPoints_value_582,Philosophy,attempt_count,easy,Sign error,hasPG_value_194,hasPS_value_652,hasPT_value_636,typeB,cluster_2,medium,precedence_value_354,0.097,0.683,0.155,hasCalculations_value_384,hasSuggestedTags_value_588,has_Answers_value_182,has_Epoch_value_913,has_Knowledge_value_452,has_token_value_724,superKC_value_867,OptionAnswer_value_901,Needs more examples,context_value_520,corrected_value_153,currentOperation_value_834,paused,8,enabled_value_638,2023-01-18,Off-by-one error,exercise_value_827,Sample hint text #957,item_value_320,hard,score,methodStep_value_358,methodname_88,multipleChoiceAnswer_value_185,numberOfFavorites_value_605,numberOfViews_value_531,6,2023-02-16,2023-04-20,Sample question text #159,resolution_value_628,size_value_943,2023-06-15,stepName_85,18,Calculus,2023-07-26,computer_science,Introduction to Biology,Sample tokenized_statement text #685,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0002,competitive,amygdala,serotonin,Geography,14.14,96.04,desiredPoints_value_503,Biology,correct_answers,easy,Unit confusion,hasPG_value_61,hasPS_value_939,hasPT_value_944,typeB,cluster_5,easy,precedence_value_869,0.52,0.664,0.321,hasCalculations_value_540,hasSuggestedTags_value_577,has_Answers_value_589,has_Epoch_value_720,has_Knowledge_value_545,has_token_value_535,superKC_value_404,OptionAnswer_value_776,Challenging but rewarding,context_value_659,corrected_value_206,currentOperation_value_290,pending,22,enabled_value_459,2023-04-10,Causal reversal,exercise_value_437,Sample hint text #414,item_value_446,expert,score,methodStep_value_503,methodname_04,multipleChoiceAnswer_value_504,numberOfFavorites_value_107,numberOfViews_value_330,18,2023-08-20,2023-07-10,Sample question text #510,resolution_value_806,size_value_790,2023-05-25,stepName_88,2,Economics,2023-01-07,physics,Introduction to Philosophy,Sample tokenized_statement text #914,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0003,survivor,cerebellum,oxytocin,Chemistry,64.09,73.93,desiredPoints_value_548,Mathematics,error_rate,hard,Formula inversion,hasPG_value_193,hasPS_value_361,hasPT_value_988,typeC,cluster_1,expert,precedence_value_757,0.508,0.849,0.509,hasCalculations_value_698,hasSuggestedTags_value_716,has_Answers_value_46,has_Epoch_value_933,has_Knowledge_value_220,has_token_value_102,superKC_value_469,OptionAnswer_value_973,Needs more examples,context_value_914,corrected_value_227,currentOperation_value_730,pending,14,enabled_value_732,2023-04-16,Sign error,exercise_value_585,Sample hint text #656,item_value_628,easy,error_rate,methodStep_value_945,methodname_49,multipleChoiceAnswer_value_211,numberOfFavorites_value_922,numberOfViews_value_706,4,2023-05-01,2023-04-22,Sample question text #834,resolution_value_938,size_value_852,2023-06-06,stepName_50,8,Geography,2023-07-02,chemistry,Introduction to History,Sample tokenized_statement text #614,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0004,achiever,amygdala,acetylcholine,Statistics,57.05,86.37,desiredPoints_value_642,History,time_on_task,hard,Formula inversion,hasPG_value_707,hasPS_value_11,hasPT_value_426,typeB,cluster_4,hard,precedence_value_863,0.901,0.817,0.488,hasCalculations_value_615,hasSuggestedTags_value_11,has_Answers_value_642,has_Epoch_value_710,has_Knowledge_value_405,has_token_value_43,superKC_value_713,OptionAnswer_value_786,Very clear,context_value_132,corrected_value_679,currentOperation_value_707,completed,14,enabled_value_653,2023-02-04,Sign error,exercise_value_924,Sample hint text #811,item_value_501,easy,completion_rate,methodStep_value_550,methodname_42,multipleChoiceAnswer_value_172,numberOfFavorites_value_967,numberOfViews_value_758,9,2023-11-23,2023-12-13,Sample question text #292,resolution_value_550,size_value_294,2023-05-28,stepName_73,9,Physics,2023-02-13,calculus,Introduction to Literature,Sample tokenized_statement text #974,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0005,achiever,striatum,serotonin,Chemistry,51.82,3.57,desiredPoints_value_491,Physics,score,medium,Off-by-one error,hasPG_value_854,hasPS_value_398,hasPT_value_189,typeA,cluster_1,medium,precedence_value_447,0.615,0.438,0.143,hasCalculations_value_612,hasSuggestedTags_value_788,has_Answers_value_43,has_Epoch_value_679,has_Knowledge_value_957,has_token_value_516,superKC_value_786,OptionAnswer_value_998,Needs more examples,context_value_787,corrected_value_216,currentOperation_value_743,pending,10,enabled_value_583,2023-01-05,Unit confusion,exercise_value_881,Sample hint text #974,item_value_257,medium,attempt_count,methodStep_value_474,methodname_26,multipleChoiceAnswer_value_924,numberOfFavorites_value_660,numberOfViews_value_58,13,2023-07-05,2023-05-17,Sample question text #66,resolution_value_231,size_value_189,2023-11-07,stepName_43,15,Mathematics,2023-08-03,calculus,Introduction to Computer Science,Sample tokenized_statement text #617,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0006,exploratory,cerebellum,serotonin,Chemistry,54.71,31.76,desiredPoints_value_115,Statistics,score,expert,Concept conflation,hasPG_value_548,hasPS_value_18,hasPT_value_634,typeC,cluster_2,hard,precedence_value_380,0.038,0.902,0.684,hasCalculations_value_7,hasSuggestedTags_value_391,has_Answers_value_4,has_Epoch_value_577,has_Knowledge_value_60,has_token_value_834,superKC_value_397,OptionAnswer_value_788,Challenging but rewarding,context_value_123,corrected_value_878,currentOperation_value_230,active,77,enabled_value_559,2023-02-01,Causal reversal,exercise_value_844,Sample hint text #933,item_value_488,expert,hint_usage,methodStep_value_703,methodname_79,multipleChoiceAnswer_value_397,numberOfFavorites_value_461,numberOfViews_value_933,8,2023-11-16,2023-10-09,Sample question text #354,resolution_value_652,size_value_466,2023-08-05,stepName_59,18,Geography,2023-04-05,history,Advanced Literature,Sample tokenized_statement text #749,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0007,social,amygdala,serotonin,Geography,74.0,43.17,desiredPoints_value_308,Chemistry,error_rate,expert,Formula inversion,hasPG_value_728,hasPS_value_901,hasPT_value_555,typeA,cluster_4,medium,precedence_value_861,0.626,0.208,0.406,hasCalculations_value_905,hasSuggestedTags_value_428,has_Answers_value_472,has_Epoch_value_752,has_Knowledge_value_464,has_token_value_455,superKC_value_976,OptionAnswer_value_398,Very clear,context_value_373,corrected_value_346,currentOperation_value_334,paused,22,enabled_value_741,2023-09-07,Sign error,exercise_value_223,Sample hint text #730,item_value_196,medium,xp_earned,methodStep_value_676,methodname_80,multipleChoiceAnswer_value_373,numberOfFavorites_value_922,numberOfViews_value_475,18,2023-07-12,2023-11-10,Sample question text #219,resolution_value_403,size_value_145,2023-08-04,stepName_70,15,History,2023-10-14,mathematics,Introduction to Literature,Sample tokenized_statement text #223,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0008,achiever,prefrontal,acetylcholine,Economics,43.18,94.32,desiredPoints_value_25,Data Science,time_on_task,expert,Concept conflation,hasPG_value_684,hasPS_value_177,hasPT_value_280,typeC,cluster_5,medium,precedence_value_657,0.402,0.782,0.198,hasCalculations_value_422,hasSuggestedTags_value_325,has_Answers_value_480,has_Epoch_value_252,has_Knowledge_value_889,has_token_value_757,superKC_value_134,OptionAnswer_value_781,Very clear,context_value_324,corrected_value_626,currentOperation_value_956,active,91,enabled_value_100,2023-02-03,Off-by-one error,exercise_value_9,Sample hint text #943,item_value_883,easy,attempt_count,methodStep_value_874,methodname_12,multipleChoiceAnswer_value_321,numberOfFavorites_value_954,numberOfViews_value_924,12,2023-04-24,2023-03-07,Sample question text #315,resolution_value_861,size_value_68,2023-06-20,stepName_41,19,Calculus,2023-08-16,geography,Critical Thinking,Sample tokenized_statement text #180,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0009,exploratory,hippocampus,oxytocin,Chemistry,90.08,15.2,desiredPoints_value_426,Physics,mastery_level,expert,Sign error,hasPG_value_576,hasPS_value_566,hasPT_value_644,typeB,cluster_3,medium,precedence_value_117,0.664,0.147,0.445,hasCalculations_value_774,hasSuggestedTags_value_41,has_Answers_value_139,has_Epoch_value_902,has_Knowledge_value_391,has_token_value_485,superKC_value_389,OptionAnswer_value_489,Needs more examples,context_value_786,corrected_value_21,currentOperation_value_601,pending,61,enabled_value_599,2023-10-06,Formula inversion,exercise_value_916,Sample hint text #21,item_value_994,expert,streak_count,methodStep_value_581,methodname_45,multipleChoiceAnswer_value_907,numberOfFavorites_value_348,numberOfViews_value_88,12,2023-02-06,2023-03-20,Sample question text #308,resolution_value_694,size_value_404,2023-03-04,stepName_86,7,Statistics,2023-06-10,data_science,Introduction to Chemistry,Sample tokenized_statement text #364,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domainModel_0010,social,hippocampus,oxytocin,Philosophy,41.77,16.91,desiredPoints_value_872,History,time_on_task,hard,Concept conflation,hasPG_value_926,hasPS_value_938,hasPT_value_25,typeB,cluster_3,medium,precedence_value_54,0.649,0.701,0.263,hasCalculations_value_444,hasSuggestedTags_value_346,has_Answers_value_42,has_Epoch_value_280,has_Knowledge_value_768,has_token_value_778,superKC_value_673,OptionAnswer_value_470,Could be improved,context_value_83,corrected_value_341,currentOperation_value_565,active,21,enabled_value_893,2023-10-01,Causal reversal,exercise_value_588,Sample hint text #20,item_value_310,expert,time_on_task,methodStep_value_927,methodname_61,multipleChoiceAnswer_value_390,numberOfFavorites_value_398,numberOfViews_value_37,9,2023-12-13,2023-06-12,Sample question text #823,resolution_value_525,size_value_875,2023-07-14,stepName_91,11,Chemistry,2023-06-24,history,Advanced Biology,Sample tokenized_statement text #198,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
