# CLASS: Engagement_Loop
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#Engagement_Loop
# COLUMNS:
#   id: id — Unique identifier, e.g. engagementLoop_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   loopQuality: data — str
#   loopStatus: data — bool
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isComposedBy: object — Ref to ['Feedback', 'Motivational_Affordance', 'Player_Action', 'Feedback', 'Motivational_Affordance', 'Player_Action']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_leadsTo: object — Ref to ['Target_Behavior', 'Target_Behavior']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,loopQuality,loopStatus,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isComposedBy,REF_isPartOfEngagementLoop,REF_leadsTo,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
engagementLoop_0001,social,amygdala,dopamine,Geography,0.43,active,65.73,79.02,desiredPoints_value_49,Data Science,progress_ratio,expert,Causal reversal,hasPG_value_968,hasPS_value_363,hasPT_value_37,typeB,cluster_4,easy,precedence_value_701,0.933,0.128,0.733,hasCalculations_value_322,hasSuggestedTags_value_989,has_Answers_value_876,has_Epoch_value_756,has_Knowledge_value_406,has_token_value_531,superKC_value_338,OptionAnswer_value_579,Too abstract,context_value_299,corrected_value_81,currentOperation_value_431,pending,110,enabled_value_586,2023-04-07,Off-by-one error,exercise_value_785,Sample hint text #927,item_value_86,easy,attempt_count,methodStep_value_391,methodname_97,multipleChoiceAnswer_value_653,numberOfFavorites_value_725,numberOfViews_value_555,11,2023-05-01,2023-03-13,Sample question text #767,resolution_value_864,size_value_129,2023-02-17,stepName_06,13,Data Science,2023-12-22,algebra,Introduction to Mathematics,Sample tokenized_statement text #733,typeA,,,playerAction_0006|playerAction_0001,engagementLoop_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0002,cooperative,prefrontal,oxytocin,Statistics,0.7,paused,81.92,39.9,desiredPoints_value_205,Data Science,error_rate,expert,Causal reversal,hasPG_value_832,hasPS_value_247,hasPT_value_819,typeC,cluster_5,expert,precedence_value_81,0.648,0.291,0.289,hasCalculations_value_330,hasSuggestedTags_value_977,has_Answers_value_278,has_Epoch_value_316,has_Knowledge_value_946,has_token_value_891,superKC_value_204,OptionAnswer_value_31,Good explanation,context_value_476,corrected_value_662,currentOperation_value_300,pending,109,enabled_value_692,2023-08-24,Formula inversion,exercise_value_481,Sample hint text #943,item_value_298,easy,streak_count,methodStep_value_910,methodname_38,multipleChoiceAnswer_value_921,numberOfFavorites_value_431,numberOfViews_value_842,12,2023-02-17,2023-04-04,Sample question text #412,resolution_value_251,size_value_206,2023-03-12,stepName_29,8,Data Science,2023-07-07,mathematics,Introduction to Statistics,Sample tokenized_statement text #468,typeC,,,playerAction_0020|playerAction_0005,engagementLoop_0002|engagementLoop_0002|engagementLoop_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0003,cooperative,amygdala,dopamine,Computer Science,0.149,paused,42.77,4.46,desiredPoints_value_396,Philosophy,streak_count,hard,Off-by-one error,hasPG_value_528,hasPS_value_959,hasPT_value_370,typeC,cluster_2,expert,precedence_value_84,0.949,0.421,0.616,hasCalculations_value_382,hasSuggestedTags_value_355,has_Answers_value_881,has_Epoch_value_868,has_Knowledge_value_753,has_token_value_215,superKC_value_140,OptionAnswer_value_395,Too abstract,context_value_509,corrected_value_278,currentOperation_value_887,active,88,enabled_value_727,2023-05-03,Sign error,exercise_value_689,Sample hint text #279,item_value_15,hard,time_on_task,methodStep_value_583,methodname_56,multipleChoiceAnswer_value_533,numberOfFavorites_value_291,numberOfViews_value_528,7,2023-06-19,2023-07-02,Sample question text #8,resolution_value_6,size_value_904,2023-02-18,stepName_85,5,Mathematics,2023-09-16,physics,Introduction to Algebra,Sample tokenized_statement text #648,typeA,,,playerAction_0017|motivationalAffordance_0001|motivationalAffordance_0003,engagementLoop_0002|engagementLoop_0002|engagementLoop_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0004,competitive,cerebellum,oxytocin,Philosophy,0.183,pending,55.9,85.6,desiredPoints_value_977,Philosophy,mastery_level,expert,Concept conflation,hasPG_value_132,hasPS_value_99,hasPT_value_424,typeB,cluster_1,easy,precedence_value_869,0.525,0.074,0.737,hasCalculations_value_468,hasSuggestedTags_value_432,has_Answers_value_763,has_Epoch_value_9,has_Knowledge_value_106,has_token_value_524,superKC_value_33,OptionAnswer_value_989,Challenging but rewarding,context_value_442,corrected_value_730,currentOperation_value_451,pending,100,enabled_value_129,2023-03-14,Sign error,exercise_value_314,Sample hint text #612,item_value_802,easy,attempt_count,methodStep_value_132,methodname_88,multipleChoiceAnswer_value_531,numberOfFavorites_value_630,numberOfViews_value_231,6,2023-09-04,2023-07-28,Sample question text #447,resolution_value_346,size_value_813,2023-12-03,stepName_63,16,Biology,2023-02-07,physics,Advanced Geography,Sample tokenized_statement text #787,typeB,,,motivationalAffordance_0002|playerAction_0006,engagementLoop_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0005,survivor,striatum,acetylcholine,Algebra,0.409,active,34.27,24.7,desiredPoints_value_504,Literature,streak_count,hard,Off-by-one error,hasPG_value_96,hasPS_value_883,hasPT_value_532,typeA,cluster_3,expert,precedence_value_772,0.877,0.626,0.338,hasCalculations_value_393,hasSuggestedTags_value_220,has_Answers_value_611,has_Epoch_value_113,has_Knowledge_value_467,has_token_value_174,superKC_value_481,OptionAnswer_value_98,Too abstract,context_value_258,corrected_value_548,currentOperation_value_710,completed,57,enabled_value_177,2023-09-03,Causal reversal,exercise_value_968,Sample hint text #200,item_value_295,easy,time_on_task,methodStep_value_804,methodname_43,multipleChoiceAnswer_value_25,numberOfFavorites_value_193,numberOfViews_value_207,10,2023-07-01,2023-12-16,Sample question text #319,resolution_value_607,size_value_426,2023-11-17,stepName_57,11,Computer Science,2023-05-21,data_science,Introduction to Philosophy,Sample tokenized_statement text #439,typeC,,,playerAction_0010|playerAction_0006,engagementLoop_0004|engagementLoop_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0006,social,prefrontal,oxytocin,Economics,0.559,paused,10.57,12.71,desiredPoints_value_338,Geography,mastery_level,expert,Formula inversion,hasPG_value_287,hasPS_value_842,hasPT_value_41,typeB,cluster_1,medium,precedence_value_788,0.065,0.066,0.31,hasCalculations_value_682,hasSuggestedTags_value_389,has_Answers_value_383,has_Epoch_value_56,has_Knowledge_value_559,has_token_value_722,superKC_value_679,OptionAnswer_value_426,Too abstract,context_value_710,corrected_value_429,currentOperation_value_635,paused,93,enabled_value_763,2023-04-18,Formula inversion,exercise_value_809,Sample hint text #273,item_value_301,expert,engagement_score,methodStep_value_81,methodname_30,multipleChoiceAnswer_value_316,numberOfFavorites_value_89,numberOfViews_value_170,11,2023-12-08,2023-11-26,Sample question text #532,resolution_value_856,size_value_713,2023-11-08,stepName_34,3,Mathematics,2023-07-12,algebra,Advanced Mathematics,Sample tokenized_statement text #847,typeA,,,playerAction_0007|motivationalAffordance_0005|playerAction_0019,engagementLoop_0001|engagementLoop_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0007,survivor,hippocampus,acetylcholine,Calculus,0.53,paused,86.7,89.2,desiredPoints_value_239,Biology,correct_answers,expert,Causal reversal,hasPG_value_499,hasPS_value_466,hasPT_value_263,typeB,cluster_1,easy,precedence_value_884,0.735,0.992,0.559,hasCalculations_value_208,hasSuggestedTags_value_600,has_Answers_value_481,has_Epoch_value_924,has_Knowledge_value_125,has_token_value_768,superKC_value_791,OptionAnswer_value_781,Good explanation,context_value_533,corrected_value_191,currentOperation_value_722,active,120,enabled_value_13,2023-04-22,Unit confusion,exercise_value_37,Sample hint text #638,item_value_754,medium,attempt_count,methodStep_value_755,methodname_97,multipleChoiceAnswer_value_524,numberOfFavorites_value_188,numberOfViews_value_489,4,2023-08-07,2023-11-24,Sample question text #944,resolution_value_139,size_value_836,2023-01-07,stepName_11,1,Literature,2023-07-13,history,Introduction to Calculus,Sample tokenized_statement text #720,typeB,,,playerAction_0014,engagementLoop_0005|engagementLoop_0001|engagementLoop_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0008,survivor,cerebellum,acetylcholine,Economics,0.136,pending,34.97,50.06,desiredPoints_value_722,Data Science,engagement_score,hard,Formula inversion,hasPG_value_718,hasPS_value_595,hasPT_value_489,typeA,cluster_1,hard,precedence_value_895,0.599,0.458,0.962,hasCalculations_value_863,hasSuggestedTags_value_301,has_Answers_value_427,has_Epoch_value_69,has_Knowledge_value_663,has_token_value_889,superKC_value_627,OptionAnswer_value_56,Very clear,context_value_604,corrected_value_726,currentOperation_value_930,completed,107,enabled_value_231,2023-11-23,Concept conflation,exercise_value_823,Sample hint text #363,item_value_99,easy,mastery_level,methodStep_value_881,methodname_84,multipleChoiceAnswer_value_986,numberOfFavorites_value_877,numberOfViews_value_741,7,2023-03-25,2023-08-22,Sample question text #530,resolution_value_986,size_value_408,2023-07-17,stepName_55,18,Statistics,2023-10-19,economics,Introduction to Philosophy,Sample tokenized_statement text #150,typeA,,,playerAction_0005,engagementLoop_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0009,cooperative,hippocampus,norepinephrine,Chemistry,0.994,completed,9.66,75.49,desiredPoints_value_41,Data Science,engagement_score,expert,Unit confusion,hasPG_value_865,hasPS_value_98,hasPT_value_826,typeA,cluster_2,hard,precedence_value_183,0.839,0.282,0.374,hasCalculations_value_448,hasSuggestedTags_value_55,has_Answers_value_255,has_Epoch_value_730,has_Knowledge_value_646,has_token_value_772,superKC_value_584,OptionAnswer_value_428,Could be improved,context_value_73,corrected_value_32,currentOperation_value_553,pending,105,enabled_value_998,2023-11-22,Concept conflation,exercise_value_169,Sample hint text #774,item_value_736,expert,error_rate,methodStep_value_309,methodname_99,multipleChoiceAnswer_value_325,numberOfFavorites_value_211,numberOfViews_value_535,14,2023-09-15,2023-07-03,Sample question text #147,resolution_value_712,size_value_770,2023-10-15,stepName_53,16,Literature,2023-03-04,statistics,Introduction to Literature,Sample tokenized_statement text #344,typeB,,,playerAction_0011|playerAction_0016|playerAction_0009,engagementLoop_0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engagementLoop_0010,competitive,amygdala,serotonin,Statistics,0.589,active,68.4,30.42,desiredPoints_value_843,Calculus,streak_count,hard,Sign error,hasPG_value_953,hasPS_value_68,hasPT_value_183,typeA,cluster_1,hard,precedence_value_591,0.923,0.312,0.972,hasCalculations_value_31,hasSuggestedTags_value_889,has_Answers_value_180,has_Epoch_value_287,has_Knowledge_value_107,has_token_value_694,superKC_value_462,OptionAnswer_value_33,Needs more examples,context_value_415,corrected_value_734,currentOperation_value_258,completed,118,enabled_value_250,2023-08-24,Sign error,exercise_value_223,Sample hint text #80,item_value_210,hard,streak_count,methodStep_value_153,methodname_40,multipleChoiceAnswer_value_65,numberOfFavorites_value_300,numberOfViews_value_906,15,2023-02-26,2023-09-19,Sample question text #921,resolution_value_494,size_value_893,2023-07-06,stepName_10,16,Algebra,2023-08-20,calculus,Research Methods,Sample tokenized_statement text #835,typeC,,,playerAction_0009|playerAction_0007|motivationalAffordance_0005,engagementLoop_0010|engagementLoop_0006|engagementLoop_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
