# CLASS: Exercise
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Exercise
# COLUMNS:
#   id: id — Unique identifier, e.g. exercise_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
exercise_0001,achiever,hippocampus,dopamine,Philosophy,83.92,21.13,desiredPoints_value_874,Data Science,xp_earned,easy,Formula inversion,hasPG_value_544,hasPS_value_971,hasPT_value_171,typeC,cluster_1,easy,precedence_value_782,0.207,0.823,0.5,hasCalculations_value_437,hasSuggestedTags_value_506,has_Answers_value_357,has_Epoch_value_194,has_Knowledge_value_815,has_token_value_700,superKC_value_713,OptionAnswer_value_176,Good explanation,context_value_399,corrected_value_228,currentOperation_value_822,completed,58,enabled_value_944,2023-02-26,Sign error,exercise_value_79,Sample hint text #482,item_value_629,hard,hint_usage,methodStep_value_593,methodname_05,multipleChoiceAnswer_value_773,numberOfFavorites_value_869,numberOfViews_value_47,10,2023-12-20,2023-01-08,Sample question text #488,resolution_value_689,size_value_168,2023-10-12,stepName_96,10,Geography,2023-09-25,geography,Advanced Chemistry,Sample tokenized_statement text #231,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0002,survivor,striatum,serotonin,Statistics,59.77,58.6,desiredPoints_value_777,Calculus,score,medium,Formula inversion,hasPG_value_872,hasPS_value_286,hasPT_value_751,typeA,cluster_5,medium,precedence_value_149,0.911,0.777,0.892,hasCalculations_value_109,hasSuggestedTags_value_449,has_Answers_value_829,has_Epoch_value_279,has_Knowledge_value_72,has_token_value_854,superKC_value_615,OptionAnswer_value_718,Could be improved,context_value_189,corrected_value_331,currentOperation_value_572,active,85,enabled_value_757,2023-05-27,Formula inversion,exercise_value_889,Sample hint text #432,item_value_920,medium,score,methodStep_value_839,methodname_91,multipleChoiceAnswer_value_187,numberOfFavorites_value_724,numberOfViews_value_193,13,2023-01-04,2023-12-18,Sample question text #405,resolution_value_239,size_value_586,2023-10-09,stepName_46,9,Physics,2023-04-24,algebra,Advanced Biology,Sample tokenized_statement text #258,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0003,cooperative,hippocampus,norepinephrine,Literature,21.76,5.27,desiredPoints_value_249,Mathematics,engagement_score,expert,Concept conflation,hasPG_value_678,hasPS_value_755,hasPT_value_346,typeC,cluster_1,expert,precedence_value_713,0.662,0.362,0.788,hasCalculations_value_552,hasSuggestedTags_value_476,has_Answers_value_139,has_Epoch_value_645,has_Knowledge_value_285,has_token_value_937,superKC_value_747,OptionAnswer_value_33,Challenging but rewarding,context_value_768,corrected_value_626,currentOperation_value_620,completed,94,enabled_value_111,2023-08-16,Causal reversal,exercise_value_796,Sample hint text #914,item_value_193,hard,streak_count,methodStep_value_969,methodname_98,multipleChoiceAnswer_value_948,numberOfFavorites_value_96,numberOfViews_value_429,13,2023-09-03,2023-02-07,Sample question text #221,resolution_value_987,size_value_637,2023-08-07,stepName_55,15,Mathematics,2023-08-23,chemistry,Introduction to Biology,Sample tokenized_statement text #491,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0004,cooperative,amygdala,dopamine,Data Science,91.99,30.56,desiredPoints_value_667,Chemistry,streak_count,medium,Causal reversal,hasPG_value_872,hasPS_value_968,hasPT_value_277,typeA,cluster_5,medium,precedence_value_831,0.809,0.412,0.912,hasCalculations_value_190,hasSuggestedTags_value_752,has_Answers_value_241,has_Epoch_value_445,has_Knowledge_value_321,has_token_value_316,superKC_value_924,OptionAnswer_value_15,Good explanation,context_value_913,corrected_value_558,currentOperation_value_103,pending,42,enabled_value_275,2023-03-10,Concept conflation,exercise_value_894,Sample hint text #874,item_value_278,medium,streak_count,methodStep_value_685,methodname_04,multipleChoiceAnswer_value_162,numberOfFavorites_value_710,numberOfViews_value_287,8,2023-06-01,2023-12-20,Sample question text #316,resolution_value_450,size_value_422,2023-06-23,stepName_12,4,Statistics,2023-12-17,literature,Research Methods,Sample tokenized_statement text #67,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0005,social,amygdala,dopamine,Philosophy,80.27,28.5,desiredPoints_value_317,Computer Science,attempt_count,medium,Concept conflation,hasPG_value_553,hasPS_value_635,hasPT_value_724,typeA,cluster_2,expert,precedence_value_40,0.32,0.831,0.134,hasCalculations_value_859,hasSuggestedTags_value_333,has_Answers_value_96,has_Epoch_value_701,has_Knowledge_value_649,has_token_value_639,superKC_value_58,OptionAnswer_value_521,Needs more examples,context_value_395,corrected_value_881,currentOperation_value_78,active,8,enabled_value_659,2023-04-11,Formula inversion,exercise_value_328,Sample hint text #632,item_value_274,medium,xp_earned,methodStep_value_592,methodname_76,multipleChoiceAnswer_value_180,numberOfFavorites_value_37,numberOfViews_value_650,6,2023-04-16,2023-07-23,Sample question text #391,resolution_value_444,size_value_598,2023-11-14,stepName_77,6,Algebra,2023-03-19,geography,Introduction to Computer Science,Sample tokenized_statement text #238,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0006,social,hippocampus,oxytocin,History,9.29,6.54,desiredPoints_value_843,Economics,time_on_task,easy,Concept conflation,hasPG_value_813,hasPS_value_237,hasPT_value_803,typeB,cluster_2,hard,precedence_value_670,0.631,0.149,0.002,hasCalculations_value_435,hasSuggestedTags_value_690,has_Answers_value_182,has_Epoch_value_525,has_Knowledge_value_763,has_token_value_193,superKC_value_277,OptionAnswer_value_420,Needs more examples,context_value_207,corrected_value_826,currentOperation_value_308,completed,35,enabled_value_264,2023-04-16,Unit confusion,exercise_value_105,Sample hint text #962,item_value_981,expert,correct_answers,methodStep_value_925,methodname_79,multipleChoiceAnswer_value_261,numberOfFavorites_value_750,numberOfViews_value_39,17,2023-07-25,2023-06-26,Sample question text #295,resolution_value_180,size_value_292,2023-04-24,stepName_72,6,Literature,2023-10-05,economics,Introduction to Statistics,Sample tokenized_statement text #352,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0007,social,amygdala,serotonin,Geography,82.12,2.17,desiredPoints_value_883,Geography,completion_rate,hard,Concept conflation,hasPG_value_279,hasPS_value_901,hasPT_value_944,typeB,cluster_1,medium,precedence_value_583,0.427,0.904,0.874,hasCalculations_value_433,hasSuggestedTags_value_291,has_Answers_value_335,has_Epoch_value_215,has_Knowledge_value_331,has_token_value_616,superKC_value_99,OptionAnswer_value_860,Very clear,context_value_415,corrected_value_337,currentOperation_value_46,pending,63,enabled_value_128,2023-09-17,Sign error,exercise_value_5,Sample hint text #39,item_value_781,hard,hint_usage,methodStep_value_140,methodname_71,multipleChoiceAnswer_value_521,numberOfFavorites_value_973,numberOfViews_value_467,7,2023-05-10,2023-12-24,Sample question text #626,resolution_value_661,size_value_412,2023-11-13,stepName_67,14,Literature,2023-08-19,economics,Advanced Geography,Sample tokenized_statement text #594,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0008,social,hippocampus,acetylcholine,Data Science,10.65,70.03,desiredPoints_value_876,Statistics,error_rate,expert,Concept conflation,hasPG_value_53,hasPS_value_88,hasPT_value_867,typeB,cluster_5,expert,precedence_value_930,0.082,0.026,0.759,hasCalculations_value_818,hasSuggestedTags_value_537,has_Answers_value_267,has_Epoch_value_816,has_Knowledge_value_975,has_token_value_974,superKC_value_734,OptionAnswer_value_955,Very clear,context_value_106,corrected_value_345,currentOperation_value_402,paused,111,enabled_value_368,2023-07-14,Causal reversal,exercise_value_334,Sample hint text #1,item_value_669,hard,score,methodStep_value_556,methodname_94,multipleChoiceAnswer_value_518,numberOfFavorites_value_433,numberOfViews_value_967,1,2023-11-04,2023-07-16,Sample question text #679,resolution_value_300,size_value_268,2023-10-24,stepName_88,6,Biology,2023-05-23,biology,Introduction to Data Science,Sample tokenized_statement text #626,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0009,social,cerebellum,oxytocin,Geography,1.86,97.64,desiredPoints_value_949,History,attempt_count,easy,Causal reversal,hasPG_value_344,hasPS_value_801,hasPT_value_419,typeB,cluster_5,medium,precedence_value_497,0.343,0.046,0.825,hasCalculations_value_768,hasSuggestedTags_value_923,has_Answers_value_271,has_Epoch_value_923,has_Knowledge_value_183,has_token_value_815,superKC_value_575,OptionAnswer_value_446,Good explanation,context_value_483,corrected_value_852,currentOperation_value_720,completed,120,enabled_value_340,2023-08-04,Unit confusion,exercise_value_982,Sample hint text #35,item_value_865,medium,attempt_count,methodStep_value_58,methodname_88,multipleChoiceAnswer_value_880,numberOfFavorites_value_247,numberOfViews_value_552,11,2023-12-16,2023-07-24,Sample question text #177,resolution_value_774,size_value_386,2023-05-17,stepName_10,14,Algebra,2023-04-17,statistics,Introduction to Philosophy,Sample tokenized_statement text #587,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exercise_0010,survivor,striatum,oxytocin,Calculus,5.18,38.54,desiredPoints_value_331,Economics,attempt_count,medium,Off-by-one error,hasPG_value_738,hasPS_value_861,hasPT_value_87,typeA,cluster_1,medium,precedence_value_450,0.549,0.377,0.333,hasCalculations_value_991,hasSuggestedTags_value_826,has_Answers_value_626,has_Epoch_value_665,has_Knowledge_value_214,has_token_value_2,superKC_value_778,OptionAnswer_value_302,Could be improved,context_value_943,corrected_value_516,currentOperation_value_881,pending,23,enabled_value_929,2023-12-16,Formula inversion,exercise_value_359,Sample hint text #537,item_value_386,expert,error_rate,methodStep_value_913,methodname_28,multipleChoiceAnswer_value_397,numberOfFavorites_value_336,numberOfViews_value_425,5,2023-01-07,2023-12-14,Sample question text #221,resolution_value_260,size_value_312,2023-11-10,stepName_28,20,History,2023-07-17,algebra,Advanced Geography,Sample tokenized_statement text #387,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
