# CLASS: FillBlanksProblem
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#FillBlanksProblem
# COLUMNS:
#   id: id — Unique identifier, e.g. fillBlanksProblem_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
fillBlanksProblem_0001,social,prefrontal,norepinephrine,Biology,79.06,48.68,desiredPoints_value_246,Geography,streak_count,hard,Causal reversal,hasPG_value_540,hasPS_value_609,hasPT_value_418,typeA,cluster_4,easy,precedence_value_466,0.128,0.534,0.214,hasCalculations_value_798,hasSuggestedTags_value_88,has_Answers_value_991,has_Epoch_value_219,has_Knowledge_value_237,has_token_value_821,superKC_value_354,OptionAnswer_value_840,Good explanation,context_value_772,corrected_value_199,currentOperation_value_627,active,14,enabled_value_279,2023-04-02,Concept conflation,exercise_value_480,Sample hint text #933,item_value_878,hard,completion_rate,methodStep_value_505,methodname_82,multipleChoiceAnswer_value_318,numberOfFavorites_value_999,numberOfViews_value_630,8,2023-07-13,2023-11-08,Sample question text #322,resolution_value_492,size_value_730,2023-12-19,stepName_53,15,Algebra,2023-02-23,history,Advanced Chemistry,Sample tokenized_statement text #987,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0002,cooperative,hippocampus,dopamine,Computer Science,67.35,22.83,desiredPoints_value_373,Algebra,streak_count,expert,Unit confusion,hasPG_value_575,hasPS_value_834,hasPT_value_158,typeB,cluster_1,medium,precedence_value_998,0.85,0.181,0.992,hasCalculations_value_426,hasSuggestedTags_value_243,has_Answers_value_919,has_Epoch_value_747,has_Knowledge_value_483,has_token_value_830,superKC_value_606,OptionAnswer_value_969,Too abstract,context_value_725,corrected_value_798,currentOperation_value_820,active,23,enabled_value_908,2023-09-28,Concept conflation,exercise_value_400,Sample hint text #440,item_value_962,easy,score,methodStep_value_830,methodname_17,multipleChoiceAnswer_value_689,numberOfFavorites_value_132,numberOfViews_value_980,7,2023-03-03,2023-05-21,Sample question text #674,resolution_value_171,size_value_331,2023-03-26,stepName_49,3,Physics,2023-10-16,algebra,Advanced Literature,Sample tokenized_statement text #560,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0003,cooperative,amygdala,oxytocin,Calculus,30.61,97.67,desiredPoints_value_777,Geography,engagement_score,hard,Causal reversal,hasPG_value_645,hasPS_value_280,hasPT_value_387,typeB,cluster_2,medium,precedence_value_384,0.686,0.317,0.286,hasCalculations_value_79,hasSuggestedTags_value_113,has_Answers_value_534,has_Epoch_value_100,has_Knowledge_value_817,has_token_value_792,superKC_value_705,OptionAnswer_value_546,Could be improved,context_value_871,corrected_value_783,currentOperation_value_927,pending,15,enabled_value_219,2023-07-15,Sign error,exercise_value_524,Sample hint text #990,item_value_19,hard,completion_rate,methodStep_value_60,methodname_27,multipleChoiceAnswer_value_566,numberOfFavorites_value_846,numberOfViews_value_664,18,2023-02-23,2023-10-07,Sample question text #456,resolution_value_858,size_value_975,2023-12-14,stepName_66,10,Algebra,2023-02-18,algebra,Introduction to Economics,Sample tokenized_statement text #883,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0004,competitive,amygdala,acetylcholine,Statistics,13.46,2.79,desiredPoints_value_77,History,streak_count,medium,Sign error,hasPG_value_249,hasPS_value_332,hasPT_value_274,typeA,cluster_1,easy,precedence_value_190,0.443,0.542,0.911,hasCalculations_value_12,hasSuggestedTags_value_201,has_Answers_value_2,has_Epoch_value_521,has_Knowledge_value_494,has_token_value_900,superKC_value_797,OptionAnswer_value_405,Too abstract,context_value_480,corrected_value_930,currentOperation_value_495,active,98,enabled_value_587,2023-01-14,Causal reversal,exercise_value_681,Sample hint text #495,item_value_446,easy,mastery_level,methodStep_value_243,methodname_60,multipleChoiceAnswer_value_387,numberOfFavorites_value_148,numberOfViews_value_759,20,2023-06-01,2023-08-14,Sample question text #670,resolution_value_495,size_value_706,2023-02-21,stepName_54,6,Physics,2023-08-05,mathematics,Introduction to Philosophy,Sample tokenized_statement text #559,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0005,achiever,striatum,oxytocin,Mathematics,65.68,10.3,desiredPoints_value_400,Calculus,progress_ratio,medium,Off-by-one error,hasPG_value_232,hasPS_value_908,hasPT_value_847,typeC,cluster_2,expert,precedence_value_866,0.297,0.329,0.401,hasCalculations_value_630,hasSuggestedTags_value_440,has_Answers_value_479,has_Epoch_value_306,has_Knowledge_value_112,has_token_value_603,superKC_value_628,OptionAnswer_value_86,Very clear,context_value_38,corrected_value_331,currentOperation_value_736,completed,82,enabled_value_699,2023-01-13,Unit confusion,exercise_value_816,Sample hint text #817,item_value_583,easy,progress_ratio,methodStep_value_737,methodname_91,multipleChoiceAnswer_value_769,numberOfFavorites_value_499,numberOfViews_value_661,1,2023-04-10,2023-03-11,Sample question text #834,resolution_value_678,size_value_118,2023-12-20,stepName_58,2,Physics,2023-09-03,data_science,Introduction to Data Science,Sample tokenized_statement text #573,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0006,competitive,prefrontal,acetylcholine,Economics,14.22,39.13,desiredPoints_value_978,Mathematics,engagement_score,hard,Sign error,hasPG_value_121,hasPS_value_984,hasPT_value_341,typeA,cluster_1,medium,precedence_value_653,0.901,0.729,0.781,hasCalculations_value_350,hasSuggestedTags_value_976,has_Answers_value_176,has_Epoch_value_412,has_Knowledge_value_815,has_token_value_4,superKC_value_144,OptionAnswer_value_179,Good explanation,context_value_434,corrected_value_586,currentOperation_value_753,active,75,enabled_value_725,2023-09-15,Unit confusion,exercise_value_812,Sample hint text #283,item_value_527,easy,completion_rate,methodStep_value_886,methodname_78,multipleChoiceAnswer_value_238,numberOfFavorites_value_204,numberOfViews_value_792,12,2023-09-08,2023-09-27,Sample question text #306,resolution_value_197,size_value_699,2023-10-21,stepName_11,1,Literature,2023-06-15,biology,Introduction to Statistics,Sample tokenized_statement text #872,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0007,social,amygdala,norepinephrine,History,37.74,21.77,desiredPoints_value_707,Data Science,attempt_count,easy,Off-by-one error,hasPG_value_898,hasPS_value_167,hasPT_value_753,typeA,cluster_3,easy,precedence_value_930,0.808,0.088,0.911,hasCalculations_value_251,hasSuggestedTags_value_194,has_Answers_value_89,has_Epoch_value_586,has_Knowledge_value_339,has_token_value_377,superKC_value_526,OptionAnswer_value_975,Could be improved,context_value_597,corrected_value_724,currentOperation_value_494,active,33,enabled_value_348,2023-10-15,Off-by-one error,exercise_value_505,Sample hint text #952,item_value_505,easy,engagement_score,methodStep_value_717,methodname_04,multipleChoiceAnswer_value_197,numberOfFavorites_value_34,numberOfViews_value_354,14,2023-09-15,2023-01-19,Sample question text #311,resolution_value_76,size_value_133,2023-05-23,stepName_49,1,Geography,2023-02-13,history,Advanced Biology,Sample tokenized_statement text #829,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0008,survivor,cerebellum,oxytocin,Geography,20.88,44.82,desiredPoints_value_573,History,score,expert,Formula inversion,hasPG_value_469,hasPS_value_476,hasPT_value_887,typeC,cluster_4,easy,precedence_value_10,0.388,0.224,0.325,hasCalculations_value_978,hasSuggestedTags_value_672,has_Answers_value_864,has_Epoch_value_732,has_Knowledge_value_954,has_token_value_602,superKC_value_819,OptionAnswer_value_734,Very clear,context_value_693,corrected_value_651,currentOperation_value_685,completed,112,enabled_value_82,2023-11-25,Formula inversion,exercise_value_779,Sample hint text #243,item_value_46,medium,time_on_task,methodStep_value_182,methodname_34,multipleChoiceAnswer_value_595,numberOfFavorites_value_811,numberOfViews_value_431,15,2023-06-25,2023-08-09,Sample question text #890,resolution_value_349,size_value_120,2023-01-10,stepName_70,9,Economics,2023-01-19,history,Critical Thinking,Sample tokenized_statement text #895,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0009,survivor,prefrontal,dopamine,Economics,9.27,34.44,desiredPoints_value_21,Calculus,attempt_count,hard,Sign error,hasPG_value_496,hasPS_value_53,hasPT_value_466,typeC,cluster_5,hard,precedence_value_838,0.58,0.89,0.803,hasCalculations_value_424,hasSuggestedTags_value_852,has_Answers_value_121,has_Epoch_value_108,has_Knowledge_value_111,has_token_value_53,superKC_value_496,OptionAnswer_value_977,Challenging but rewarding,context_value_485,corrected_value_402,currentOperation_value_315,paused,51,enabled_value_297,2023-11-24,Unit confusion,exercise_value_429,Sample hint text #350,item_value_473,medium,mastery_level,methodStep_value_579,methodname_59,multipleChoiceAnswer_value_156,numberOfFavorites_value_171,numberOfViews_value_397,19,2023-04-10,2023-09-11,Sample question text #275,resolution_value_966,size_value_697,2023-01-25,stepName_27,19,Mathematics,2023-10-17,history,Research Methods,Sample tokenized_statement text #390,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fillBlanksProblem_0010,exploratory,striatum,dopamine,Calculus,43.39,72.36,desiredPoints_value_747,Philosophy,completion_rate,expert,Off-by-one error,hasPG_value_224,hasPS_value_532,hasPT_value_136,typeB,cluster_5,expert,precedence_value_35,0.625,0.862,0.883,hasCalculations_value_912,hasSuggestedTags_value_468,has_Answers_value_450,has_Epoch_value_611,has_Knowledge_value_384,has_token_value_480,superKC_value_42,OptionAnswer_value_776,Could be improved,context_value_211,corrected_value_584,currentOperation_value_579,paused,23,enabled_value_386,2023-04-16,Formula inversion,exercise_value_604,Sample hint text #189,item_value_901,expert,score,methodStep_value_687,methodname_11,multipleChoiceAnswer_value_57,numberOfFavorites_value_970,numberOfViews_value_449,8,2023-06-04,2023-03-18,Sample question text #612,resolution_value_430,size_value_177,2023-03-22,stepName_05,14,Economics,2023-11-06,history,Introduction to Literature,Sample tokenized_statement text #168,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
