# CLASS: Hint
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Hint
# COLUMNS:
#   id: id — Unique identifier, e.g. hint_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
hint_0001,cooperative,hippocampus,acetylcholine,Geography,83.05,45.95,desiredPoints_value_713,Calculus,score,hard,Sign error,hasPG_value_307,hasPS_value_575,hasPT_value_831,typeB,cluster_2,expert,precedence_value_163,0.385,0.346,0.08,hasCalculations_value_948,hasSuggestedTags_value_559,has_Answers_value_244,has_Epoch_value_710,has_Knowledge_value_72,has_token_value_183,superKC_value_308,OptionAnswer_value_669,Challenging but rewarding,context_value_976,corrected_value_992,currentOperation_value_811,paused,98,enabled_value_461,2023-04-25,Causal reversal,exercise_value_445,Sample hint text #726,item_value_809,expert,engagement_score,methodStep_value_176,methodname_97,multipleChoiceAnswer_value_265,numberOfFavorites_value_305,numberOfViews_value_196,10,2023-04-21,2023-06-28,Sample question text #312,resolution_value_638,size_value_919,2023-08-17,stepName_64,6,Philosophy,2023-07-12,computer_science,Introduction to Biology,Sample tokenized_statement text #346,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0002,survivor,amygdala,serotonin,Economics,86.65,64.76,desiredPoints_value_855,Chemistry,progress_ratio,easy,Sign error,hasPG_value_277,hasPS_value_951,hasPT_value_547,typeC,cluster_1,hard,precedence_value_129,0.293,0.581,0.419,hasCalculations_value_52,hasSuggestedTags_value_642,has_Answers_value_32,has_Epoch_value_739,has_Knowledge_value_52,has_token_value_582,superKC_value_294,OptionAnswer_value_10,Challenging but rewarding,context_value_68,corrected_value_430,currentOperation_value_716,pending,66,enabled_value_234,2023-08-14,Sign error,exercise_value_295,Sample hint text #901,item_value_172,expert,correct_answers,methodStep_value_712,methodname_89,multipleChoiceAnswer_value_854,numberOfFavorites_value_142,numberOfViews_value_129,12,2023-05-20,2023-03-02,Sample question text #227,resolution_value_423,size_value_801,2023-10-08,stepName_07,20,Algebra,2023-02-23,history,Advanced Literature,Sample tokenized_statement text #998,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0003,competitive,amygdala,serotonin,Computer Science,24.17,94.42,desiredPoints_value_117,Algebra,engagement_score,medium,Sign error,hasPG_value_406,hasPS_value_319,hasPT_value_934,typeA,cluster_3,expert,precedence_value_984,0.866,0.421,0.97,hasCalculations_value_14,hasSuggestedTags_value_900,has_Answers_value_12,has_Epoch_value_650,has_Knowledge_value_68,has_token_value_535,superKC_value_273,OptionAnswer_value_129,Challenging but rewarding,context_value_817,corrected_value_229,currentOperation_value_223,pending,83,enabled_value_541,2023-12-09,Formula inversion,exercise_value_821,Sample hint text #314,item_value_168,medium,progress_ratio,methodStep_value_552,methodname_82,multipleChoiceAnswer_value_249,numberOfFavorites_value_855,numberOfViews_value_813,11,2023-10-14,2023-11-14,Sample question text #934,resolution_value_711,size_value_493,2023-08-26,stepName_11,12,Biology,2023-10-01,algebra,Introduction to Geography,Sample tokenized_statement text #171,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0004,cooperative,amygdala,acetylcholine,Data Science,77.94,40.27,desiredPoints_value_11,Mathematics,xp_earned,medium,Sign error,hasPG_value_620,hasPS_value_577,hasPT_value_17,typeC,cluster_1,easy,precedence_value_443,0.301,0.453,0.068,hasCalculations_value_861,hasSuggestedTags_value_661,has_Answers_value_320,has_Epoch_value_309,has_Knowledge_value_150,has_token_value_463,superKC_value_516,OptionAnswer_value_501,Needs more examples,context_value_863,corrected_value_756,currentOperation_value_723,pending,45,enabled_value_267,2023-11-02,Causal reversal,exercise_value_944,Sample hint text #291,item_value_181,medium,score,methodStep_value_411,methodname_80,multipleChoiceAnswer_value_505,numberOfFavorites_value_614,numberOfViews_value_148,2,2023-12-14,2023-08-12,Sample question text #831,resolution_value_884,size_value_275,2023-10-08,stepName_80,7,History,2023-04-22,philosophy,Introduction to Algebra,Sample tokenized_statement text #602,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0005,exploratory,amygdala,serotonin,Data Science,77.79,59.0,desiredPoints_value_188,Algebra,xp_earned,hard,Sign error,hasPG_value_526,hasPS_value_481,hasPT_value_572,typeC,cluster_2,hard,precedence_value_468,0.198,0.827,0.826,hasCalculations_value_101,hasSuggestedTags_value_914,has_Answers_value_227,has_Epoch_value_253,has_Knowledge_value_21,has_token_value_957,superKC_value_493,OptionAnswer_value_239,Too abstract,context_value_349,corrected_value_255,currentOperation_value_645,completed,11,enabled_value_186,2023-04-14,Unit confusion,exercise_value_104,Sample hint text #866,item_value_184,medium,hint_usage,methodStep_value_777,methodname_61,multipleChoiceAnswer_value_956,numberOfFavorites_value_260,numberOfViews_value_23,19,2023-09-12,2023-04-23,Sample question text #839,resolution_value_470,size_value_162,2023-01-08,stepName_30,12,Mathematics,2023-06-03,literature,Introduction to Physics,Sample tokenized_statement text #129,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0006,cooperative,amygdala,dopamine,Calculus,2.83,70.87,desiredPoints_value_375,Geography,attempt_count,expert,Off-by-one error,hasPG_value_824,hasPS_value_602,hasPT_value_979,typeB,cluster_1,hard,precedence_value_156,0.152,0.648,0.687,hasCalculations_value_307,hasSuggestedTags_value_970,has_Answers_value_350,has_Epoch_value_403,has_Knowledge_value_313,has_token_value_73,superKC_value_81,OptionAnswer_value_608,Challenging but rewarding,context_value_161,corrected_value_381,currentOperation_value_833,pending,114,enabled_value_90,2023-03-11,Sign error,exercise_value_523,Sample hint text #821,item_value_833,easy,engagement_score,methodStep_value_790,methodname_67,multipleChoiceAnswer_value_78,numberOfFavorites_value_601,numberOfViews_value_94,8,2023-12-12,2023-01-12,Sample question text #733,resolution_value_761,size_value_229,2023-12-23,stepName_40,20,History,2023-02-20,data_science,Advanced Physics,Sample tokenized_statement text #113,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0007,survivor,striatum,norepinephrine,Geography,49.62,12.13,desiredPoints_value_955,Literature,correct_answers,medium,Sign error,hasPG_value_982,hasPS_value_528,hasPT_value_647,typeC,cluster_2,hard,precedence_value_420,0.246,0.84,0.431,hasCalculations_value_763,hasSuggestedTags_value_421,has_Answers_value_138,has_Epoch_value_866,has_Knowledge_value_873,has_token_value_77,superKC_value_688,OptionAnswer_value_686,Challenging but rewarding,context_value_673,corrected_value_374,currentOperation_value_914,paused,35,enabled_value_324,2023-03-01,Off-by-one error,exercise_value_470,Sample hint text #447,item_value_963,easy,attempt_count,methodStep_value_43,methodname_38,multipleChoiceAnswer_value_158,numberOfFavorites_value_57,numberOfViews_value_322,20,2023-09-22,2023-07-17,Sample question text #829,resolution_value_368,size_value_684,2023-11-14,stepName_77,15,Computer Science,2023-02-10,biology,Research Methods,Sample tokenized_statement text #221,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0008,social,hippocampus,oxytocin,Mathematics,74.52,59.29,desiredPoints_value_112,Mathematics,score,hard,Formula inversion,hasPG_value_751,hasPS_value_99,hasPT_value_870,typeA,cluster_2,medium,precedence_value_498,0.831,0.524,0.557,hasCalculations_value_551,hasSuggestedTags_value_609,has_Answers_value_213,has_Epoch_value_40,has_Knowledge_value_288,has_token_value_819,superKC_value_998,OptionAnswer_value_918,Very clear,context_value_673,corrected_value_118,currentOperation_value_396,completed,76,enabled_value_536,2023-02-14,Concept conflation,exercise_value_485,Sample hint text #725,item_value_549,hard,score,methodStep_value_541,methodname_88,multipleChoiceAnswer_value_362,numberOfFavorites_value_955,numberOfViews_value_431,20,2023-01-12,2023-11-02,Sample question text #677,resolution_value_606,size_value_391,2023-06-13,stepName_98,18,Economics,2023-03-13,computer_science,Introduction to Geography,Sample tokenized_statement text #537,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0009,competitive,striatum,serotonin,Data Science,48.83,82.41,desiredPoints_value_742,Statistics,mastery_level,easy,Causal reversal,hasPG_value_685,hasPS_value_967,hasPT_value_886,typeB,cluster_4,medium,precedence_value_648,0.193,0.211,0.42,hasCalculations_value_19,hasSuggestedTags_value_478,has_Answers_value_529,has_Epoch_value_229,has_Knowledge_value_745,has_token_value_742,superKC_value_730,OptionAnswer_value_800,Good explanation,context_value_983,corrected_value_547,currentOperation_value_228,active,103,enabled_value_410,2023-10-15,Concept conflation,exercise_value_779,Sample hint text #613,item_value_599,hard,score,methodStep_value_657,methodname_33,multipleChoiceAnswer_value_355,numberOfFavorites_value_291,numberOfViews_value_623,18,2023-04-14,2023-08-03,Sample question text #267,resolution_value_397,size_value_493,2023-05-19,stepName_05,14,Literature,2023-09-17,data_science,Introduction to Calculus,Sample tokenized_statement text #461,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hint_0010,competitive,cerebellum,norepinephrine,Algebra,49.14,10.1,desiredPoints_value_436,History,attempt_count,expert,Off-by-one error,hasPG_value_360,hasPS_value_685,hasPT_value_623,typeB,cluster_4,medium,precedence_value_311,0.249,0.75,0.504,hasCalculations_value_939,hasSuggestedTags_value_641,has_Answers_value_672,has_Epoch_value_450,has_Knowledge_value_215,has_token_value_603,superKC_value_955,OptionAnswer_value_151,Good explanation,context_value_738,corrected_value_34,currentOperation_value_138,pending,72,enabled_value_855,2023-06-14,Unit confusion,exercise_value_777,Sample hint text #810,item_value_220,medium,engagement_score,methodStep_value_721,methodname_62,multipleChoiceAnswer_value_494,numberOfFavorites_value_814,numberOfViews_value_248,1,2023-11-07,2023-02-13,Sample question text #508,resolution_value_705,size_value_571,2023-08-04,stepName_76,6,Calculus,2023-07-04,geography,Introduction to Philosophy,Sample tokenized_statement text #561,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
