# CLASS: KnowledgeUnit
# IRI: http://meututor.com.br/Ontologies/meututor_domain_curriculum.owl#KnowledgeUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. knowledgeUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
knowledgeUnit_0001,cooperative,striatum,acetylcholine,Computer Science,31.89,17.05,desiredPoints_value_934,Geography,Applied methodology,medium,Off-by-one error,hasPG_value_429,hasPS_value_83,hasPT_value_908,typeB,cluster_3,easy,precedence_value_146,0.81,0.134,0.654,hasCalculations_value_587,hasSuggestedTags_value_743,has_Answers_value_950,has_Epoch_value_162,has_Knowledge_value_155,has_token_value_607,superKC_value_293,OptionAnswer_value_120,Good explanation,context_value_331,corrected_value_947,currentOperation_value_886,paused,32,enabled_value_44,2023-03-19,Unit confusion,exercise_value_324,Sample hint text #776,item_value_681,expert,time_on_task,methodStep_value_447,methodname_32,multipleChoiceAnswer_value_475,numberOfFavorites_value_685,numberOfViews_value_738,5,2023-11-14,2023-03-27,Sample question text #638,resolution_value_741,size_value_304,2023-11-25,stepName_24,2,Literature,2023-07-03,geography,Introduction to Mathematics,Sample tokenized_statement text #266,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0002,survivor,cerebellum,norepinephrine,Physics,19.45,72.39,desiredPoints_value_229,Statistics,Applied methodology,easy,Off-by-one error,hasPG_value_280,hasPS_value_588,hasPT_value_548,typeA,cluster_2,easy,precedence_value_839,0.642,0.177,0.152,hasCalculations_value_973,hasSuggestedTags_value_849,has_Answers_value_178,has_Epoch_value_801,has_Knowledge_value_79,has_token_value_382,superKC_value_768,OptionAnswer_value_304,Challenging but rewarding,context_value_679,corrected_value_934,currentOperation_value_905,active,96,enabled_value_382,2023-09-05,Formula inversion,exercise_value_557,Sample hint text #428,item_value_549,expert,correct_answers,methodStep_value_306,methodname_02,multipleChoiceAnswer_value_107,numberOfFavorites_value_782,numberOfViews_value_597,4,2023-09-11,2023-05-18,Sample question text #551,resolution_value_60,size_value_399,2023-05-10,stepName_97,5,Calculus,2023-11-01,mathematics,Advanced Physics,Sample tokenized_statement text #182,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0003,social,cerebellum,acetylcholine,Biology,83.19,52.08,desiredPoints_value_795,Data Science,Applied methodology,expert,Unit confusion,hasPG_value_969,hasPS_value_892,hasPT_value_409,typeC,cluster_3,easy,precedence_value_611,0.435,0.129,0.296,hasCalculations_value_185,hasSuggestedTags_value_115,has_Answers_value_626,has_Epoch_value_145,has_Knowledge_value_733,has_token_value_953,superKC_value_447,OptionAnswer_value_829,Needs more examples,context_value_184,corrected_value_77,currentOperation_value_198,completed,7,enabled_value_313,2023-12-03,Off-by-one error,exercise_value_292,Sample hint text #168,item_value_627,hard,mastery_level,methodStep_value_223,methodname_15,multipleChoiceAnswer_value_289,numberOfFavorites_value_751,numberOfViews_value_498,17,2023-10-25,2023-12-28,Sample question text #115,resolution_value_93,size_value_483,2023-10-15,stepName_20,14,Philosophy,2023-10-20,philosophy,Introduction to Biology,Sample tokenized_statement text #590,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0004,survivor,prefrontal,oxytocin,Data Science,19.92,73.54,desiredPoints_value_21,Mathematics,Understanding Geography fundamentals,expert,Formula inversion,hasPG_value_420,hasPS_value_22,hasPT_value_756,typeC,cluster_2,easy,precedence_value_64,0.005,0.936,0.748,hasCalculations_value_553,hasSuggestedTags_value_345,has_Answers_value_199,has_Epoch_value_558,has_Knowledge_value_406,has_token_value_194,superKC_value_894,OptionAnswer_value_99,Good explanation,context_value_330,corrected_value_647,currentOperation_value_48,pending,108,enabled_value_184,2023-05-08,Concept conflation,exercise_value_921,Sample hint text #241,item_value_564,easy,attempt_count,methodStep_value_567,methodname_89,multipleChoiceAnswer_value_166,numberOfFavorites_value_948,numberOfViews_value_428,20,2023-03-22,2023-10-25,Sample question text #627,resolution_value_64,size_value_62,2023-08-13,stepName_69,14,Chemistry,2023-08-25,literature,Advanced Biology,Sample tokenized_statement text #879,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0005,cooperative,cerebellum,oxytocin,Literature,67.32,88.28,desiredPoints_value_209,Biology,Understanding Data Science fundamentals,expert,Causal reversal,hasPG_value_86,hasPS_value_518,hasPT_value_345,typeC,cluster_1,expert,precedence_value_182,0.398,0.105,0.434,hasCalculations_value_313,hasSuggestedTags_value_989,has_Answers_value_796,has_Epoch_value_112,has_Knowledge_value_1,has_token_value_997,superKC_value_77,OptionAnswer_value_195,Needs more examples,context_value_680,corrected_value_518,currentOperation_value_811,completed,30,enabled_value_922,2023-04-23,Concept conflation,exercise_value_157,Sample hint text #102,item_value_690,medium,attempt_count,methodStep_value_920,methodname_24,multipleChoiceAnswer_value_473,numberOfFavorites_value_755,numberOfViews_value_615,3,2023-09-16,2023-06-23,Sample question text #961,resolution_value_783,size_value_754,2023-12-01,stepName_52,16,Computer Science,2023-07-04,statistics,Advanced History,Sample tokenized_statement text #433,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0006,cooperative,hippocampus,oxytocin,Economics,10.05,65.42,desiredPoints_value_273,Biology,Understanding Computer Science fundamentals,medium,Formula inversion,hasPG_value_622,hasPS_value_456,hasPT_value_980,typeB,cluster_1,expert,precedence_value_941,0.503,0.111,0.97,hasCalculations_value_430,hasSuggestedTags_value_594,has_Answers_value_874,has_Epoch_value_547,has_Knowledge_value_659,has_token_value_253,superKC_value_555,OptionAnswer_value_710,Too abstract,context_value_359,corrected_value_677,currentOperation_value_510,completed,99,enabled_value_692,2023-01-23,Causal reversal,exercise_value_155,Sample hint text #719,item_value_401,expert,attempt_count,methodStep_value_713,methodname_52,multipleChoiceAnswer_value_547,numberOfFavorites_value_394,numberOfViews_value_783,6,2023-10-28,2023-06-19,Sample question text #850,resolution_value_97,size_value_142,2023-06-15,stepName_27,10,Philosophy,2023-09-19,philosophy,Advanced Geography,Sample tokenized_statement text #352,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0007,exploratory,striatum,dopamine,Algebra,44.43,29.79,desiredPoints_value_140,Philosophy,Practical exercises,easy,Formula inversion,hasPG_value_275,hasPS_value_643,hasPT_value_487,typeA,cluster_5,expert,precedence_value_434,0.59,0.997,0.063,hasCalculations_value_449,hasSuggestedTags_value_588,has_Answers_value_634,has_Epoch_value_406,has_Knowledge_value_497,has_token_value_23,superKC_value_576,OptionAnswer_value_4,Challenging but rewarding,context_value_801,corrected_value_610,currentOperation_value_469,pending,92,enabled_value_697,2023-08-09,Concept conflation,exercise_value_361,Sample hint text #703,item_value_633,hard,correct_answers,methodStep_value_283,methodname_10,multipleChoiceAnswer_value_977,numberOfFavorites_value_522,numberOfViews_value_199,20,2023-09-28,2023-05-04,Sample question text #421,resolution_value_474,size_value_249,2023-05-27,stepName_59,17,Statistics,2023-06-07,literature,Introduction to Biology,Sample tokenized_statement text #596,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0008,social,amygdala,oxytocin,Economics,2.8,29.0,desiredPoints_value_11,Algebra,Understanding Biology fundamentals,medium,Causal reversal,hasPG_value_656,hasPS_value_528,hasPT_value_826,typeB,cluster_1,hard,precedence_value_989,0.171,0.836,0.987,hasCalculations_value_168,hasSuggestedTags_value_409,has_Answers_value_143,has_Epoch_value_985,has_Knowledge_value_470,has_token_value_41,superKC_value_407,OptionAnswer_value_410,Too abstract,context_value_567,corrected_value_617,currentOperation_value_924,active,7,enabled_value_861,2023-09-06,Unit confusion,exercise_value_548,Sample hint text #854,item_value_259,hard,mastery_level,methodStep_value_107,methodname_99,multipleChoiceAnswer_value_227,numberOfFavorites_value_1,numberOfViews_value_570,18,2023-10-18,2023-04-28,Sample question text #682,resolution_value_824,size_value_43,2023-06-16,stepName_40,18,Economics,2023-04-20,philosophy,Advanced Biology,Sample tokenized_statement text #486,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0009,exploratory,striatum,serotonin,Mathematics,14.94,96.01,desiredPoints_value_808,Geography,Understanding Biology fundamentals,easy,Off-by-one error,hasPG_value_218,hasPS_value_48,hasPT_value_696,typeB,cluster_4,expert,precedence_value_105,0.592,0.869,0.596,hasCalculations_value_661,hasSuggestedTags_value_209,has_Answers_value_18,has_Epoch_value_934,has_Knowledge_value_992,has_token_value_974,superKC_value_367,OptionAnswer_value_397,Too abstract,context_value_100,corrected_value_572,currentOperation_value_268,completed,110,enabled_value_449,2023-09-22,Unit confusion,exercise_value_443,Sample hint text #460,item_value_584,easy,mastery_level,methodStep_value_780,methodname_62,multipleChoiceAnswer_value_936,numberOfFavorites_value_739,numberOfViews_value_935,1,2023-11-04,2023-09-16,Sample question text #166,resolution_value_425,size_value_900,2023-11-26,stepName_05,1,Physics,2023-11-25,biology,Introduction to Physics,Sample tokenized_statement text #382,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledgeUnit_0010,cooperative,amygdala,norepinephrine,History,94.97,25.21,desiredPoints_value_616,Philosophy,Understanding Statistics fundamentals,expert,Formula inversion,hasPG_value_281,hasPS_value_682,hasPT_value_352,typeB,cluster_5,expert,precedence_value_839,0.917,0.165,0.94,hasCalculations_value_387,hasSuggestedTags_value_146,has_Answers_value_807,has_Epoch_value_797,has_Knowledge_value_130,has_token_value_120,superKC_value_332,OptionAnswer_value_933,Too abstract,context_value_626,corrected_value_612,currentOperation_value_447,paused,22,enabled_value_323,2023-07-25,Sign error,exercise_value_189,Sample hint text #962,item_value_876,medium,score,methodStep_value_624,methodname_02,multipleChoiceAnswer_value_340,numberOfFavorites_value_242,numberOfViews_value_221,10,2023-08-26,2023-01-09,Sample question text #511,resolution_value_315,size_value_492,2023-07-10,stepName_70,10,Statistics,2023-06-12,philosophy,Introduction to Geography,Sample tokenized_statement text #616,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
