# CLASS: MatchColumnAnswer
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#MatchColumnAnswer
# COLUMNS:
#   id: id — Unique identifier, e.g. matchColumnAnswer_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
matchColumnAnswer_0001,cooperative,cerebellum,norepinephrine,Statistics,97.15,83.22,desiredPoints_value_640,Mathematics,streak_count,expert,Formula inversion,hasPG_value_131,hasPS_value_202,hasPT_value_691,typeA,cluster_1,easy,precedence_value_271,0.665,0.529,0.494,hasCalculations_value_911,hasSuggestedTags_value_967,has_Answers_value_478,has_Epoch_value_972,has_Knowledge_value_644,has_token_value_251,superKC_value_644,OptionAnswer_value_423,Too abstract,context_value_993,corrected_value_325,currentOperation_value_743,paused,13,enabled_value_621,2023-03-05,Off-by-one error,exercise_value_791,Sample hint text #544,item_value_561,medium,completion_rate,methodStep_value_22,methodname_53,multipleChoiceAnswer_value_219,numberOfFavorites_value_769,numberOfViews_value_84,17,2023-12-13,2023-05-04,Sample question text #493,resolution_value_394,size_value_65,2023-11-21,stepName_81,8,Calculus,2023-01-05,biology,Introduction to Calculus,Sample tokenized_statement text #269,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0002,survivor,striatum,oxytocin,Biology,42.36,18.93,desiredPoints_value_935,Statistics,progress_ratio,easy,Formula inversion,hasPG_value_868,hasPS_value_474,hasPT_value_445,typeB,cluster_1,medium,precedence_value_151,0.225,0.577,0.068,hasCalculations_value_586,hasSuggestedTags_value_752,has_Answers_value_234,has_Epoch_value_675,has_Knowledge_value_184,has_token_value_352,superKC_value_144,OptionAnswer_value_808,Challenging but rewarding,context_value_153,corrected_value_907,currentOperation_value_909,paused,108,enabled_value_466,2023-02-06,Formula inversion,exercise_value_910,Sample hint text #617,item_value_247,expert,progress_ratio,methodStep_value_267,methodname_78,multipleChoiceAnswer_value_867,numberOfFavorites_value_640,numberOfViews_value_582,11,2023-03-06,2023-06-06,Sample question text #929,resolution_value_630,size_value_425,2023-05-09,stepName_39,17,History,2023-04-26,data_science,Advanced Literature,Sample tokenized_statement text #440,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0003,survivor,cerebellum,acetylcholine,Economics,11.3,97.2,desiredPoints_value_119,Physics,hint_usage,medium,Sign error,hasPG_value_48,hasPS_value_437,hasPT_value_264,typeA,cluster_5,easy,precedence_value_329,0.562,0.479,0.841,hasCalculations_value_325,hasSuggestedTags_value_720,has_Answers_value_357,has_Epoch_value_609,has_Knowledge_value_692,has_token_value_676,superKC_value_801,OptionAnswer_value_711,Good explanation,context_value_790,corrected_value_656,currentOperation_value_932,paused,94,enabled_value_911,2023-03-25,Formula inversion,exercise_value_544,Sample hint text #491,item_value_952,easy,completion_rate,methodStep_value_945,methodname_46,multipleChoiceAnswer_value_591,numberOfFavorites_value_101,numberOfViews_value_705,5,2023-01-23,2023-12-09,Sample question text #978,resolution_value_400,size_value_977,2023-04-15,stepName_22,4,Literature,2023-03-24,literature,Introduction to Algebra,Sample tokenized_statement text #743,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0004,cooperative,prefrontal,serotonin,Geography,50.87,7.25,desiredPoints_value_816,Mathematics,completion_rate,hard,Unit confusion,hasPG_value_674,hasPS_value_635,hasPT_value_604,typeC,cluster_4,expert,precedence_value_789,0.227,0.455,0.917,hasCalculations_value_585,hasSuggestedTags_value_201,has_Answers_value_617,has_Epoch_value_851,has_Knowledge_value_368,has_token_value_501,superKC_value_874,OptionAnswer_value_593,Too abstract,context_value_782,corrected_value_355,currentOperation_value_70,completed,37,enabled_value_738,2023-08-09,Causal reversal,exercise_value_88,Sample hint text #76,item_value_66,expert,streak_count,methodStep_value_222,methodname_51,multipleChoiceAnswer_value_987,numberOfFavorites_value_945,numberOfViews_value_467,1,2023-04-23,2023-09-14,Sample question text #152,resolution_value_985,size_value_364,2023-07-21,stepName_60,14,Physics,2023-02-06,geography,Advanced Biology,Sample tokenized_statement text #299,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0005,cooperative,prefrontal,serotonin,Mathematics,79.65,54.3,desiredPoints_value_371,Literature,time_on_task,easy,Causal reversal,hasPG_value_971,hasPS_value_521,hasPT_value_717,typeA,cluster_5,medium,precedence_value_644,0.253,0.637,0.139,hasCalculations_value_478,hasSuggestedTags_value_229,has_Answers_value_985,has_Epoch_value_931,has_Knowledge_value_859,has_token_value_886,superKC_value_176,OptionAnswer_value_819,Good explanation,context_value_41,corrected_value_910,currentOperation_value_484,completed,15,enabled_value_176,2023-11-15,Sign error,exercise_value_734,Sample hint text #438,item_value_362,hard,mastery_level,methodStep_value_358,methodname_20,multipleChoiceAnswer_value_189,numberOfFavorites_value_3,numberOfViews_value_484,5,2023-01-03,2023-10-15,Sample question text #866,resolution_value_24,size_value_564,2023-05-05,stepName_70,16,History,2023-11-03,literature,Research Methods,Sample tokenized_statement text #734,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0006,social,cerebellum,acetylcholine,Algebra,88.8,62.92,desiredPoints_value_335,Physics,completion_rate,hard,Unit confusion,hasPG_value_340,hasPS_value_94,hasPT_value_701,typeC,cluster_1,easy,precedence_value_980,0.363,0.081,0.513,hasCalculations_value_634,hasSuggestedTags_value_311,has_Answers_value_706,has_Epoch_value_551,has_Knowledge_value_788,has_token_value_263,superKC_value_728,OptionAnswer_value_132,Needs more examples,context_value_440,corrected_value_899,currentOperation_value_178,completed,93,enabled_value_49,2023-01-07,Formula inversion,exercise_value_11,Sample hint text #463,item_value_138,medium,time_on_task,methodStep_value_330,methodname_05,multipleChoiceAnswer_value_158,numberOfFavorites_value_764,numberOfViews_value_670,17,2023-04-01,2023-12-07,Sample question text #686,resolution_value_279,size_value_700,2023-03-27,stepName_82,9,Biology,2023-08-11,algebra,Introduction to Literature,Sample tokenized_statement text #589,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0007,social,cerebellum,serotonin,Calculus,95.67,3.01,desiredPoints_value_621,Physics,correct_answers,expert,Sign error,hasPG_value_127,hasPS_value_433,hasPT_value_861,typeB,cluster_5,expert,precedence_value_857,0.558,0.727,0.306,hasCalculations_value_255,hasSuggestedTags_value_212,has_Answers_value_879,has_Epoch_value_2,has_Knowledge_value_261,has_token_value_383,superKC_value_286,OptionAnswer_value_932,Too abstract,context_value_66,corrected_value_966,currentOperation_value_20,paused,17,enabled_value_447,2023-07-09,Concept conflation,exercise_value_476,Sample hint text #5,item_value_32,hard,hint_usage,methodStep_value_808,methodname_95,multipleChoiceAnswer_value_340,numberOfFavorites_value_566,numberOfViews_value_29,4,2023-06-24,2023-11-04,Sample question text #502,resolution_value_417,size_value_307,2023-03-19,stepName_53,6,Economics,2023-01-19,chemistry,Introduction to Philosophy,Sample tokenized_statement text #99,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0008,exploratory,hippocampus,norepinephrine,Calculus,1.82,60.98,desiredPoints_value_826,Literature,progress_ratio,expert,Off-by-one error,hasPG_value_749,hasPS_value_737,hasPT_value_792,typeA,cluster_1,hard,precedence_value_857,0.162,0.331,0.16,hasCalculations_value_251,hasSuggestedTags_value_714,has_Answers_value_167,has_Epoch_value_137,has_Knowledge_value_677,has_token_value_813,superKC_value_566,OptionAnswer_value_958,Good explanation,context_value_333,corrected_value_516,currentOperation_value_858,completed,63,enabled_value_664,2023-08-21,Unit confusion,exercise_value_241,Sample hint text #359,item_value_944,hard,xp_earned,methodStep_value_59,methodname_90,multipleChoiceAnswer_value_872,numberOfFavorites_value_731,numberOfViews_value_314,16,2023-07-06,2023-06-24,Sample question text #892,resolution_value_693,size_value_204,2023-10-12,stepName_06,4,Physics,2023-02-11,algebra,Introduction to Geography,Sample tokenized_statement text #837,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0009,exploratory,cerebellum,acetylcholine,Calculus,18.16,44.53,desiredPoints_value_557,Economics,mastery_level,medium,Formula inversion,hasPG_value_42,hasPS_value_227,hasPT_value_85,typeB,cluster_3,easy,precedence_value_993,0.238,0.255,0.964,hasCalculations_value_822,hasSuggestedTags_value_925,has_Answers_value_547,has_Epoch_value_913,has_Knowledge_value_817,has_token_value_520,superKC_value_8,OptionAnswer_value_724,Challenging but rewarding,context_value_483,corrected_value_121,currentOperation_value_857,paused,13,enabled_value_819,2023-05-27,Sign error,exercise_value_183,Sample hint text #624,item_value_915,medium,attempt_count,methodStep_value_981,methodname_90,multipleChoiceAnswer_value_337,numberOfFavorites_value_983,numberOfViews_value_709,10,2023-11-24,2023-06-20,Sample question text #901,resolution_value_186,size_value_47,2023-06-24,stepName_46,19,Literature,2023-08-11,computer_science,Advanced Physics,Sample tokenized_statement text #614,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnAnswer_0010,competitive,hippocampus,serotonin,Algebra,44.92,59.24,desiredPoints_value_562,Biology,error_rate,hard,Unit confusion,hasPG_value_479,hasPS_value_422,hasPT_value_995,typeA,cluster_4,hard,precedence_value_333,0.767,0.683,0.088,hasCalculations_value_399,hasSuggestedTags_value_1,has_Answers_value_563,has_Epoch_value_584,has_Knowledge_value_914,has_token_value_870,superKC_value_366,OptionAnswer_value_992,Challenging but rewarding,context_value_585,corrected_value_476,currentOperation_value_934,active,107,enabled_value_775,2023-02-12,Causal reversal,exercise_value_951,Sample hint text #988,item_value_172,medium,score,methodStep_value_796,methodname_27,multipleChoiceAnswer_value_207,numberOfFavorites_value_389,numberOfViews_value_727,17,2023-10-25,2023-07-02,Sample question text #8,resolution_value_938,size_value_527,2023-04-09,stepName_59,14,Statistics,2023-12-03,chemistry,Research Methods,Sample tokenized_statement text #520,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
