# CLASS: MatchColumnProblem
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#MatchColumnProblem
# COLUMNS:
#   id: id — Unique identifier, e.g. matchColumnProblem_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
matchColumnProblem_0001,survivor,prefrontal,norepinephrine,Literature,8.32,5.37,desiredPoints_value_998,Physics,score,easy,Concept conflation,hasPG_value_948,hasPS_value_1,hasPT_value_53,typeC,cluster_4,easy,precedence_value_835,0.106,0.555,0.362,hasCalculations_value_744,hasSuggestedTags_value_181,has_Answers_value_13,has_Epoch_value_382,has_Knowledge_value_50,has_token_value_153,superKC_value_357,OptionAnswer_value_682,Too abstract,context_value_579,corrected_value_485,currentOperation_value_168,completed,95,enabled_value_700,2023-10-06,Off-by-one error,exercise_value_84,Sample hint text #13,item_value_691,medium,progress_ratio,methodStep_value_923,methodname_61,multipleChoiceAnswer_value_374,numberOfFavorites_value_927,numberOfViews_value_640,20,2023-08-09,2023-11-15,Sample question text #691,resolution_value_710,size_value_670,2023-11-28,stepName_43,8,Calculus,2023-10-14,geography,Advanced Geography,Sample tokenized_statement text #888,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0002,social,amygdala,norepinephrine,Calculus,76.01,34.65,desiredPoints_value_393,Statistics,streak_count,hard,Causal reversal,hasPG_value_665,hasPS_value_170,hasPT_value_58,typeB,cluster_1,expert,precedence_value_292,0.113,0.779,0.211,hasCalculations_value_299,hasSuggestedTags_value_41,has_Answers_value_964,has_Epoch_value_813,has_Knowledge_value_806,has_token_value_697,superKC_value_872,OptionAnswer_value_376,Good explanation,context_value_923,corrected_value_920,currentOperation_value_193,completed,63,enabled_value_960,2023-10-25,Sign error,exercise_value_890,Sample hint text #455,item_value_809,expert,correct_answers,methodStep_value_760,methodname_74,multipleChoiceAnswer_value_790,numberOfFavorites_value_803,numberOfViews_value_704,20,2023-08-13,2023-09-04,Sample question text #762,resolution_value_693,size_value_923,2023-07-25,stepName_01,17,Geography,2023-06-16,algebra,Introduction to Chemistry,Sample tokenized_statement text #828,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0003,exploratory,cerebellum,dopamine,Algebra,36.32,29.83,desiredPoints_value_741,Literature,mastery_level,easy,Unit confusion,hasPG_value_280,hasPS_value_603,hasPT_value_627,typeA,cluster_5,easy,precedence_value_217,0.956,0.797,0.503,hasCalculations_value_176,hasSuggestedTags_value_291,has_Answers_value_753,has_Epoch_value_47,has_Knowledge_value_691,has_token_value_365,superKC_value_455,OptionAnswer_value_262,Too abstract,context_value_339,corrected_value_28,currentOperation_value_579,paused,31,enabled_value_188,2023-05-12,Sign error,exercise_value_325,Sample hint text #149,item_value_998,expert,xp_earned,methodStep_value_606,methodname_14,multipleChoiceAnswer_value_100,numberOfFavorites_value_923,numberOfViews_value_120,3,2023-12-02,2023-12-17,Sample question text #381,resolution_value_820,size_value_710,2023-02-18,stepName_33,14,Statistics,2023-07-17,philosophy,Advanced Biology,Sample tokenized_statement text #685,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0004,exploratory,cerebellum,serotonin,Calculus,16.59,24.28,desiredPoints_value_847,Philosophy,correct_answers,easy,Concept conflation,hasPG_value_682,hasPS_value_215,hasPT_value_54,typeC,cluster_4,medium,precedence_value_667,0.275,0.937,0.532,hasCalculations_value_899,hasSuggestedTags_value_778,has_Answers_value_41,has_Epoch_value_906,has_Knowledge_value_160,has_token_value_152,superKC_value_673,OptionAnswer_value_880,Very clear,context_value_272,corrected_value_159,currentOperation_value_355,paused,89,enabled_value_955,2023-03-01,Unit confusion,exercise_value_872,Sample hint text #340,item_value_304,medium,progress_ratio,methodStep_value_530,methodname_62,multipleChoiceAnswer_value_944,numberOfFavorites_value_811,numberOfViews_value_562,4,2023-12-20,2023-03-03,Sample question text #875,resolution_value_777,size_value_824,2023-05-16,stepName_88,9,Philosophy,2023-12-18,history,Advanced Mathematics,Sample tokenized_statement text #313,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0005,competitive,amygdala,serotonin,Philosophy,24.79,45.57,desiredPoints_value_107,Computer Science,xp_earned,hard,Causal reversal,hasPG_value_486,hasPS_value_814,hasPT_value_901,typeA,cluster_1,hard,precedence_value_441,0.079,0.183,0.336,hasCalculations_value_49,hasSuggestedTags_value_829,has_Answers_value_278,has_Epoch_value_353,has_Knowledge_value_820,has_token_value_148,superKC_value_637,OptionAnswer_value_853,Needs more examples,context_value_434,corrected_value_457,currentOperation_value_886,paused,84,enabled_value_942,2023-09-17,Causal reversal,exercise_value_634,Sample hint text #466,item_value_604,expert,engagement_score,methodStep_value_339,methodname_38,multipleChoiceAnswer_value_286,numberOfFavorites_value_338,numberOfViews_value_526,9,2023-08-25,2023-05-03,Sample question text #242,resolution_value_285,size_value_5,2023-02-20,stepName_18,19,Data Science,2023-04-14,mathematics,Critical Thinking,Sample tokenized_statement text #337,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0006,social,prefrontal,acetylcholine,Geography,66.35,6.4,desiredPoints_value_716,Philosophy,time_on_task,hard,Formula inversion,hasPG_value_918,hasPS_value_256,hasPT_value_529,typeC,cluster_1,easy,precedence_value_157,0.84,0.841,0.528,hasCalculations_value_807,hasSuggestedTags_value_302,has_Answers_value_491,has_Epoch_value_619,has_Knowledge_value_249,has_token_value_433,superKC_value_737,OptionAnswer_value_808,Could be improved,context_value_358,corrected_value_417,currentOperation_value_122,active,51,enabled_value_420,2023-09-26,Formula inversion,exercise_value_140,Sample hint text #723,item_value_136,medium,error_rate,methodStep_value_990,methodname_60,multipleChoiceAnswer_value_29,numberOfFavorites_value_674,numberOfViews_value_429,11,2023-10-09,2023-09-01,Sample question text #888,resolution_value_324,size_value_992,2023-04-04,stepName_49,2,Chemistry,2023-12-05,computer_science,Advanced Literature,Sample tokenized_statement text #946,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0007,cooperative,prefrontal,dopamine,Biology,83.7,96.02,desiredPoints_value_181,Algebra,streak_count,expert,Off-by-one error,hasPG_value_550,hasPS_value_424,hasPT_value_651,typeC,cluster_2,hard,precedence_value_306,0.457,0.874,0.418,hasCalculations_value_883,hasSuggestedTags_value_65,has_Answers_value_819,has_Epoch_value_826,has_Knowledge_value_108,has_token_value_134,superKC_value_641,OptionAnswer_value_79,Needs more examples,context_value_557,corrected_value_716,currentOperation_value_15,paused,74,enabled_value_868,2023-03-18,Formula inversion,exercise_value_553,Sample hint text #777,item_value_818,easy,correct_answers,methodStep_value_427,methodname_10,multipleChoiceAnswer_value_327,numberOfFavorites_value_714,numberOfViews_value_904,10,2023-06-20,2023-09-11,Sample question text #526,resolution_value_411,size_value_386,2023-04-12,stepName_56,11,Data Science,2023-05-03,economics,Introduction to Mathematics,Sample tokenized_statement text #170,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0008,achiever,cerebellum,serotonin,Geography,13.95,93.81,desiredPoints_value_937,Statistics,mastery_level,expert,Formula inversion,hasPG_value_599,hasPS_value_43,hasPT_value_934,typeB,cluster_5,hard,precedence_value_400,0.589,0.715,0.526,hasCalculations_value_318,hasSuggestedTags_value_180,has_Answers_value_550,has_Epoch_value_514,has_Knowledge_value_912,has_token_value_161,superKC_value_710,OptionAnswer_value_861,Challenging but rewarding,context_value_294,corrected_value_460,currentOperation_value_905,active,47,enabled_value_158,2023-01-08,Off-by-one error,exercise_value_686,Sample hint text #226,item_value_860,medium,progress_ratio,methodStep_value_554,methodname_72,multipleChoiceAnswer_value_888,numberOfFavorites_value_927,numberOfViews_value_472,3,2023-12-25,2023-03-07,Sample question text #764,resolution_value_164,size_value_940,2023-01-07,stepName_56,13,Economics,2023-07-10,chemistry,Advanced Mathematics,Sample tokenized_statement text #952,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0009,social,cerebellum,acetylcholine,Chemistry,42.75,54.16,desiredPoints_value_680,Algebra,attempt_count,medium,Formula inversion,hasPG_value_148,hasPS_value_542,hasPT_value_474,typeC,cluster_4,easy,precedence_value_740,0.243,0.006,0.994,hasCalculations_value_495,hasSuggestedTags_value_460,has_Answers_value_575,has_Epoch_value_232,has_Knowledge_value_852,has_token_value_276,superKC_value_449,OptionAnswer_value_994,Good explanation,context_value_980,corrected_value_762,currentOperation_value_8,paused,28,enabled_value_682,2023-09-08,Sign error,exercise_value_273,Sample hint text #654,item_value_649,hard,streak_count,methodStep_value_722,methodname_48,multipleChoiceAnswer_value_492,numberOfFavorites_value_249,numberOfViews_value_351,14,2023-03-07,2023-11-05,Sample question text #880,resolution_value_824,size_value_872,2023-08-16,stepName_83,2,Mathematics,2023-05-11,biology,Introduction to Statistics,Sample tokenized_statement text #544,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchColumnProblem_0010,survivor,cerebellum,acetylcholine,Biology,6.09,12.58,desiredPoints_value_474,Biology,xp_earned,medium,Sign error,hasPG_value_564,hasPS_value_353,hasPT_value_836,typeB,cluster_1,hard,precedence_value_727,0.163,0.255,0.763,hasCalculations_value_995,hasSuggestedTags_value_157,has_Answers_value_340,has_Epoch_value_351,has_Knowledge_value_346,has_token_value_298,superKC_value_931,OptionAnswer_value_421,Challenging but rewarding,context_value_619,corrected_value_744,currentOperation_value_809,completed,79,enabled_value_815,2023-08-15,Causal reversal,exercise_value_40,Sample hint text #301,item_value_107,easy,correct_answers,methodStep_value_489,methodname_72,multipleChoiceAnswer_value_551,numberOfFavorites_value_875,numberOfViews_value_978,3,2023-06-26,2023-10-14,Sample question text #653,resolution_value_804,size_value_885,2023-05-13,stepName_83,15,Biology,2023-09-13,calculus,Introduction to Statistics,Sample tokenized_statement text #390,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
