# CLASS: MethodStep
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#MethodStep
# COLUMNS:
#   id: id — Unique identifier, e.g. methodStep_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
methodStep_0001,competitive,amygdala,norepinephrine,Economics,67.12,89.78,desiredPoints_value_765,Statistics,correct_answers,expert,Causal reversal,hasPG_value_234,hasPS_value_213,hasPT_value_192,typeC,cluster_2,easy,precedence_value_988,0.69,0.283,0.602,hasCalculations_value_361,hasSuggestedTags_value_548,has_Answers_value_477,has_Epoch_value_941,has_Knowledge_value_707,has_token_value_449,superKC_value_30,OptionAnswer_value_11,Could be improved,context_value_870,corrected_value_434,currentOperation_value_913,completed,35,enabled_value_694,2023-10-09,Unit confusion,exercise_value_597,Sample hint text #861,item_value_608,hard,completion_rate,methodStep_value_432,methodname_36,multipleChoiceAnswer_value_33,numberOfFavorites_value_500,numberOfViews_value_423,1,2023-11-18,2023-10-11,Sample question text #212,resolution_value_61,size_value_88,2023-03-23,stepName_07,8,Calculus,2023-04-19,economics,Introduction to Mathematics,Sample tokenized_statement text #711,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0002,cooperative,cerebellum,acetylcholine,Physics,86.71,37.59,desiredPoints_value_558,Biology,time_on_task,hard,Formula inversion,hasPG_value_563,hasPS_value_640,hasPT_value_55,typeB,cluster_5,easy,precedence_value_40,0.541,0.017,0.117,hasCalculations_value_839,hasSuggestedTags_value_224,has_Answers_value_212,has_Epoch_value_469,has_Knowledge_value_287,has_token_value_858,superKC_value_828,OptionAnswer_value_203,Too abstract,context_value_414,corrected_value_470,currentOperation_value_22,completed,86,enabled_value_672,2023-08-16,Sign error,exercise_value_524,Sample hint text #786,item_value_472,easy,attempt_count,methodStep_value_949,methodname_49,multipleChoiceAnswer_value_375,numberOfFavorites_value_623,numberOfViews_value_442,20,2023-06-15,2023-12-19,Sample question text #684,resolution_value_920,size_value_303,2023-06-16,stepName_44,19,Geography,2023-10-19,geography,Introduction to Data Science,Sample tokenized_statement text #27,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0003,exploratory,prefrontal,acetylcholine,Chemistry,56.31,63.15,desiredPoints_value_454,Physics,hint_usage,hard,Unit confusion,hasPG_value_920,hasPS_value_77,hasPT_value_573,typeA,cluster_5,hard,precedence_value_965,0.16,0.313,0.739,hasCalculations_value_679,hasSuggestedTags_value_919,has_Answers_value_376,has_Epoch_value_147,has_Knowledge_value_829,has_token_value_956,superKC_value_64,OptionAnswer_value_966,Very clear,context_value_916,corrected_value_685,currentOperation_value_793,completed,104,enabled_value_778,2023-02-13,Causal reversal,exercise_value_321,Sample hint text #99,item_value_895,easy,progress_ratio,methodStep_value_645,methodname_91,multipleChoiceAnswer_value_190,numberOfFavorites_value_95,numberOfViews_value_307,12,2023-08-10,2023-12-10,Sample question text #328,resolution_value_153,size_value_62,2023-04-02,stepName_86,5,Computer Science,2023-11-13,algebra,Advanced Geography,Sample tokenized_statement text #903,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0004,social,prefrontal,dopamine,Economics,73.07,54.69,desiredPoints_value_308,Mathematics,time_on_task,hard,Causal reversal,hasPG_value_879,hasPS_value_248,hasPT_value_177,typeC,cluster_1,medium,precedence_value_756,0.992,0.878,0.286,hasCalculations_value_755,hasSuggestedTags_value_720,has_Answers_value_178,has_Epoch_value_597,has_Knowledge_value_206,has_token_value_792,superKC_value_447,OptionAnswer_value_240,Too abstract,context_value_660,corrected_value_856,currentOperation_value_814,active,78,enabled_value_257,2023-02-06,Causal reversal,exercise_value_91,Sample hint text #843,item_value_565,easy,attempt_count,methodStep_value_736,methodname_85,multipleChoiceAnswer_value_169,numberOfFavorites_value_363,numberOfViews_value_490,19,2023-06-19,2023-10-02,Sample question text #725,resolution_value_28,size_value_290,2023-08-20,stepName_33,3,Chemistry,2023-11-08,chemistry,Introduction to Statistics,Sample tokenized_statement text #310,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0005,competitive,hippocampus,oxytocin,Philosophy,8.7,96.65,desiredPoints_value_117,Biology,hint_usage,medium,Unit confusion,hasPG_value_821,hasPS_value_515,hasPT_value_728,typeB,cluster_4,easy,precedence_value_207,0.214,0.767,0.623,hasCalculations_value_709,hasSuggestedTags_value_181,has_Answers_value_914,has_Epoch_value_473,has_Knowledge_value_438,has_token_value_560,superKC_value_426,OptionAnswer_value_90,Needs more examples,context_value_506,corrected_value_245,currentOperation_value_298,completed,19,enabled_value_787,2023-02-05,Off-by-one error,exercise_value_792,Sample hint text #170,item_value_635,easy,xp_earned,methodStep_value_725,methodname_27,multipleChoiceAnswer_value_515,numberOfFavorites_value_86,numberOfViews_value_230,2,2023-02-10,2023-10-28,Sample question text #313,resolution_value_574,size_value_36,2023-03-20,stepName_68,20,Mathematics,2023-09-18,statistics,Advanced Chemistry,Sample tokenized_statement text #729,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0006,achiever,striatum,acetylcholine,History,80.96,15.78,desiredPoints_value_120,Calculus,progress_ratio,easy,Causal reversal,hasPG_value_590,hasPS_value_890,hasPT_value_605,typeA,cluster_5,medium,precedence_value_72,0.671,0.192,0.393,hasCalculations_value_576,hasSuggestedTags_value_745,has_Answers_value_837,has_Epoch_value_713,has_Knowledge_value_212,has_token_value_97,superKC_value_453,OptionAnswer_value_983,Needs more examples,context_value_240,corrected_value_779,currentOperation_value_442,paused,67,enabled_value_56,2023-05-23,Causal reversal,exercise_value_71,Sample hint text #934,item_value_496,easy,error_rate,methodStep_value_879,methodname_84,multipleChoiceAnswer_value_223,numberOfFavorites_value_708,numberOfViews_value_562,19,2023-02-20,2023-02-17,Sample question text #813,resolution_value_782,size_value_491,2023-05-02,stepName_42,1,Physics,2023-04-24,biology,Introduction to Geography,Sample tokenized_statement text #24,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0007,exploratory,amygdala,oxytocin,Geography,42.99,95.81,desiredPoints_value_79,History,mastery_level,expert,Formula inversion,hasPG_value_354,hasPS_value_60,hasPT_value_847,typeC,cluster_4,expert,precedence_value_356,0.751,0.153,0.707,hasCalculations_value_669,hasSuggestedTags_value_471,has_Answers_value_156,has_Epoch_value_232,has_Knowledge_value_78,has_token_value_846,superKC_value_387,OptionAnswer_value_775,Could be improved,context_value_214,corrected_value_121,currentOperation_value_404,active,111,enabled_value_201,2023-11-16,Causal reversal,exercise_value_516,Sample hint text #746,item_value_79,easy,streak_count,methodStep_value_996,methodname_86,multipleChoiceAnswer_value_763,numberOfFavorites_value_788,numberOfViews_value_57,11,2023-12-25,2023-08-28,Sample question text #995,resolution_value_32,size_value_978,2023-04-25,stepName_74,20,Literature,2023-04-02,literature,Introduction to Algebra,Sample tokenized_statement text #891,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0008,competitive,hippocampus,norepinephrine,Philosophy,60.75,40.26,desiredPoints_value_612,Calculus,correct_answers,expert,Causal reversal,hasPG_value_620,hasPS_value_252,hasPT_value_882,typeC,cluster_2,medium,precedence_value_224,0.69,0.059,0.493,hasCalculations_value_761,hasSuggestedTags_value_698,has_Answers_value_326,has_Epoch_value_536,has_Knowledge_value_839,has_token_value_10,superKC_value_801,OptionAnswer_value_28,Challenging but rewarding,context_value_508,corrected_value_888,currentOperation_value_935,active,40,enabled_value_672,2023-01-18,Formula inversion,exercise_value_203,Sample hint text #256,item_value_187,medium,hint_usage,methodStep_value_221,methodname_04,multipleChoiceAnswer_value_819,numberOfFavorites_value_771,numberOfViews_value_416,11,2023-09-25,2023-08-10,Sample question text #293,resolution_value_903,size_value_713,2023-09-23,stepName_68,18,Biology,2023-10-21,chemistry,Introduction to Computer Science,Sample tokenized_statement text #480,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0009,achiever,hippocampus,oxytocin,Computer Science,18.65,52.46,desiredPoints_value_911,Geography,mastery_level,medium,Causal reversal,hasPG_value_383,hasPS_value_564,hasPT_value_969,typeB,cluster_3,hard,precedence_value_324,0.999,0.113,0.62,hasCalculations_value_118,hasSuggestedTags_value_916,has_Answers_value_590,has_Epoch_value_978,has_Knowledge_value_431,has_token_value_801,superKC_value_25,OptionAnswer_value_987,Needs more examples,context_value_942,corrected_value_319,currentOperation_value_532,completed,104,enabled_value_770,2023-04-14,Formula inversion,exercise_value_556,Sample hint text #575,item_value_931,medium,mastery_level,methodStep_value_728,methodname_63,multipleChoiceAnswer_value_201,numberOfFavorites_value_406,numberOfViews_value_900,19,2023-11-07,2023-03-08,Sample question text #545,resolution_value_18,size_value_34,2023-05-23,stepName_31,14,History,2023-08-12,economics,Introduction to Philosophy,Sample tokenized_statement text #424,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodStep_0010,exploratory,cerebellum,acetylcholine,Data Science,47.96,71.17,desiredPoints_value_101,Literature,time_on_task,expert,Off-by-one error,hasPG_value_134,hasPS_value_40,hasPT_value_410,typeA,cluster_1,expert,precedence_value_341,0.345,0.169,0.442,hasCalculations_value_410,hasSuggestedTags_value_39,has_Answers_value_125,has_Epoch_value_267,has_Knowledge_value_367,has_token_value_526,superKC_value_310,OptionAnswer_value_5,Challenging but rewarding,context_value_106,corrected_value_114,currentOperation_value_768,pending,37,enabled_value_819,2023-02-12,Formula inversion,exercise_value_183,Sample hint text #558,item_value_116,hard,xp_earned,methodStep_value_220,methodname_90,multipleChoiceAnswer_value_389,numberOfFavorites_value_914,numberOfViews_value_71,3,2023-07-18,2023-07-04,Sample question text #105,resolution_value_315,size_value_396,2023-01-28,stepName_26,13,Physics,2023-02-17,philosophy,Introduction to Geography,Sample tokenized_statement text #410,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
