# CLASS: Metric
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#Metric
# COLUMNS:
#   id: id — Unique identifier, e.g. metric_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   metricDescription: data — str
#   metricExpectedValue: data — float
#   metricValue: data — float
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_isUsedFor: object — Ref to ['Target_Behavior', 'Target_Behavior']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,metricDescription,metricExpectedValue,metricValue,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_isUsedFor,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
metric_0001,cooperative,amygdala,norepinephrine,Statistics,time_on_task,14.14,16.12,78.82,40.19,desiredPoints_value_179,Philosophy,completion_rate,easy,Formula inversion,hasPG_value_166,hasPS_value_139,hasPT_value_736,typeB,cluster_4,hard,precedence_value_45,0.433,0.023,0.314,hasCalculations_value_793,hasSuggestedTags_value_267,has_Answers_value_107,has_Epoch_value_234,has_Knowledge_value_530,has_token_value_168,superKC_value_449,OptionAnswer_value_735,Needs more examples,context_value_571,corrected_value_417,currentOperation_value_688,completed,35,enabled_value_631,2023-03-26,Sign error,exercise_value_855,Sample hint text #550,item_value_683,expert,completion_rate,methodStep_value_159,methodname_46,multipleChoiceAnswer_value_663,numberOfFavorites_value_903,numberOfViews_value_259,14,2023-11-17,2023-12-14,Sample question text #192,resolution_value_577,size_value_423,2023-07-03,stepName_08,8,Geography,2023-07-12,computer_science,Introduction to Economics,Sample tokenized_statement text #657,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0002,social,hippocampus,norepinephrine,Calculus,streak_count,74.35,37.4,23.18,36.56,desiredPoints_value_664,Literature,error_rate,easy,Causal reversal,hasPG_value_80,hasPS_value_153,hasPT_value_842,typeB,cluster_4,hard,precedence_value_876,0.39,0.828,0.585,hasCalculations_value_445,hasSuggestedTags_value_78,has_Answers_value_292,has_Epoch_value_620,has_Knowledge_value_802,has_token_value_38,superKC_value_581,OptionAnswer_value_929,Good explanation,context_value_7,corrected_value_49,currentOperation_value_612,active,60,enabled_value_402,2023-06-27,Causal reversal,exercise_value_608,Sample hint text #894,item_value_331,hard,attempt_count,methodStep_value_966,methodname_40,multipleChoiceAnswer_value_958,numberOfFavorites_value_738,numberOfViews_value_255,2,2023-01-04,2023-08-17,Sample question text #891,resolution_value_276,size_value_875,2023-07-05,stepName_84,16,Data Science,2023-05-28,algebra,Advanced Literature,Sample tokenized_statement text #708,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0003,exploratory,prefrontal,serotonin,Geography,attempt_count,83.41,81.04,93.39,45.77,desiredPoints_value_953,Calculus,time_on_task,easy,Formula inversion,hasPG_value_793,hasPS_value_982,hasPT_value_204,typeA,cluster_1,expert,precedence_value_407,0.374,0.774,0.4,hasCalculations_value_908,hasSuggestedTags_value_109,has_Answers_value_47,has_Epoch_value_768,has_Knowledge_value_459,has_token_value_61,superKC_value_643,OptionAnswer_value_545,Could be improved,context_value_684,corrected_value_414,currentOperation_value_770,active,115,enabled_value_121,2023-08-03,Sign error,exercise_value_686,Sample hint text #935,item_value_259,easy,streak_count,methodStep_value_151,methodname_46,multipleChoiceAnswer_value_35,numberOfFavorites_value_974,numberOfViews_value_23,14,2023-05-06,2023-03-15,Sample question text #431,resolution_value_930,size_value_808,2023-05-08,stepName_40,19,Statistics,2023-05-25,statistics,Introduction to Calculus,Sample tokenized_statement text #347,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0004,competitive,amygdala,serotonin,History,engagement_score,64.33,55.82,26.34,8.17,desiredPoints_value_422,Mathematics,completion_rate,hard,Causal reversal,hasPG_value_587,hasPS_value_899,hasPT_value_361,typeA,cluster_5,expert,precedence_value_352,0.359,0.639,0.561,hasCalculations_value_946,hasSuggestedTags_value_325,has_Answers_value_578,has_Epoch_value_955,has_Knowledge_value_757,has_token_value_192,superKC_value_61,OptionAnswer_value_267,Could be improved,context_value_72,corrected_value_690,currentOperation_value_353,pending,25,enabled_value_986,2023-09-24,Sign error,exercise_value_782,Sample hint text #234,item_value_51,easy,correct_answers,methodStep_value_946,methodname_36,multipleChoiceAnswer_value_747,numberOfFavorites_value_237,numberOfViews_value_21,8,2023-11-05,2023-10-16,Sample question text #469,resolution_value_722,size_value_286,2023-05-21,stepName_37,8,Biology,2023-12-05,philosophy,Critical Thinking,Sample tokenized_statement text #317,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0005,survivor,amygdala,dopamine,History,progress_ratio,39.1,34.98,63.63,76.45,desiredPoints_value_737,History,progress_ratio,expert,Sign error,hasPG_value_806,hasPS_value_889,hasPT_value_809,typeC,cluster_5,medium,precedence_value_678,0.774,0.103,0.795,hasCalculations_value_420,hasSuggestedTags_value_462,has_Answers_value_643,has_Epoch_value_920,has_Knowledge_value_812,has_token_value_675,superKC_value_892,OptionAnswer_value_77,Good explanation,context_value_33,corrected_value_611,currentOperation_value_587,paused,76,enabled_value_299,2023-05-06,Concept conflation,exercise_value_521,Sample hint text #170,item_value_593,medium,score,methodStep_value_389,methodname_82,multipleChoiceAnswer_value_266,numberOfFavorites_value_135,numberOfViews_value_125,5,2023-09-05,2023-07-12,Sample question text #519,resolution_value_358,size_value_984,2023-10-16,stepName_07,6,History,2023-09-19,physics,Introduction to Mathematics,Sample tokenized_statement text #351,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0006,competitive,amygdala,oxytocin,Data Science,mastery_level,30.48,31.63,35.07,37.89,desiredPoints_value_985,Physics,streak_count,medium,Sign error,hasPG_value_294,hasPS_value_210,hasPT_value_942,typeB,cluster_3,easy,precedence_value_734,0.869,0.692,0.514,hasCalculations_value_21,hasSuggestedTags_value_425,has_Answers_value_874,has_Epoch_value_668,has_Knowledge_value_222,has_token_value_73,superKC_value_963,OptionAnswer_value_752,Needs more examples,context_value_606,corrected_value_337,currentOperation_value_625,pending,35,enabled_value_331,2023-08-18,Causal reversal,exercise_value_803,Sample hint text #672,item_value_939,hard,attempt_count,methodStep_value_635,methodname_03,multipleChoiceAnswer_value_761,numberOfFavorites_value_484,numberOfViews_value_215,4,2023-03-17,2023-03-03,Sample question text #653,resolution_value_104,size_value_814,2023-02-06,stepName_51,10,Statistics,2023-03-04,statistics,Advanced Chemistry,Sample tokenized_statement text #81,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0007,achiever,cerebellum,serotonin,Algebra,hint_usage,74.44,79.47,48.76,36.99,desiredPoints_value_29,Computer Science,error_rate,hard,Causal reversal,hasPG_value_739,hasPS_value_21,hasPT_value_654,typeB,cluster_2,expert,precedence_value_685,0.217,0.444,0.179,hasCalculations_value_262,hasSuggestedTags_value_731,has_Answers_value_673,has_Epoch_value_895,has_Knowledge_value_782,has_token_value_899,superKC_value_208,OptionAnswer_value_134,Very clear,context_value_343,corrected_value_464,currentOperation_value_157,active,103,enabled_value_508,2023-10-17,Off-by-one error,exercise_value_262,Sample hint text #757,item_value_503,easy,engagement_score,methodStep_value_526,methodname_80,multipleChoiceAnswer_value_811,numberOfFavorites_value_761,numberOfViews_value_869,8,2023-08-20,2023-09-16,Sample question text #507,resolution_value_680,size_value_337,2023-03-23,stepName_84,7,Philosophy,2023-10-20,literature,Introduction to Literature,Sample tokenized_statement text #399,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0008,exploratory,amygdala,norepinephrine,Physics,error_rate,60.44,36.25,22.45,50.69,desiredPoints_value_372,Computer Science,xp_earned,medium,Concept conflation,hasPG_value_170,hasPS_value_410,hasPT_value_828,typeA,cluster_5,easy,precedence_value_104,0.419,0.918,0.105,hasCalculations_value_618,hasSuggestedTags_value_741,has_Answers_value_592,has_Epoch_value_322,has_Knowledge_value_170,has_token_value_494,superKC_value_951,OptionAnswer_value_291,Very clear,context_value_873,corrected_value_821,currentOperation_value_557,paused,17,enabled_value_370,2023-11-11,Causal reversal,exercise_value_230,Sample hint text #198,item_value_985,medium,score,methodStep_value_664,methodname_58,multipleChoiceAnswer_value_588,numberOfFavorites_value_964,numberOfViews_value_793,8,2023-02-26,2023-11-07,Sample question text #657,resolution_value_306,size_value_837,2023-08-11,stepName_50,3,Philosophy,2023-07-24,physics,Advanced Mathematics,Sample tokenized_statement text #389,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0009,competitive,hippocampus,serotonin,Computer Science,streak_count,53.12,31.54,77.11,35.68,desiredPoints_value_837,Calculus,mastery_level,expert,Off-by-one error,hasPG_value_787,hasPS_value_6,hasPT_value_360,typeA,cluster_2,hard,precedence_value_233,0.513,0.652,0.875,hasCalculations_value_805,hasSuggestedTags_value_432,has_Answers_value_198,has_Epoch_value_98,has_Knowledge_value_629,has_token_value_717,superKC_value_3,OptionAnswer_value_339,Needs more examples,context_value_909,corrected_value_508,currentOperation_value_855,paused,81,enabled_value_214,2023-03-24,Concept conflation,exercise_value_479,Sample hint text #649,item_value_590,medium,xp_earned,methodStep_value_892,methodname_64,multipleChoiceAnswer_value_294,numberOfFavorites_value_692,numberOfViews_value_863,13,2023-03-06,2023-07-17,Sample question text #693,resolution_value_626,size_value_488,2023-06-07,stepName_12,3,Data Science,2023-06-06,statistics,Introduction to Economics,Sample tokenized_statement text #778,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metric_0010,competitive,striatum,norepinephrine,Computer Science,engagement_score,46.23,55.39,86.11,29.98,desiredPoints_value_670,Philosophy,hint_usage,easy,Concept conflation,hasPG_value_724,hasPS_value_579,hasPT_value_385,typeC,cluster_3,hard,precedence_value_993,0.679,0.971,0.76,hasCalculations_value_668,hasSuggestedTags_value_394,has_Answers_value_181,has_Epoch_value_649,has_Knowledge_value_270,has_token_value_686,superKC_value_208,OptionAnswer_value_567,Too abstract,context_value_7,corrected_value_990,currentOperation_value_589,completed,103,enabled_value_505,2023-08-22,Off-by-one error,exercise_value_865,Sample hint text #364,item_value_462,medium,streak_count,methodStep_value_652,methodname_53,multipleChoiceAnswer_value_541,numberOfFavorites_value_340,numberOfViews_value_6,15,2023-01-11,2023-11-04,Sample question text #918,resolution_value_555,size_value_160,2023-06-03,stepName_83,4,Algebra,2023-01-07,physics,Advanced Literature,Sample tokenized_statement text #545,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
