# CLASS: MultipleChoiceProblem
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#MultipleChoiceProblem
# COLUMNS:
#   id: id — Unique identifier, e.g. multipleChoiceProblem_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
multipleChoiceProblem_0001,exploratory,cerebellum,norepinephrine,Mathematics,82.02,1.16,desiredPoints_value_697,Algebra,xp_earned,hard,Concept conflation,hasPG_value_36,hasPS_value_424,hasPT_value_848,typeA,cluster_4,hard,precedence_value_349,0.398,0.594,0.22,hasCalculations_value_634,hasSuggestedTags_value_653,has_Answers_value_560,has_Epoch_value_937,has_Knowledge_value_854,has_token_value_357,superKC_value_586,OptionAnswer_value_670,Good explanation,context_value_499,corrected_value_265,currentOperation_value_146,pending,15,enabled_value_313,2023-03-22,Concept conflation,exercise_value_674,Sample hint text #17,item_value_298,hard,engagement_score,methodStep_value_953,methodname_84,multipleChoiceAnswer_value_454,numberOfFavorites_value_930,numberOfViews_value_442,6,2023-06-28,2023-04-22,Sample question text #780,resolution_value_643,size_value_547,2023-05-15,stepName_52,13,Philosophy,2023-02-20,algebra,Introduction to Data Science,Sample tokenized_statement text #200,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0002,competitive,striatum,norepinephrine,Computer Science,13.9,98.04,desiredPoints_value_411,Physics,engagement_score,hard,Causal reversal,hasPG_value_730,hasPS_value_385,hasPT_value_912,typeC,cluster_3,easy,precedence_value_138,0.966,0.962,0.387,hasCalculations_value_624,hasSuggestedTags_value_826,has_Answers_value_457,has_Epoch_value_981,has_Knowledge_value_398,has_token_value_87,superKC_value_124,OptionAnswer_value_777,Very clear,context_value_397,corrected_value_141,currentOperation_value_788,paused,60,enabled_value_9,2023-04-10,Concept conflation,exercise_value_535,Sample hint text #131,item_value_277,expert,mastery_level,methodStep_value_609,methodname_81,multipleChoiceAnswer_value_805,numberOfFavorites_value_692,numberOfViews_value_423,16,2023-11-02,2023-02-13,Sample question text #379,resolution_value_388,size_value_162,2023-08-24,stepName_63,10,Mathematics,2023-03-03,geography,Advanced Physics,Sample tokenized_statement text #975,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0003,cooperative,hippocampus,serotonin,Geography,14.8,17.93,desiredPoints_value_208,Geography,completion_rate,hard,Causal reversal,hasPG_value_400,hasPS_value_852,hasPT_value_35,typeA,cluster_5,hard,precedence_value_764,0.837,0.838,0.309,hasCalculations_value_400,hasSuggestedTags_value_900,has_Answers_value_65,has_Epoch_value_464,has_Knowledge_value_185,has_token_value_111,superKC_value_371,OptionAnswer_value_979,Good explanation,context_value_348,corrected_value_792,currentOperation_value_154,active,85,enabled_value_369,2023-12-08,Unit confusion,exercise_value_204,Sample hint text #786,item_value_90,medium,xp_earned,methodStep_value_122,methodname_66,multipleChoiceAnswer_value_279,numberOfFavorites_value_381,numberOfViews_value_941,14,2023-01-11,2023-10-27,Sample question text #639,resolution_value_236,size_value_296,2023-11-05,stepName_32,5,Chemistry,2023-12-23,data_science,Introduction to Biology,Sample tokenized_statement text #7,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0004,competitive,prefrontal,oxytocin,History,91.64,88.91,desiredPoints_value_232,Data Science,score,hard,Causal reversal,hasPG_value_657,hasPS_value_818,hasPT_value_77,typeB,cluster_1,expert,precedence_value_525,0.222,0.695,0.8,hasCalculations_value_202,hasSuggestedTags_value_698,has_Answers_value_864,has_Epoch_value_651,has_Knowledge_value_477,has_token_value_897,superKC_value_855,OptionAnswer_value_494,Challenging but rewarding,context_value_781,corrected_value_558,currentOperation_value_155,pending,10,enabled_value_775,2023-03-04,Off-by-one error,exercise_value_438,Sample hint text #953,item_value_544,medium,time_on_task,methodStep_value_95,methodname_28,multipleChoiceAnswer_value_504,numberOfFavorites_value_638,numberOfViews_value_963,19,2023-11-24,2023-09-03,Sample question text #515,resolution_value_112,size_value_669,2023-01-02,stepName_88,19,Literature,2023-03-28,history,Introduction to Geography,Sample tokenized_statement text #997,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0005,exploratory,striatum,oxytocin,Algebra,61.66,80.55,desiredPoints_value_831,Biology,streak_count,hard,Unit confusion,hasPG_value_517,hasPS_value_485,hasPT_value_463,typeB,cluster_3,medium,precedence_value_428,0.213,0.702,0.502,hasCalculations_value_974,hasSuggestedTags_value_546,has_Answers_value_148,has_Epoch_value_201,has_Knowledge_value_767,has_token_value_776,superKC_value_506,OptionAnswer_value_844,Could be improved,context_value_153,corrected_value_323,currentOperation_value_319,pending,100,enabled_value_191,2023-03-21,Unit confusion,exercise_value_208,Sample hint text #335,item_value_120,easy,engagement_score,methodStep_value_994,methodname_68,multipleChoiceAnswer_value_696,numberOfFavorites_value_571,numberOfViews_value_776,6,2023-09-01,2023-06-02,Sample question text #256,resolution_value_258,size_value_345,2023-06-08,stepName_71,17,Chemistry,2023-09-16,chemistry,Introduction to Mathematics,Sample tokenized_statement text #269,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0006,social,striatum,acetylcholine,Literature,91.51,70.86,desiredPoints_value_546,Chemistry,mastery_level,expert,Unit confusion,hasPG_value_329,hasPS_value_724,hasPT_value_714,typeC,cluster_4,easy,precedence_value_741,0.665,0.056,0.473,hasCalculations_value_213,hasSuggestedTags_value_74,has_Answers_value_701,has_Epoch_value_863,has_Knowledge_value_842,has_token_value_221,superKC_value_734,OptionAnswer_value_934,Very clear,context_value_569,corrected_value_369,currentOperation_value_619,completed,18,enabled_value_381,2023-12-05,Formula inversion,exercise_value_132,Sample hint text #98,item_value_673,easy,engagement_score,methodStep_value_862,methodname_38,multipleChoiceAnswer_value_729,numberOfFavorites_value_921,numberOfViews_value_964,3,2023-05-26,2023-05-08,Sample question text #4,resolution_value_651,size_value_839,2023-02-01,stepName_50,3,History,2023-05-12,chemistry,Advanced History,Sample tokenized_statement text #808,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0007,social,amygdala,norepinephrine,Data Science,46.14,27.12,desiredPoints_value_210,Biology,score,expert,Off-by-one error,hasPG_value_831,hasPS_value_126,hasPT_value_700,typeB,cluster_2,medium,precedence_value_839,0.243,0.277,0.581,hasCalculations_value_462,hasSuggestedTags_value_169,has_Answers_value_638,has_Epoch_value_443,has_Knowledge_value_863,has_token_value_631,superKC_value_479,OptionAnswer_value_30,Good explanation,context_value_26,corrected_value_769,currentOperation_value_47,completed,106,enabled_value_649,2023-05-08,Unit confusion,exercise_value_309,Sample hint text #615,item_value_615,expert,attempt_count,methodStep_value_757,methodname_92,multipleChoiceAnswer_value_556,numberOfFavorites_value_718,numberOfViews_value_365,18,2023-12-14,2023-11-03,Sample question text #752,resolution_value_544,size_value_537,2023-09-03,stepName_61,17,Literature,2023-01-23,algebra,Introduction to History,Sample tokenized_statement text #119,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0008,achiever,cerebellum,serotonin,Computer Science,60.7,21.74,desiredPoints_value_448,Biology,mastery_level,medium,Formula inversion,hasPG_value_925,hasPS_value_296,hasPT_value_598,typeA,cluster_2,medium,precedence_value_121,0.16,0.186,0.871,hasCalculations_value_330,hasSuggestedTags_value_271,has_Answers_value_571,has_Epoch_value_42,has_Knowledge_value_952,has_token_value_901,superKC_value_450,OptionAnswer_value_15,Too abstract,context_value_462,corrected_value_212,currentOperation_value_703,active,44,enabled_value_750,2023-12-17,Sign error,exercise_value_817,Sample hint text #406,item_value_569,expert,hint_usage,methodStep_value_471,methodname_61,multipleChoiceAnswer_value_741,numberOfFavorites_value_880,numberOfViews_value_509,9,2023-01-15,2023-01-08,Sample question text #413,resolution_value_395,size_value_421,2023-06-13,stepName_02,1,Statistics,2023-08-13,data_science,Introduction to History,Sample tokenized_statement text #166,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0009,cooperative,hippocampus,serotonin,Algebra,68.74,53.88,desiredPoints_value_124,Philosophy,time_on_task,expert,Concept conflation,hasPG_value_169,hasPS_value_493,hasPT_value_569,typeB,cluster_4,medium,precedence_value_437,0.261,0.79,0.599,hasCalculations_value_203,hasSuggestedTags_value_871,has_Answers_value_12,has_Epoch_value_929,has_Knowledge_value_307,has_token_value_740,superKC_value_798,OptionAnswer_value_369,Could be improved,context_value_601,corrected_value_859,currentOperation_value_442,completed,89,enabled_value_779,2023-01-13,Formula inversion,exercise_value_676,Sample hint text #990,item_value_407,easy,hint_usage,methodStep_value_557,methodname_46,multipleChoiceAnswer_value_238,numberOfFavorites_value_97,numberOfViews_value_187,7,2023-05-21,2023-05-07,Sample question text #349,resolution_value_534,size_value_831,2023-12-09,stepName_75,18,Physics,2023-02-17,statistics,Introduction to Philosophy,Sample tokenized_statement text #881,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoiceProblem_0010,exploratory,hippocampus,serotonin,History,18.13,2.91,desiredPoints_value_399,Data Science,time_on_task,expert,Concept conflation,hasPG_value_699,hasPS_value_91,hasPT_value_486,typeC,cluster_1,hard,precedence_value_573,0.71,0.938,0.789,hasCalculations_value_259,hasSuggestedTags_value_641,has_Answers_value_973,has_Epoch_value_542,has_Knowledge_value_98,has_token_value_86,superKC_value_706,OptionAnswer_value_421,Could be improved,context_value_347,corrected_value_594,currentOperation_value_359,pending,99,enabled_value_840,2023-09-26,Causal reversal,exercise_value_727,Sample hint text #382,item_value_587,hard,completion_rate,methodStep_value_76,methodname_80,multipleChoiceAnswer_value_253,numberOfFavorites_value_512,numberOfViews_value_588,7,2023-02-07,2023-07-07,Sample question text #932,resolution_value_706,size_value_404,2023-06-19,stepName_64,6,Computer Science,2023-07-15,literature,Advanced Chemistry,Sample tokenized_statement text #505,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
