# CLASS: PedagogicalUnit
# IRI: http://meututor.com.br/Ontologies/meututor_domain_curriculum.owl#PedagogicalUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. pedagogicalUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
pedagogicalUnit_0001,competitive,hippocampus,serotonin,History,89.98,17.59,desiredPoints_value_765,Geography,attempt_count,hard,Unit confusion,hasPG_value_187,hasPS_value_957,hasPT_value_537,typeB,cluster_4,expert,precedence_value_201,0.14,0.826,0.611,hasCalculations_value_191,hasSuggestedTags_value_654,has_Answers_value_253,has_Epoch_value_650,has_Knowledge_value_975,has_token_value_137,superKC_value_700,OptionAnswer_value_546,Could be improved,context_value_590,corrected_value_868,currentOperation_value_276,paused,111,enabled_value_888,2023-04-28,Sign error,exercise_value_560,Sample hint text #984,item_value_924,easy,attempt_count,methodStep_value_415,methodname_22,multipleChoiceAnswer_value_267,numberOfFavorites_value_82,numberOfViews_value_701,11,2023-03-18,2023-06-24,Sample question text #955,resolution_value_495,size_value_183,2023-06-13,stepName_22,19,Chemistry,2023-07-19,biology,Critical Thinking,Sample tokenized_statement text #228,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0002,achiever,cerebellum,norepinephrine,Physics,22.36,99.14,desiredPoints_value_517,Physics,mastery_level,expert,Unit confusion,hasPG_value_375,hasPS_value_27,hasPT_value_975,typeC,cluster_4,hard,precedence_value_980,0.386,0.85,0.324,hasCalculations_value_625,hasSuggestedTags_value_329,has_Answers_value_775,has_Epoch_value_500,has_Knowledge_value_792,has_token_value_697,superKC_value_295,OptionAnswer_value_845,Too abstract,context_value_230,corrected_value_8,currentOperation_value_199,pending,85,enabled_value_639,2023-02-22,Concept conflation,exercise_value_845,Sample hint text #591,item_value_77,easy,engagement_score,methodStep_value_614,methodname_62,multipleChoiceAnswer_value_169,numberOfFavorites_value_49,numberOfViews_value_204,17,2023-12-11,2023-10-08,Sample question text #276,resolution_value_813,size_value_39,2023-02-27,stepName_47,7,Literature,2023-05-03,geography,Introduction to Philosophy,Sample tokenized_statement text #465,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0003,exploratory,amygdala,serotonin,Physics,21.66,17.35,desiredPoints_value_635,Biology,correct_answers,expert,Causal reversal,hasPG_value_867,hasPS_value_974,hasPT_value_538,typeA,cluster_2,expert,precedence_value_459,0.852,0.046,0.96,hasCalculations_value_273,hasSuggestedTags_value_976,has_Answers_value_867,has_Epoch_value_154,has_Knowledge_value_714,has_token_value_886,superKC_value_659,OptionAnswer_value_822,Good explanation,context_value_291,corrected_value_974,currentOperation_value_789,active,9,enabled_value_795,2023-06-06,Formula inversion,exercise_value_393,Sample hint text #631,item_value_542,easy,xp_earned,methodStep_value_606,methodname_68,multipleChoiceAnswer_value_485,numberOfFavorites_value_575,numberOfViews_value_62,20,2023-12-27,2023-03-25,Sample question text #490,resolution_value_7,size_value_279,2023-06-05,stepName_31,17,Economics,2023-09-28,algebra,Introduction to Data Science,Sample tokenized_statement text #412,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0004,cooperative,amygdala,oxytocin,Algebra,91.29,77.59,desiredPoints_value_427,Mathematics,attempt_count,expert,Formula inversion,hasPG_value_552,hasPS_value_453,hasPT_value_287,typeB,cluster_2,medium,precedence_value_505,0.706,0.51,0.983,hasCalculations_value_915,hasSuggestedTags_value_686,has_Answers_value_287,has_Epoch_value_555,has_Knowledge_value_648,has_token_value_348,superKC_value_751,OptionAnswer_value_603,Very clear,context_value_988,corrected_value_373,currentOperation_value_816,pending,105,enabled_value_730,2023-10-10,Sign error,exercise_value_515,Sample hint text #132,item_value_312,easy,score,methodStep_value_832,methodname_89,multipleChoiceAnswer_value_439,numberOfFavorites_value_341,numberOfViews_value_27,5,2023-01-02,2023-01-05,Sample question text #821,resolution_value_315,size_value_382,2023-11-08,stepName_76,8,Physics,2023-04-05,statistics,Introduction to Biology,Sample tokenized_statement text #819,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0005,exploratory,hippocampus,serotonin,Mathematics,32.4,48.05,desiredPoints_value_535,Biology,streak_count,expert,Concept conflation,hasPG_value_756,hasPS_value_187,hasPT_value_699,typeA,cluster_3,hard,precedence_value_292,0.851,0.525,0.383,hasCalculations_value_601,hasSuggestedTags_value_635,has_Answers_value_734,has_Epoch_value_503,has_Knowledge_value_148,has_token_value_512,superKC_value_987,OptionAnswer_value_871,Could be improved,context_value_960,corrected_value_228,currentOperation_value_434,paused,120,enabled_value_653,2023-08-24,Unit confusion,exercise_value_659,Sample hint text #424,item_value_154,easy,completion_rate,methodStep_value_376,methodname_66,multipleChoiceAnswer_value_757,numberOfFavorites_value_721,numberOfViews_value_172,12,2023-05-07,2023-02-17,Sample question text #224,resolution_value_825,size_value_834,2023-03-23,stepName_70,4,Data Science,2023-03-07,calculus,Introduction to Chemistry,Sample tokenized_statement text #130,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0006,achiever,prefrontal,dopamine,Statistics,30.49,9.26,desiredPoints_value_387,Data Science,error_rate,easy,Concept conflation,hasPG_value_251,hasPS_value_426,hasPT_value_269,typeB,cluster_2,medium,precedence_value_735,0.553,0.345,0.533,hasCalculations_value_786,hasSuggestedTags_value_483,has_Answers_value_414,has_Epoch_value_532,has_Knowledge_value_724,has_token_value_90,superKC_value_682,OptionAnswer_value_467,Needs more examples,context_value_806,corrected_value_186,currentOperation_value_922,pending,66,enabled_value_476,2023-06-09,Causal reversal,exercise_value_997,Sample hint text #372,item_value_576,hard,engagement_score,methodStep_value_139,methodname_49,multipleChoiceAnswer_value_159,numberOfFavorites_value_884,numberOfViews_value_585,2,2023-06-05,2023-10-03,Sample question text #524,resolution_value_837,size_value_795,2023-11-24,stepName_59,13,Statistics,2023-09-08,data_science,Introduction to Biology,Sample tokenized_statement text #402,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0007,achiever,prefrontal,acetylcholine,Physics,64.54,17.55,desiredPoints_value_469,Statistics,time_on_task,medium,Formula inversion,hasPG_value_807,hasPS_value_735,hasPT_value_746,typeA,cluster_5,medium,precedence_value_980,0.838,0.029,0.182,hasCalculations_value_159,hasSuggestedTags_value_591,has_Answers_value_979,has_Epoch_value_581,has_Knowledge_value_932,has_token_value_630,superKC_value_220,OptionAnswer_value_759,Very clear,context_value_903,corrected_value_176,currentOperation_value_979,active,98,enabled_value_438,2023-06-22,Concept conflation,exercise_value_78,Sample hint text #656,item_value_311,medium,mastery_level,methodStep_value_564,methodname_19,multipleChoiceAnswer_value_243,numberOfFavorites_value_919,numberOfViews_value_171,11,2023-11-12,2023-12-08,Sample question text #809,resolution_value_592,size_value_877,2023-09-07,stepName_41,18,History,2023-05-14,physics,Advanced Physics,Sample tokenized_statement text #743,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0008,social,striatum,serotonin,Chemistry,80.82,28.98,desiredPoints_value_965,Mathematics,progress_ratio,hard,Unit confusion,hasPG_value_887,hasPS_value_260,hasPT_value_592,typeB,cluster_5,easy,precedence_value_185,0.893,0.604,0.848,hasCalculations_value_597,hasSuggestedTags_value_450,has_Answers_value_3,has_Epoch_value_192,has_Knowledge_value_585,has_token_value_179,superKC_value_451,OptionAnswer_value_72,Needs more examples,context_value_57,corrected_value_340,currentOperation_value_253,paused,102,enabled_value_540,2023-08-24,Off-by-one error,exercise_value_220,Sample hint text #503,item_value_725,hard,completion_rate,methodStep_value_594,methodname_72,multipleChoiceAnswer_value_969,numberOfFavorites_value_937,numberOfViews_value_532,8,2023-03-05,2023-01-26,Sample question text #692,resolution_value_771,size_value_996,2023-02-05,stepName_47,13,Data Science,2023-12-28,mathematics,Advanced Biology,Sample tokenized_statement text #193,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0009,competitive,hippocampus,norepinephrine,Algebra,55.42,60.66,desiredPoints_value_963,Statistics,engagement_score,expert,Unit confusion,hasPG_value_701,hasPS_value_216,hasPT_value_710,typeC,cluster_3,hard,precedence_value_190,0.237,0.535,0.924,hasCalculations_value_818,hasSuggestedTags_value_858,has_Answers_value_945,has_Epoch_value_769,has_Knowledge_value_810,has_token_value_834,superKC_value_788,OptionAnswer_value_42,Needs more examples,context_value_18,corrected_value_285,currentOperation_value_310,completed,54,enabled_value_661,2023-02-27,Concept conflation,exercise_value_876,Sample hint text #814,item_value_588,hard,score,methodStep_value_472,methodname_09,multipleChoiceAnswer_value_356,numberOfFavorites_value_856,numberOfViews_value_893,6,2023-04-28,2023-12-19,Sample question text #921,resolution_value_951,size_value_889,2023-02-01,stepName_20,19,Chemistry,2023-12-19,data_science,Introduction to Data Science,Sample tokenized_statement text #680,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedagogicalUnit_0010,competitive,amygdala,serotonin,Computer Science,27.72,86.79,desiredPoints_value_524,Biology,error_rate,medium,Off-by-one error,hasPG_value_591,hasPS_value_426,hasPT_value_482,typeA,cluster_2,expert,precedence_value_96,0.609,0.115,0.398,hasCalculations_value_649,hasSuggestedTags_value_155,has_Answers_value_750,has_Epoch_value_156,has_Knowledge_value_119,has_token_value_213,superKC_value_162,OptionAnswer_value_121,Could be improved,context_value_947,corrected_value_718,currentOperation_value_984,paused,57,enabled_value_478,2023-11-05,Off-by-one error,exercise_value_118,Sample hint text #621,item_value_790,easy,score,methodStep_value_116,methodname_49,multipleChoiceAnswer_value_413,numberOfFavorites_value_108,numberOfViews_value_133,6,2023-01-04,2023-10-24,Sample question text #33,resolution_value_458,size_value_140,2023-12-11,stepName_85,17,Algebra,2023-08-08,biology,Advanced Geography,Sample tokenized_statement text #765,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
