# CLASS: Player
# IRI: http://surveys.nees.com.br/ontologies/gado_core.owl#Player
# COLUMNS:
#   id: id — Unique identifier, e.g. player_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   masteryScore: data — float[0..1]
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_interactsIn: object — Ref to ['Gamification_Context', 'Gamification_Context']
#   REF_isClassifiedBy: object — Ref to ['Player_Model', 'Player_Model']
#   REF_isDescribedByType: object — Ref to ['Player_Type', 'Player_Type']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
#   REF_satisfies: object — Ref to ['SDT_Autonomy', 'SDT_Competence', 'SDT_Relatedness']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,masteryScore,REF_account_of,REF_has_member,REF_interactsIn,REF_isClassifiedBy,REF_isDescribedByType,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption,REF_satisfies
player_0001,competitive,prefrontal,norepinephrine,Philosophy,75.2,92.05,desiredPoints_value_34,Literature,time_on_task,medium,Concept conflation,hasPG_value_469,hasPS_value_463,hasPT_value_329,typeB,cluster_3,hard,precedence_value_39,0.843,0.283,0.068,hasCalculations_value_4,hasSuggestedTags_value_974,has_Answers_value_802,has_Epoch_value_702,has_Knowledge_value_612,has_token_value_591,superKC_value_498,OptionAnswer_value_605,Could be improved,context_value_533,corrected_value_531,currentOperation_value_342,paused,57,enabled_value_728,2023-01-03,Causal reversal,exercise_value_586,Sample hint text #416,item_value_734,expert,streak_count,methodStep_value_996,methodname_50,multipleChoiceAnswer_value_704,numberOfFavorites_value_453,numberOfViews_value_587,7,2023-10-19,2023-12-06,Sample question text #506,resolution_value_946,size_value_551,2023-11-07,stepName_50,2,Calculus,2023-12-28,computer_science,Advanced History,Sample tokenized_statement text #532,typeC,0.395,,,,,playerType_0001|playerType_0005|playerType_0004,engagementLoop_0010|engagementLoop_0006|engagementLoop_0001,,strategy_0017|strategy_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTRelatedness_0002
player_0002,survivor,hippocampus,serotonin,Literature,87.93,28.05,desiredPoints_value_520,Data Science,time_on_task,easy,Concept conflation,hasPG_value_343,hasPS_value_810,hasPT_value_697,typeA,cluster_4,hard,precedence_value_794,0.395,0.286,0.252,hasCalculations_value_330,hasSuggestedTags_value_422,has_Answers_value_708,has_Epoch_value_907,has_Knowledge_value_198,has_token_value_745,superKC_value_742,OptionAnswer_value_860,Needs more examples,context_value_149,corrected_value_959,currentOperation_value_660,pending,7,enabled_value_375,2023-05-21,Formula inversion,exercise_value_478,Sample hint text #755,item_value_535,hard,mastery_level,methodStep_value_894,methodname_72,multipleChoiceAnswer_value_863,numberOfFavorites_value_858,numberOfViews_value_845,1,2023-06-19,2023-06-09,Sample question text #491,resolution_value_294,size_value_186,2023-01-01,stepName_17,18,Philosophy,2023-12-05,biology,Introduction to Philosophy,Sample tokenized_statement text #818,typeA,0.298,,,,,playerType_0005,engagementLoop_0010,,strategy_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTCompetence_0004|sDTAutonomy_0001|sDTRelatedness_0003
player_0003,competitive,prefrontal,norepinephrine,Philosophy,15.69,55.22,desiredPoints_value_304,Calculus,error_rate,expert,Concept conflation,hasPG_value_789,hasPS_value_430,hasPT_value_325,typeB,cluster_2,hard,precedence_value_240,0.627,0.315,0.94,hasCalculations_value_181,hasSuggestedTags_value_958,has_Answers_value_155,has_Epoch_value_13,has_Knowledge_value_497,has_token_value_141,superKC_value_88,OptionAnswer_value_845,Too abstract,context_value_816,corrected_value_585,currentOperation_value_696,active,47,enabled_value_394,2023-01-06,Sign error,exercise_value_154,Sample hint text #276,item_value_508,easy,time_on_task,methodStep_value_173,methodname_83,multipleChoiceAnswer_value_944,numberOfFavorites_value_707,numberOfViews_value_87,8,2023-12-28,2023-04-15,Sample question text #548,resolution_value_898,size_value_910,2023-01-02,stepName_50,18,History,2023-01-20,statistics,Introduction to Calculus,Sample tokenized_statement text #285,typeA,0.824,,,,,playerType_0002,engagementLoop_0001|engagementLoop_0002,,strategy_0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTCompetence_0005|sDTAutonomy_0004|sDTAutonomy_0003
player_0004,achiever,cerebellum,serotonin,Statistics,12.79,88.37,desiredPoints_value_274,Statistics,xp_earned,easy,Sign error,hasPG_value_41,hasPS_value_644,hasPT_value_393,typeA,cluster_1,hard,precedence_value_326,0.656,0.486,0.279,hasCalculations_value_593,hasSuggestedTags_value_193,has_Answers_value_418,has_Epoch_value_261,has_Knowledge_value_2,has_token_value_830,superKC_value_772,OptionAnswer_value_903,Very clear,context_value_281,corrected_value_101,currentOperation_value_384,active,118,enabled_value_127,2023-09-05,Sign error,exercise_value_175,Sample hint text #295,item_value_116,medium,streak_count,methodStep_value_730,methodname_22,multipleChoiceAnswer_value_763,numberOfFavorites_value_751,numberOfViews_value_591,12,2023-01-03,2023-01-05,Sample question text #251,resolution_value_184,size_value_200,2023-12-06,stepName_93,4,Biology,2023-10-19,statistics,Research Methods,Sample tokenized_statement text #140,typeC,0.771,,,,,playerType_0002|playerType_0005|playerType_0003,engagementLoop_0008|engagementLoop_0001,,strategy_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTAutonomy_0002
player_0005,exploratory,striatum,dopamine,Mathematics,69.04,8.44,desiredPoints_value_843,Calculus,progress_ratio,hard,Sign error,hasPG_value_699,hasPS_value_146,hasPT_value_988,typeA,cluster_1,hard,precedence_value_626,0.479,0.642,1.0,hasCalculations_value_810,hasSuggestedTags_value_184,has_Answers_value_833,has_Epoch_value_884,has_Knowledge_value_877,has_token_value_949,superKC_value_678,OptionAnswer_value_554,Good explanation,context_value_818,corrected_value_301,currentOperation_value_955,completed,86,enabled_value_332,2023-02-23,Causal reversal,exercise_value_634,Sample hint text #664,item_value_312,easy,progress_ratio,methodStep_value_879,methodname_74,multipleChoiceAnswer_value_480,numberOfFavorites_value_967,numberOfViews_value_621,18,2023-02-16,2023-07-08,Sample question text #23,resolution_value_681,size_value_109,2023-10-27,stepName_84,4,Physics,2023-06-09,algebra,Introduction to Literature,Sample tokenized_statement text #750,typeA,0.222,,,,,playerType_0001|playerType_0001|playerType_0002,engagementLoop_0010|engagementLoop_0004|engagementLoop_0001,,strategy_0016|strategy_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTRelatedness_0004
player_0006,competitive,amygdala,acetylcholine,Chemistry,64.77,2.97,desiredPoints_value_27,Philosophy,mastery_level,medium,Causal reversal,hasPG_value_181,hasPS_value_723,hasPT_value_507,typeA,cluster_4,hard,precedence_value_149,0.648,0.668,0.973,hasCalculations_value_625,hasSuggestedTags_value_467,has_Answers_value_134,has_Epoch_value_383,has_Knowledge_value_654,has_token_value_748,superKC_value_720,OptionAnswer_value_130,Good explanation,context_value_762,corrected_value_653,currentOperation_value_323,paused,49,enabled_value_422,2023-12-24,Formula inversion,exercise_value_634,Sample hint text #734,item_value_97,expert,engagement_score,methodStep_value_969,methodname_10,multipleChoiceAnswer_value_915,numberOfFavorites_value_146,numberOfViews_value_476,20,2023-05-26,2023-05-23,Sample question text #20,resolution_value_100,size_value_234,2023-01-12,stepName_74,15,Chemistry,2023-06-26,biology,Introduction to Computer Science,Sample tokenized_statement text #665,typeC,0.872,,,,,playerType_0003|playerType_0001|playerType_0001,engagementLoop_0007|engagementLoop_0001,,strategy_0016|strategy_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTCompetence_0004|sDTCompetence_0003|sDTRelatedness_0005
player_0007,exploratory,prefrontal,dopamine,Data Science,67.22,88.94,desiredPoints_value_839,Data Science,completion_rate,hard,Unit confusion,hasPG_value_47,hasPS_value_275,hasPT_value_15,typeA,cluster_4,easy,precedence_value_439,0.864,0.786,0.52,hasCalculations_value_262,hasSuggestedTags_value_328,has_Answers_value_703,has_Epoch_value_63,has_Knowledge_value_103,has_token_value_327,superKC_value_816,OptionAnswer_value_443,Could be improved,context_value_669,corrected_value_134,currentOperation_value_170,pending,107,enabled_value_554,2023-05-17,Off-by-one error,exercise_value_638,Sample hint text #775,item_value_19,expert,error_rate,methodStep_value_298,methodname_43,multipleChoiceAnswer_value_849,numberOfFavorites_value_661,numberOfViews_value_767,20,2023-09-06,2023-12-15,Sample question text #563,resolution_value_67,size_value_290,2023-08-02,stepName_44,14,History,2023-10-25,computer_science,Research Methods,Sample tokenized_statement text #99,typeB,0.416,,,,,playerType_0003,engagementLoop_0009|engagementLoop_0007,,strategy_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTAutonomy_0004
player_0008,achiever,prefrontal,oxytocin,History,81.82,2.09,desiredPoints_value_653,Chemistry,correct_answers,expert,Concept conflation,hasPG_value_523,hasPS_value_668,hasPT_value_202,typeA,cluster_1,easy,precedence_value_730,0.176,0.769,0.05,hasCalculations_value_350,hasSuggestedTags_value_705,has_Answers_value_157,has_Epoch_value_45,has_Knowledge_value_659,has_token_value_372,superKC_value_410,OptionAnswer_value_265,Too abstract,context_value_630,corrected_value_537,currentOperation_value_10,completed,38,enabled_value_262,2023-01-11,Concept conflation,exercise_value_828,Sample hint text #367,item_value_448,hard,xp_earned,methodStep_value_631,methodname_47,multipleChoiceAnswer_value_81,numberOfFavorites_value_598,numberOfViews_value_835,16,2023-12-09,2023-12-08,Sample question text #795,resolution_value_621,size_value_790,2023-06-02,stepName_33,10,Algebra,2023-12-22,statistics,Research Methods,Sample tokenized_statement text #309,typeC,0.346,,,,,playerType_0005|playerType_0006|playerType_0003,engagementLoop_0001|engagementLoop_0009|engagementLoop_0002,,strategy_0001|strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTCompetence_0005|sDTAutonomy_0002
player_0009,social,hippocampus,dopamine,Algebra,45.27,69.69,desiredPoints_value_874,History,progress_ratio,hard,Unit confusion,hasPG_value_932,hasPS_value_135,hasPT_value_189,typeC,cluster_2,medium,precedence_value_640,0.636,0.335,0.501,hasCalculations_value_471,hasSuggestedTags_value_895,has_Answers_value_304,has_Epoch_value_160,has_Knowledge_value_449,has_token_value_974,superKC_value_985,OptionAnswer_value_929,Challenging but rewarding,context_value_846,corrected_value_936,currentOperation_value_421,completed,5,enabled_value_873,2023-05-20,Unit confusion,exercise_value_844,Sample hint text #663,item_value_350,easy,progress_ratio,methodStep_value_989,methodname_39,multipleChoiceAnswer_value_996,numberOfFavorites_value_453,numberOfViews_value_545,13,2023-12-10,2023-02-14,Sample question text #202,resolution_value_560,size_value_567,2023-03-17,stepName_86,3,Mathematics,2023-12-11,data_science,Advanced History,Sample tokenized_statement text #778,typeA,0.969,,,,,playerType_0002,engagementLoop_0007,,strategy_0019|strategy_0005|strategy_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTAutonomy_0002
player_0010,exploratory,amygdala,norepinephrine,Literature,22.28,62.89,desiredPoints_value_889,Biology,error_rate,easy,Causal reversal,hasPG_value_303,hasPS_value_841,hasPT_value_696,typeA,cluster_2,hard,precedence_value_595,0.853,0.041,0.348,hasCalculations_value_842,hasSuggestedTags_value_303,has_Answers_value_14,has_Epoch_value_470,has_Knowledge_value_683,has_token_value_918,superKC_value_645,OptionAnswer_value_374,Too abstract,context_value_736,corrected_value_414,currentOperation_value_581,pending,113,enabled_value_94,2023-05-13,Causal reversal,exercise_value_931,Sample hint text #454,item_value_216,hard,progress_ratio,methodStep_value_978,methodname_19,multipleChoiceAnswer_value_707,numberOfFavorites_value_517,numberOfViews_value_200,20,2023-07-26,2023-03-12,Sample question text #773,resolution_value_486,size_value_892,2023-08-09,stepName_90,4,Statistics,2023-07-04,algebra,Introduction to Calculus,Sample tokenized_statement text #943,typeB,0.506,,,,,playerType_0006|playerType_0006,engagementLoop_0003|engagementLoop_0010,,strategy_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sDTAutonomy_0004
