# CLASS: ProblemNext
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ProblemNext
# COLUMNS:
#   id: id — Unique identifier, e.g. problemNext_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   score_Max: data — float
#   score_Min: data — float
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,score_Max,score_Min,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
problemNext_0001,exploratory,striatum,acetylcholine,Algebra,0.63,0.598,54.34,29.54,desiredPoints_value_225,Physics,hint_usage,expert,Formula inversion,hasPG_value_334,hasPS_value_254,hasPT_value_679,typeB,cluster_1,medium,precedence_value_476,0.956,0.661,0.348,hasCalculations_value_408,hasSuggestedTags_value_722,has_Answers_value_132,has_Epoch_value_793,has_Knowledge_value_904,has_token_value_496,superKC_value_861,OptionAnswer_value_825,Very clear,context_value_616,corrected_value_422,currentOperation_value_704,completed,8,enabled_value_298,2023-05-17,Sign error,exercise_value_912,Sample hint text #872,item_value_802,expert,error_rate,methodStep_value_576,methodname_99,multipleChoiceAnswer_value_331,numberOfFavorites_value_268,numberOfViews_value_692,11,2023-07-13,2023-08-14,Sample question text #409,resolution_value_267,size_value_935,2023-01-09,stepName_63,8,Geography,2023-11-27,mathematics,Introduction to Philosophy,Sample tokenized_statement text #459,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0002,cooperative,cerebellum,serotonin,Economics,0.206,0.625,94.79,61.33,desiredPoints_value_338,Chemistry,progress_ratio,easy,Causal reversal,hasPG_value_22,hasPS_value_822,hasPT_value_389,typeA,cluster_3,hard,precedence_value_786,0.766,0.063,0.049,hasCalculations_value_216,hasSuggestedTags_value_371,has_Answers_value_549,has_Epoch_value_204,has_Knowledge_value_161,has_token_value_859,superKC_value_549,OptionAnswer_value_406,Could be improved,context_value_235,corrected_value_298,currentOperation_value_821,completed,52,enabled_value_340,2023-07-07,Concept conflation,exercise_value_751,Sample hint text #255,item_value_963,easy,error_rate,methodStep_value_866,methodname_03,multipleChoiceAnswer_value_774,numberOfFavorites_value_963,numberOfViews_value_540,4,2023-09-13,2023-08-02,Sample question text #161,resolution_value_290,size_value_309,2023-01-08,stepName_81,8,Mathematics,2023-05-24,physics,Introduction to Algebra,Sample tokenized_statement text #672,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0003,cooperative,amygdala,dopamine,Physics,0.074,0.722,76.24,41.54,desiredPoints_value_16,Data Science,mastery_level,medium,Off-by-one error,hasPG_value_754,hasPS_value_603,hasPT_value_812,typeB,cluster_2,hard,precedence_value_804,0.324,0.512,0.023,hasCalculations_value_281,hasSuggestedTags_value_470,has_Answers_value_208,has_Epoch_value_103,has_Knowledge_value_271,has_token_value_993,superKC_value_672,OptionAnswer_value_591,Very clear,context_value_386,corrected_value_299,currentOperation_value_440,active,33,enabled_value_991,2023-07-18,Unit confusion,exercise_value_495,Sample hint text #292,item_value_930,medium,correct_answers,methodStep_value_18,methodname_64,multipleChoiceAnswer_value_746,numberOfFavorites_value_404,numberOfViews_value_975,12,2023-09-23,2023-02-15,Sample question text #230,resolution_value_592,size_value_999,2023-01-13,stepName_99,8,Computer Science,2023-06-16,philosophy,Introduction to Biology,Sample tokenized_statement text #659,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0004,exploratory,prefrontal,dopamine,Physics,0.561,0.208,94.21,59.34,desiredPoints_value_86,Chemistry,correct_answers,expert,Concept conflation,hasPG_value_741,hasPS_value_860,hasPT_value_581,typeA,cluster_1,expert,precedence_value_259,0.412,0.741,0.834,hasCalculations_value_38,hasSuggestedTags_value_330,has_Answers_value_706,has_Epoch_value_579,has_Knowledge_value_614,has_token_value_417,superKC_value_893,OptionAnswer_value_6,Too abstract,context_value_707,corrected_value_215,currentOperation_value_774,paused,74,enabled_value_512,2023-06-21,Sign error,exercise_value_330,Sample hint text #473,item_value_726,expert,mastery_level,methodStep_value_569,methodname_95,multipleChoiceAnswer_value_751,numberOfFavorites_value_84,numberOfViews_value_944,4,2023-07-23,2023-02-13,Sample question text #131,resolution_value_776,size_value_14,2023-03-17,stepName_96,4,Chemistry,2023-04-15,calculus,Introduction to Biology,Sample tokenized_statement text #40,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0005,social,prefrontal,oxytocin,Computer Science,0.14,0.874,41.81,0.93,desiredPoints_value_121,Literature,hint_usage,hard,Concept conflation,hasPG_value_331,hasPS_value_630,hasPT_value_911,typeB,cluster_5,medium,precedence_value_145,0.29,0.685,0.803,hasCalculations_value_975,hasSuggestedTags_value_732,has_Answers_value_381,has_Epoch_value_532,has_Knowledge_value_620,has_token_value_258,superKC_value_484,OptionAnswer_value_474,Needs more examples,context_value_959,corrected_value_339,currentOperation_value_950,completed,26,enabled_value_537,2023-12-27,Formula inversion,exercise_value_11,Sample hint text #326,item_value_427,medium,completion_rate,methodStep_value_482,methodname_09,multipleChoiceAnswer_value_6,numberOfFavorites_value_320,numberOfViews_value_719,7,2023-04-23,2023-02-18,Sample question text #470,resolution_value_339,size_value_97,2023-01-20,stepName_60,20,Chemistry,2023-02-12,statistics,Advanced Biology,Sample tokenized_statement text #905,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0006,exploratory,hippocampus,serotonin,History,0.284,0.912,42.62,72.93,desiredPoints_value_377,Philosophy,correct_answers,hard,Concept conflation,hasPG_value_555,hasPS_value_657,hasPT_value_676,typeA,cluster_1,medium,precedence_value_106,0.731,0.28,0.263,hasCalculations_value_105,hasSuggestedTags_value_130,has_Answers_value_817,has_Epoch_value_535,has_Knowledge_value_602,has_token_value_661,superKC_value_785,OptionAnswer_value_393,Too abstract,context_value_590,corrected_value_791,currentOperation_value_874,pending,108,enabled_value_755,2023-10-22,Formula inversion,exercise_value_215,Sample hint text #173,item_value_3,medium,time_on_task,methodStep_value_94,methodname_79,multipleChoiceAnswer_value_151,numberOfFavorites_value_147,numberOfViews_value_169,16,2023-01-11,2023-02-02,Sample question text #141,resolution_value_524,size_value_827,2023-08-14,stepName_86,16,Geography,2023-05-17,algebra,Introduction to Biology,Sample tokenized_statement text #247,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0007,social,striatum,acetylcholine,Data Science,0.474,0.312,52.2,53.07,desiredPoints_value_905,Philosophy,time_on_task,medium,Causal reversal,hasPG_value_854,hasPS_value_285,hasPT_value_729,typeA,cluster_4,expert,precedence_value_502,0.695,0.251,0.12,hasCalculations_value_922,hasSuggestedTags_value_446,has_Answers_value_668,has_Epoch_value_357,has_Knowledge_value_183,has_token_value_26,superKC_value_887,OptionAnswer_value_375,Very clear,context_value_790,corrected_value_687,currentOperation_value_355,paused,32,enabled_value_632,2023-09-07,Formula inversion,exercise_value_384,Sample hint text #184,item_value_956,easy,time_on_task,methodStep_value_453,methodname_47,multipleChoiceAnswer_value_539,numberOfFavorites_value_200,numberOfViews_value_6,19,2023-05-11,2023-02-12,Sample question text #938,resolution_value_260,size_value_515,2023-01-20,stepName_35,2,Statistics,2023-05-21,computer_science,Introduction to Algebra,Sample tokenized_statement text #45,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0008,survivor,amygdala,norepinephrine,Statistics,0.057,0.572,3.04,71.8,desiredPoints_value_483,Philosophy,streak_count,expert,Formula inversion,hasPG_value_178,hasPS_value_485,hasPT_value_768,typeC,cluster_5,easy,precedence_value_40,0.37,0.613,0.713,hasCalculations_value_723,hasSuggestedTags_value_754,has_Answers_value_182,has_Epoch_value_892,has_Knowledge_value_872,has_token_value_135,superKC_value_85,OptionAnswer_value_430,Good explanation,context_value_58,corrected_value_455,currentOperation_value_653,active,45,enabled_value_100,2023-09-09,Sign error,exercise_value_671,Sample hint text #629,item_value_756,easy,attempt_count,methodStep_value_858,methodname_87,multipleChoiceAnswer_value_869,numberOfFavorites_value_922,numberOfViews_value_325,6,2023-10-24,2023-06-17,Sample question text #15,resolution_value_964,size_value_681,2023-07-14,stepName_86,2,Physics,2023-04-27,algebra,Advanced Chemistry,Sample tokenized_statement text #152,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0009,exploratory,hippocampus,serotonin,Computer Science,0.045,0.609,68.87,40.93,desiredPoints_value_651,Data Science,error_rate,hard,Unit confusion,hasPG_value_575,hasPS_value_360,hasPT_value_121,typeB,cluster_4,easy,precedence_value_580,0.93,0.088,0.918,hasCalculations_value_187,hasSuggestedTags_value_748,has_Answers_value_89,has_Epoch_value_191,has_Knowledge_value_326,has_token_value_606,superKC_value_642,OptionAnswer_value_989,Good explanation,context_value_786,corrected_value_174,currentOperation_value_808,active,32,enabled_value_654,2023-06-15,Off-by-one error,exercise_value_899,Sample hint text #742,item_value_966,medium,hint_usage,methodStep_value_858,methodname_88,multipleChoiceAnswer_value_658,numberOfFavorites_value_966,numberOfViews_value_924,7,2023-12-25,2023-12-05,Sample question text #318,resolution_value_55,size_value_389,2023-12-10,stepName_23,9,Chemistry,2023-10-11,literature,Introduction to Computer Science,Sample tokenized_statement text #856,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemNext_0010,exploratory,prefrontal,serotonin,History,0.259,0.44,9.24,35.52,desiredPoints_value_373,Geography,streak_count,expert,Causal reversal,hasPG_value_704,hasPS_value_852,hasPT_value_175,typeA,cluster_5,expert,precedence_value_160,0.538,0.211,0.702,hasCalculations_value_356,hasSuggestedTags_value_662,has_Answers_value_831,has_Epoch_value_699,has_Knowledge_value_816,has_token_value_296,superKC_value_213,OptionAnswer_value_351,Could be improved,context_value_992,corrected_value_516,currentOperation_value_565,pending,16,enabled_value_526,2023-04-09,Sign error,exercise_value_479,Sample hint text #268,item_value_33,easy,mastery_level,methodStep_value_675,methodname_81,multipleChoiceAnswer_value_191,numberOfFavorites_value_487,numberOfViews_value_144,15,2023-10-11,2023-06-19,Sample question text #387,resolution_value_675,size_value_603,2023-01-11,stepName_90,4,Statistics,2023-06-28,mathematics,Introduction to Geography,Sample tokenized_statement text #432,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
