# CLASS: ProblemUnit
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ProblemUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. problemUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   isExplained: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_Problem: object — Ref to ['Problem', 'Problem']
#   REF_has_ProblemNext: object — Ref to ['ProblemNext', 'ProblemNext']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,isExplained,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_Problem,REF_has_ProblemNext,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
problemUnit_0001,survivor,striatum,norepinephrine,Literature,isExplained_value_974,12.32,41.58,desiredPoints_value_43,Algebra,time_on_task,hard,Concept conflation,hasPG_value_972,hasPS_value_335,hasPT_value_999,typeC,cluster_2,expert,precedence_value_30,0.819,0.515,0.184,hasCalculations_value_162,hasSuggestedTags_value_994,has_Answers_value_514,has_Epoch_value_470,has_Knowledge_value_580,has_token_value_321,superKC_value_728,OptionAnswer_value_414,Good explanation,context_value_315,corrected_value_798,currentOperation_value_87,active,77,enabled_value_936,2023-07-13,Off-by-one error,exercise_value_689,Sample hint text #959,item_value_378,medium,progress_ratio,methodStep_value_902,methodname_25,multipleChoiceAnswer_value_162,numberOfFavorites_value_750,numberOfViews_value_346,15,2023-09-20,2023-01-18,Sample question text #517,resolution_value_344,size_value_816,2023-01-14,stepName_73,1,Biology,2023-01-27,data_science,Introduction to Computer Science,Sample tokenized_statement text #293,typeC,,,engagementLoop_0006|engagementLoop_0003|engagementLoop_0009,problem_0004,problemNext_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0002,cooperative,hippocampus,serotonin,Biology,isExplained_value_895,52.82,81.52,desiredPoints_value_372,Statistics,progress_ratio,hard,Causal reversal,hasPG_value_894,hasPS_value_841,hasPT_value_100,typeC,cluster_2,medium,precedence_value_976,0.035,0.152,0.197,hasCalculations_value_809,hasSuggestedTags_value_210,has_Answers_value_249,has_Epoch_value_381,has_Knowledge_value_754,has_token_value_567,superKC_value_154,OptionAnswer_value_228,Needs more examples,context_value_591,corrected_value_554,currentOperation_value_633,pending,13,enabled_value_109,2023-12-04,Sign error,exercise_value_642,Sample hint text #783,item_value_635,expert,xp_earned,methodStep_value_481,methodname_32,multipleChoiceAnswer_value_555,numberOfFavorites_value_844,numberOfViews_value_678,15,2023-10-06,2023-08-18,Sample question text #480,resolution_value_400,size_value_449,2023-09-27,stepName_21,8,Literature,2023-01-21,economics,Critical Thinking,Sample tokenized_statement text #301,typeA,,,engagementLoop_0009,problem_0007|problem_0002,problemNext_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0003,exploratory,amygdala,oxytocin,Literature,isExplained_value_347,45.95,19.8,desiredPoints_value_920,Literature,completion_rate,easy,Formula inversion,hasPG_value_541,hasPS_value_67,hasPT_value_317,typeC,cluster_5,hard,precedence_value_829,0.566,0.626,0.588,hasCalculations_value_720,hasSuggestedTags_value_450,has_Answers_value_145,has_Epoch_value_52,has_Knowledge_value_178,has_token_value_864,superKC_value_605,OptionAnswer_value_527,Good explanation,context_value_65,corrected_value_214,currentOperation_value_11,active,71,enabled_value_279,2023-04-21,Sign error,exercise_value_600,Sample hint text #123,item_value_297,easy,progress_ratio,methodStep_value_723,methodname_71,multipleChoiceAnswer_value_119,numberOfFavorites_value_773,numberOfViews_value_78,15,2023-10-14,2023-04-07,Sample question text #22,resolution_value_641,size_value_346,2023-01-15,stepName_97,9,Philosophy,2023-06-02,calculus,Introduction to Philosophy,Sample tokenized_statement text #290,typeA,,,engagementLoop_0005,problem_0018,problemNext_0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0004,achiever,hippocampus,serotonin,Data Science,isExplained_value_533,28.1,95.16,desiredPoints_value_271,Algebra,score,expert,Off-by-one error,hasPG_value_691,hasPS_value_387,hasPT_value_607,typeA,cluster_4,medium,precedence_value_280,0.831,0.52,0.526,hasCalculations_value_339,hasSuggestedTags_value_885,has_Answers_value_118,has_Epoch_value_968,has_Knowledge_value_913,has_token_value_671,superKC_value_668,OptionAnswer_value_439,Needs more examples,context_value_136,corrected_value_247,currentOperation_value_519,active,30,enabled_value_502,2023-01-24,Unit confusion,exercise_value_495,Sample hint text #730,item_value_681,hard,score,methodStep_value_39,methodname_32,multipleChoiceAnswer_value_488,numberOfFavorites_value_421,numberOfViews_value_950,6,2023-03-14,2023-12-11,Sample question text #616,resolution_value_275,size_value_126,2023-12-11,stepName_17,12,Algebra,2023-09-07,economics,Introduction to Data Science,Sample tokenized_statement text #86,typeB,,,engagementLoop_0001,problem_0014|problem_0005,problemNext_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0005,exploratory,amygdala,acetylcholine,Literature,isExplained_value_843,50.04,80.59,desiredPoints_value_109,Calculus,time_on_task,medium,Causal reversal,hasPG_value_933,hasPS_value_635,hasPT_value_61,typeA,cluster_1,medium,precedence_value_853,0.604,0.101,0.338,hasCalculations_value_791,hasSuggestedTags_value_880,has_Answers_value_946,has_Epoch_value_878,has_Knowledge_value_691,has_token_value_883,superKC_value_350,OptionAnswer_value_702,Good explanation,context_value_860,corrected_value_101,currentOperation_value_565,pending,72,enabled_value_84,2023-02-27,Off-by-one error,exercise_value_97,Sample hint text #293,item_value_394,easy,completion_rate,methodStep_value_196,methodname_99,multipleChoiceAnswer_value_764,numberOfFavorites_value_380,numberOfViews_value_256,11,2023-11-26,2023-10-13,Sample question text #522,resolution_value_167,size_value_523,2023-10-01,stepName_13,9,Mathematics,2023-09-04,calculus,Introduction to History,Sample tokenized_statement text #710,typeA,,,engagementLoop_0004|engagementLoop_0008,problem_0006,problemNext_0005|problemNext_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0006,competitive,prefrontal,acetylcholine,Physics,isExplained_value_407,56.1,18.01,desiredPoints_value_542,Statistics,mastery_level,hard,Formula inversion,hasPG_value_525,hasPS_value_790,hasPT_value_703,typeB,cluster_1,easy,precedence_value_875,0.616,0.844,0.532,hasCalculations_value_315,hasSuggestedTags_value_511,has_Answers_value_686,has_Epoch_value_920,has_Knowledge_value_455,has_token_value_766,superKC_value_47,OptionAnswer_value_357,Good explanation,context_value_13,corrected_value_664,currentOperation_value_838,pending,65,enabled_value_239,2023-01-21,Concept conflation,exercise_value_32,Sample hint text #190,item_value_530,medium,score,methodStep_value_221,methodname_15,multipleChoiceAnswer_value_722,numberOfFavorites_value_81,numberOfViews_value_714,10,2023-09-06,2023-05-21,Sample question text #908,resolution_value_877,size_value_95,2023-12-10,stepName_95,8,Mathematics,2023-05-25,history,Introduction to Philosophy,Sample tokenized_statement text #391,typeC,,,engagementLoop_0008|engagementLoop_0009,problem_0010|problem_0001,problemNext_0007|problemNext_0015|problemNext_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0007,achiever,hippocampus,dopamine,Physics,isExplained_value_605,45.16,52.6,desiredPoints_value_748,Philosophy,time_on_task,medium,Unit confusion,hasPG_value_369,hasPS_value_8,hasPT_value_63,typeB,cluster_1,hard,precedence_value_92,0.667,0.198,0.044,hasCalculations_value_27,hasSuggestedTags_value_454,has_Answers_value_795,has_Epoch_value_399,has_Knowledge_value_880,has_token_value_400,superKC_value_73,OptionAnswer_value_489,Good explanation,context_value_397,corrected_value_720,currentOperation_value_953,active,54,enabled_value_702,2023-12-13,Concept conflation,exercise_value_752,Sample hint text #275,item_value_876,expert,hint_usage,methodStep_value_816,methodname_89,multipleChoiceAnswer_value_552,numberOfFavorites_value_691,numberOfViews_value_934,5,2023-11-01,2023-10-17,Sample question text #501,resolution_value_130,size_value_544,2023-05-25,stepName_67,3,Economics,2023-02-18,literature,Advanced History,Sample tokenized_statement text #403,typeC,,,engagementLoop_0008,problem_0017|problem_0004,problemNext_0004|problemNext_0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0008,cooperative,amygdala,acetylcholine,Algebra,isExplained_value_473,17.11,79.09,desiredPoints_value_800,Philosophy,correct_answers,medium,Causal reversal,hasPG_value_989,hasPS_value_414,hasPT_value_157,typeA,cluster_5,easy,precedence_value_418,0.008,0.661,0.273,hasCalculations_value_694,hasSuggestedTags_value_944,has_Answers_value_302,has_Epoch_value_975,has_Knowledge_value_113,has_token_value_489,superKC_value_754,OptionAnswer_value_718,Needs more examples,context_value_885,corrected_value_199,currentOperation_value_70,active,13,enabled_value_450,2023-01-23,Formula inversion,exercise_value_434,Sample hint text #844,item_value_540,expert,time_on_task,methodStep_value_838,methodname_57,multipleChoiceAnswer_value_138,numberOfFavorites_value_103,numberOfViews_value_715,18,2023-06-26,2023-09-19,Sample question text #221,resolution_value_863,size_value_355,2023-09-09,stepName_94,2,Algebra,2023-05-16,mathematics,Introduction to Data Science,Sample tokenized_statement text #711,typeB,,,engagementLoop_0006,problem_0001|problem_0005,problemNext_0005|problemNext_0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0009,competitive,striatum,norepinephrine,Literature,isExplained_value_400,41.96,9.51,desiredPoints_value_470,Algebra,score,easy,Off-by-one error,hasPG_value_144,hasPS_value_40,hasPT_value_960,typeB,cluster_1,easy,precedence_value_535,0.689,0.018,0.338,hasCalculations_value_540,hasSuggestedTags_value_787,has_Answers_value_581,has_Epoch_value_197,has_Knowledge_value_784,has_token_value_377,superKC_value_584,OptionAnswer_value_433,Very clear,context_value_647,corrected_value_604,currentOperation_value_828,completed,107,enabled_value_971,2023-07-06,Unit confusion,exercise_value_739,Sample hint text #893,item_value_348,medium,attempt_count,methodStep_value_472,methodname_54,multipleChoiceAnswer_value_81,numberOfFavorites_value_358,numberOfViews_value_29,8,2023-04-12,2023-10-26,Sample question text #644,resolution_value_526,size_value_662,2023-05-18,stepName_07,17,Literature,2023-02-17,literature,Research Methods,Sample tokenized_statement text #779,typeC,,,engagementLoop_0007|engagementLoop_0007|engagementLoop_0001,problem_0014|problem_0018,problemNext_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problemUnit_0010,achiever,cerebellum,acetylcholine,Economics,isExplained_value_383,21.69,82.62,desiredPoints_value_127,Data Science,xp_earned,easy,Off-by-one error,hasPG_value_730,hasPS_value_247,hasPT_value_225,typeC,cluster_5,medium,precedence_value_10,0.565,0.281,0.047,hasCalculations_value_502,hasSuggestedTags_value_955,has_Answers_value_833,has_Epoch_value_896,has_Knowledge_value_431,has_token_value_353,superKC_value_568,OptionAnswer_value_317,Could be improved,context_value_942,corrected_value_915,currentOperation_value_673,active,18,enabled_value_914,2023-05-02,Unit confusion,exercise_value_444,Sample hint text #341,item_value_754,easy,completion_rate,methodStep_value_855,methodname_46,multipleChoiceAnswer_value_461,numberOfFavorites_value_562,numberOfViews_value_501,2,2023-11-24,2023-10-02,Sample question text #626,resolution_value_333,size_value_626,2023-01-05,stepName_88,15,Data Science,2023-10-19,mathematics,Introduction to Economics,Sample tokenized_statement text #401,typeA,,,engagementLoop_0010|engagementLoop_0003,problem_0017|problem_0008|problem_0014,problemNext_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
