# CLASS: Progressive_Loop
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#Progressive_Loop
# COLUMNS:
#   id: id — Unique identifier, e.g. progressiveLoop_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   loopDifficulty: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_leadsTo: object — Ref to ['Target_Behavior', 'Target_Behavior']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,loopDifficulty,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_leadsTo,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
progressiveLoop_0001,cooperative,hippocampus,oxytocin,Biology,0.75,9.6,1.46,desiredPoints_value_573,Economics,error_rate,medium,Unit confusion,hasPG_value_503,hasPS_value_844,hasPT_value_674,typeA,cluster_1,expert,precedence_value_896,0.649,0.718,0.735,hasCalculations_value_408,hasSuggestedTags_value_736,has_Answers_value_247,has_Epoch_value_469,has_Knowledge_value_64,has_token_value_232,superKC_value_924,OptionAnswer_value_381,Too abstract,context_value_634,corrected_value_361,currentOperation_value_907,active,45,enabled_value_127,2023-07-15,Formula inversion,exercise_value_772,Sample hint text #79,item_value_447,expert,completion_rate,methodStep_value_587,methodname_52,multipleChoiceAnswer_value_897,numberOfFavorites_value_825,numberOfViews_value_992,12,2023-09-28,2023-07-28,Sample question text #765,resolution_value_198,size_value_396,2023-01-05,stepName_47,8,Calculus,2023-07-17,computer_science,Introduction to Literature,Sample tokenized_statement text #949,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0002,achiever,prefrontal,serotonin,Geography,0.79,35.96,80.51,desiredPoints_value_968,Mathematics,correct_answers,hard,Off-by-one error,hasPG_value_628,hasPS_value_450,hasPT_value_573,typeB,cluster_2,expert,precedence_value_934,0.097,0.84,0.915,hasCalculations_value_652,hasSuggestedTags_value_911,has_Answers_value_295,has_Epoch_value_914,has_Knowledge_value_121,has_token_value_773,superKC_value_58,OptionAnswer_value_53,Could be improved,context_value_5,corrected_value_448,currentOperation_value_399,pending,74,enabled_value_300,2023-09-10,Sign error,exercise_value_873,Sample hint text #729,item_value_774,medium,error_rate,methodStep_value_775,methodname_01,multipleChoiceAnswer_value_284,numberOfFavorites_value_441,numberOfViews_value_64,8,2023-12-26,2023-06-27,Sample question text #666,resolution_value_732,size_value_425,2023-01-23,stepName_69,20,Data Science,2023-11-16,mathematics,Introduction to Algebra,Sample tokenized_statement text #283,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0003,survivor,prefrontal,acetylcholine,Geography,0.38,28.46,46.75,desiredPoints_value_626,Mathematics,streak_count,hard,Causal reversal,hasPG_value_568,hasPS_value_842,hasPT_value_249,typeA,cluster_3,expert,precedence_value_16,0.126,0.655,0.577,hasCalculations_value_164,hasSuggestedTags_value_870,has_Answers_value_467,has_Epoch_value_436,has_Knowledge_value_270,has_token_value_378,superKC_value_117,OptionAnswer_value_193,Good explanation,context_value_703,corrected_value_967,currentOperation_value_787,active,46,enabled_value_944,2023-11-26,Off-by-one error,exercise_value_919,Sample hint text #875,item_value_122,hard,engagement_score,methodStep_value_337,methodname_39,multipleChoiceAnswer_value_494,numberOfFavorites_value_215,numberOfViews_value_925,18,2023-09-25,2023-01-18,Sample question text #290,resolution_value_185,size_value_497,2023-05-01,stepName_49,6,Economics,2023-03-17,geography,Introduction to Mathematics,Sample tokenized_statement text #456,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0004,cooperative,prefrontal,dopamine,Geography,0.66,96.21,36.07,desiredPoints_value_328,Calculus,attempt_count,easy,Off-by-one error,hasPG_value_194,hasPS_value_338,hasPT_value_161,typeB,cluster_4,easy,precedence_value_95,0.801,0.553,0.474,hasCalculations_value_780,hasSuggestedTags_value_794,has_Answers_value_354,has_Epoch_value_14,has_Knowledge_value_737,has_token_value_371,superKC_value_126,OptionAnswer_value_214,Challenging but rewarding,context_value_765,corrected_value_709,currentOperation_value_124,pending,16,enabled_value_526,2023-01-12,Causal reversal,exercise_value_95,Sample hint text #842,item_value_297,easy,completion_rate,methodStep_value_23,methodname_92,multipleChoiceAnswer_value_959,numberOfFavorites_value_845,numberOfViews_value_4,16,2023-05-21,2023-01-09,Sample question text #753,resolution_value_383,size_value_70,2023-06-14,stepName_75,20,Calculus,2023-04-07,algebra,Introduction to History,Sample tokenized_statement text #485,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0005,cooperative,striatum,oxytocin,Philosophy,0.54,44.81,51.09,desiredPoints_value_858,Philosophy,time_on_task,easy,Concept conflation,hasPG_value_959,hasPS_value_155,hasPT_value_691,typeB,cluster_2,medium,precedence_value_618,0.048,0.979,0.367,hasCalculations_value_204,hasSuggestedTags_value_422,has_Answers_value_831,has_Epoch_value_47,has_Knowledge_value_450,has_token_value_83,superKC_value_153,OptionAnswer_value_309,Good explanation,context_value_209,corrected_value_489,currentOperation_value_211,pending,83,enabled_value_89,2023-03-21,Unit confusion,exercise_value_549,Sample hint text #834,item_value_72,medium,correct_answers,methodStep_value_399,methodname_75,multipleChoiceAnswer_value_295,numberOfFavorites_value_891,numberOfViews_value_195,14,2023-05-07,2023-07-12,Sample question text #695,resolution_value_710,size_value_200,2023-02-22,stepName_40,11,Data Science,2023-10-26,history,Introduction to Data Science,Sample tokenized_statement text #976,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0006,competitive,amygdala,dopamine,Algebra,0.41,99.22,91.61,desiredPoints_value_391,Data Science,time_on_task,easy,Concept conflation,hasPG_value_459,hasPS_value_633,hasPT_value_564,typeC,cluster_4,expert,precedence_value_800,0.228,0.976,0.76,hasCalculations_value_132,hasSuggestedTags_value_204,has_Answers_value_9,has_Epoch_value_288,has_Knowledge_value_160,has_token_value_830,superKC_value_845,OptionAnswer_value_216,Needs more examples,context_value_833,corrected_value_228,currentOperation_value_709,completed,18,enabled_value_678,2023-10-13,Off-by-one error,exercise_value_787,Sample hint text #149,item_value_333,easy,progress_ratio,methodStep_value_744,methodname_92,multipleChoiceAnswer_value_675,numberOfFavorites_value_158,numberOfViews_value_508,1,2023-05-01,2023-01-25,Sample question text #318,resolution_value_252,size_value_794,2023-09-14,stepName_49,14,Economics,2023-05-15,mathematics,Advanced Physics,Sample tokenized_statement text #668,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0007,survivor,prefrontal,acetylcholine,Geography,0.15,73.37,60.6,desiredPoints_value_976,Literature,time_on_task,expert,Concept conflation,hasPG_value_30,hasPS_value_366,hasPT_value_211,typeB,cluster_2,easy,precedence_value_864,0.555,0.526,0.961,hasCalculations_value_207,hasSuggestedTags_value_195,has_Answers_value_905,has_Epoch_value_875,has_Knowledge_value_45,has_token_value_578,superKC_value_472,OptionAnswer_value_31,Good explanation,context_value_624,corrected_value_817,currentOperation_value_595,completed,42,enabled_value_476,2023-08-02,Causal reversal,exercise_value_704,Sample hint text #478,item_value_371,easy,mastery_level,methodStep_value_710,methodname_51,multipleChoiceAnswer_value_142,numberOfFavorites_value_107,numberOfViews_value_4,19,2023-09-22,2023-11-26,Sample question text #672,resolution_value_850,size_value_923,2023-07-27,stepName_25,13,Computer Science,2023-09-22,chemistry,Advanced Chemistry,Sample tokenized_statement text #665,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0008,social,cerebellum,oxytocin,Literature,0.82,1.38,77.5,desiredPoints_value_921,Literature,mastery_level,easy,Sign error,hasPG_value_499,hasPS_value_603,hasPT_value_49,typeB,cluster_2,hard,precedence_value_176,0.544,0.266,0.323,hasCalculations_value_952,hasSuggestedTags_value_24,has_Answers_value_433,has_Epoch_value_560,has_Knowledge_value_795,has_token_value_77,superKC_value_694,OptionAnswer_value_461,Challenging but rewarding,context_value_138,corrected_value_161,currentOperation_value_647,pending,17,enabled_value_682,2023-10-20,Formula inversion,exercise_value_620,Sample hint text #454,item_value_9,medium,score,methodStep_value_43,methodname_72,multipleChoiceAnswer_value_64,numberOfFavorites_value_544,numberOfViews_value_218,9,2023-09-24,2023-01-20,Sample question text #560,resolution_value_937,size_value_871,2023-06-24,stepName_34,9,Economics,2023-08-18,philosophy,Introduction to Physics,Sample tokenized_statement text #967,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0009,achiever,prefrontal,serotonin,History,0.86,90.01,31.83,desiredPoints_value_387,Data Science,engagement_score,medium,Formula inversion,hasPG_value_62,hasPS_value_188,hasPT_value_103,typeA,cluster_1,easy,precedence_value_433,0.703,0.748,0.415,hasCalculations_value_58,hasSuggestedTags_value_328,has_Answers_value_945,has_Epoch_value_656,has_Knowledge_value_621,has_token_value_906,superKC_value_592,OptionAnswer_value_488,Could be improved,context_value_701,corrected_value_311,currentOperation_value_228,active,72,enabled_value_511,2023-12-18,Off-by-one error,exercise_value_863,Sample hint text #720,item_value_217,expert,mastery_level,methodStep_value_178,methodname_83,multipleChoiceAnswer_value_795,numberOfFavorites_value_343,numberOfViews_value_723,8,2023-08-04,2023-03-14,Sample question text #753,resolution_value_898,size_value_896,2023-09-17,stepName_64,1,History,2023-02-11,algebra,Introduction to Statistics,Sample tokenized_statement text #499,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressiveLoop_0010,competitive,prefrontal,acetylcholine,Biology,0.37,28.37,16.71,desiredPoints_value_994,Physics,engagement_score,hard,Formula inversion,hasPG_value_141,hasPS_value_277,hasPT_value_493,typeC,cluster_5,hard,precedence_value_989,0.723,0.246,0.835,hasCalculations_value_509,hasSuggestedTags_value_558,has_Answers_value_163,has_Epoch_value_461,has_Knowledge_value_232,has_token_value_740,superKC_value_827,OptionAnswer_value_40,Too abstract,context_value_665,corrected_value_885,currentOperation_value_632,paused,57,enabled_value_446,2023-03-02,Concept conflation,exercise_value_317,Sample hint text #845,item_value_15,expert,mastery_level,methodStep_value_281,methodname_92,multipleChoiceAnswer_value_938,numberOfFavorites_value_411,numberOfViews_value_260,1,2023-02-11,2023-08-15,Sample question text #302,resolution_value_417,size_value_994,2023-07-05,stepName_15,20,Philosophy,2023-12-16,economics,Research Methods,Sample tokenized_statement text #325,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
