# CLASS: Question
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Question
# COLUMNS:
#   id: id — Unique identifier, e.g. question_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
question_0001,survivor,amygdala,acetylcholine,Chemistry,65.26,72.12,desiredPoints_value_461,Physics,progress_ratio,medium,Formula inversion,hasPG_value_27,hasPS_value_779,hasPT_value_132,typeC,cluster_4,easy,precedence_value_125,0.561,0.513,0.865,hasCalculations_value_758,hasSuggestedTags_value_121,has_Answers_value_28,has_Epoch_value_621,has_Knowledge_value_908,has_token_value_962,superKC_value_807,OptionAnswer_value_226,Very clear,context_value_859,corrected_value_4,currentOperation_value_602,active,80,enabled_value_286,2023-10-01,Concept conflation,exercise_value_69,Sample hint text #670,item_value_479,easy,error_rate,methodStep_value_894,methodname_26,multipleChoiceAnswer_value_140,numberOfFavorites_value_512,numberOfViews_value_707,13,2023-11-06,2023-09-01,Sample question text #353,resolution_value_952,size_value_865,2023-11-22,stepName_89,17,Computer Science,2023-08-27,computer_science,Advanced Physics,Sample tokenized_statement text #804,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0002,competitive,amygdala,oxytocin,Computer Science,13.41,38.57,desiredPoints_value_133,Physics,score,hard,Formula inversion,hasPG_value_664,hasPS_value_672,hasPT_value_792,typeC,cluster_5,expert,precedence_value_314,0.434,0.964,0.45,hasCalculations_value_651,hasSuggestedTags_value_326,has_Answers_value_985,has_Epoch_value_609,has_Knowledge_value_371,has_token_value_400,superKC_value_713,OptionAnswer_value_818,Challenging but rewarding,context_value_703,corrected_value_115,currentOperation_value_608,completed,24,enabled_value_38,2023-06-28,Off-by-one error,exercise_value_995,Sample hint text #210,item_value_378,expert,time_on_task,methodStep_value_877,methodname_94,multipleChoiceAnswer_value_854,numberOfFavorites_value_583,numberOfViews_value_957,15,2023-05-24,2023-09-26,Sample question text #687,resolution_value_625,size_value_179,2023-06-02,stepName_07,16,Geography,2023-02-14,computer_science,Project Management,Sample tokenized_statement text #273,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0003,achiever,striatum,acetylcholine,Biology,36.31,12.06,desiredPoints_value_134,Data Science,score,expert,Causal reversal,hasPG_value_509,hasPS_value_269,hasPT_value_522,typeB,cluster_3,expert,precedence_value_462,0.607,0.374,0.985,hasCalculations_value_951,hasSuggestedTags_value_638,has_Answers_value_683,has_Epoch_value_695,has_Knowledge_value_968,has_token_value_342,superKC_value_671,OptionAnswer_value_564,Too abstract,context_value_222,corrected_value_550,currentOperation_value_241,pending,54,enabled_value_619,2023-10-19,Formula inversion,exercise_value_770,Sample hint text #128,item_value_182,hard,completion_rate,methodStep_value_792,methodname_05,multipleChoiceAnswer_value_863,numberOfFavorites_value_83,numberOfViews_value_627,7,2023-01-23,2023-07-09,Sample question text #437,resolution_value_656,size_value_592,2023-02-05,stepName_49,16,Physics,2023-10-03,philosophy,Introduction to Calculus,Sample tokenized_statement text #986,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0004,achiever,prefrontal,serotonin,Geography,23.9,3.76,desiredPoints_value_643,Physics,time_on_task,expert,Concept conflation,hasPG_value_222,hasPS_value_41,hasPT_value_329,typeC,cluster_4,medium,precedence_value_528,0.798,0.724,0.477,hasCalculations_value_238,hasSuggestedTags_value_242,has_Answers_value_338,has_Epoch_value_864,has_Knowledge_value_340,has_token_value_183,superKC_value_434,OptionAnswer_value_707,Needs more examples,context_value_55,corrected_value_140,currentOperation_value_613,pending,104,enabled_value_563,2023-08-09,Formula inversion,exercise_value_517,Sample hint text #127,item_value_117,medium,mastery_level,methodStep_value_162,methodname_52,multipleChoiceAnswer_value_606,numberOfFavorites_value_876,numberOfViews_value_681,19,2023-04-10,2023-12-12,Sample question text #126,resolution_value_463,size_value_237,2023-10-06,stepName_17,5,Philosophy,2023-04-03,computer_science,Advanced Literature,Sample tokenized_statement text #472,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0005,social,amygdala,dopamine,Algebra,24.43,65.1,desiredPoints_value_703,Data Science,engagement_score,hard,Causal reversal,hasPG_value_664,hasPS_value_57,hasPT_value_324,typeB,cluster_4,expert,precedence_value_743,0.483,0.845,0.079,hasCalculations_value_308,hasSuggestedTags_value_209,has_Answers_value_76,has_Epoch_value_937,has_Knowledge_value_129,has_token_value_686,superKC_value_309,OptionAnswer_value_217,Too abstract,context_value_657,corrected_value_327,currentOperation_value_212,pending,36,enabled_value_515,2023-12-03,Off-by-one error,exercise_value_707,Sample hint text #339,item_value_507,hard,error_rate,methodStep_value_878,methodname_76,multipleChoiceAnswer_value_145,numberOfFavorites_value_922,numberOfViews_value_992,15,2023-03-02,2023-10-09,Sample question text #528,resolution_value_36,size_value_751,2023-04-13,stepName_76,12,Computer Science,2023-11-12,literature,Introduction to Geography,Sample tokenized_statement text #904,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0006,exploratory,prefrontal,serotonin,Philosophy,10.04,53.58,desiredPoints_value_912,Calculus,engagement_score,easy,Concept conflation,hasPG_value_550,hasPS_value_323,hasPT_value_333,typeA,cluster_4,hard,precedence_value_234,0.774,0.579,0.916,hasCalculations_value_273,hasSuggestedTags_value_822,has_Answers_value_109,has_Epoch_value_62,has_Knowledge_value_805,has_token_value_735,superKC_value_70,OptionAnswer_value_17,Too abstract,context_value_150,corrected_value_879,currentOperation_value_499,paused,38,enabled_value_638,2023-04-12,Unit confusion,exercise_value_862,Sample hint text #599,item_value_154,easy,error_rate,methodStep_value_110,methodname_68,multipleChoiceAnswer_value_819,numberOfFavorites_value_73,numberOfViews_value_518,18,2023-11-20,2023-07-20,Sample question text #916,resolution_value_961,size_value_638,2023-11-04,stepName_28,5,Algebra,2023-11-19,biology,Introduction to Data Science,Sample tokenized_statement text #460,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0007,cooperative,cerebellum,norepinephrine,Algebra,50.28,63.42,desiredPoints_value_104,Physics,attempt_count,expert,Off-by-one error,hasPG_value_876,hasPS_value_194,hasPT_value_307,typeB,cluster_3,expert,precedence_value_55,0.643,0.871,0.837,hasCalculations_value_294,hasSuggestedTags_value_862,has_Answers_value_956,has_Epoch_value_900,has_Knowledge_value_704,has_token_value_166,superKC_value_394,OptionAnswer_value_192,Too abstract,context_value_853,corrected_value_964,currentOperation_value_343,pending,41,enabled_value_427,2023-03-01,Sign error,exercise_value_985,Sample hint text #127,item_value_851,medium,attempt_count,methodStep_value_727,methodname_33,multipleChoiceAnswer_value_813,numberOfFavorites_value_399,numberOfViews_value_638,6,2023-03-22,2023-04-19,Sample question text #292,resolution_value_5,size_value_502,2023-02-25,stepName_57,8,Statistics,2023-05-08,history,Introduction to Algebra,Sample tokenized_statement text #393,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0008,achiever,amygdala,norepinephrine,Computer Science,68.52,72.07,desiredPoints_value_52,Literature,error_rate,medium,Concept conflation,hasPG_value_539,hasPS_value_874,hasPT_value_79,typeA,cluster_4,hard,precedence_value_111,0.391,0.337,0.075,hasCalculations_value_648,hasSuggestedTags_value_781,has_Answers_value_756,has_Epoch_value_88,has_Knowledge_value_758,has_token_value_182,superKC_value_1,OptionAnswer_value_935,Needs more examples,context_value_170,corrected_value_299,currentOperation_value_649,active,67,enabled_value_347,2023-07-03,Formula inversion,exercise_value_527,Sample hint text #43,item_value_928,hard,correct_answers,methodStep_value_260,methodname_86,multipleChoiceAnswer_value_850,numberOfFavorites_value_88,numberOfViews_value_542,11,2023-05-04,2023-04-07,Sample question text #691,resolution_value_202,size_value_446,2023-07-12,stepName_94,1,Chemistry,2023-09-11,philosophy,Introduction to Chemistry,Sample tokenized_statement text #337,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0009,survivor,amygdala,oxytocin,Physics,43.92,61.26,desiredPoints_value_683,Geography,xp_earned,expert,Concept conflation,hasPG_value_175,hasPS_value_580,hasPT_value_61,typeC,cluster_3,medium,precedence_value_756,0.803,0.593,0.17,hasCalculations_value_834,hasSuggestedTags_value_599,has_Answers_value_884,has_Epoch_value_119,has_Knowledge_value_659,has_token_value_703,superKC_value_106,OptionAnswer_value_667,Too abstract,context_value_164,corrected_value_585,currentOperation_value_597,pending,69,enabled_value_116,2023-05-04,Unit confusion,exercise_value_8,Sample hint text #770,item_value_87,medium,mastery_level,methodStep_value_985,methodname_47,multipleChoiceAnswer_value_711,numberOfFavorites_value_721,numberOfViews_value_407,19,2023-10-07,2023-10-04,Sample question text #292,resolution_value_876,size_value_173,2023-07-11,stepName_20,1,Physics,2023-03-27,data_science,Introduction to Mathematics,Sample tokenized_statement text #111,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question_0010,exploratory,hippocampus,serotonin,Mathematics,61.93,50.61,desiredPoints_value_310,Data Science,hint_usage,expert,Concept conflation,hasPG_value_516,hasPS_value_526,hasPT_value_984,typeC,cluster_4,expert,precedence_value_373,0.624,0.544,0.691,hasCalculations_value_151,hasSuggestedTags_value_475,has_Answers_value_192,has_Epoch_value_963,has_Knowledge_value_819,has_token_value_615,superKC_value_128,OptionAnswer_value_254,Could be improved,context_value_395,corrected_value_469,currentOperation_value_909,pending,82,enabled_value_975,2023-02-14,Unit confusion,exercise_value_980,Sample hint text #280,item_value_711,easy,attempt_count,methodStep_value_196,methodname_20,multipleChoiceAnswer_value_737,numberOfFavorites_value_117,numberOfViews_value_574,1,2023-02-04,2023-04-02,Sample question text #530,resolution_value_323,size_value_904,2023-03-07,stepName_14,12,Literature,2023-09-25,chemistry,Introduction to Computer Science,Sample tokenized_statement text #297,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
