# CLASS: Resolution
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Resolution
# COLUMNS:
#   id: id — Unique identifier, e.g. resolution_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
resolution_0001,survivor,amygdala,oxytocin,Literature,40.89,8.18,desiredPoints_value_429,History,hint_usage,medium,Formula inversion,hasPG_value_130,hasPS_value_789,hasPT_value_300,typeB,cluster_4,easy,precedence_value_713,0.259,0.549,0.47,hasCalculations_value_118,hasSuggestedTags_value_825,has_Answers_value_17,has_Epoch_value_121,has_Knowledge_value_515,has_token_value_475,superKC_value_478,OptionAnswer_value_798,Good explanation,context_value_237,corrected_value_249,currentOperation_value_161,pending,64,enabled_value_796,2023-01-23,Unit confusion,exercise_value_676,Sample hint text #301,item_value_230,easy,engagement_score,methodStep_value_251,methodname_18,multipleChoiceAnswer_value_316,numberOfFavorites_value_861,numberOfViews_value_386,14,2023-09-19,2023-10-28,Sample question text #495,resolution_value_674,size_value_914,2023-05-20,stepName_87,2,Algebra,2023-04-21,algebra,Introduction to Physics,Sample tokenized_statement text #268,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0002,achiever,hippocampus,acetylcholine,Computer Science,62.43,87.84,desiredPoints_value_513,Philosophy,progress_ratio,medium,Unit confusion,hasPG_value_414,hasPS_value_862,hasPT_value_588,typeA,cluster_3,expert,precedence_value_23,0.283,0.527,0.105,hasCalculations_value_958,hasSuggestedTags_value_697,has_Answers_value_197,has_Epoch_value_61,has_Knowledge_value_96,has_token_value_524,superKC_value_437,OptionAnswer_value_787,Too abstract,context_value_251,corrected_value_140,currentOperation_value_254,active,109,enabled_value_271,2023-06-23,Formula inversion,exercise_value_836,Sample hint text #381,item_value_100,easy,completion_rate,methodStep_value_475,methodname_48,multipleChoiceAnswer_value_609,numberOfFavorites_value_83,numberOfViews_value_920,16,2023-01-01,2023-04-09,Sample question text #248,resolution_value_926,size_value_778,2023-08-09,stepName_26,5,Geography,2023-07-26,statistics,Advanced Physics,Sample tokenized_statement text #304,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0003,survivor,amygdala,serotonin,Literature,13.81,9.14,desiredPoints_value_665,Statistics,completion_rate,medium,Off-by-one error,hasPG_value_75,hasPS_value_842,hasPT_value_345,typeB,cluster_1,easy,precedence_value_117,0.592,0.92,0.027,hasCalculations_value_141,hasSuggestedTags_value_29,has_Answers_value_389,has_Epoch_value_12,has_Knowledge_value_501,has_token_value_105,superKC_value_254,OptionAnswer_value_755,Very clear,context_value_666,corrected_value_598,currentOperation_value_209,active,105,enabled_value_34,2023-06-28,Sign error,exercise_value_181,Sample hint text #78,item_value_692,hard,hint_usage,methodStep_value_168,methodname_83,multipleChoiceAnswer_value_886,numberOfFavorites_value_435,numberOfViews_value_803,15,2023-11-08,2023-12-25,Sample question text #375,resolution_value_836,size_value_205,2023-09-09,stepName_86,5,Geography,2023-07-04,physics,Introduction to Calculus,Sample tokenized_statement text #112,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0004,exploratory,cerebellum,oxytocin,Data Science,61.11,27.01,desiredPoints_value_146,Literature,xp_earned,easy,Concept conflation,hasPG_value_282,hasPS_value_872,hasPT_value_847,typeB,cluster_3,medium,precedence_value_450,0.763,0.997,0.317,hasCalculations_value_995,hasSuggestedTags_value_158,has_Answers_value_412,has_Epoch_value_543,has_Knowledge_value_131,has_token_value_738,superKC_value_657,OptionAnswer_value_640,Too abstract,context_value_62,corrected_value_547,currentOperation_value_110,pending,113,enabled_value_627,2023-10-27,Causal reversal,exercise_value_319,Sample hint text #991,item_value_33,medium,time_on_task,methodStep_value_137,methodname_25,multipleChoiceAnswer_value_356,numberOfFavorites_value_569,numberOfViews_value_380,19,2023-04-27,2023-06-17,Sample question text #58,resolution_value_711,size_value_212,2023-11-24,stepName_81,11,Statistics,2023-03-17,economics,Introduction to Mathematics,Sample tokenized_statement text #345,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0005,social,amygdala,dopamine,Calculus,49.71,66.57,desiredPoints_value_91,Philosophy,streak_count,expert,Sign error,hasPG_value_370,hasPS_value_266,hasPT_value_808,typeB,cluster_2,hard,precedence_value_186,0.28,0.701,0.492,hasCalculations_value_495,hasSuggestedTags_value_260,has_Answers_value_293,has_Epoch_value_798,has_Knowledge_value_932,has_token_value_281,superKC_value_580,OptionAnswer_value_400,Too abstract,context_value_814,corrected_value_602,currentOperation_value_252,active,44,enabled_value_438,2023-05-26,Off-by-one error,exercise_value_50,Sample hint text #446,item_value_9,expert,progress_ratio,methodStep_value_545,methodname_66,multipleChoiceAnswer_value_947,numberOfFavorites_value_139,numberOfViews_value_400,10,2023-09-14,2023-03-24,Sample question text #688,resolution_value_469,size_value_373,2023-06-26,stepName_27,16,Computer Science,2023-10-08,algebra,Advanced Biology,Sample tokenized_statement text #361,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0006,exploratory,striatum,dopamine,Philosophy,10.07,12.13,desiredPoints_value_908,Calculus,hint_usage,easy,Formula inversion,hasPG_value_161,hasPS_value_881,hasPT_value_370,typeB,cluster_3,medium,precedence_value_618,0.435,0.093,0.434,hasCalculations_value_588,hasSuggestedTags_value_854,has_Answers_value_630,has_Epoch_value_875,has_Knowledge_value_834,has_token_value_228,superKC_value_145,OptionAnswer_value_863,Could be improved,context_value_762,corrected_value_259,currentOperation_value_480,active,61,enabled_value_578,2023-03-13,Sign error,exercise_value_370,Sample hint text #685,item_value_961,easy,xp_earned,methodStep_value_489,methodname_38,multipleChoiceAnswer_value_207,numberOfFavorites_value_128,numberOfViews_value_703,13,2023-01-07,2023-03-12,Sample question text #61,resolution_value_665,size_value_846,2023-04-24,stepName_88,19,History,2023-04-22,statistics,Advanced Geography,Sample tokenized_statement text #521,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0007,exploratory,amygdala,serotonin,Computer Science,55.68,35.75,desiredPoints_value_703,Biology,correct_answers,easy,Formula inversion,hasPG_value_606,hasPS_value_933,hasPT_value_271,typeC,cluster_4,hard,precedence_value_345,0.926,0.306,0.699,hasCalculations_value_918,hasSuggestedTags_value_363,has_Answers_value_729,has_Epoch_value_639,has_Knowledge_value_363,has_token_value_863,superKC_value_468,OptionAnswer_value_751,Challenging but rewarding,context_value_897,corrected_value_119,currentOperation_value_178,paused,97,enabled_value_198,2023-12-04,Formula inversion,exercise_value_727,Sample hint text #896,item_value_295,medium,engagement_score,methodStep_value_747,methodname_14,multipleChoiceAnswer_value_542,numberOfFavorites_value_235,numberOfViews_value_136,5,2023-11-09,2023-01-06,Sample question text #219,resolution_value_615,size_value_989,2023-04-13,stepName_86,5,Computer Science,2023-07-04,computer_science,Introduction to Calculus,Sample tokenized_statement text #941,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0008,survivor,hippocampus,norepinephrine,Mathematics,27.82,92.3,desiredPoints_value_345,Statistics,attempt_count,easy,Off-by-one error,hasPG_value_168,hasPS_value_566,hasPT_value_387,typeA,cluster_5,easy,precedence_value_980,0.123,0.016,0.007,hasCalculations_value_140,hasSuggestedTags_value_725,has_Answers_value_891,has_Epoch_value_824,has_Knowledge_value_135,has_token_value_545,superKC_value_736,OptionAnswer_value_618,Needs more examples,context_value_39,corrected_value_489,currentOperation_value_794,pending,91,enabled_value_652,2023-06-19,Unit confusion,exercise_value_174,Sample hint text #813,item_value_970,medium,engagement_score,methodStep_value_799,methodname_54,multipleChoiceAnswer_value_503,numberOfFavorites_value_494,numberOfViews_value_814,9,2023-03-07,2023-10-07,Sample question text #326,resolution_value_716,size_value_272,2023-04-25,stepName_30,15,Biology,2023-12-26,chemistry,Critical Thinking,Sample tokenized_statement text #452,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0009,cooperative,cerebellum,acetylcholine,Algebra,74.62,18.71,desiredPoints_value_845,Geography,score,easy,Off-by-one error,hasPG_value_142,hasPS_value_389,hasPT_value_2,typeB,cluster_4,medium,precedence_value_70,0.257,0.894,0.627,hasCalculations_value_977,hasSuggestedTags_value_714,has_Answers_value_535,has_Epoch_value_395,has_Knowledge_value_980,has_token_value_899,superKC_value_583,OptionAnswer_value_683,Very clear,context_value_995,corrected_value_810,currentOperation_value_949,pending,32,enabled_value_896,2023-08-03,Unit confusion,exercise_value_925,Sample hint text #366,item_value_488,medium,score,methodStep_value_993,methodname_04,multipleChoiceAnswer_value_365,numberOfFavorites_value_186,numberOfViews_value_5,18,2023-10-18,2023-04-03,Sample question text #570,resolution_value_465,size_value_228,2023-01-22,stepName_73,12,Mathematics,2023-08-20,biology,Introduction to Computer Science,Sample tokenized_statement text #479,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolution_0010,cooperative,hippocampus,serotonin,Philosophy,47.63,19.28,desiredPoints_value_970,History,score,hard,Concept conflation,hasPG_value_349,hasPS_value_53,hasPT_value_916,typeA,cluster_4,hard,precedence_value_622,0.639,0.895,0.027,hasCalculations_value_153,hasSuggestedTags_value_422,has_Answers_value_558,has_Epoch_value_734,has_Knowledge_value_19,has_token_value_1,superKC_value_623,OptionAnswer_value_61,Very clear,context_value_155,corrected_value_177,currentOperation_value_29,paused,15,enabled_value_893,2023-03-25,Off-by-one error,exercise_value_535,Sample hint text #599,item_value_866,hard,attempt_count,methodStep_value_185,methodname_32,multipleChoiceAnswer_value_611,numberOfFavorites_value_659,numberOfViews_value_717,11,2023-10-14,2023-01-05,Sample question text #241,resolution_value_215,size_value_78,2023-06-26,stepName_80,20,Economics,2023-12-15,geography,Introduction to Biology,Sample tokenized_statement text #472,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
