# CLASS: ResolutionMethod
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#ResolutionMethod
# COLUMNS:
#   id: id — Unique identifier, e.g. resolutionMethod_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
resolutionMethod_0001,exploratory,cerebellum,acetylcholine,History,6.71,17.03,desiredPoints_value_519,Geography,time_on_task,easy,Unit confusion,hasPG_value_112,hasPS_value_744,hasPT_value_752,typeC,cluster_5,expert,precedence_value_178,0.418,0.709,0.686,hasCalculations_value_177,hasSuggestedTags_value_85,has_Answers_value_649,has_Epoch_value_165,has_Knowledge_value_140,has_token_value_210,superKC_value_731,OptionAnswer_value_225,Challenging but rewarding,context_value_891,corrected_value_600,currentOperation_value_855,completed,20,enabled_value_322,2023-10-26,Off-by-one error,exercise_value_15,Sample hint text #473,item_value_716,easy,time_on_task,methodStep_value_882,methodname_18,multipleChoiceAnswer_value_678,numberOfFavorites_value_713,numberOfViews_value_7,10,2023-12-09,2023-09-09,Sample question text #946,resolution_value_800,size_value_360,2023-07-15,stepName_62,3,Geography,2023-11-09,physics,Project Management,Sample tokenized_statement text #974,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0002,survivor,striatum,acetylcholine,Mathematics,29.67,41.77,desiredPoints_value_604,Calculus,time_on_task,easy,Off-by-one error,hasPG_value_412,hasPS_value_703,hasPT_value_839,typeC,cluster_3,hard,precedence_value_451,0.653,0.492,0.787,hasCalculations_value_684,hasSuggestedTags_value_969,has_Answers_value_461,has_Epoch_value_770,has_Knowledge_value_835,has_token_value_410,superKC_value_955,OptionAnswer_value_382,Very clear,context_value_737,corrected_value_444,currentOperation_value_395,paused,115,enabled_value_258,2023-08-13,Off-by-one error,exercise_value_576,Sample hint text #362,item_value_129,easy,mastery_level,methodStep_value_688,methodname_95,multipleChoiceAnswer_value_951,numberOfFavorites_value_351,numberOfViews_value_871,5,2023-10-14,2023-05-11,Sample question text #902,resolution_value_329,size_value_949,2023-03-03,stepName_63,12,Mathematics,2023-05-19,philosophy,Advanced Biology,Sample tokenized_statement text #532,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0003,achiever,prefrontal,oxytocin,Economics,50.13,99.61,desiredPoints_value_480,Geography,hint_usage,hard,Sign error,hasPG_value_171,hasPS_value_6,hasPT_value_442,typeA,cluster_5,hard,precedence_value_709,0.041,0.89,0.17,hasCalculations_value_847,hasSuggestedTags_value_550,has_Answers_value_479,has_Epoch_value_803,has_Knowledge_value_696,has_token_value_238,superKC_value_661,OptionAnswer_value_539,Very clear,context_value_804,corrected_value_703,currentOperation_value_283,active,12,enabled_value_390,2023-08-05,Unit confusion,exercise_value_425,Sample hint text #882,item_value_984,expert,time_on_task,methodStep_value_599,methodname_05,multipleChoiceAnswer_value_252,numberOfFavorites_value_167,numberOfViews_value_820,3,2023-05-08,2023-01-07,Sample question text #92,resolution_value_558,size_value_714,2023-04-19,stepName_31,8,Calculus,2023-01-03,physics,Introduction to Biology,Sample tokenized_statement text #821,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0004,exploratory,hippocampus,acetylcholine,Geography,25.16,53.18,desiredPoints_value_352,Economics,engagement_score,hard,Unit confusion,hasPG_value_137,hasPS_value_714,hasPT_value_297,typeB,cluster_2,expert,precedence_value_107,0.344,0.276,0.412,hasCalculations_value_469,hasSuggestedTags_value_959,has_Answers_value_260,has_Epoch_value_355,has_Knowledge_value_466,has_token_value_725,superKC_value_977,OptionAnswer_value_536,Needs more examples,context_value_325,corrected_value_75,currentOperation_value_960,paused,78,enabled_value_901,2023-09-07,Causal reversal,exercise_value_514,Sample hint text #468,item_value_730,easy,streak_count,methodStep_value_248,methodname_43,multipleChoiceAnswer_value_358,numberOfFavorites_value_993,numberOfViews_value_407,14,2023-10-14,2023-04-22,Sample question text #209,resolution_value_828,size_value_862,2023-09-23,stepName_74,12,Data Science,2023-12-18,literature,Research Methods,Sample tokenized_statement text #257,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0005,social,cerebellum,serotonin,Geography,94.46,38.71,desiredPoints_value_48,Data Science,score,easy,Causal reversal,hasPG_value_443,hasPS_value_133,hasPT_value_271,typeB,cluster_5,hard,precedence_value_650,0.471,0.704,0.168,hasCalculations_value_201,hasSuggestedTags_value_403,has_Answers_value_821,has_Epoch_value_907,has_Knowledge_value_701,has_token_value_959,superKC_value_550,OptionAnswer_value_291,Needs more examples,context_value_442,corrected_value_538,currentOperation_value_881,pending,112,enabled_value_120,2023-08-19,Formula inversion,exercise_value_196,Sample hint text #445,item_value_493,easy,score,methodStep_value_833,methodname_01,multipleChoiceAnswer_value_135,numberOfFavorites_value_671,numberOfViews_value_953,16,2023-02-20,2023-01-22,Sample question text #806,resolution_value_636,size_value_321,2023-12-24,stepName_87,5,Calculus,2023-01-07,economics,Research Methods,Sample tokenized_statement text #466,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0006,competitive,prefrontal,dopamine,Algebra,86.05,36.53,desiredPoints_value_78,Philosophy,error_rate,hard,Unit confusion,hasPG_value_749,hasPS_value_816,hasPT_value_392,typeA,cluster_3,hard,precedence_value_428,0.689,0.151,0.094,hasCalculations_value_345,hasSuggestedTags_value_436,has_Answers_value_418,has_Epoch_value_223,has_Knowledge_value_648,has_token_value_811,superKC_value_242,OptionAnswer_value_617,Needs more examples,context_value_695,corrected_value_362,currentOperation_value_38,completed,41,enabled_value_194,2023-12-05,Formula inversion,exercise_value_132,Sample hint text #331,item_value_247,easy,hint_usage,methodStep_value_15,methodname_31,multipleChoiceAnswer_value_55,numberOfFavorites_value_659,numberOfViews_value_507,11,2023-06-28,2023-10-25,Sample question text #540,resolution_value_859,size_value_291,2023-02-22,stepName_36,6,Mathematics,2023-03-10,economics,Introduction to Philosophy,Sample tokenized_statement text #195,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0007,competitive,striatum,norepinephrine,Geography,1.45,95.48,desiredPoints_value_615,Biology,xp_earned,medium,Sign error,hasPG_value_528,hasPS_value_56,hasPT_value_876,typeC,cluster_5,expert,precedence_value_26,0.14,0.27,0.302,hasCalculations_value_807,hasSuggestedTags_value_208,has_Answers_value_89,has_Epoch_value_25,has_Knowledge_value_930,has_token_value_635,superKC_value_13,OptionAnswer_value_480,Very clear,context_value_99,corrected_value_686,currentOperation_value_571,completed,35,enabled_value_694,2023-06-23,Causal reversal,exercise_value_248,Sample hint text #962,item_value_951,medium,engagement_score,methodStep_value_487,methodname_81,multipleChoiceAnswer_value_659,numberOfFavorites_value_226,numberOfViews_value_502,14,2023-06-11,2023-05-15,Sample question text #408,resolution_value_67,size_value_449,2023-03-15,stepName_46,16,Biology,2023-06-11,history,Advanced Biology,Sample tokenized_statement text #949,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0008,exploratory,striatum,dopamine,Chemistry,90.91,40.63,desiredPoints_value_109,Geography,streak_count,medium,Concept conflation,hasPG_value_223,hasPS_value_818,hasPT_value_791,typeC,cluster_2,hard,precedence_value_184,0.463,0.051,0.139,hasCalculations_value_71,hasSuggestedTags_value_355,has_Answers_value_61,has_Epoch_value_957,has_Knowledge_value_658,has_token_value_101,superKC_value_213,OptionAnswer_value_906,Too abstract,context_value_851,corrected_value_875,currentOperation_value_228,completed,77,enabled_value_52,2023-07-06,Formula inversion,exercise_value_634,Sample hint text #876,item_value_759,hard,mastery_level,methodStep_value_186,methodname_37,multipleChoiceAnswer_value_832,numberOfFavorites_value_458,numberOfViews_value_485,7,2023-04-23,2023-10-03,Sample question text #852,resolution_value_135,size_value_618,2023-10-28,stepName_06,8,Computer Science,2023-02-23,philosophy,Introduction to Biology,Sample tokenized_statement text #152,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0009,exploratory,cerebellum,serotonin,Philosophy,69.68,36.26,desiredPoints_value_474,Statistics,score,hard,Sign error,hasPG_value_87,hasPS_value_809,hasPT_value_758,typeA,cluster_4,medium,precedence_value_182,0.034,0.926,0.392,hasCalculations_value_670,hasSuggestedTags_value_739,has_Answers_value_690,has_Epoch_value_334,has_Knowledge_value_613,has_token_value_91,superKC_value_47,OptionAnswer_value_4,Could be improved,context_value_283,corrected_value_855,currentOperation_value_258,completed,55,enabled_value_258,2023-04-13,Unit confusion,exercise_value_298,Sample hint text #258,item_value_216,medium,xp_earned,methodStep_value_797,methodname_73,multipleChoiceAnswer_value_828,numberOfFavorites_value_814,numberOfViews_value_429,19,2023-02-09,2023-03-06,Sample question text #707,resolution_value_779,size_value_946,2023-12-01,stepName_81,2,Computer Science,2023-11-05,chemistry,Advanced Mathematics,Sample tokenized_statement text #408,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolutionMethod_0010,achiever,prefrontal,norepinephrine,Chemistry,46.18,4.7,desiredPoints_value_643,Economics,engagement_score,hard,Causal reversal,hasPG_value_494,hasPS_value_109,hasPT_value_58,typeC,cluster_2,medium,precedence_value_554,0.751,0.218,0.014,hasCalculations_value_603,hasSuggestedTags_value_45,has_Answers_value_922,has_Epoch_value_62,has_Knowledge_value_682,has_token_value_434,superKC_value_217,OptionAnswer_value_650,Needs more examples,context_value_351,corrected_value_527,currentOperation_value_749,paused,87,enabled_value_981,2023-08-15,Unit confusion,exercise_value_291,Sample hint text #413,item_value_379,expert,score,methodStep_value_491,methodname_22,multipleChoiceAnswer_value_567,numberOfFavorites_value_674,numberOfViews_value_317,15,2023-11-01,2023-04-10,Sample question text #281,resolution_value_823,size_value_432,2023-11-07,stepName_29,6,Data Science,2023-05-27,literature,Introduction to Data Science,Sample tokenized_statement text #665,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
