# CLASS: Resource
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Resource
# COLUMNS:
#   id: id — Unique identifier, e.g. resource_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   engagementIndex: data — float[0..1]
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
#   REF_matchesLevel: object — Ref to ['Player']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,engagementIndex,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption,REF_matchesLevel
resource_0001,achiever,cerebellum,acetylcholine,Geography,55.58,29.54,desiredPoints_value_159,Data Science,progress_ratio,medium,Formula inversion,hasPG_value_431,hasPS_value_258,hasPT_value_330,typeA,cluster_4,medium,precedence_value_569,0.453,0.129,0.014,hasCalculations_value_173,hasSuggestedTags_value_244,has_Answers_value_564,has_Epoch_value_900,has_Knowledge_value_395,has_token_value_328,superKC_value_430,OptionAnswer_value_183,Very clear,context_value_45,corrected_value_14,currentOperation_value_568,active,51,enabled_value_594,2023-09-01,Causal reversal,exercise_value_890,Sample hint text #124,item_value_884,easy,error_rate,methodStep_value_716,methodname_32,multipleChoiceAnswer_value_1,18,475,7,2023-08-18,2023-03-18,Sample question text #996,resolution_value_407,size_value_887,2023-09-24,stepName_62,6,Algebra,2023-12-21,calculus,Advanced Literature,Sample tokenized_statement text #159,typeA,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0002,competitive,cerebellum,dopamine,Algebra,42.41,73.79,desiredPoints_value_963,Chemistry,time_on_task,expert,Formula inversion,hasPG_value_968,hasPS_value_664,hasPT_value_401,typeA,cluster_1,easy,precedence_value_276,0.069,0.851,0.697,hasCalculations_value_999,hasSuggestedTags_value_593,has_Answers_value_575,has_Epoch_value_61,has_Knowledge_value_457,has_token_value_3,superKC_value_859,OptionAnswer_value_798,Could be improved,context_value_917,corrected_value_130,currentOperation_value_466,completed,84,enabled_value_680,2023-03-27,Causal reversal,exercise_value_609,Sample hint text #316,item_value_870,medium,streak_count,methodStep_value_573,methodname_53,multipleChoiceAnswer_value_222,198,799,8,2023-05-19,2023-03-23,Sample question text #904,resolution_value_400,size_value_206,2023-09-19,stepName_99,18,Computer Science,2023-11-21,history,Advanced Geography,Sample tokenized_statement text #332,typeB,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0003,survivor,prefrontal,serotonin,Geography,36.32,52.45,desiredPoints_value_357,Computer Science,completion_rate,medium,Unit confusion,hasPG_value_410,hasPS_value_671,hasPT_value_221,typeC,cluster_5,easy,precedence_value_909,0.435,0.663,0.027,hasCalculations_value_329,hasSuggestedTags_value_984,has_Answers_value_933,has_Epoch_value_569,has_Knowledge_value_500,has_token_value_375,superKC_value_213,OptionAnswer_value_19,Could be improved,context_value_652,corrected_value_154,currentOperation_value_602,paused,16,enabled_value_279,2023-12-19,Concept conflation,exercise_value_686,Sample hint text #777,item_value_59,expert,score,methodStep_value_439,methodname_60,multipleChoiceAnswer_value_580,41,651,6,2023-11-02,2023-03-15,Sample question text #611,resolution_value_800,size_value_939,2023-09-20,stepName_88,4,History,2023-06-28,history,Advanced Biology,Sample tokenized_statement text #83,typeA,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0004,achiever,amygdala,norepinephrine,Algebra,51.61,53.6,desiredPoints_value_496,History,progress_ratio,hard,Off-by-one error,hasPG_value_862,hasPS_value_46,hasPT_value_591,typeA,cluster_4,easy,precedence_value_566,0.911,0.517,0.398,hasCalculations_value_753,hasSuggestedTags_value_554,has_Answers_value_861,has_Epoch_value_23,has_Knowledge_value_907,has_token_value_506,superKC_value_673,OptionAnswer_value_190,Good explanation,context_value_849,corrected_value_58,currentOperation_value_571,active,50,enabled_value_468,2023-01-03,Concept conflation,exercise_value_926,Sample hint text #510,item_value_293,easy,streak_count,methodStep_value_681,methodname_42,multipleChoiceAnswer_value_458,86,116,5,2023-11-20,2023-03-11,Sample question text #353,resolution_value_839,size_value_927,2023-12-25,stepName_48,14,Economics,2023-01-23,data_science,Advanced Biology,Sample tokenized_statement text #275,typeB,0.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0005,survivor,cerebellum,dopamine,Chemistry,78.04,38.02,desiredPoints_value_157,History,xp_earned,medium,Unit confusion,hasPG_value_636,hasPS_value_662,hasPT_value_700,typeB,cluster_4,expert,precedence_value_5,0.135,0.911,0.116,hasCalculations_value_710,hasSuggestedTags_value_41,has_Answers_value_403,has_Epoch_value_918,has_Knowledge_value_667,has_token_value_460,superKC_value_926,OptionAnswer_value_143,Too abstract,context_value_712,corrected_value_276,currentOperation_value_800,paused,11,enabled_value_637,2023-06-26,Formula inversion,exercise_value_706,Sample hint text #497,item_value_920,medium,hint_usage,methodStep_value_546,methodname_62,multipleChoiceAnswer_value_497,164,283,13,2023-04-02,2023-11-18,Sample question text #218,resolution_value_342,size_value_451,2023-03-22,stepName_69,20,Mathematics,2023-10-04,calculus,Research Methods,Sample tokenized_statement text #59,typeA,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0006,social,amygdala,dopamine,Economics,1.44,26.42,desiredPoints_value_794,Chemistry,error_rate,medium,Sign error,hasPG_value_200,hasPS_value_16,hasPT_value_324,typeC,cluster_4,expert,precedence_value_468,0.249,0.984,0.826,hasCalculations_value_569,hasSuggestedTags_value_794,has_Answers_value_669,has_Epoch_value_769,has_Knowledge_value_192,has_token_value_954,superKC_value_514,OptionAnswer_value_870,Very clear,context_value_388,corrected_value_353,currentOperation_value_981,paused,51,enabled_value_746,2023-06-12,Sign error,exercise_value_340,Sample hint text #522,item_value_424,hard,correct_answers,methodStep_value_898,methodname_70,multipleChoiceAnswer_value_369,63,358,14,2023-07-09,2023-09-16,Sample question text #538,resolution_value_172,size_value_674,2023-07-10,stepName_66,16,Physics,2023-04-02,mathematics,Introduction to Physics,Sample tokenized_statement text #180,typeB,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0007,cooperative,amygdala,acetylcholine,Philosophy,50.97,13.62,desiredPoints_value_272,Statistics,streak_count,hard,Unit confusion,hasPG_value_467,hasPS_value_7,hasPT_value_294,typeA,cluster_3,easy,precedence_value_37,0.329,0.745,0.212,hasCalculations_value_201,hasSuggestedTags_value_494,has_Answers_value_42,has_Epoch_value_438,has_Knowledge_value_618,has_token_value_932,superKC_value_343,OptionAnswer_value_665,Good explanation,context_value_874,corrected_value_68,currentOperation_value_536,active,80,enabled_value_404,2023-11-04,Sign error,exercise_value_548,Sample hint text #661,item_value_452,easy,streak_count,methodStep_value_632,methodname_45,multipleChoiceAnswer_value_334,177,740,6,2023-03-19,2023-09-04,Sample question text #682,resolution_value_196,size_value_253,2023-11-05,stepName_37,3,Philosophy,2023-11-20,computer_science,Advanced Mathematics,Sample tokenized_statement text #737,typeA,0.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0008,social,striatum,acetylcholine,History,94.08,19.37,desiredPoints_value_53,Calculus,hint_usage,easy,Concept conflation,hasPG_value_533,hasPS_value_340,hasPT_value_619,typeA,cluster_4,easy,precedence_value_265,0.223,0.416,0.77,hasCalculations_value_482,hasSuggestedTags_value_259,has_Answers_value_619,has_Epoch_value_211,has_Knowledge_value_993,has_token_value_652,superKC_value_314,OptionAnswer_value_795,Very clear,context_value_400,corrected_value_714,currentOperation_value_972,completed,96,enabled_value_518,2023-07-03,Formula inversion,exercise_value_648,Sample hint text #756,item_value_93,hard,engagement_score,methodStep_value_393,methodname_40,multipleChoiceAnswer_value_991,169,208,17,2023-11-02,2023-09-10,Sample question text #194,resolution_value_84,size_value_809,2023-10-14,stepName_82,11,Chemistry,2023-12-03,data_science,Advanced Mathematics,Sample tokenized_statement text #858,typeC,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0009,competitive,prefrontal,acetylcholine,Mathematics,37.05,69.69,desiredPoints_value_502,History,error_rate,medium,Causal reversal,hasPG_value_819,hasPS_value_545,hasPT_value_771,typeB,cluster_3,easy,precedence_value_551,0.763,0.942,0.423,hasCalculations_value_329,hasSuggestedTags_value_384,has_Answers_value_579,has_Epoch_value_892,has_Knowledge_value_861,has_token_value_97,superKC_value_656,OptionAnswer_value_175,Very clear,context_value_529,corrected_value_93,currentOperation_value_233,active,68,enabled_value_531,2023-04-15,Sign error,exercise_value_112,Sample hint text #801,item_value_533,expert,attempt_count,methodStep_value_596,methodname_40,multipleChoiceAnswer_value_112,179,193,8,2023-12-09,2023-06-19,Sample question text #735,resolution_value_177,size_value_207,2023-03-26,stepName_48,17,Mathematics,2023-12-06,history,Introduction to Data Science,Sample tokenized_statement text #327,typeB,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0010,social,amygdala,serotonin,Geography,10.27,78.33,desiredPoints_value_612,Chemistry,mastery_level,expert,Sign error,hasPG_value_138,hasPS_value_508,hasPT_value_718,typeA,cluster_2,easy,precedence_value_103,0.465,0.634,0.957,hasCalculations_value_133,hasSuggestedTags_value_538,has_Answers_value_762,has_Epoch_value_77,has_Knowledge_value_46,has_token_value_986,superKC_value_390,OptionAnswer_value_3,Could be improved,context_value_874,corrected_value_497,currentOperation_value_398,completed,111,enabled_value_304,2023-05-07,Sign error,exercise_value_287,Sample hint text #697,item_value_426,hard,completion_rate,methodStep_value_666,methodname_96,multipleChoiceAnswer_value_385,184,748,7,2023-04-24,2023-06-13,Sample question text #285,resolution_value_76,size_value_728,2023-07-21,stepName_23,19,Algebra,2023-09-22,computer_science,Introduction to Physics,Sample tokenized_statement text #832,typeA,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0011,competitive,amygdala,serotonin,Geography,85.45,9.53,desiredPoints_value_134,Statistics,time_on_task,expert,Concept conflation,hasPG_value_375,hasPS_value_45,hasPT_value_270,typeC,cluster_3,medium,precedence_value_174,0.388,0.634,0.751,hasCalculations_value_842,hasSuggestedTags_value_740,has_Answers_value_252,has_Epoch_value_342,has_Knowledge_value_295,has_token_value_671,superKC_value_482,OptionAnswer_value_158,Needs more examples,context_value_263,corrected_value_37,currentOperation_value_913,pending,97,enabled_value_956,2023-06-26,Sign error,exercise_value_47,Sample hint text #783,item_value_416,medium,score,methodStep_value_232,methodname_79,multipleChoiceAnswer_value_18,93,352,12,2023-11-17,2023-10-05,Sample question text #485,resolution_value_373,size_value_866,2023-11-06,stepName_26,9,Mathematics,2023-09-16,mathematics,Introduction to Data Science,Sample tokenized_statement text #429,typeC,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_0012,exploratory,striatum,serotonin,Economics,37.06,55.48,desiredPoints_value_539,Algebra,completion_rate,hard,Sign error,hasPG_value_628,hasPS_value_578,hasPT_value_797,typeB,cluster_3,expert,precedence_value_594,0.561,0.044,0.345,hasCalculations_value_369,hasSuggestedTags_value_501,has_Answers_value_729,has_Epoch_value_983,has_Knowledge_value_214,has_token_value_846,superKC_value_885,OptionAnswer_value_862,Needs more examples,context_value_930,corrected_value_538,currentOperation_value_4,paused,84,enabled_value_997,2023-12-05,Formula inversion,exercise_value_645,Sample hint text #398,item_value_1,hard,error_rate,methodStep_value_312,methodname_33,multipleChoiceAnswer_value_467,101,557,12,2023-01-04,2023-08-26,Sample question text #323,resolution_value_16,size_value_342,2023-07-22,stepName_51,12,Algebra,2023-06-17,philosophy,Advanced Geography,Sample tokenized_statement text #650,typeC,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
