# CLASS: ResourceUnit
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#ResourceUnit
# COLUMNS:
#   id: id — Unique identifier, e.g. resourceUnit_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   statement: data — str
#   time: data — float
#   type: data — str
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_Resource: object — Ref to ['Resource', 'Resource']
#   REF_has_domain: object — Ref to ['?']
#   REF_next_Unit: object — Ref to ['ResourceUnit', 'ResourceUnit']
#   REF_previous_Unit: object — Ref to ['ResourceUnit', 'ResourceUnit']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,statement,time,type,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_Resource,REF_has_domain,REF_next_Unit,REF_previous_Unit,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
resourceUnit_0001,achiever,striatum,oxytocin,Statistics,Sample statement text #935,72.04,typeB,73.38,desiredPoints_value_95,Literature,mastery_level,hard,Formula inversion,hasPG_value_185,hasPS_value_749,hasPT_value_20,typeA,cluster_1,expert,precedence_value_200,0.069,0.312,0.805,hasCalculations_value_941,hasSuggestedTags_value_606,has_Answers_value_134,has_Epoch_value_288,has_Knowledge_value_264,has_token_value_220,superKC_value_187,OptionAnswer_value_600,Too abstract,context_value_765,corrected_value_925,currentOperation_value_305,active,90,enabled_value_353,2023-07-28,Concept conflation,exercise_value_719,Sample hint text #400,item_value_293,medium,progress_ratio,methodStep_value_828,methodname_51,multipleChoiceAnswer_value_763,numberOfFavorites_value_127,numberOfViews_value_725,16,2023-03-25,2023-05-26,Sample question text #778,resolution_value_469,size_value_930,2023-03-26,stepName_63,7,Physics,2023-09-28,economics,Advanced History,Sample tokenized_statement text #503,typeA,,,engagementLoop_0002|engagementLoop_0010,resource_0005|resource_0010,,resourceUnit_0001,resourceUnit_0001|resourceUnit_0001,strategy_0003|strategy_0011|strategy_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0002,achiever,cerebellum,dopamine,Statistics,Sample statement text #447,67.98,typeA,28.16,desiredPoints_value_152,Calculus,streak_count,easy,Unit confusion,hasPG_value_149,hasPS_value_976,hasPT_value_94,typeA,cluster_3,easy,precedence_value_475,0.656,0.773,0.863,hasCalculations_value_989,hasSuggestedTags_value_448,has_Answers_value_680,has_Epoch_value_390,has_Knowledge_value_842,has_token_value_320,superKC_value_612,OptionAnswer_value_136,Challenging but rewarding,context_value_11,corrected_value_507,currentOperation_value_59,completed,71,enabled_value_832,2023-04-28,Concept conflation,exercise_value_299,Sample hint text #178,item_value_474,easy,xp_earned,methodStep_value_226,methodname_94,multipleChoiceAnswer_value_272,numberOfFavorites_value_147,numberOfViews_value_305,16,2023-01-14,2023-11-10,Sample question text #682,resolution_value_685,size_value_583,2023-03-05,stepName_17,11,Data Science,2023-08-26,calculus,Introduction to Biology,Sample tokenized_statement text #432,typeC,,,engagementLoop_0002|engagementLoop_0001,resource_0013|resource_0017,,resourceUnit_0002|resourceUnit_0002,resourceUnit_0001,strategy_0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0003,survivor,amygdala,acetylcholine,History,Sample statement text #419,91.65,typeA,60.35,desiredPoints_value_82,Calculus,mastery_level,easy,Off-by-one error,hasPG_value_143,hasPS_value_750,hasPT_value_943,typeA,cluster_4,medium,precedence_value_247,0.354,0.949,0.357,hasCalculations_value_593,hasSuggestedTags_value_628,has_Answers_value_730,has_Epoch_value_489,has_Knowledge_value_635,has_token_value_280,superKC_value_612,OptionAnswer_value_479,Too abstract,context_value_917,corrected_value_415,currentOperation_value_472,pending,58,enabled_value_288,2023-07-22,Formula inversion,exercise_value_508,Sample hint text #387,item_value_407,expert,hint_usage,methodStep_value_988,methodname_74,multipleChoiceAnswer_value_732,numberOfFavorites_value_96,numberOfViews_value_226,10,2023-12-17,2023-02-13,Sample question text #939,resolution_value_599,size_value_783,2023-12-09,stepName_02,7,Chemistry,2023-05-25,chemistry,Introduction to Geography,Sample tokenized_statement text #114,typeB,,,engagementLoop_0009|engagementLoop_0002|engagementLoop_0007,resource_0009|resource_0019|resource_0008,,resourceUnit_0001|resourceUnit_0001,resourceUnit_0001,strategy_0017|strategy_0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0004,cooperative,amygdala,oxytocin,Mathematics,Sample statement text #857,5.28,typeC,10.02,desiredPoints_value_633,Economics,time_on_task,expert,Unit confusion,hasPG_value_78,hasPS_value_782,hasPT_value_300,typeB,cluster_5,easy,precedence_value_331,0.595,0.086,0.907,hasCalculations_value_493,hasSuggestedTags_value_423,has_Answers_value_362,has_Epoch_value_210,has_Knowledge_value_635,has_token_value_469,superKC_value_591,OptionAnswer_value_770,Good explanation,context_value_38,corrected_value_329,currentOperation_value_470,completed,102,enabled_value_262,2023-02-01,Concept conflation,exercise_value_51,Sample hint text #510,item_value_367,easy,progress_ratio,methodStep_value_340,methodname_08,multipleChoiceAnswer_value_674,numberOfFavorites_value_956,numberOfViews_value_981,7,2023-06-09,2023-06-04,Sample question text #215,resolution_value_933,size_value_441,2023-05-02,stepName_17,20,History,2023-03-24,chemistry,Critical Thinking,Sample tokenized_statement text #838,typeA,,,engagementLoop_0008|engagementLoop_0001|engagementLoop_0009,resource_0013,,resourceUnit_0003,resourceUnit_0002|resourceUnit_0003|resourceUnit_0003,strategy_0003|strategy_0017|strategy_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0005,survivor,amygdala,oxytocin,Algebra,Sample statement text #178,91.3,typeA,60.76,desiredPoints_value_450,Physics,correct_answers,expert,Unit confusion,hasPG_value_331,hasPS_value_932,hasPT_value_821,typeA,cluster_4,easy,precedence_value_121,0.546,0.109,0.47,hasCalculations_value_1,hasSuggestedTags_value_210,has_Answers_value_133,has_Epoch_value_562,has_Knowledge_value_46,has_token_value_687,superKC_value_255,OptionAnswer_value_155,Could be improved,context_value_364,corrected_value_206,currentOperation_value_551,completed,55,enabled_value_73,2023-05-09,Causal reversal,exercise_value_726,Sample hint text #638,item_value_125,expert,progress_ratio,methodStep_value_160,methodname_10,multipleChoiceAnswer_value_671,numberOfFavorites_value_429,numberOfViews_value_347,3,2023-05-27,2023-09-04,Sample question text #896,resolution_value_65,size_value_102,2023-05-14,stepName_71,16,Chemistry,2023-07-04,physics,Advanced Physics,Sample tokenized_statement text #241,typeB,,,engagementLoop_0006,resource_0004,,resourceUnit_0004,resourceUnit_0001|resourceUnit_0001,strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0006,exploratory,cerebellum,oxytocin,Literature,Sample statement text #950,46.14,typeA,19.88,desiredPoints_value_110,Chemistry,score,medium,Off-by-one error,hasPG_value_994,hasPS_value_740,hasPT_value_920,typeA,cluster_3,medium,precedence_value_262,0.708,0.381,0.697,hasCalculations_value_132,hasSuggestedTags_value_849,has_Answers_value_620,has_Epoch_value_114,has_Knowledge_value_984,has_token_value_207,superKC_value_945,OptionAnswer_value_712,Very clear,context_value_997,corrected_value_183,currentOperation_value_81,pending,34,enabled_value_607,2023-05-28,Unit confusion,exercise_value_15,Sample hint text #782,item_value_394,easy,score,methodStep_value_860,methodname_38,multipleChoiceAnswer_value_430,numberOfFavorites_value_746,numberOfViews_value_116,5,2023-01-11,2023-12-18,Sample question text #282,resolution_value_611,size_value_572,2023-05-09,stepName_58,12,Biology,2023-10-07,literature,Introduction to Physics,Sample tokenized_statement text #29,typeB,,,engagementLoop_0007|engagementLoop_0004,resource_0013,,resourceUnit_0004|resourceUnit_0006,resourceUnit_0004|resourceUnit_0001|resourceUnit_0004,strategy_0005|strategy_0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0007,exploratory,hippocampus,oxytocin,Mathematics,Sample statement text #690,0.32,typeC,34.98,desiredPoints_value_377,Economics,completion_rate,hard,Unit confusion,hasPG_value_268,hasPS_value_523,hasPT_value_756,typeA,cluster_5,expert,precedence_value_572,0.746,0.909,0.859,hasCalculations_value_385,hasSuggestedTags_value_91,has_Answers_value_145,has_Epoch_value_204,has_Knowledge_value_914,has_token_value_697,superKC_value_349,OptionAnswer_value_786,Challenging but rewarding,context_value_499,corrected_value_625,currentOperation_value_3,pending,5,enabled_value_491,2023-04-02,Causal reversal,exercise_value_756,Sample hint text #611,item_value_64,expert,completion_rate,methodStep_value_580,methodname_33,multipleChoiceAnswer_value_979,numberOfFavorites_value_700,numberOfViews_value_689,17,2023-06-13,2023-04-13,Sample question text #437,resolution_value_414,size_value_453,2023-04-04,stepName_28,20,Data Science,2023-07-24,chemistry,Critical Thinking,Sample tokenized_statement text #532,typeB,,,engagementLoop_0007,resource_0017|resource_0010|resource_0002,,resourceUnit_0001|resourceUnit_0001,resourceUnit_0004,strategy_0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0008,competitive,amygdala,serotonin,Calculus,Sample statement text #728,35.86,typeC,19.08,desiredPoints_value_633,Biology,progress_ratio,hard,Sign error,hasPG_value_921,hasPS_value_456,hasPT_value_175,typeC,cluster_2,easy,precedence_value_787,0.351,0.417,0.743,hasCalculations_value_778,hasSuggestedTags_value_828,has_Answers_value_392,has_Epoch_value_15,has_Knowledge_value_301,has_token_value_56,superKC_value_180,OptionAnswer_value_569,Could be improved,context_value_476,corrected_value_289,currentOperation_value_313,paused,64,enabled_value_937,2023-01-13,Unit confusion,exercise_value_556,Sample hint text #81,item_value_211,medium,attempt_count,methodStep_value_512,methodname_67,multipleChoiceAnswer_value_957,numberOfFavorites_value_163,numberOfViews_value_633,19,2023-03-09,2023-12-10,Sample question text #952,resolution_value_134,size_value_238,2023-06-25,stepName_06,13,Economics,2023-09-10,biology,Advanced History,Sample tokenized_statement text #254,typeC,,,engagementLoop_0010,resource_0002|resource_0006,,resourceUnit_0005|resourceUnit_0006|resourceUnit_0007,resourceUnit_0005,strategy_0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0009,competitive,cerebellum,serotonin,Philosophy,Sample statement text #303,47.03,typeC,74.5,desiredPoints_value_704,Statistics,engagement_score,hard,Unit confusion,hasPG_value_810,hasPS_value_263,hasPT_value_824,typeB,cluster_4,easy,precedence_value_881,0.192,0.122,0.636,hasCalculations_value_947,hasSuggestedTags_value_556,has_Answers_value_422,has_Epoch_value_517,has_Knowledge_value_919,has_token_value_846,superKC_value_395,OptionAnswer_value_370,Challenging but rewarding,context_value_188,corrected_value_487,currentOperation_value_612,pending,71,enabled_value_117,2023-11-06,Concept conflation,exercise_value_657,Sample hint text #423,item_value_302,hard,hint_usage,methodStep_value_533,methodname_17,multipleChoiceAnswer_value_472,numberOfFavorites_value_508,numberOfViews_value_128,19,2023-12-24,2023-06-20,Sample question text #83,resolution_value_975,size_value_650,2023-02-20,stepName_96,19,History,2023-02-27,data_science,Introduction to Computer Science,Sample tokenized_statement text #409,typeB,,,engagementLoop_0005|engagementLoop_0006,resource_0018,,resourceUnit_0004,resourceUnit_0008|resourceUnit_0001|resourceUnit_0009,strategy_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resourceUnit_0010,exploratory,striatum,dopamine,Economics,Sample statement text #182,96.79,typeA,68.38,desiredPoints_value_805,Literature,score,expert,Causal reversal,hasPG_value_147,hasPS_value_362,hasPT_value_525,typeC,cluster_2,hard,precedence_value_705,0.262,0.733,0.953,hasCalculations_value_997,hasSuggestedTags_value_121,has_Answers_value_655,has_Epoch_value_826,has_Knowledge_value_520,has_token_value_867,superKC_value_30,OptionAnswer_value_271,Too abstract,context_value_334,corrected_value_627,currentOperation_value_958,active,27,enabled_value_949,2023-09-28,Concept conflation,exercise_value_579,Sample hint text #382,item_value_119,medium,score,methodStep_value_652,methodname_87,multipleChoiceAnswer_value_489,numberOfFavorites_value_925,numberOfViews_value_314,10,2023-08-12,2023-07-25,Sample question text #744,resolution_value_762,size_value_235,2023-07-11,stepName_16,17,Biology,2023-08-01,history,Advanced Mathematics,Sample tokenized_statement text #44,typeC,,,engagementLoop_0007,resource_0008|resource_0011,,resourceUnit_0001|resourceUnit_0003,resourceUnit_0006|resourceUnit_0004|resourceUnit_0005,strategy_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
