# CLASS: RightColumn
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#RightColumn
# COLUMNS:
#   id: id — Unique identifier, e.g. rightColumn_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
rightColumn_0001,competitive,amygdala,serotonin,Biology,7.32,19.48,desiredPoints_value_834,Calculus,correct_answers,medium,Causal reversal,hasPG_value_69,hasPS_value_299,hasPT_value_787,typeA,cluster_5,medium,precedence_value_82,0.168,0.046,0.244,hasCalculations_value_563,hasSuggestedTags_value_610,has_Answers_value_938,has_Epoch_value_437,has_Knowledge_value_496,has_token_value_192,superKC_value_36,OptionAnswer_value_854,Good explanation,context_value_188,corrected_value_638,currentOperation_value_357,active,119,enabled_value_869,2023-04-04,Causal reversal,exercise_value_792,Sample hint text #468,item_value_498,hard,correct_answers,methodStep_value_926,methodname_74,multipleChoiceAnswer_value_715,numberOfFavorites_value_706,numberOfViews_value_15,1,2023-12-01,2023-12-04,Sample question text #672,resolution_value_596,size_value_655,2023-12-03,stepName_60,13,Calculus,2023-06-27,biology,Introduction to Geography,Sample tokenized_statement text #962,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0002,exploratory,cerebellum,serotonin,History,99.12,78.42,desiredPoints_value_523,Algebra,engagement_score,easy,Unit confusion,hasPG_value_936,hasPS_value_75,hasPT_value_321,typeB,cluster_4,hard,precedence_value_446,0.619,0.114,0.976,hasCalculations_value_60,hasSuggestedTags_value_920,has_Answers_value_733,has_Epoch_value_707,has_Knowledge_value_566,has_token_value_464,superKC_value_12,OptionAnswer_value_137,Very clear,context_value_145,corrected_value_546,currentOperation_value_991,completed,120,enabled_value_34,2023-05-02,Off-by-one error,exercise_value_639,Sample hint text #244,item_value_673,easy,mastery_level,methodStep_value_956,methodname_94,multipleChoiceAnswer_value_207,numberOfFavorites_value_290,numberOfViews_value_643,19,2023-11-04,2023-03-27,Sample question text #210,resolution_value_172,size_value_116,2023-07-22,stepName_88,1,Mathematics,2023-06-28,philosophy,Critical Thinking,Sample tokenized_statement text #220,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0003,exploratory,hippocampus,oxytocin,Biology,13.88,73.6,desiredPoints_value_359,Chemistry,xp_earned,expert,Formula inversion,hasPG_value_165,hasPS_value_370,hasPT_value_152,typeC,cluster_1,medium,precedence_value_91,0.22,0.099,0.467,hasCalculations_value_355,hasSuggestedTags_value_743,has_Answers_value_298,has_Epoch_value_170,has_Knowledge_value_542,has_token_value_978,superKC_value_928,OptionAnswer_value_763,Needs more examples,context_value_172,corrected_value_912,currentOperation_value_396,paused,91,enabled_value_28,2023-02-24,Off-by-one error,exercise_value_411,Sample hint text #457,item_value_518,easy,score,methodStep_value_823,methodname_56,multipleChoiceAnswer_value_946,numberOfFavorites_value_480,numberOfViews_value_814,18,2023-07-24,2023-03-20,Sample question text #8,resolution_value_184,size_value_328,2023-02-11,stepName_25,17,Literature,2023-05-25,chemistry,Introduction to Calculus,Sample tokenized_statement text #454,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0004,competitive,prefrontal,serotonin,Mathematics,61.48,29.89,desiredPoints_value_495,Statistics,attempt_count,medium,Causal reversal,hasPG_value_878,hasPS_value_24,hasPT_value_290,typeC,cluster_1,hard,precedence_value_811,0.197,0.608,0.281,hasCalculations_value_77,hasSuggestedTags_value_63,has_Answers_value_681,has_Epoch_value_351,has_Knowledge_value_29,has_token_value_459,superKC_value_331,OptionAnswer_value_815,Too abstract,context_value_3,corrected_value_541,currentOperation_value_266,pending,25,enabled_value_561,2023-05-14,Formula inversion,exercise_value_458,Sample hint text #64,item_value_239,expert,mastery_level,methodStep_value_257,methodname_56,multipleChoiceAnswer_value_463,numberOfFavorites_value_625,numberOfViews_value_504,2,2023-12-01,2023-09-21,Sample question text #744,resolution_value_233,size_value_25,2023-11-15,stepName_51,9,Statistics,2023-05-27,mathematics,Introduction to Statistics,Sample tokenized_statement text #957,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0005,cooperative,amygdala,norepinephrine,Data Science,89.58,8.42,desiredPoints_value_925,Chemistry,engagement_score,medium,Formula inversion,hasPG_value_657,hasPS_value_610,hasPT_value_454,typeA,cluster_2,medium,precedence_value_579,0.026,0.847,0.547,hasCalculations_value_242,hasSuggestedTags_value_134,has_Answers_value_12,has_Epoch_value_370,has_Knowledge_value_111,has_token_value_93,superKC_value_770,OptionAnswer_value_162,Good explanation,context_value_847,corrected_value_198,currentOperation_value_262,active,59,enabled_value_917,2023-04-28,Formula inversion,exercise_value_547,Sample hint text #32,item_value_75,easy,attempt_count,methodStep_value_31,methodname_23,multipleChoiceAnswer_value_311,numberOfFavorites_value_43,numberOfViews_value_411,11,2023-02-03,2023-11-16,Sample question text #654,resolution_value_731,size_value_852,2023-05-28,stepName_61,3,Data Science,2023-02-15,mathematics,Research Methods,Sample tokenized_statement text #403,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0006,achiever,amygdala,acetylcholine,Philosophy,43.56,51.02,desiredPoints_value_416,Biology,streak_count,easy,Sign error,hasPG_value_916,hasPS_value_979,hasPT_value_805,typeB,cluster_1,expert,precedence_value_756,0.66,0.025,0.635,hasCalculations_value_557,hasSuggestedTags_value_702,has_Answers_value_83,has_Epoch_value_963,has_Knowledge_value_253,has_token_value_556,superKC_value_674,OptionAnswer_value_534,Good explanation,context_value_592,corrected_value_64,currentOperation_value_936,active,17,enabled_value_772,2023-05-27,Unit confusion,exercise_value_716,Sample hint text #417,item_value_512,expert,engagement_score,methodStep_value_450,methodname_54,multipleChoiceAnswer_value_924,numberOfFavorites_value_73,numberOfViews_value_599,11,2023-03-09,2023-10-13,Sample question text #756,resolution_value_30,size_value_99,2023-08-02,stepName_73,5,Algebra,2023-02-15,literature,Introduction to Philosophy,Sample tokenized_statement text #340,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0007,social,striatum,dopamine,Chemistry,88.43,66.55,desiredPoints_value_569,Mathematics,hint_usage,hard,Sign error,hasPG_value_313,hasPS_value_463,hasPT_value_517,typeA,cluster_4,expert,precedence_value_673,0.136,0.862,0.729,hasCalculations_value_61,hasSuggestedTags_value_633,has_Answers_value_940,has_Epoch_value_362,has_Knowledge_value_652,has_token_value_603,superKC_value_660,OptionAnswer_value_707,Needs more examples,context_value_545,corrected_value_275,currentOperation_value_537,paused,105,enabled_value_242,2023-06-23,Concept conflation,exercise_value_511,Sample hint text #179,item_value_470,medium,progress_ratio,methodStep_value_623,methodname_25,multipleChoiceAnswer_value_221,numberOfFavorites_value_644,numberOfViews_value_743,11,2023-12-16,2023-11-21,Sample question text #17,resolution_value_168,size_value_717,2023-05-01,stepName_79,8,Philosophy,2023-09-13,statistics,Introduction to Calculus,Sample tokenized_statement text #201,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0008,achiever,cerebellum,norepinephrine,Algebra,38.41,53.37,desiredPoints_value_273,Chemistry,streak_count,expert,Sign error,hasPG_value_600,hasPS_value_571,hasPT_value_239,typeB,cluster_4,hard,precedence_value_135,0.71,0.603,0.553,hasCalculations_value_567,hasSuggestedTags_value_427,has_Answers_value_678,has_Epoch_value_465,has_Knowledge_value_415,has_token_value_171,superKC_value_808,OptionAnswer_value_995,Needs more examples,context_value_485,corrected_value_255,currentOperation_value_342,completed,111,enabled_value_241,2023-05-01,Formula inversion,exercise_value_646,Sample hint text #162,item_value_58,easy,correct_answers,methodStep_value_435,methodname_25,multipleChoiceAnswer_value_252,numberOfFavorites_value_277,numberOfViews_value_799,2,2023-02-09,2023-12-05,Sample question text #95,resolution_value_384,size_value_408,2023-12-07,stepName_33,11,Chemistry,2023-07-07,literature,Introduction to Geography,Sample tokenized_statement text #819,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0009,achiever,striatum,serotonin,Biology,19.5,45.94,desiredPoints_value_291,History,hint_usage,hard,Unit confusion,hasPG_value_819,hasPS_value_734,hasPT_value_121,typeC,cluster_3,medium,precedence_value_278,0.871,0.934,0.084,hasCalculations_value_108,hasSuggestedTags_value_479,has_Answers_value_348,has_Epoch_value_272,has_Knowledge_value_911,has_token_value_590,superKC_value_272,OptionAnswer_value_301,Challenging but rewarding,context_value_341,corrected_value_490,currentOperation_value_657,pending,26,enabled_value_784,2023-02-21,Concept conflation,exercise_value_545,Sample hint text #736,item_value_307,medium,streak_count,methodStep_value_787,methodname_39,multipleChoiceAnswer_value_388,numberOfFavorites_value_244,numberOfViews_value_518,4,2023-06-03,2023-03-20,Sample question text #114,resolution_value_126,size_value_932,2023-07-09,stepName_97,16,Statistics,2023-10-06,history,Research Methods,Sample tokenized_statement text #397,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rightColumn_0010,cooperative,cerebellum,oxytocin,Economics,99.07,17.35,desiredPoints_value_452,Data Science,time_on_task,hard,Sign error,hasPG_value_668,hasPS_value_930,hasPT_value_637,typeC,cluster_5,expert,precedence_value_384,0.765,0.57,0.118,hasCalculations_value_246,hasSuggestedTags_value_875,has_Answers_value_3,has_Epoch_value_63,has_Knowledge_value_476,has_token_value_324,superKC_value_829,OptionAnswer_value_123,Too abstract,context_value_378,corrected_value_967,currentOperation_value_667,active,107,enabled_value_542,2023-04-28,Unit confusion,exercise_value_492,Sample hint text #905,item_value_583,medium,streak_count,methodStep_value_920,methodname_31,multipleChoiceAnswer_value_50,numberOfFavorites_value_348,numberOfViews_value_981,15,2023-09-06,2023-05-11,Sample question text #758,resolution_value_202,size_value_79,2023-01-24,stepName_65,3,Chemistry,2023-05-13,history,Introduction to Computer Science,Sample tokenized_statement text #761,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
