# CLASS: Sequencing
# IRI: http://surveys.nees.com.br/ontologies/its/its_pedagogical.owl#Sequencing
# COLUMNS:
#   id: id — Unique identifier, e.g. sequencing_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
sequencing_0001,achiever,amygdala,oxytocin,Geography,37.8,92.61,desiredPoints_value_664,Chemistry,mastery_level,expert,Sign error,hasPG_value_496,hasPS_value_919,hasPT_value_389,typeA,cluster_1,hard,precedence_value_231,0.309,0.224,0.278,hasCalculations_value_797,hasSuggestedTags_value_747,has_Answers_value_809,has_Epoch_value_123,has_Knowledge_value_666,has_token_value_202,superKC_value_366,OptionAnswer_value_511,Very clear,context_value_584,corrected_value_935,currentOperation_value_654,active,112,enabled_value_765,2023-09-08,Causal reversal,exercise_value_208,Sample hint text #373,item_value_681,easy,correct_answers,methodStep_value_642,methodname_13,multipleChoiceAnswer_value_975,numberOfFavorites_value_338,numberOfViews_value_520,3,2023-05-18,2023-09-28,Sample question text #760,resolution_value_551,size_value_894,2023-02-26,stepName_08,15,Philosophy,2023-09-08,biology,Introduction to Economics,Sample tokenized_statement text #817,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0002,cooperative,prefrontal,serotonin,Data Science,71.74,17.74,desiredPoints_value_624,History,mastery_level,hard,Off-by-one error,hasPG_value_761,hasPS_value_195,hasPT_value_751,typeA,cluster_2,hard,precedence_value_63,0.208,0.244,0.762,hasCalculations_value_489,hasSuggestedTags_value_476,has_Answers_value_101,has_Epoch_value_550,has_Knowledge_value_903,has_token_value_801,superKC_value_53,OptionAnswer_value_327,Could be improved,context_value_75,corrected_value_202,currentOperation_value_490,active,61,enabled_value_86,2023-08-07,Off-by-one error,exercise_value_556,Sample hint text #604,item_value_221,expert,hint_usage,methodStep_value_583,methodname_02,multipleChoiceAnswer_value_596,numberOfFavorites_value_441,numberOfViews_value_882,4,2023-12-15,2023-11-07,Sample question text #604,resolution_value_826,size_value_651,2023-10-25,stepName_59,1,History,2023-07-20,history,Advanced Physics,Sample tokenized_statement text #647,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0003,exploratory,cerebellum,acetylcholine,Economics,28.38,64.53,desiredPoints_value_271,Calculus,mastery_level,medium,Unit confusion,hasPG_value_282,hasPS_value_695,hasPT_value_575,typeC,cluster_3,expert,precedence_value_115,0.977,0.946,0.488,hasCalculations_value_327,hasSuggestedTags_value_915,has_Answers_value_998,has_Epoch_value_522,has_Knowledge_value_482,has_token_value_508,superKC_value_168,OptionAnswer_value_184,Good explanation,context_value_779,corrected_value_443,currentOperation_value_690,pending,17,enabled_value_948,2023-08-11,Causal reversal,exercise_value_704,Sample hint text #552,item_value_843,medium,time_on_task,methodStep_value_798,methodname_14,multipleChoiceAnswer_value_782,numberOfFavorites_value_238,numberOfViews_value_219,10,2023-09-10,2023-06-25,Sample question text #544,resolution_value_484,size_value_106,2023-11-10,stepName_79,7,Philosophy,2023-11-05,geography,Introduction to Geography,Sample tokenized_statement text #197,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0004,cooperative,prefrontal,oxytocin,Statistics,15.71,95.67,desiredPoints_value_486,Statistics,progress_ratio,expert,Causal reversal,hasPG_value_276,hasPS_value_235,hasPT_value_956,typeB,cluster_4,hard,precedence_value_380,0.145,0.334,0.354,hasCalculations_value_764,hasSuggestedTags_value_323,has_Answers_value_461,has_Epoch_value_316,has_Knowledge_value_436,has_token_value_577,superKC_value_403,OptionAnswer_value_781,Very clear,context_value_6,corrected_value_781,currentOperation_value_963,paused,12,enabled_value_992,2023-07-12,Causal reversal,exercise_value_825,Sample hint text #144,item_value_999,expert,hint_usage,methodStep_value_20,methodname_91,multipleChoiceAnswer_value_208,numberOfFavorites_value_214,numberOfViews_value_678,9,2023-05-27,2023-06-01,Sample question text #330,resolution_value_438,size_value_810,2023-07-11,stepName_72,18,Data Science,2023-04-26,biology,Advanced Geography,Sample tokenized_statement text #516,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0005,exploratory,hippocampus,dopamine,Biology,16.04,72.28,desiredPoints_value_965,Data Science,progress_ratio,expert,Off-by-one error,hasPG_value_800,hasPS_value_676,hasPT_value_400,typeC,cluster_4,medium,precedence_value_287,0.987,0.586,0.059,hasCalculations_value_58,hasSuggestedTags_value_655,has_Answers_value_351,has_Epoch_value_283,has_Knowledge_value_551,has_token_value_379,superKC_value_449,OptionAnswer_value_946,Too abstract,context_value_114,corrected_value_484,currentOperation_value_138,active,46,enabled_value_794,2023-12-14,Sign error,exercise_value_895,Sample hint text #155,item_value_604,hard,progress_ratio,methodStep_value_205,methodname_72,multipleChoiceAnswer_value_91,numberOfFavorites_value_449,numberOfViews_value_252,11,2023-10-18,2023-11-09,Sample question text #571,resolution_value_544,size_value_837,2023-05-23,stepName_03,5,Algebra,2023-02-28,algebra,Critical Thinking,Sample tokenized_statement text #729,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0006,exploratory,amygdala,acetylcholine,Data Science,88.46,18.41,desiredPoints_value_480,Biology,engagement_score,hard,Unit confusion,hasPG_value_204,hasPS_value_694,hasPT_value_995,typeC,cluster_3,hard,precedence_value_619,0.748,0.023,0.119,hasCalculations_value_421,hasSuggestedTags_value_438,has_Answers_value_406,has_Epoch_value_826,has_Knowledge_value_499,has_token_value_818,superKC_value_50,OptionAnswer_value_852,Challenging but rewarding,context_value_62,corrected_value_935,currentOperation_value_525,pending,7,enabled_value_580,2023-07-02,Concept conflation,exercise_value_895,Sample hint text #818,item_value_335,expert,hint_usage,methodStep_value_589,methodname_43,multipleChoiceAnswer_value_650,numberOfFavorites_value_69,numberOfViews_value_753,3,2023-10-03,2023-09-25,Sample question text #116,resolution_value_545,size_value_163,2023-09-28,stepName_12,19,Computer Science,2023-10-21,biology,Introduction to Chemistry,Sample tokenized_statement text #786,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0007,social,amygdala,acetylcholine,Computer Science,88.94,99.43,desiredPoints_value_156,Statistics,attempt_count,easy,Sign error,hasPG_value_664,hasPS_value_590,hasPT_value_348,typeB,cluster_5,expert,precedence_value_911,0.021,0.575,0.006,hasCalculations_value_849,hasSuggestedTags_value_400,has_Answers_value_20,has_Epoch_value_9,has_Knowledge_value_231,has_token_value_331,superKC_value_438,OptionAnswer_value_155,Too abstract,context_value_877,corrected_value_229,currentOperation_value_599,pending,73,enabled_value_469,2023-11-22,Sign error,exercise_value_789,Sample hint text #842,item_value_589,hard,xp_earned,methodStep_value_889,methodname_74,multipleChoiceAnswer_value_157,numberOfFavorites_value_194,numberOfViews_value_792,5,2023-04-10,2023-03-04,Sample question text #27,resolution_value_547,size_value_617,2023-01-25,stepName_17,18,Geography,2023-02-11,calculus,Introduction to Statistics,Sample tokenized_statement text #951,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0008,survivor,prefrontal,serotonin,History,16.33,99.1,desiredPoints_value_239,Biology,attempt_count,easy,Sign error,hasPG_value_899,hasPS_value_921,hasPT_value_968,typeB,cluster_1,expert,precedence_value_27,0.444,0.744,0.74,hasCalculations_value_390,hasSuggestedTags_value_51,has_Answers_value_458,has_Epoch_value_450,has_Knowledge_value_409,has_token_value_204,superKC_value_211,OptionAnswer_value_790,Very clear,context_value_605,corrected_value_835,currentOperation_value_128,active,27,enabled_value_519,2023-10-24,Concept conflation,exercise_value_125,Sample hint text #167,item_value_775,medium,score,methodStep_value_964,methodname_63,multipleChoiceAnswer_value_759,numberOfFavorites_value_620,numberOfViews_value_367,11,2023-07-07,2023-04-03,Sample question text #819,resolution_value_520,size_value_369,2023-08-09,stepName_66,4,Computer Science,2023-01-01,literature,Introduction to Calculus,Sample tokenized_statement text #410,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0009,exploratory,amygdala,norepinephrine,Calculus,6.53,94.59,desiredPoints_value_668,History,time_on_task,easy,Causal reversal,hasPG_value_660,hasPS_value_830,hasPT_value_400,typeB,cluster_1,hard,precedence_value_748,0.647,0.323,0.141,hasCalculations_value_255,hasSuggestedTags_value_182,has_Answers_value_579,has_Epoch_value_10,has_Knowledge_value_132,has_token_value_532,superKC_value_160,OptionAnswer_value_144,Could be improved,context_value_482,corrected_value_781,currentOperation_value_40,active,81,enabled_value_822,2023-04-28,Causal reversal,exercise_value_677,Sample hint text #301,item_value_381,expert,completion_rate,methodStep_value_430,methodname_23,multipleChoiceAnswer_value_179,numberOfFavorites_value_959,numberOfViews_value_532,5,2023-12-26,2023-11-06,Sample question text #374,resolution_value_901,size_value_948,2023-02-26,stepName_21,1,Computer Science,2023-04-10,literature,Advanced Literature,Sample tokenized_statement text #383,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequencing_0010,achiever,amygdala,dopamine,Algebra,2.58,2.85,desiredPoints_value_482,Mathematics,xp_earned,medium,Formula inversion,hasPG_value_48,hasPS_value_553,hasPT_value_387,typeC,cluster_5,medium,precedence_value_162,0.1,0.349,0.223,hasCalculations_value_430,hasSuggestedTags_value_68,has_Answers_value_116,has_Epoch_value_992,has_Knowledge_value_488,has_token_value_476,superKC_value_426,OptionAnswer_value_877,Challenging but rewarding,context_value_451,corrected_value_138,currentOperation_value_878,active,44,enabled_value_488,2023-08-09,Sign error,exercise_value_331,Sample hint text #673,item_value_553,hard,progress_ratio,methodStep_value_685,methodname_92,multipleChoiceAnswer_value_99,numberOfFavorites_value_490,numberOfViews_value_505,19,2023-04-05,2023-04-17,Sample question text #133,resolution_value_825,size_value_965,2023-03-08,stepName_85,3,Data Science,2023-02-23,literature,Introduction to Philosophy,Sample tokenized_statement text #909,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
