# CLASS: Statement
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#Statement
# COLUMNS:
#   id: id — Unique identifier, e.g. statement_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
statement_0001,achiever,striatum,serotonin,History,20.56,4.74,desiredPoints_value_838,Statistics,score,hard,Causal reversal,hasPG_value_426,hasPS_value_14,hasPT_value_436,typeB,cluster_5,expert,precedence_value_117,0.725,0.378,0.865,hasCalculations_value_642,hasSuggestedTags_value_424,has_Answers_value_249,has_Epoch_value_768,has_Knowledge_value_457,has_token_value_936,superKC_value_317,OptionAnswer_value_622,Good explanation,context_value_903,corrected_value_832,currentOperation_value_151,active,71,enabled_value_935,2023-08-20,Causal reversal,exercise_value_644,Sample hint text #38,item_value_396,hard,error_rate,methodStep_value_435,methodname_10,multipleChoiceAnswer_value_870,numberOfFavorites_value_792,numberOfViews_value_273,15,2023-02-12,2023-10-01,Sample question text #105,resolution_value_111,size_value_923,2023-03-11,stepName_01,5,Data Science,2023-04-03,literature,Introduction to Physics,Sample tokenized_statement text #2,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0002,competitive,prefrontal,acetylcholine,Chemistry,55.79,81.14,desiredPoints_value_555,Literature,mastery_level,medium,Causal reversal,hasPG_value_137,hasPS_value_116,hasPT_value_948,typeA,cluster_1,expert,precedence_value_910,0.08,0.748,0.617,hasCalculations_value_303,hasSuggestedTags_value_145,has_Answers_value_381,has_Epoch_value_38,has_Knowledge_value_871,has_token_value_474,superKC_value_634,OptionAnswer_value_405,Very clear,context_value_633,corrected_value_620,currentOperation_value_834,paused,69,enabled_value_897,2023-05-06,Off-by-one error,exercise_value_954,Sample hint text #64,item_value_663,easy,hint_usage,methodStep_value_87,methodname_36,multipleChoiceAnswer_value_859,numberOfFavorites_value_277,numberOfViews_value_140,9,2023-07-01,2023-11-16,Sample question text #229,resolution_value_863,size_value_501,2023-03-08,stepName_91,18,Literature,2023-02-23,geography,Advanced History,Sample tokenized_statement text #378,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0003,achiever,amygdala,oxytocin,Data Science,86.71,27.33,desiredPoints_value_999,Geography,streak_count,expert,Causal reversal,hasPG_value_448,hasPS_value_219,hasPT_value_917,typeB,cluster_5,medium,precedence_value_608,0.23,0.34,0.499,hasCalculations_value_589,hasSuggestedTags_value_481,has_Answers_value_676,has_Epoch_value_841,has_Knowledge_value_616,has_token_value_657,superKC_value_548,OptionAnswer_value_869,Needs more examples,context_value_400,corrected_value_455,currentOperation_value_445,active,65,enabled_value_320,2023-12-21,Off-by-one error,exercise_value_42,Sample hint text #378,item_value_601,medium,progress_ratio,methodStep_value_280,methodname_94,multipleChoiceAnswer_value_689,numberOfFavorites_value_549,numberOfViews_value_106,11,2023-01-25,2023-05-27,Sample question text #868,resolution_value_236,size_value_584,2023-01-08,stepName_44,14,Data Science,2023-01-28,chemistry,Advanced Chemistry,Sample tokenized_statement text #365,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0004,survivor,striatum,oxytocin,Statistics,96.38,42.55,desiredPoints_value_16,Calculus,progress_ratio,expert,Sign error,hasPG_value_366,hasPS_value_315,hasPT_value_693,typeB,cluster_4,easy,precedence_value_929,0.486,0.845,0.797,hasCalculations_value_90,hasSuggestedTags_value_59,has_Answers_value_91,has_Epoch_value_513,has_Knowledge_value_298,has_token_value_133,superKC_value_399,OptionAnswer_value_170,Could be improved,context_value_141,corrected_value_389,currentOperation_value_319,pending,18,enabled_value_540,2023-01-26,Sign error,exercise_value_876,Sample hint text #285,item_value_354,hard,error_rate,methodStep_value_514,methodname_45,multipleChoiceAnswer_value_806,numberOfFavorites_value_622,numberOfViews_value_649,8,2023-06-13,2023-06-08,Sample question text #345,resolution_value_162,size_value_821,2023-05-21,stepName_32,16,Algebra,2023-08-25,data_science,Advanced History,Sample tokenized_statement text #339,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0005,social,striatum,norepinephrine,Algebra,77.41,45.87,desiredPoints_value_229,Computer Science,hint_usage,hard,Causal reversal,hasPG_value_943,hasPS_value_768,hasPT_value_159,typeB,cluster_1,medium,precedence_value_175,0.943,0.938,0.744,hasCalculations_value_850,hasSuggestedTags_value_298,has_Answers_value_430,has_Epoch_value_469,has_Knowledge_value_813,has_token_value_607,superKC_value_866,OptionAnswer_value_656,Good explanation,context_value_85,corrected_value_676,currentOperation_value_504,pending,103,enabled_value_174,2023-03-28,Formula inversion,exercise_value_604,Sample hint text #770,item_value_650,medium,progress_ratio,methodStep_value_281,methodname_73,multipleChoiceAnswer_value_703,numberOfFavorites_value_780,numberOfViews_value_868,14,2023-06-06,2023-04-26,Sample question text #640,resolution_value_407,size_value_509,2023-05-22,stepName_75,19,Philosophy,2023-01-05,mathematics,Introduction to Computer Science,Sample tokenized_statement text #681,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0006,exploratory,amygdala,dopamine,Computer Science,0.09,56.03,desiredPoints_value_778,Physics,attempt_count,easy,Sign error,hasPG_value_290,hasPS_value_147,hasPT_value_425,typeC,cluster_3,expert,precedence_value_911,0.32,0.837,0.543,hasCalculations_value_71,hasSuggestedTags_value_725,has_Answers_value_207,has_Epoch_value_692,has_Knowledge_value_965,has_token_value_623,superKC_value_892,OptionAnswer_value_494,Very clear,context_value_723,corrected_value_254,currentOperation_value_342,completed,83,enabled_value_292,2023-07-03,Unit confusion,exercise_value_134,Sample hint text #741,item_value_445,medium,error_rate,methodStep_value_278,methodname_08,multipleChoiceAnswer_value_524,numberOfFavorites_value_363,numberOfViews_value_145,1,2023-07-26,2023-04-07,Sample question text #270,resolution_value_907,size_value_418,2023-02-03,stepName_68,20,Computer Science,2023-09-16,biology,Advanced Mathematics,Sample tokenized_statement text #148,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0007,cooperative,striatum,norepinephrine,Philosophy,89.31,18.86,desiredPoints_value_224,Data Science,mastery_level,easy,Unit confusion,hasPG_value_105,hasPS_value_729,hasPT_value_978,typeC,cluster_1,expert,precedence_value_88,0.804,0.805,0.048,hasCalculations_value_252,hasSuggestedTags_value_208,has_Answers_value_849,has_Epoch_value_756,has_Knowledge_value_823,has_token_value_694,superKC_value_237,OptionAnswer_value_63,Challenging but rewarding,context_value_835,corrected_value_383,currentOperation_value_299,pending,16,enabled_value_542,2023-11-10,Sign error,exercise_value_430,Sample hint text #669,item_value_824,expert,error_rate,methodStep_value_681,methodname_24,multipleChoiceAnswer_value_694,numberOfFavorites_value_17,numberOfViews_value_646,20,2023-04-03,2023-04-16,Sample question text #933,resolution_value_567,size_value_554,2023-01-24,stepName_21,3,Mathematics,2023-10-08,literature,Advanced Physics,Sample tokenized_statement text #743,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0008,social,striatum,acetylcholine,Algebra,46.38,24.02,desiredPoints_value_427,Geography,engagement_score,expert,Unit confusion,hasPG_value_366,hasPS_value_357,hasPT_value_306,typeB,cluster_5,easy,precedence_value_214,0.25,0.963,0.111,hasCalculations_value_339,hasSuggestedTags_value_826,has_Answers_value_882,has_Epoch_value_713,has_Knowledge_value_257,has_token_value_207,superKC_value_367,OptionAnswer_value_791,Could be improved,context_value_740,corrected_value_114,currentOperation_value_111,active,22,enabled_value_391,2023-10-07,Concept conflation,exercise_value_323,Sample hint text #381,item_value_211,medium,error_rate,methodStep_value_551,methodname_80,multipleChoiceAnswer_value_750,numberOfFavorites_value_770,numberOfViews_value_139,7,2023-12-08,2023-04-21,Sample question text #969,resolution_value_900,size_value_85,2023-04-12,stepName_87,3,History,2023-11-17,geography,Introduction to Statistics,Sample tokenized_statement text #765,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0009,social,hippocampus,serotonin,Literature,25.04,43.22,desiredPoints_value_820,Algebra,correct_answers,easy,Formula inversion,hasPG_value_451,hasPS_value_289,hasPT_value_735,typeA,cluster_3,easy,precedence_value_765,0.825,0.306,0.507,hasCalculations_value_448,hasSuggestedTags_value_161,has_Answers_value_110,has_Epoch_value_955,has_Knowledge_value_959,has_token_value_927,superKC_value_431,OptionAnswer_value_983,Too abstract,context_value_576,corrected_value_251,currentOperation_value_753,pending,89,enabled_value_140,2023-08-23,Concept conflation,exercise_value_465,Sample hint text #256,item_value_56,medium,progress_ratio,methodStep_value_289,methodname_07,multipleChoiceAnswer_value_448,numberOfFavorites_value_581,numberOfViews_value_336,16,2023-03-12,2023-03-22,Sample question text #35,resolution_value_162,size_value_235,2023-12-26,stepName_47,17,Philosophy,2023-04-15,computer_science,Introduction to Biology,Sample tokenized_statement text #165,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement_0010,achiever,prefrontal,oxytocin,History,53.07,76.65,desiredPoints_value_618,Physics,progress_ratio,hard,Concept conflation,hasPG_value_367,hasPS_value_975,hasPT_value_85,typeB,cluster_3,easy,precedence_value_768,0.707,0.584,0.314,hasCalculations_value_837,hasSuggestedTags_value_404,has_Answers_value_673,has_Epoch_value_301,has_Knowledge_value_306,has_token_value_443,superKC_value_258,OptionAnswer_value_786,Too abstract,context_value_148,corrected_value_244,currentOperation_value_845,active,8,enabled_value_265,2023-02-12,Sign error,exercise_value_311,Sample hint text #894,item_value_160,expert,engagement_score,methodStep_value_552,methodname_47,multipleChoiceAnswer_value_339,numberOfFavorites_value_262,numberOfViews_value_506,1,2023-02-17,2023-10-16,Sample question text #781,resolution_value_500,size_value_614,2023-11-12,stepName_98,2,Physics,2023-11-10,literature,Advanced Mathematics,Sample tokenized_statement text #962,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
