# CLASS: StudentModel
# IRI: http://surveys.nees.com.br/ontologies/gato.owl#StudentModel
# COLUMNS:
#   id: id — Unique identifier, e.g. studentModel_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_hasBehaviouralKnowledge: object — Ref to ['BehaviouralKnowledge']
#   REF_includes: object — Ref to ['Player']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_hasBehaviouralKnowledge,REF_includes,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
studentModel_0001,exploratory,striatum,dopamine,Philosophy,35.12,26.58,desiredPoints_value_135,Computer Science,engagement_score,easy,Causal reversal,hasPG_value_160,hasPS_value_67,hasPT_value_351,typeA,cluster_5,expert,precedence_value_118,0.105,0.335,0.117,hasCalculations_value_929,hasSuggestedTags_value_727,has_Answers_value_445,has_Epoch_value_179,has_Knowledge_value_886,has_token_value_743,superKC_value_483,OptionAnswer_value_867,Good explanation,context_value_263,corrected_value_213,currentOperation_value_770,pending,83,enabled_value_198,2023-05-04,Off-by-one error,exercise_value_403,Sample hint text #108,item_value_663,expert,attempt_count,methodStep_value_11,methodname_81,multipleChoiceAnswer_value_261,numberOfFavorites_value_977,numberOfViews_value_715,16,2023-03-11,2023-06-07,Sample question text #125,resolution_value_870,size_value_716,2023-01-16,stepName_26,16,Physics,2023-03-05,mathematics,Advanced Mathematics,Sample tokenized_statement text #149,typeB,,,behaviouralKnowledge_0002|behaviouralKnowledge_0018|behaviouralKnowledge_0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0002,exploratory,prefrontal,norepinephrine,Mathematics,54.88,43.7,desiredPoints_value_811,Mathematics,xp_earned,expert,Causal reversal,hasPG_value_608,hasPS_value_132,hasPT_value_326,typeA,cluster_2,expert,precedence_value_40,0.099,0.015,0.931,hasCalculations_value_754,hasSuggestedTags_value_671,has_Answers_value_628,has_Epoch_value_589,has_Knowledge_value_244,has_token_value_801,superKC_value_77,OptionAnswer_value_854,Challenging but rewarding,context_value_101,corrected_value_967,currentOperation_value_792,pending,103,enabled_value_61,2023-01-26,Concept conflation,exercise_value_626,Sample hint text #700,item_value_518,easy,completion_rate,methodStep_value_855,methodname_93,multipleChoiceAnswer_value_883,numberOfFavorites_value_640,numberOfViews_value_463,4,2023-10-05,2023-11-23,Sample question text #866,resolution_value_812,size_value_659,2023-03-17,stepName_67,15,Calculus,2023-05-24,physics,Introduction to Statistics,Sample tokenized_statement text #728,typeC,,,behaviouralKnowledge_0020|behaviouralKnowledge_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0003,exploratory,amygdala,serotonin,History,70.77,82.08,desiredPoints_value_153,Literature,correct_answers,hard,Causal reversal,hasPG_value_178,hasPS_value_491,hasPT_value_249,typeC,cluster_4,expert,precedence_value_861,0.437,0.278,0.063,hasCalculations_value_86,hasSuggestedTags_value_39,has_Answers_value_343,has_Epoch_value_72,has_Knowledge_value_976,has_token_value_785,superKC_value_176,OptionAnswer_value_580,Could be improved,context_value_748,corrected_value_139,currentOperation_value_716,paused,23,enabled_value_839,2023-05-07,Off-by-one error,exercise_value_754,Sample hint text #437,item_value_505,expert,engagement_score,methodStep_value_633,methodname_67,multipleChoiceAnswer_value_240,numberOfFavorites_value_680,numberOfViews_value_395,15,2023-08-17,2023-02-01,Sample question text #506,resolution_value_4,size_value_523,2023-12-05,stepName_33,2,Economics,2023-10-26,biology,Advanced Literature,Sample tokenized_statement text #368,typeA,,,behaviouralKnowledge_0008|behaviouralKnowledge_0007|behaviouralKnowledge_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0004,exploratory,striatum,oxytocin,Chemistry,5.48,18.03,desiredPoints_value_255,Algebra,correct_answers,expert,Off-by-one error,hasPG_value_849,hasPS_value_728,hasPT_value_397,typeC,cluster_2,easy,precedence_value_85,0.446,0.975,0.151,hasCalculations_value_832,hasSuggestedTags_value_991,has_Answers_value_334,has_Epoch_value_752,has_Knowledge_value_120,has_token_value_696,superKC_value_144,OptionAnswer_value_391,Could be improved,context_value_863,corrected_value_895,currentOperation_value_411,active,117,enabled_value_699,2023-09-28,Formula inversion,exercise_value_974,Sample hint text #601,item_value_434,easy,score,methodStep_value_872,methodname_03,multipleChoiceAnswer_value_568,numberOfFavorites_value_278,numberOfViews_value_2,8,2023-10-01,2023-12-19,Sample question text #185,resolution_value_675,size_value_671,2023-11-16,stepName_51,16,Biology,2023-07-01,algebra,Advanced Chemistry,Sample tokenized_statement text #428,typeA,,,behaviouralKnowledge_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0005,achiever,cerebellum,norepinephrine,Mathematics,39.11,70.22,desiredPoints_value_659,Computer Science,correct_answers,easy,Causal reversal,hasPG_value_349,hasPS_value_363,hasPT_value_21,typeC,cluster_1,easy,precedence_value_348,0.831,0.049,0.608,hasCalculations_value_562,hasSuggestedTags_value_224,has_Answers_value_45,has_Epoch_value_427,has_Knowledge_value_641,has_token_value_637,superKC_value_192,OptionAnswer_value_370,Good explanation,context_value_709,corrected_value_727,currentOperation_value_605,active,49,enabled_value_987,2023-06-14,Unit confusion,exercise_value_320,Sample hint text #820,item_value_80,hard,score,methodStep_value_865,methodname_17,multipleChoiceAnswer_value_268,numberOfFavorites_value_217,numberOfViews_value_428,3,2023-07-02,2023-06-01,Sample question text #716,resolution_value_185,size_value_611,2023-11-25,stepName_75,20,Mathematics,2023-08-13,physics,Advanced History,Sample tokenized_statement text #121,typeC,,,behaviouralKnowledge_0004|behaviouralKnowledge_0010|behaviouralKnowledge_0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0006,cooperative,striatum,acetylcholine,Economics,26.35,1.43,desiredPoints_value_138,Calculus,score,expert,Formula inversion,hasPG_value_286,hasPS_value_578,hasPT_value_854,typeC,cluster_1,easy,precedence_value_786,0.478,0.439,0.371,hasCalculations_value_993,hasSuggestedTags_value_710,has_Answers_value_684,has_Epoch_value_810,has_Knowledge_value_42,has_token_value_286,superKC_value_193,OptionAnswer_value_846,Very clear,context_value_348,corrected_value_658,currentOperation_value_892,completed,99,enabled_value_896,2023-02-11,Formula inversion,exercise_value_363,Sample hint text #661,item_value_963,medium,completion_rate,methodStep_value_636,methodname_42,multipleChoiceAnswer_value_54,numberOfFavorites_value_734,numberOfViews_value_552,8,2023-09-13,2023-01-07,Sample question text #970,resolution_value_598,size_value_61,2023-04-14,stepName_64,10,Economics,2023-07-15,calculus,Introduction to Data Science,Sample tokenized_statement text #904,typeB,,,behaviouralKnowledge_0012|behaviouralKnowledge_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0007,exploratory,hippocampus,norepinephrine,Biology,25.87,69.87,desiredPoints_value_506,History,time_on_task,medium,Formula inversion,hasPG_value_2,hasPS_value_531,hasPT_value_108,typeA,cluster_1,expert,precedence_value_559,0.045,0.826,0.026,hasCalculations_value_505,hasSuggestedTags_value_553,has_Answers_value_92,has_Epoch_value_877,has_Knowledge_value_3,has_token_value_119,superKC_value_4,OptionAnswer_value_256,Could be improved,context_value_147,corrected_value_822,currentOperation_value_887,active,69,enabled_value_156,2023-04-09,Off-by-one error,exercise_value_833,Sample hint text #787,item_value_415,easy,progress_ratio,methodStep_value_702,methodname_79,multipleChoiceAnswer_value_26,numberOfFavorites_value_591,numberOfViews_value_476,12,2023-08-23,2023-09-18,Sample question text #826,resolution_value_816,size_value_363,2023-02-13,stepName_52,3,Philosophy,2023-01-16,literature,Introduction to Economics,Sample tokenized_statement text #320,typeB,,,behaviouralKnowledge_0002|behaviouralKnowledge_0009|behaviouralKnowledge_0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0008,achiever,amygdala,acetylcholine,Data Science,7.49,95.86,desiredPoints_value_145,Chemistry,xp_earned,medium,Formula inversion,hasPG_value_707,hasPS_value_861,hasPT_value_903,typeB,cluster_2,expert,precedence_value_108,0.019,0.269,0.648,hasCalculations_value_878,hasSuggestedTags_value_970,has_Answers_value_39,has_Epoch_value_174,has_Knowledge_value_742,has_token_value_391,superKC_value_20,OptionAnswer_value_764,Needs more examples,context_value_536,corrected_value_666,currentOperation_value_310,paused,50,enabled_value_739,2023-06-19,Sign error,exercise_value_925,Sample hint text #94,item_value_725,hard,correct_answers,methodStep_value_554,methodname_65,multipleChoiceAnswer_value_828,numberOfFavorites_value_411,numberOfViews_value_925,9,2023-10-19,2023-04-28,Sample question text #197,resolution_value_685,size_value_600,2023-08-09,stepName_46,7,Philosophy,2023-02-18,mathematics,Introduction to Geography,Sample tokenized_statement text #239,typeC,,,behaviouralKnowledge_0018|behaviouralKnowledge_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0009,social,hippocampus,norepinephrine,History,25.5,73.19,desiredPoints_value_868,Biology,streak_count,expert,Sign error,hasPG_value_387,hasPS_value_790,hasPT_value_660,typeC,cluster_1,easy,precedence_value_525,0.329,0.339,0.778,hasCalculations_value_480,hasSuggestedTags_value_618,has_Answers_value_314,has_Epoch_value_454,has_Knowledge_value_402,has_token_value_772,superKC_value_222,OptionAnswer_value_108,Challenging but rewarding,context_value_733,corrected_value_224,currentOperation_value_670,pending,28,enabled_value_728,2023-10-01,Off-by-one error,exercise_value_163,Sample hint text #293,item_value_955,medium,streak_count,methodStep_value_499,methodname_69,multipleChoiceAnswer_value_960,numberOfFavorites_value_816,numberOfViews_value_351,6,2023-04-10,2023-07-24,Sample question text #974,resolution_value_675,size_value_81,2023-06-03,stepName_21,4,Algebra,2023-07-16,literature,Project Management,Sample tokenized_statement text #5,typeC,,,behaviouralKnowledge_0014|behaviouralKnowledge_0002|behaviouralKnowledge_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studentModel_0010,competitive,striatum,acetylcholine,Calculus,31.73,88.56,desiredPoints_value_457,Economics,streak_count,medium,Causal reversal,hasPG_value_318,hasPS_value_133,hasPT_value_753,typeB,cluster_4,hard,precedence_value_566,0.131,0.577,0.557,hasCalculations_value_338,hasSuggestedTags_value_257,has_Answers_value_720,has_Epoch_value_654,has_Knowledge_value_939,has_token_value_43,superKC_value_644,OptionAnswer_value_675,Too abstract,context_value_740,corrected_value_302,currentOperation_value_642,pending,7,enabled_value_706,2023-04-19,Concept conflation,exercise_value_409,Sample hint text #199,item_value_540,medium,xp_earned,methodStep_value_260,methodname_49,multipleChoiceAnswer_value_972,numberOfFavorites_value_400,numberOfViews_value_618,1,2023-09-04,2023-05-10,Sample question text #622,resolution_value_544,size_value_401,2023-01-05,stepName_78,13,Algebra,2023-06-08,chemistry,Research Methods,Sample tokenized_statement text #570,typeC,,,behaviouralKnowledge_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
