# CLASS: Target_Behavior
# IRI: http://surveys.nees.com.br/ontologies/gado_full.owl#Target_Behavior
# COLUMNS:
#   id: id — Unique identifier, e.g. targetBehavior_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_hasCategory: object — Ref to ['Target_Behavior_Category', 'Target_Behavior_Category']
#   REF_hasMetric: object — Ref to ['Metric', 'Metric']
#   REF_isAccomplishedWith: object — Ref to ['Activity_Loop', 'Activity_Loop']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_hasCategory,REF_hasMetric,REF_isAccomplishedWith,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
targetBehavior_0001,achiever,amygdala,oxytocin,Physics,36.17,56.71,desiredPoints_value_940,Economics,completion_rate,expert,Concept conflation,hasPG_value_482,hasPS_value_300,hasPT_value_299,typeA,cluster_2,expert,precedence_value_929,0.952,0.111,0.263,hasCalculations_value_948,hasSuggestedTags_value_12,has_Answers_value_147,has_Epoch_value_624,has_Knowledge_value_22,has_token_value_233,superKC_value_21,OptionAnswer_value_52,Challenging but rewarding,context_value_109,corrected_value_810,currentOperation_value_704,active,33,enabled_value_622,2023-02-03,Off-by-one error,exercise_value_659,Sample hint text #307,item_value_13,expert,attempt_count,methodStep_value_383,methodname_74,multipleChoiceAnswer_value_480,numberOfFavorites_value_551,numberOfViews_value_812,14,2023-03-03,2023-07-07,Sample question text #259,resolution_value_519,size_value_313,2023-12-24,stepName_37,8,Mathematics,2023-06-07,history,Introduction to Economics,Sample tokenized_statement text #954,typeC,,,,metric_0044|metric_0055,,engagementLoop_0001|engagementLoop_0007,,strategy_0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0002,achiever,prefrontal,oxytocin,Statistics,53.33,9.75,desiredPoints_value_404,Physics,time_on_task,expert,Causal reversal,hasPG_value_88,hasPS_value_596,hasPT_value_906,typeB,cluster_5,easy,precedence_value_503,0.226,0.83,0.144,hasCalculations_value_497,hasSuggestedTags_value_125,has_Answers_value_315,has_Epoch_value_390,has_Knowledge_value_229,has_token_value_358,superKC_value_352,OptionAnswer_value_302,Needs more examples,context_value_547,corrected_value_313,currentOperation_value_446,paused,32,enabled_value_780,2023-11-23,Concept conflation,exercise_value_455,Sample hint text #182,item_value_54,medium,completion_rate,methodStep_value_205,methodname_68,multipleChoiceAnswer_value_229,numberOfFavorites_value_783,numberOfViews_value_159,5,2023-08-02,2023-05-20,Sample question text #268,resolution_value_245,size_value_898,2023-03-16,stepName_89,10,Mathematics,2023-03-13,geography,Introduction to Statistics,Sample tokenized_statement text #563,typeB,,,,metric_0024|metric_0034|metric_0047,,engagementLoop_0002|engagementLoop_0006|engagementLoop_0008,,strategy_0016|strategy_0008|strategy_0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0003,achiever,hippocampus,oxytocin,Geography,64.77,72.08,desiredPoints_value_748,Mathematics,attempt_count,easy,Unit confusion,hasPG_value_242,hasPS_value_676,hasPT_value_529,typeC,cluster_2,expert,precedence_value_231,0.488,0.774,0.267,hasCalculations_value_593,hasSuggestedTags_value_48,has_Answers_value_601,has_Epoch_value_587,has_Knowledge_value_266,has_token_value_673,superKC_value_287,OptionAnswer_value_510,Good explanation,context_value_547,corrected_value_889,currentOperation_value_968,active,97,enabled_value_207,2023-03-10,Off-by-one error,exercise_value_417,Sample hint text #154,item_value_905,easy,xp_earned,methodStep_value_292,methodname_53,multipleChoiceAnswer_value_98,numberOfFavorites_value_238,numberOfViews_value_222,12,2023-05-15,2023-04-26,Sample question text #742,resolution_value_254,size_value_484,2023-01-06,stepName_99,11,Geography,2023-06-25,calculus,Critical Thinking,Sample tokenized_statement text #401,typeA,,,,metric_0021|metric_0011,,engagementLoop_0009,,strategy_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0004,social,striatum,dopamine,Economics,5.65,45.01,desiredPoints_value_258,Philosophy,completion_rate,medium,Causal reversal,hasPG_value_662,hasPS_value_952,hasPT_value_905,typeA,cluster_5,expert,precedence_value_425,0.361,0.532,0.366,hasCalculations_value_108,hasSuggestedTags_value_655,has_Answers_value_266,has_Epoch_value_109,has_Knowledge_value_608,has_token_value_1,superKC_value_525,OptionAnswer_value_776,Needs more examples,context_value_786,corrected_value_459,currentOperation_value_285,pending,89,enabled_value_464,2023-05-12,Formula inversion,exercise_value_358,Sample hint text #878,item_value_912,medium,attempt_count,methodStep_value_19,methodname_63,multipleChoiceAnswer_value_440,numberOfFavorites_value_892,numberOfViews_value_195,8,2023-08-27,2023-12-26,Sample question text #237,resolution_value_426,size_value_296,2023-04-12,stepName_97,8,Computer Science,2023-02-06,physics,Introduction to Philosophy,Sample tokenized_statement text #404,typeA,,,,metric_0004,,engagementLoop_0002,,strategy_0002|strategy_0014|strategy_0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0005,competitive,amygdala,serotonin,Algebra,75.1,53.93,desiredPoints_value_911,Literature,time_on_task,medium,Sign error,hasPG_value_68,hasPS_value_51,hasPT_value_182,typeB,cluster_3,hard,precedence_value_966,0.997,0.281,0.264,hasCalculations_value_299,hasSuggestedTags_value_618,has_Answers_value_205,has_Epoch_value_406,has_Knowledge_value_403,has_token_value_503,superKC_value_234,OptionAnswer_value_334,Needs more examples,context_value_102,corrected_value_410,currentOperation_value_17,completed,43,enabled_value_48,2023-03-27,Concept conflation,exercise_value_607,Sample hint text #468,item_value_825,hard,error_rate,methodStep_value_633,methodname_28,multipleChoiceAnswer_value_784,numberOfFavorites_value_859,numberOfViews_value_703,19,2023-04-09,2023-10-23,Sample question text #897,resolution_value_705,size_value_401,2023-05-16,stepName_77,7,Geography,2023-04-20,data_science,Introduction to Statistics,Sample tokenized_statement text #889,typeB,,,,metric_0043,,engagementLoop_0001,,strategy_0010|strategy_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0006,cooperative,striatum,acetylcholine,Calculus,8.11,52.56,desiredPoints_value_618,Calculus,streak_count,medium,Formula inversion,hasPG_value_753,hasPS_value_490,hasPT_value_63,typeA,cluster_2,expert,precedence_value_67,0.583,0.412,0.439,hasCalculations_value_191,hasSuggestedTags_value_812,has_Answers_value_146,has_Epoch_value_124,has_Knowledge_value_719,has_token_value_755,superKC_value_659,OptionAnswer_value_469,Could be improved,context_value_789,corrected_value_936,currentOperation_value_459,pending,80,enabled_value_284,2023-02-10,Unit confusion,exercise_value_499,Sample hint text #491,item_value_755,medium,error_rate,methodStep_value_787,methodname_36,multipleChoiceAnswer_value_350,numberOfFavorites_value_231,numberOfViews_value_914,8,2023-08-24,2023-07-19,Sample question text #804,resolution_value_971,size_value_468,2023-10-04,stepName_90,14,Chemistry,2023-08-13,chemistry,Introduction to Economics,Sample tokenized_statement text #251,typeC,,,,metric_0025|metric_0056,,engagementLoop_0003,,strategy_0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0007,competitive,striatum,oxytocin,Economics,94.8,17.29,desiredPoints_value_726,Biology,streak_count,easy,Formula inversion,hasPG_value_513,hasPS_value_503,hasPT_value_773,typeA,cluster_3,expert,precedence_value_227,0.622,0.074,0.504,hasCalculations_value_465,hasSuggestedTags_value_568,has_Answers_value_920,has_Epoch_value_772,has_Knowledge_value_106,has_token_value_760,superKC_value_394,OptionAnswer_value_146,Very clear,context_value_659,corrected_value_991,currentOperation_value_882,paused,61,enabled_value_226,2023-06-24,Causal reversal,exercise_value_120,Sample hint text #951,item_value_50,hard,streak_count,methodStep_value_816,methodname_82,multipleChoiceAnswer_value_640,numberOfFavorites_value_474,numberOfViews_value_218,10,2023-05-25,2023-07-17,Sample question text #352,resolution_value_825,size_value_3,2023-01-20,stepName_38,15,Philosophy,2023-11-09,computer_science,Research Methods,Sample tokenized_statement text #782,typeC,,,,metric_0015,,engagementLoop_0003,,strategy_0007|strategy_0005|strategy_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0008,cooperative,cerebellum,dopamine,Economics,44.49,88.74,desiredPoints_value_136,Philosophy,correct_answers,expert,Sign error,hasPG_value_663,hasPS_value_826,hasPT_value_904,typeB,cluster_4,expert,precedence_value_848,0.428,0.624,0.386,hasCalculations_value_885,hasSuggestedTags_value_382,has_Answers_value_132,has_Epoch_value_487,has_Knowledge_value_245,has_token_value_413,superKC_value_12,OptionAnswer_value_19,Very clear,context_value_370,corrected_value_377,currentOperation_value_12,pending,6,enabled_value_667,2023-09-09,Off-by-one error,exercise_value_727,Sample hint text #201,item_value_977,medium,mastery_level,methodStep_value_588,methodname_07,multipleChoiceAnswer_value_101,numberOfFavorites_value_68,numberOfViews_value_471,11,2023-03-26,2023-09-21,Sample question text #135,resolution_value_5,size_value_831,2023-11-16,stepName_77,1,Computer Science,2023-08-28,statistics,Advanced History,Sample tokenized_statement text #673,typeC,,,,metric_0033|metric_0009|metric_0028,,engagementLoop_0004|engagementLoop_0007,,strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0009,social,hippocampus,acetylcholine,Literature,26.1,88.75,desiredPoints_value_566,Statistics,error_rate,medium,Concept conflation,hasPG_value_27,hasPS_value_149,hasPT_value_175,typeA,cluster_3,hard,precedence_value_862,0.388,0.083,0.697,hasCalculations_value_334,hasSuggestedTags_value_95,has_Answers_value_485,has_Epoch_value_716,has_Knowledge_value_848,has_token_value_369,superKC_value_576,OptionAnswer_value_444,Very clear,context_value_420,corrected_value_188,currentOperation_value_870,paused,50,enabled_value_997,2023-08-27,Off-by-one error,exercise_value_306,Sample hint text #929,item_value_224,medium,time_on_task,methodStep_value_773,methodname_74,multipleChoiceAnswer_value_180,numberOfFavorites_value_203,numberOfViews_value_993,17,2023-05-01,2023-10-19,Sample question text #729,resolution_value_122,size_value_192,2023-07-20,stepName_10,15,Literature,2023-05-19,economics,Introduction to Data Science,Sample tokenized_statement text #459,typeB,,,,metric_0022|metric_0057,,engagementLoop_0001,,strategy_0016|strategy_0017|strategy_0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
targetBehavior_0010,survivor,striatum,dopamine,Data Science,81.25,32.19,desiredPoints_value_480,Chemistry,error_rate,medium,Formula inversion,hasPG_value_275,hasPS_value_869,hasPT_value_896,typeB,cluster_3,medium,precedence_value_602,0.95,0.459,0.594,hasCalculations_value_258,hasSuggestedTags_value_924,has_Answers_value_483,has_Epoch_value_114,has_Knowledge_value_514,has_token_value_619,superKC_value_862,OptionAnswer_value_960,Good explanation,context_value_719,corrected_value_440,currentOperation_value_420,active,67,enabled_value_238,2023-12-04,Causal reversal,exercise_value_968,Sample hint text #48,item_value_30,easy,engagement_score,methodStep_value_583,methodname_61,multipleChoiceAnswer_value_482,numberOfFavorites_value_412,numberOfViews_value_393,2,2023-01-06,2023-03-01,Sample question text #26,resolution_value_664,size_value_942,2023-04-23,stepName_90,14,History,2023-03-07,economics,Introduction to Geography,Sample tokenized_statement text #140,typeA,,,,metric_0041|metric_0024,,engagementLoop_0001,,strategy_0020|strategy_0007|strategy_0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
