# CLASS: TrueOrFalseOption
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#TrueOrFalseOption
# COLUMNS:
#   id: id — Unique identifier, e.g. trueOrFalseOption_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
trueOrFalseOption_0001,cooperative,prefrontal,acetylcholine,Philosophy,4.92,17.3,desiredPoints_value_680,Philosophy,hint_usage,easy,Sign error,hasPG_value_503,hasPS_value_370,hasPT_value_224,typeB,cluster_2,easy,precedence_value_676,0.201,0.71,0.74,hasCalculations_value_130,hasSuggestedTags_value_866,has_Answers_value_706,has_Epoch_value_459,has_Knowledge_value_976,has_token_value_706,superKC_value_338,OptionAnswer_value_425,Very clear,context_value_851,corrected_value_101,currentOperation_value_597,pending,11,enabled_value_833,2023-12-08,Off-by-one error,exercise_value_379,Sample hint text #413,item_value_514,expert,mastery_level,methodStep_value_64,methodname_59,multipleChoiceAnswer_value_809,numberOfFavorites_value_69,numberOfViews_value_129,13,2023-06-05,2023-05-28,Sample question text #875,resolution_value_638,size_value_300,2023-09-20,stepName_10,17,Geography,2023-03-26,data_science,Advanced Geography,Sample tokenized_statement text #980,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0002,cooperative,cerebellum,oxytocin,Chemistry,90.93,90.69,desiredPoints_value_76,Geography,score,hard,Concept conflation,hasPG_value_479,hasPS_value_453,hasPT_value_509,typeB,cluster_3,easy,precedence_value_252,0.4,0.085,0.857,hasCalculations_value_452,hasSuggestedTags_value_424,has_Answers_value_860,has_Epoch_value_355,has_Knowledge_value_141,has_token_value_521,superKC_value_924,OptionAnswer_value_171,Needs more examples,context_value_721,corrected_value_970,currentOperation_value_825,paused,18,enabled_value_860,2023-10-21,Unit confusion,exercise_value_673,Sample hint text #276,item_value_726,easy,completion_rate,methodStep_value_577,methodname_40,multipleChoiceAnswer_value_576,numberOfFavorites_value_877,numberOfViews_value_270,19,2023-05-07,2023-11-28,Sample question text #763,resolution_value_834,size_value_263,2023-12-28,stepName_41,15,Computer Science,2023-07-28,literature,Introduction to Chemistry,Sample tokenized_statement text #740,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0003,achiever,cerebellum,acetylcholine,Geography,62.53,1.65,desiredPoints_value_755,Mathematics,xp_earned,easy,Causal reversal,hasPG_value_377,hasPS_value_609,hasPT_value_355,typeC,cluster_4,expert,precedence_value_528,0.188,0.946,0.564,hasCalculations_value_667,hasSuggestedTags_value_997,has_Answers_value_760,has_Epoch_value_804,has_Knowledge_value_783,has_token_value_374,superKC_value_983,OptionAnswer_value_959,Challenging but rewarding,context_value_775,corrected_value_193,currentOperation_value_393,active,19,enabled_value_594,2023-05-03,Sign error,exercise_value_653,Sample hint text #471,item_value_32,expert,correct_answers,methodStep_value_109,methodname_72,multipleChoiceAnswer_value_794,numberOfFavorites_value_336,numberOfViews_value_688,8,2023-07-02,2023-12-17,Sample question text #505,resolution_value_548,size_value_43,2023-08-05,stepName_01,5,Mathematics,2023-04-21,data_science,Introduction to Literature,Sample tokenized_statement text #564,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0004,competitive,hippocampus,serotonin,Mathematics,75.84,57.78,desiredPoints_value_438,Literature,engagement_score,expert,Sign error,hasPG_value_454,hasPS_value_168,hasPT_value_967,typeA,cluster_2,expert,precedence_value_229,0.295,0.25,0.224,hasCalculations_value_918,hasSuggestedTags_value_385,has_Answers_value_371,has_Epoch_value_431,has_Knowledge_value_495,has_token_value_1,superKC_value_472,OptionAnswer_value_656,Good explanation,context_value_594,corrected_value_645,currentOperation_value_714,active,49,enabled_value_416,2023-11-28,Unit confusion,exercise_value_503,Sample hint text #825,item_value_294,medium,progress_ratio,methodStep_value_418,methodname_63,multipleChoiceAnswer_value_490,numberOfFavorites_value_35,numberOfViews_value_326,9,2023-07-27,2023-08-07,Sample question text #616,resolution_value_250,size_value_78,2023-07-09,stepName_93,20,Mathematics,2023-10-24,geography,Introduction to Economics,Sample tokenized_statement text #436,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0005,survivor,cerebellum,acetylcholine,Data Science,96.69,71.87,desiredPoints_value_52,Algebra,attempt_count,expert,Concept conflation,hasPG_value_128,hasPS_value_60,hasPT_value_871,typeA,cluster_3,medium,precedence_value_97,0.137,0.59,0.176,hasCalculations_value_860,hasSuggestedTags_value_904,has_Answers_value_430,has_Epoch_value_131,has_Knowledge_value_324,has_token_value_279,superKC_value_508,OptionAnswer_value_797,Challenging but rewarding,context_value_917,corrected_value_50,currentOperation_value_703,active,77,enabled_value_336,2023-09-02,Unit confusion,exercise_value_15,Sample hint text #870,item_value_93,hard,correct_answers,methodStep_value_126,methodname_41,multipleChoiceAnswer_value_623,numberOfFavorites_value_807,numberOfViews_value_479,1,2023-01-01,2023-02-19,Sample question text #688,resolution_value_57,size_value_990,2023-01-15,stepName_27,17,Economics,2023-06-09,literature,Advanced Mathematics,Sample tokenized_statement text #940,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0006,cooperative,amygdala,acetylcholine,History,24.4,40.19,desiredPoints_value_587,Biology,progress_ratio,easy,Concept conflation,hasPG_value_619,hasPS_value_283,hasPT_value_108,typeA,cluster_1,hard,precedence_value_970,0.575,0.498,0.524,hasCalculations_value_147,hasSuggestedTags_value_112,has_Answers_value_206,has_Epoch_value_983,has_Knowledge_value_14,has_token_value_359,superKC_value_301,OptionAnswer_value_129,Could be improved,context_value_555,corrected_value_653,currentOperation_value_260,completed,50,enabled_value_646,2023-02-04,Off-by-one error,exercise_value_990,Sample hint text #925,item_value_597,easy,time_on_task,methodStep_value_774,methodname_46,multipleChoiceAnswer_value_616,numberOfFavorites_value_308,numberOfViews_value_881,1,2023-10-10,2023-03-22,Sample question text #592,resolution_value_290,size_value_65,2023-03-11,stepName_73,15,Philosophy,2023-10-24,calculus,Advanced History,Sample tokenized_statement text #38,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0007,survivor,prefrontal,serotonin,Biology,55.78,70.97,desiredPoints_value_696,Literature,engagement_score,expert,Formula inversion,hasPG_value_38,hasPS_value_648,hasPT_value_397,typeA,cluster_5,hard,precedence_value_918,0.995,0.071,0.202,hasCalculations_value_972,hasSuggestedTags_value_852,has_Answers_value_318,has_Epoch_value_18,has_Knowledge_value_664,has_token_value_218,superKC_value_578,OptionAnswer_value_627,Very clear,context_value_564,corrected_value_224,currentOperation_value_547,paused,41,enabled_value_298,2023-11-23,Causal reversal,exercise_value_200,Sample hint text #22,item_value_541,easy,mastery_level,methodStep_value_202,methodname_53,multipleChoiceAnswer_value_245,numberOfFavorites_value_165,numberOfViews_value_708,19,2023-11-07,2023-11-20,Sample question text #894,resolution_value_701,size_value_839,2023-08-23,stepName_02,6,Literature,2023-07-08,economics,Introduction to Geography,Sample tokenized_statement text #899,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0008,social,hippocampus,norepinephrine,History,55.92,55.09,desiredPoints_value_121,Biology,time_on_task,easy,Off-by-one error,hasPG_value_833,hasPS_value_482,hasPT_value_522,typeB,cluster_1,hard,precedence_value_449,0.829,0.406,0.452,hasCalculations_value_74,hasSuggestedTags_value_608,has_Answers_value_140,has_Epoch_value_722,has_Knowledge_value_802,has_token_value_895,superKC_value_833,OptionAnswer_value_681,Challenging but rewarding,context_value_566,corrected_value_622,currentOperation_value_139,active,116,enabled_value_234,2023-01-05,Concept conflation,exercise_value_994,Sample hint text #455,item_value_328,expert,hint_usage,methodStep_value_35,methodname_46,multipleChoiceAnswer_value_516,numberOfFavorites_value_640,numberOfViews_value_771,6,2023-04-22,2023-01-07,Sample question text #428,resolution_value_14,size_value_388,2023-08-16,stepName_68,16,Physics,2023-10-28,statistics,Introduction to Geography,Sample tokenized_statement text #273,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0009,social,prefrontal,acetylcholine,Geography,34.16,88.04,desiredPoints_value_66,Biology,correct_answers,hard,Concept conflation,hasPG_value_862,hasPS_value_425,hasPT_value_489,typeB,cluster_3,easy,precedence_value_712,0.745,0.316,0.453,hasCalculations_value_784,hasSuggestedTags_value_182,has_Answers_value_364,has_Epoch_value_455,has_Knowledge_value_737,has_token_value_308,superKC_value_996,OptionAnswer_value_827,Too abstract,context_value_695,corrected_value_831,currentOperation_value_972,completed,114,enabled_value_331,2023-03-24,Formula inversion,exercise_value_671,Sample hint text #864,item_value_971,easy,xp_earned,methodStep_value_116,methodname_67,multipleChoiceAnswer_value_375,numberOfFavorites_value_972,numberOfViews_value_107,4,2023-02-11,2023-12-14,Sample question text #488,resolution_value_915,size_value_256,2023-04-18,stepName_45,3,Geography,2023-08-14,history,Project Management,Sample tokenized_statement text #431,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseOption_0010,competitive,amygdala,dopamine,Statistics,41.37,86.57,desiredPoints_value_545,Mathematics,progress_ratio,medium,Concept conflation,hasPG_value_753,hasPS_value_215,hasPT_value_70,typeC,cluster_2,hard,precedence_value_445,0.324,0.061,0.759,hasCalculations_value_328,hasSuggestedTags_value_522,has_Answers_value_976,has_Epoch_value_439,has_Knowledge_value_53,has_token_value_255,superKC_value_944,OptionAnswer_value_641,Too abstract,context_value_765,corrected_value_764,currentOperation_value_922,pending,53,enabled_value_208,2023-12-08,Sign error,exercise_value_797,Sample hint text #554,item_value_592,medium,time_on_task,methodStep_value_308,methodname_80,multipleChoiceAnswer_value_995,numberOfFavorites_value_907,numberOfViews_value_369,5,2023-05-25,2023-06-15,Sample question text #55,resolution_value_348,size_value_79,2023-06-28,stepName_44,16,Calculus,2023-09-21,chemistry,Introduction to Algebra,Sample tokenized_statement text #197,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
