# CLASS: TrueOrFalseProblem
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#TrueOrFalseProblem
# COLUMNS:
#   id: id — Unique identifier, e.g. trueOrFalseProblem_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
trueOrFalseProblem_0001,achiever,hippocampus,serotonin,Algebra,16.62,26.93,desiredPoints_value_694,Data Science,completion_rate,expert,Off-by-one error,hasPG_value_387,hasPS_value_113,hasPT_value_682,typeC,cluster_4,medium,precedence_value_733,0.93,0.511,0.632,hasCalculations_value_594,hasSuggestedTags_value_958,has_Answers_value_474,has_Epoch_value_982,has_Knowledge_value_754,has_token_value_257,superKC_value_493,OptionAnswer_value_428,Could be improved,context_value_825,corrected_value_185,currentOperation_value_976,completed,85,enabled_value_481,2023-01-07,Causal reversal,exercise_value_570,Sample hint text #353,item_value_668,hard,engagement_score,methodStep_value_574,methodname_97,multipleChoiceAnswer_value_455,numberOfFavorites_value_771,numberOfViews_value_892,6,2023-07-17,2023-02-19,Sample question text #889,resolution_value_194,size_value_941,2023-02-26,stepName_79,5,Chemistry,2023-12-19,history,Introduction to Chemistry,Sample tokenized_statement text #791,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0002,cooperative,prefrontal,serotonin,Economics,75.37,0.1,desiredPoints_value_962,Algebra,correct_answers,medium,Unit confusion,hasPG_value_247,hasPS_value_702,hasPT_value_594,typeB,cluster_1,hard,precedence_value_282,0.342,0.278,0.843,hasCalculations_value_628,hasSuggestedTags_value_169,has_Answers_value_326,has_Epoch_value_552,has_Knowledge_value_920,has_token_value_543,superKC_value_910,OptionAnswer_value_945,Needs more examples,context_value_88,corrected_value_268,currentOperation_value_785,active,11,enabled_value_912,2023-04-12,Formula inversion,exercise_value_231,Sample hint text #29,item_value_208,medium,mastery_level,methodStep_value_155,methodname_56,multipleChoiceAnswer_value_487,numberOfFavorites_value_196,numberOfViews_value_335,10,2023-10-01,2023-05-15,Sample question text #594,resolution_value_833,size_value_774,2023-09-13,stepName_47,15,Physics,2023-07-27,algebra,Advanced Chemistry,Sample tokenized_statement text #599,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0003,social,prefrontal,dopamine,Biology,14.78,73.91,desiredPoints_value_376,Mathematics,mastery_level,expert,Sign error,hasPG_value_871,hasPS_value_553,hasPT_value_418,typeC,cluster_3,expert,precedence_value_300,0.96,0.21,0.438,hasCalculations_value_52,hasSuggestedTags_value_702,has_Answers_value_697,has_Epoch_value_537,has_Knowledge_value_844,has_token_value_895,superKC_value_966,OptionAnswer_value_552,Needs more examples,context_value_216,corrected_value_21,currentOperation_value_591,completed,113,enabled_value_371,2023-09-15,Sign error,exercise_value_534,Sample hint text #613,item_value_811,hard,correct_answers,methodStep_value_479,methodname_86,multipleChoiceAnswer_value_219,numberOfFavorites_value_403,numberOfViews_value_215,3,2023-07-07,2023-04-01,Sample question text #873,resolution_value_568,size_value_301,2023-07-02,stepName_14,16,Chemistry,2023-12-13,chemistry,Advanced Chemistry,Sample tokenized_statement text #788,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0004,cooperative,prefrontal,acetylcholine,History,60.87,51.56,desiredPoints_value_830,History,streak_count,expert,Unit confusion,hasPG_value_585,hasPS_value_83,hasPT_value_647,typeA,cluster_4,medium,precedence_value_261,0.853,0.707,0.858,hasCalculations_value_697,hasSuggestedTags_value_36,has_Answers_value_235,has_Epoch_value_966,has_Knowledge_value_98,has_token_value_63,superKC_value_731,OptionAnswer_value_974,Could be improved,context_value_101,corrected_value_398,currentOperation_value_422,completed,103,enabled_value_385,2023-07-06,Sign error,exercise_value_537,Sample hint text #281,item_value_372,hard,hint_usage,methodStep_value_75,methodname_38,multipleChoiceAnswer_value_769,numberOfFavorites_value_3,numberOfViews_value_547,11,2023-08-20,2023-07-05,Sample question text #167,resolution_value_917,size_value_589,2023-06-03,stepName_98,4,Statistics,2023-01-17,history,Advanced Chemistry,Sample tokenized_statement text #438,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0005,competitive,striatum,acetylcholine,Data Science,4.38,65.98,desiredPoints_value_62,Chemistry,correct_answers,easy,Unit confusion,hasPG_value_429,hasPS_value_606,hasPT_value_19,typeC,cluster_1,expert,precedence_value_269,0.612,0.336,0.511,hasCalculations_value_650,hasSuggestedTags_value_640,has_Answers_value_109,has_Epoch_value_931,has_Knowledge_value_843,has_token_value_737,superKC_value_389,OptionAnswer_value_913,Needs more examples,context_value_924,corrected_value_320,currentOperation_value_285,active,8,enabled_value_427,2023-07-21,Formula inversion,exercise_value_559,Sample hint text #558,item_value_295,hard,engagement_score,methodStep_value_895,methodname_29,multipleChoiceAnswer_value_869,numberOfFavorites_value_848,numberOfViews_value_152,3,2023-07-12,2023-01-28,Sample question text #182,resolution_value_934,size_value_700,2023-05-05,stepName_28,17,Philosophy,2023-04-12,history,Project Management,Sample tokenized_statement text #261,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0006,social,hippocampus,dopamine,Statistics,92.5,68.7,desiredPoints_value_775,Chemistry,progress_ratio,hard,Off-by-one error,hasPG_value_173,hasPS_value_250,hasPT_value_678,typeC,cluster_1,hard,precedence_value_655,0.93,0.03,0.426,hasCalculations_value_456,hasSuggestedTags_value_97,has_Answers_value_259,has_Epoch_value_554,has_Knowledge_value_348,has_token_value_240,superKC_value_953,OptionAnswer_value_228,Could be improved,context_value_204,corrected_value_795,currentOperation_value_125,paused,102,enabled_value_83,2023-05-15,Concept conflation,exercise_value_779,Sample hint text #325,item_value_366,hard,xp_earned,methodStep_value_830,methodname_09,multipleChoiceAnswer_value_175,numberOfFavorites_value_577,numberOfViews_value_942,18,2023-12-06,2023-05-25,Sample question text #777,resolution_value_593,size_value_183,2023-03-01,stepName_24,17,Statistics,2023-09-03,geography,Advanced Literature,Sample tokenized_statement text #186,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0007,achiever,cerebellum,norepinephrine,Chemistry,11.07,44.05,desiredPoints_value_402,Economics,error_rate,easy,Sign error,hasPG_value_428,hasPS_value_622,hasPT_value_441,typeA,cluster_3,easy,precedence_value_872,0.328,0.057,0.737,hasCalculations_value_730,hasSuggestedTags_value_140,has_Answers_value_286,has_Epoch_value_768,has_Knowledge_value_941,has_token_value_615,superKC_value_65,OptionAnswer_value_238,Challenging but rewarding,context_value_303,corrected_value_245,currentOperation_value_56,completed,109,enabled_value_988,2023-12-25,Sign error,exercise_value_375,Sample hint text #47,item_value_760,medium,engagement_score,methodStep_value_257,methodname_77,multipleChoiceAnswer_value_407,numberOfFavorites_value_834,numberOfViews_value_156,8,2023-09-08,2023-09-10,Sample question text #303,resolution_value_49,size_value_777,2023-11-27,stepName_30,16,Statistics,2023-07-12,history,Introduction to Literature,Sample tokenized_statement text #611,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0008,achiever,amygdala,serotonin,Calculus,73.13,75.75,desiredPoints_value_756,Economics,error_rate,medium,Sign error,hasPG_value_27,hasPS_value_536,hasPT_value_421,typeC,cluster_3,easy,precedence_value_295,0.557,0.655,0.829,hasCalculations_value_605,hasSuggestedTags_value_665,has_Answers_value_48,has_Epoch_value_528,has_Knowledge_value_327,has_token_value_832,superKC_value_21,OptionAnswer_value_341,Good explanation,context_value_773,corrected_value_850,currentOperation_value_279,paused,89,enabled_value_109,2023-06-19,Off-by-one error,exercise_value_857,Sample hint text #323,item_value_121,medium,time_on_task,methodStep_value_478,methodname_63,multipleChoiceAnswer_value_175,numberOfFavorites_value_108,numberOfViews_value_61,20,2023-01-16,2023-05-10,Sample question text #264,resolution_value_482,size_value_587,2023-12-08,stepName_73,4,Data Science,2023-02-16,physics,Advanced Physics,Sample tokenized_statement text #963,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0009,survivor,hippocampus,dopamine,Biology,71.0,35.65,desiredPoints_value_541,Statistics,mastery_level,hard,Concept conflation,hasPG_value_406,hasPS_value_338,hasPT_value_691,typeB,cluster_2,expert,precedence_value_301,0.781,0.599,0.405,hasCalculations_value_969,hasSuggestedTags_value_6,has_Answers_value_454,has_Epoch_value_139,has_Knowledge_value_225,has_token_value_404,superKC_value_388,OptionAnswer_value_748,Good explanation,context_value_786,corrected_value_300,currentOperation_value_872,paused,38,enabled_value_107,2023-03-01,Concept conflation,exercise_value_109,Sample hint text #557,item_value_2,medium,correct_answers,methodStep_value_530,methodname_77,multipleChoiceAnswer_value_216,numberOfFavorites_value_514,numberOfViews_value_655,5,2023-06-27,2023-03-26,Sample question text #547,resolution_value_695,size_value_967,2023-10-21,stepName_37,1,History,2023-04-19,biology,Introduction to Data Science,Sample tokenized_statement text #120,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trueOrFalseProblem_0010,competitive,prefrontal,acetylcholine,Philosophy,77.42,32.86,desiredPoints_value_998,Computer Science,attempt_count,medium,Causal reversal,hasPG_value_941,hasPS_value_441,hasPT_value_429,typeC,cluster_3,easy,precedence_value_223,0.666,0.099,0.196,hasCalculations_value_482,hasSuggestedTags_value_536,has_Answers_value_72,has_Epoch_value_471,has_Knowledge_value_323,has_token_value_154,superKC_value_268,OptionAnswer_value_855,Could be improved,context_value_567,corrected_value_69,currentOperation_value_255,pending,36,enabled_value_500,2023-07-09,Sign error,exercise_value_625,Sample hint text #850,item_value_901,medium,progress_ratio,methodStep_value_226,methodname_02,multipleChoiceAnswer_value_215,numberOfFavorites_value_980,numberOfViews_value_640,12,2023-04-20,2023-06-05,Sample question text #759,resolution_value_715,size_value_904,2023-07-02,stepName_67,18,Geography,2023-04-06,philosophy,Advanced Biology,Sample tokenized_statement text #857,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
