# CLASS: URIResource
# IRI: http://meututor.com.br/Ontologies/meututor_domain_resource.owl#URIResource
# COLUMNS:
#   id: id — Unique identifier, e.g. uRIResource_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
uRIResource_0001,cooperative,amygdala,dopamine,Physics,8.41,61.94,desiredPoints_value_617,Computer Science,xp_earned,hard,Formula inversion,hasPG_value_337,hasPS_value_279,hasPT_value_745,typeB,cluster_2,expert,precedence_value_877,0.463,0.275,0.588,hasCalculations_value_631,hasSuggestedTags_value_41,has_Answers_value_590,has_Epoch_value_428,has_Knowledge_value_470,has_token_value_547,superKC_value_70,OptionAnswer_value_618,Too abstract,context_value_374,corrected_value_843,currentOperation_value_811,paused,115,enabled_value_345,2023-10-16,Formula inversion,exercise_value_239,Sample hint text #625,item_value_395,easy,error_rate,methodStep_value_680,methodname_26,multipleChoiceAnswer_value_792,numberOfFavorites_value_704,numberOfViews_value_257,1,2023-06-16,2023-04-13,Sample question text #555,resolution_value_926,size_value_870,2023-12-19,stepName_13,2,Economics,2023-12-01,history,Introduction to Biology,Sample tokenized_statement text #723,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0002,social,amygdala,acetylcholine,Philosophy,63.91,89.04,desiredPoints_value_33,Computer Science,xp_earned,medium,Off-by-one error,hasPG_value_920,hasPS_value_702,hasPT_value_515,typeC,cluster_5,expert,precedence_value_678,0.454,0.068,0.719,hasCalculations_value_976,hasSuggestedTags_value_946,has_Answers_value_591,has_Epoch_value_603,has_Knowledge_value_104,has_token_value_397,superKC_value_328,OptionAnswer_value_519,Very clear,context_value_186,corrected_value_238,currentOperation_value_421,completed,44,enabled_value_782,2023-02-04,Off-by-one error,exercise_value_271,Sample hint text #551,item_value_880,hard,engagement_score,methodStep_value_570,methodname_92,multipleChoiceAnswer_value_430,numberOfFavorites_value_461,numberOfViews_value_956,4,2023-03-13,2023-06-26,Sample question text #489,resolution_value_711,size_value_164,2023-09-27,stepName_09,18,Chemistry,2023-10-27,physics,Introduction to Geography,Sample tokenized_statement text #870,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0003,achiever,cerebellum,oxytocin,Economics,36.7,64.85,desiredPoints_value_265,Philosophy,streak_count,easy,Concept conflation,hasPG_value_901,hasPS_value_415,hasPT_value_27,typeC,cluster_5,hard,precedence_value_103,0.719,0.348,0.999,hasCalculations_value_798,hasSuggestedTags_value_343,has_Answers_value_897,has_Epoch_value_377,has_Knowledge_value_198,has_token_value_477,superKC_value_731,OptionAnswer_value_233,Good explanation,context_value_724,corrected_value_814,currentOperation_value_285,completed,63,enabled_value_921,2023-07-07,Off-by-one error,exercise_value_543,Sample hint text #329,item_value_378,expert,engagement_score,methodStep_value_23,methodname_64,multipleChoiceAnswer_value_842,numberOfFavorites_value_127,numberOfViews_value_446,20,2023-05-09,2023-09-23,Sample question text #945,resolution_value_868,size_value_98,2023-05-24,stepName_40,1,Mathematics,2023-01-24,data_science,Introduction to Economics,Sample tokenized_statement text #38,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0004,exploratory,striatum,dopamine,Chemistry,23.84,86.15,desiredPoints_value_126,Mathematics,xp_earned,expert,Unit confusion,hasPG_value_993,hasPS_value_795,hasPT_value_42,typeB,cluster_5,expert,precedence_value_163,0.584,0.524,0.161,hasCalculations_value_751,hasSuggestedTags_value_576,has_Answers_value_516,has_Epoch_value_678,has_Knowledge_value_920,has_token_value_339,superKC_value_768,OptionAnswer_value_812,Too abstract,context_value_158,corrected_value_465,currentOperation_value_947,completed,100,enabled_value_274,2023-05-19,Causal reversal,exercise_value_498,Sample hint text #590,item_value_843,medium,attempt_count,methodStep_value_118,methodname_83,multipleChoiceAnswer_value_942,numberOfFavorites_value_611,numberOfViews_value_492,7,2023-07-14,2023-11-27,Sample question text #899,resolution_value_330,size_value_283,2023-08-24,stepName_47,17,Calculus,2023-08-27,economics,Critical Thinking,Sample tokenized_statement text #963,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0005,survivor,prefrontal,acetylcholine,Physics,91.03,83.95,desiredPoints_value_331,Biology,progress_ratio,medium,Unit confusion,hasPG_value_664,hasPS_value_732,hasPT_value_605,typeA,cluster_4,expert,precedence_value_471,0.12,0.324,0.715,hasCalculations_value_3,hasSuggestedTags_value_787,has_Answers_value_651,has_Epoch_value_110,has_Knowledge_value_487,has_token_value_297,superKC_value_951,OptionAnswer_value_230,Could be improved,context_value_21,corrected_value_264,currentOperation_value_63,completed,49,enabled_value_387,2023-01-02,Unit confusion,exercise_value_124,Sample hint text #206,item_value_922,easy,correct_answers,methodStep_value_699,methodname_51,multipleChoiceAnswer_value_868,numberOfFavorites_value_507,numberOfViews_value_477,12,2023-03-16,2023-01-15,Sample question text #114,resolution_value_160,size_value_903,2023-08-19,stepName_91,15,Physics,2023-08-14,biology,Project Management,Sample tokenized_statement text #981,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0006,competitive,striatum,norepinephrine,Chemistry,99.96,45.85,desiredPoints_value_584,Data Science,progress_ratio,easy,Causal reversal,hasPG_value_302,hasPS_value_216,hasPT_value_525,typeC,cluster_1,expert,precedence_value_931,0.719,0.462,0.135,hasCalculations_value_886,hasSuggestedTags_value_172,has_Answers_value_869,has_Epoch_value_906,has_Knowledge_value_449,has_token_value_36,superKC_value_148,OptionAnswer_value_756,Too abstract,context_value_320,corrected_value_253,currentOperation_value_974,active,55,enabled_value_656,2023-04-19,Off-by-one error,exercise_value_327,Sample hint text #523,item_value_317,expert,hint_usage,methodStep_value_908,methodname_62,multipleChoiceAnswer_value_130,numberOfFavorites_value_344,numberOfViews_value_429,2,2023-05-13,2023-08-17,Sample question text #162,resolution_value_670,size_value_46,2023-11-07,stepName_56,20,Mathematics,2023-07-23,physics,Introduction to Statistics,Sample tokenized_statement text #728,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0007,exploratory,hippocampus,serotonin,Literature,91.03,23.76,desiredPoints_value_31,Data Science,progress_ratio,expert,Sign error,hasPG_value_96,hasPS_value_886,hasPT_value_139,typeA,cluster_1,expert,precedence_value_394,0.439,0.406,0.323,hasCalculations_value_672,hasSuggestedTags_value_5,has_Answers_value_333,has_Epoch_value_240,has_Knowledge_value_754,has_token_value_651,superKC_value_184,OptionAnswer_value_285,Needs more examples,context_value_643,corrected_value_995,currentOperation_value_668,active,93,enabled_value_884,2023-07-19,Unit confusion,exercise_value_227,Sample hint text #343,item_value_230,medium,mastery_level,methodStep_value_764,methodname_56,multipleChoiceAnswer_value_936,numberOfFavorites_value_76,numberOfViews_value_478,18,2023-11-01,2023-06-18,Sample question text #911,resolution_value_70,size_value_246,2023-09-02,stepName_43,15,Biology,2023-03-04,biology,Introduction to Algebra,Sample tokenized_statement text #795,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0008,achiever,cerebellum,acetylcholine,History,35.69,83.22,desiredPoints_value_137,Literature,score,hard,Off-by-one error,hasPG_value_31,hasPS_value_452,hasPT_value_12,typeC,cluster_3,hard,precedence_value_510,0.008,0.964,0.156,hasCalculations_value_969,hasSuggestedTags_value_383,has_Answers_value_37,has_Epoch_value_576,has_Knowledge_value_409,has_token_value_545,superKC_value_505,OptionAnswer_value_911,Too abstract,context_value_297,corrected_value_95,currentOperation_value_130,completed,48,enabled_value_951,2023-11-19,Concept conflation,exercise_value_858,Sample hint text #872,item_value_991,expert,streak_count,methodStep_value_178,methodname_41,multipleChoiceAnswer_value_575,numberOfFavorites_value_407,numberOfViews_value_612,5,2023-07-08,2023-06-14,Sample question text #26,resolution_value_36,size_value_393,2023-11-06,stepName_43,12,Physics,2023-06-03,computer_science,Advanced History,Sample tokenized_statement text #894,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0009,survivor,amygdala,dopamine,Calculus,58.5,47.46,desiredPoints_value_534,History,progress_ratio,hard,Sign error,hasPG_value_69,hasPS_value_856,hasPT_value_177,typeB,cluster_2,hard,precedence_value_784,0.868,0.807,0.334,hasCalculations_value_662,hasSuggestedTags_value_21,has_Answers_value_686,has_Epoch_value_68,has_Knowledge_value_640,has_token_value_505,superKC_value_434,OptionAnswer_value_705,Needs more examples,context_value_115,corrected_value_203,currentOperation_value_961,pending,58,enabled_value_782,2023-02-13,Unit confusion,exercise_value_700,Sample hint text #386,item_value_79,hard,completion_rate,methodStep_value_962,methodname_90,multipleChoiceAnswer_value_824,numberOfFavorites_value_938,numberOfViews_value_442,11,2023-04-05,2023-03-05,Sample question text #868,resolution_value_692,size_value_810,2023-05-25,stepName_58,2,Data Science,2023-11-17,physics,Introduction to Mathematics,Sample tokenized_statement text #110,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRIResource_0010,achiever,hippocampus,serotonin,Philosophy,72.05,7.23,desiredPoints_value_572,Economics,hint_usage,easy,Concept conflation,hasPG_value_616,hasPS_value_901,hasPT_value_991,typeC,cluster_3,medium,precedence_value_459,0.768,0.948,0.554,hasCalculations_value_783,hasSuggestedTags_value_940,has_Answers_value_886,has_Epoch_value_664,has_Knowledge_value_745,has_token_value_839,superKC_value_751,OptionAnswer_value_903,Good explanation,context_value_829,corrected_value_140,currentOperation_value_916,paused,70,enabled_value_113,2023-08-25,Concept conflation,exercise_value_256,Sample hint text #9,item_value_746,easy,mastery_level,methodStep_value_873,methodname_03,multipleChoiceAnswer_value_332,numberOfFavorites_value_528,numberOfViews_value_555,19,2023-10-28,2023-01-11,Sample question text #874,resolution_value_671,size_value_931,2023-09-02,stepName_70,4,History,2023-01-07,biology,Introduction to Philosophy,Sample tokenized_statement text #730,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
