# CLASS: UserAccount
# IRI: http://rdfs.org/sioc/ns#UserAccount
# COLUMNS:
#   id: id — Unique identifier, e.g. userAccount_0001
#   archetypeBehavior: data — str
#   archetypeBrainRegion: data — str
#   archetypeChemicalMessenger: data — str
#   archetypeLikes: data — str
#   time: data — float
#   value: data — float
#   desiredPoints: data — str
#   domain: data — str
#   description: data — str
#   importanceLevel: data — str
#   issue: data — str
#   hasPG: data — str
#   hasPS: data — str
#   hasPT: data — str
#   ckType: data — str
#   cluster: data — str
#   difficulty: data — str
#   precedence: data — str
#   rate: data — str
#   totalWeight: data — str
#   weight: data — str
#   hasCalculations: data — str
#   hasSuggestedTags: data — str
#   has_Answers: data — str
#   has_Epoch: data — str
#   has_Knowledge: data — str
#   has_token: data — str
#   superKC: data — str
#   OptionAnswer: data — str
#   comment: data — str
#   context: data — str
#   corrected: data — str
#   currentOperation: data — str
#   developmentStatus: data — str
#   duration: data — str
#   enabled: data — str
#   endDate: data — str
#   error: data — str
#   exercise: data — str
#   hint: data — str
#   item: data — str
#   level: data — str
#   methodDescription: data — str
#   methodStep: data — str
#   methodname: data — str
#   multipleChoiceAnswer: data — str
#   numberOfFavorites: data — str
#   numberOfViews: data — str
#   order: data — str
#   posting_date: data — str
#   posting_hour: data — str
#   question: data — str
#   resolution: data — str
#   size: data — str
#   startDate: data — str
#   stepName: data — str
#   stepOrder: data — str
#   subjects: data — str
#   submmitedDate: data — str
#   term: data — str
#   title: data — str
#   tokenized_statement: data — str
#   type_Test: data — str
#   REF_account_of: object — Ref to ['?']
#   REF_has_member: object — Ref to ['?']
#   REF_isPartOfEngagementLoop: object — Ref to ['Engagement_Loop', 'Engagement_Loop']
#   REF_has_domain: object — Ref to ['?']
#   REF_strategicTutoring: object — Ref to ['Strategy', 'Strategy']
#   REF_associatedDomain: object — Ref to ['?']
#   REF_hasDomains: object — Ref to ['?']
#   REF_hasEloRating: object — Ref to ['?']
#   REF_hasLevel: object — Ref to ['?']
#   REF_hasSubDomain: object — Ref to ['?']
#   REF_has_Domain: object — Ref to ['?']
#   REF_isComposedByContext: object — Ref to ['?']
#   REF_isComposedByCurriculum: object — Ref to ['?']
#   REF_isComposedByDepth: object — Ref to ['?']
#   REF_isSubDomainOf: object — Ref to ['?']
#   REF_hasContext: object — Ref to ['?']
#   REF_isChildOfCurriculum: object — Ref to ['?']
#   REF_isComposedByLaterality: object — Ref to ['?']
#   REF_isParentOfCurriculum: object — Ref to ['?']
#   REF_hasBug: object — Ref to ['?']
#   REF_hasCatalogue: object — Ref to ['?']
#   REF_hasConcept: object — Ref to ['?']
#   REF_hasConceptualKnowledge: object — Ref to ['?']
#   REF_hasConsistency: object — Ref to ['?']
#   REF_hasContent: object — Ref to ['?']
#   REF_hasCurriculum: object — Ref to ['?']
#   REF_hasCurriculumInformation: object — Ref to ['?']
#   REF_hasDiscrepancy: object — Ref to ['?']
#   REF_hasDomain: object — Ref to ['?']
#   REF_hasError: object — Ref to ['?']
#   REF_hasExample: object — Ref to ['?']
#   REF_hasExplanation: object — Ref to ['?']
#   REF_hasKnowledgeUnit: object — Ref to ['?']
#   REF_hasLO: object — Ref to ['?']
#   REF_hasMisconception: object — Ref to ['?']
#   REF_hasPL: object — Ref to ['?']
#   REF_hasPedagogicalUnit: object — Ref to ['?']
#   REF_hasResource: object — Ref to ['?']
#   REF_hasSuperConceptualKnowledge: object — Ref to ['?']
#   REF_hasTags: object — Ref to ['?']
#   REF_has_MissConception: object — Ref to ['?']
#   REF_isComposedByProblem: object — Ref to ['?']
#   REF_fillBlanksHasOption: object — Ref to ['?']
#   REF_hasEvaluation: object — Ref to ['?']
#   REF_has_Context: object — Ref to ['?']
#   REF_has_Depth: object — Ref to ['?']
#   REF_has_Diagnosis: object — Ref to ['?']
#   REF_has_MethodStep: object — Ref to ['?']
#   REF_has_Problems: object — Ref to ['?']
#   REF_has_Questions: object — Ref to ['?']
#   REF_has_Resolution: object — Ref to ['?']
#   REF_has_ResolutionMethod: object — Ref to ['?']
#   REF_has_comments: object — Ref to ['?']
#   REF_has_discursiveOption: object — Ref to ['?']
#   REF_has_hint: object — Ref to ['?']
#   REF_isChildOfHint: object — Ref to ['?']
#   REF_isParentOfHint: object — Ref to ['?']
#   REF_matched_To: object — Ref to ['?']
#   REF_multipleChoiceHasOption: object — Ref to ['?']
#   REF_related_Curriculum: object — Ref to ['?']
#   REF_trueOrFalseHasOption: object — Ref to ['?']
# ─── Data rows below (delete this line) ───────────────────────
id,archetypeBehavior,archetypeBrainRegion,archetypeChemicalMessenger,archetypeLikes,time,value,desiredPoints,domain,description,importanceLevel,issue,hasPG,hasPS,hasPT,ckType,cluster,difficulty,precedence,rate,totalWeight,weight,hasCalculations,hasSuggestedTags,has_Answers,has_Epoch,has_Knowledge,has_token,superKC,OptionAnswer,comment,context,corrected,currentOperation,developmentStatus,duration,enabled,endDate,error,exercise,hint,item,level,methodDescription,methodStep,methodname,multipleChoiceAnswer,numberOfFavorites,numberOfViews,order,posting_date,posting_hour,question,resolution,size,startDate,stepName,stepOrder,subjects,submmitedDate,term,title,tokenized_statement,type_Test,REF_account_of,REF_has_member,REF_isPartOfEngagementLoop,REF_has_domain,REF_strategicTutoring,REF_associatedDomain,REF_hasDomains,REF_hasEloRating,REF_hasLevel,REF_hasSubDomain,REF_has_Domain,REF_isComposedByContext,REF_isComposedByCurriculum,REF_isComposedByDepth,REF_isSubDomainOf,REF_hasContext,REF_isChildOfCurriculum,REF_isComposedByLaterality,REF_isParentOfCurriculum,REF_hasBug,REF_hasCatalogue,REF_hasConcept,REF_hasConceptualKnowledge,REF_hasConsistency,REF_hasContent,REF_hasCurriculum,REF_hasCurriculumInformation,REF_hasDiscrepancy,REF_hasDomain,REF_hasError,REF_hasExample,REF_hasExplanation,REF_hasKnowledgeUnit,REF_hasLO,REF_hasMisconception,REF_hasPL,REF_hasPedagogicalUnit,REF_hasResource,REF_hasSuperConceptualKnowledge,REF_hasTags,REF_has_MissConception,REF_isComposedByProblem,REF_fillBlanksHasOption,REF_hasEvaluation,REF_has_Context,REF_has_Depth,REF_has_Diagnosis,REF_has_MethodStep,REF_has_Problems,REF_has_Questions,REF_has_Resolution,REF_has_ResolutionMethod,REF_has_comments,REF_has_discursiveOption,REF_has_hint,REF_isChildOfHint,REF_isParentOfHint,REF_matched_To,REF_multipleChoiceHasOption,REF_related_Curriculum,REF_trueOrFalseHasOption
userAccount_0001,survivor,hippocampus,dopamine,Data Science,27.5,22.32,desiredPoints_value_755,Physics,streak_count,easy,Concept conflation,hasPG_value_433,hasPS_value_33,hasPT_value_31,typeA,cluster_2,medium,precedence_value_518,0.602,0.561,0.716,hasCalculations_value_719,hasSuggestedTags_value_559,has_Answers_value_430,has_Epoch_value_226,has_Knowledge_value_460,has_token_value_604,superKC_value_285,OptionAnswer_value_829,Good explanation,context_value_778,corrected_value_826,currentOperation_value_164,paused,48,enabled_value_285,2023-03-07,Unit confusion,exercise_value_105,Sample hint text #95,item_value_390,easy,attempt_count,methodStep_value_868,methodname_45,multipleChoiceAnswer_value_619,numberOfFavorites_value_271,numberOfViews_value_827,2,2023-12-15,2023-09-04,Sample question text #997,resolution_value_945,size_value_388,2023-02-18,stepName_38,20,Calculus,2023-06-19,biology,Critical Thinking,Sample tokenized_statement text #72,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0002,survivor,prefrontal,norepinephrine,Physics,85.53,86.65,desiredPoints_value_390,History,engagement_score,hard,Sign error,hasPG_value_380,hasPS_value_364,hasPT_value_215,typeC,cluster_3,easy,precedence_value_624,0.635,0.534,0.245,hasCalculations_value_474,hasSuggestedTags_value_389,has_Answers_value_277,has_Epoch_value_948,has_Knowledge_value_656,has_token_value_705,superKC_value_571,OptionAnswer_value_225,Could be improved,context_value_333,corrected_value_864,currentOperation_value_787,active,34,enabled_value_842,2023-01-26,Unit confusion,exercise_value_411,Sample hint text #275,item_value_68,medium,progress_ratio,methodStep_value_898,methodname_92,multipleChoiceAnswer_value_323,numberOfFavorites_value_218,numberOfViews_value_672,16,2023-07-21,2023-08-05,Sample question text #272,resolution_value_143,size_value_253,2023-12-18,stepName_69,9,Data Science,2023-10-14,philosophy,Introduction to Algebra,Sample tokenized_statement text #371,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0003,cooperative,cerebellum,acetylcholine,Physics,75.58,86.11,desiredPoints_value_157,Statistics,completion_rate,expert,Concept conflation,hasPG_value_66,hasPS_value_395,hasPT_value_391,typeC,cluster_4,hard,precedence_value_995,0.553,0.942,0.68,hasCalculations_value_118,hasSuggestedTags_value_699,has_Answers_value_907,has_Epoch_value_550,has_Knowledge_value_769,has_token_value_274,superKC_value_788,OptionAnswer_value_657,Too abstract,context_value_115,corrected_value_301,currentOperation_value_446,completed,63,enabled_value_4,2023-12-24,Unit confusion,exercise_value_996,Sample hint text #513,item_value_781,medium,mastery_level,methodStep_value_935,methodname_14,multipleChoiceAnswer_value_892,numberOfFavorites_value_641,numberOfViews_value_306,17,2023-10-07,2023-03-12,Sample question text #781,resolution_value_166,size_value_553,2023-09-01,stepName_77,11,Computer Science,2023-01-04,geography,Introduction to Philosophy,Sample tokenized_statement text #246,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0004,cooperative,cerebellum,dopamine,Physics,73.19,81.6,desiredPoints_value_779,Economics,completion_rate,medium,Causal reversal,hasPG_value_487,hasPS_value_970,hasPT_value_563,typeA,cluster_3,expert,precedence_value_988,0.212,0.539,0.73,hasCalculations_value_206,hasSuggestedTags_value_731,has_Answers_value_320,has_Epoch_value_409,has_Knowledge_value_688,has_token_value_666,superKC_value_383,OptionAnswer_value_449,Challenging but rewarding,context_value_463,corrected_value_124,currentOperation_value_254,completed,13,enabled_value_347,2023-01-19,Concept conflation,exercise_value_236,Sample hint text #603,item_value_226,easy,score,methodStep_value_725,methodname_81,multipleChoiceAnswer_value_61,numberOfFavorites_value_235,numberOfViews_value_70,2,2023-06-03,2023-09-08,Sample question text #286,resolution_value_686,size_value_498,2023-04-18,stepName_17,19,Philosophy,2023-08-08,algebra,Advanced Physics,Sample tokenized_statement text #827,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0005,cooperative,hippocampus,dopamine,Statistics,43.11,42.36,desiredPoints_value_479,Calculus,xp_earned,easy,Causal reversal,hasPG_value_670,hasPS_value_662,hasPT_value_101,typeA,cluster_4,hard,precedence_value_820,0.862,0.249,0.19,hasCalculations_value_460,hasSuggestedTags_value_144,has_Answers_value_433,has_Epoch_value_188,has_Knowledge_value_286,has_token_value_474,superKC_value_256,OptionAnswer_value_896,Good explanation,context_value_454,corrected_value_828,currentOperation_value_883,active,11,enabled_value_668,2023-09-27,Off-by-one error,exercise_value_993,Sample hint text #96,item_value_949,medium,completion_rate,methodStep_value_417,methodname_63,multipleChoiceAnswer_value_493,numberOfFavorites_value_219,numberOfViews_value_886,13,2023-01-06,2023-07-01,Sample question text #400,resolution_value_272,size_value_949,2023-08-10,stepName_55,18,Statistics,2023-12-16,chemistry,Introduction to Literature,Sample tokenized_statement text #304,typeA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0006,competitive,cerebellum,oxytocin,Mathematics,74.8,5.72,desiredPoints_value_599,Computer Science,mastery_level,medium,Off-by-one error,hasPG_value_984,hasPS_value_521,hasPT_value_83,typeA,cluster_1,easy,precedence_value_692,0.862,0.404,0.942,hasCalculations_value_584,hasSuggestedTags_value_253,has_Answers_value_593,has_Epoch_value_609,has_Knowledge_value_41,has_token_value_635,superKC_value_84,OptionAnswer_value_430,Could be improved,context_value_598,corrected_value_579,currentOperation_value_536,pending,38,enabled_value_210,2023-11-23,Unit confusion,exercise_value_245,Sample hint text #272,item_value_406,medium,streak_count,methodStep_value_661,methodname_39,multipleChoiceAnswer_value_469,numberOfFavorites_value_324,numberOfViews_value_952,3,2023-01-15,2023-10-19,Sample question text #103,resolution_value_76,size_value_551,2023-04-17,stepName_34,5,Geography,2023-02-08,geography,Introduction to Philosophy,Sample tokenized_statement text #162,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0007,achiever,amygdala,oxytocin,Algebra,65.4,0.78,desiredPoints_value_837,Economics,hint_usage,easy,Sign error,hasPG_value_271,hasPS_value_119,hasPT_value_912,typeA,cluster_5,medium,precedence_value_279,0.282,0.211,0.343,hasCalculations_value_704,hasSuggestedTags_value_650,has_Answers_value_874,has_Epoch_value_271,has_Knowledge_value_518,has_token_value_501,superKC_value_258,OptionAnswer_value_928,Good explanation,context_value_95,corrected_value_650,currentOperation_value_434,pending,10,enabled_value_4,2023-06-25,Sign error,exercise_value_653,Sample hint text #269,item_value_166,expert,mastery_level,methodStep_value_723,methodname_55,multipleChoiceAnswer_value_575,numberOfFavorites_value_10,numberOfViews_value_115,3,2023-12-05,2023-09-02,Sample question text #855,resolution_value_379,size_value_597,2023-09-05,stepName_56,5,Mathematics,2023-05-12,algebra,Introduction to Physics,Sample tokenized_statement text #921,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0008,cooperative,prefrontal,dopamine,Geography,78.01,88.41,desiredPoints_value_417,Philosophy,xp_earned,medium,Sign error,hasPG_value_886,hasPS_value_167,hasPT_value_820,typeA,cluster_4,easy,precedence_value_184,0.737,0.332,0.931,hasCalculations_value_822,hasSuggestedTags_value_686,has_Answers_value_885,has_Epoch_value_753,has_Knowledge_value_831,has_token_value_255,superKC_value_274,OptionAnswer_value_164,Could be improved,context_value_111,corrected_value_392,currentOperation_value_894,active,114,enabled_value_482,2023-04-07,Formula inversion,exercise_value_359,Sample hint text #313,item_value_841,medium,time_on_task,methodStep_value_25,methodname_85,multipleChoiceAnswer_value_198,numberOfFavorites_value_409,numberOfViews_value_337,9,2023-02-25,2023-05-12,Sample question text #657,resolution_value_522,size_value_410,2023-11-27,stepName_69,11,Mathematics,2023-02-09,chemistry,Advanced History,Sample tokenized_statement text #986,typeB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0009,competitive,hippocampus,oxytocin,Literature,34.57,78.64,desiredPoints_value_447,Philosophy,mastery_level,easy,Formula inversion,hasPG_value_922,hasPS_value_591,hasPT_value_195,typeB,cluster_1,expert,precedence_value_2,0.52,0.807,0.687,hasCalculations_value_963,hasSuggestedTags_value_760,has_Answers_value_755,has_Epoch_value_687,has_Knowledge_value_202,has_token_value_373,superKC_value_442,OptionAnswer_value_72,Could be improved,context_value_943,corrected_value_339,currentOperation_value_639,pending,89,enabled_value_869,2023-02-24,Unit confusion,exercise_value_520,Sample hint text #317,item_value_683,expert,attempt_count,methodStep_value_413,methodname_90,multipleChoiceAnswer_value_303,numberOfFavorites_value_568,numberOfViews_value_131,7,2023-07-22,2023-07-22,Sample question text #767,resolution_value_925,size_value_179,2023-10-19,stepName_39,13,Economics,2023-01-10,history,Introduction to Literature,Sample tokenized_statement text #441,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
userAccount_0010,achiever,amygdala,acetylcholine,Computer Science,44.22,21.37,desiredPoints_value_485,Algebra,xp_earned,medium,Causal reversal,hasPG_value_87,hasPS_value_291,hasPT_value_528,typeC,cluster_5,hard,precedence_value_96,0.818,0.751,0.673,hasCalculations_value_231,hasSuggestedTags_value_826,has_Answers_value_204,has_Epoch_value_151,has_Knowledge_value_26,has_token_value_48,superKC_value_251,OptionAnswer_value_487,Challenging but rewarding,context_value_871,corrected_value_787,currentOperation_value_75,paused,58,enabled_value_908,2023-11-19,Sign error,exercise_value_736,Sample hint text #714,item_value_394,expert,correct_answers,methodStep_value_250,methodname_19,multipleChoiceAnswer_value_672,numberOfFavorites_value_705,numberOfViews_value_6,4,2023-07-08,2023-03-26,Sample question text #981,resolution_value_713,size_value_531,2023-08-02,stepName_72,8,Calculus,2023-02-15,chemistry,Advanced Mathematics,Sample tokenized_statement text #684,typeC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
