"id","label","primary_type","type_count","out_degree","in_degree","hub_score","authority_score"
"http://org.semanticweb.owlapi/error#Error1","Error1","Class","1","0","3","0.0","1.0"
"http://org.semanticweb.owlapi/error#Error2","Error2","Class","1","0","3","0.0","1.0"
"http://org.semanticweb.owlapi/error#Error3","Error3","Class","1","1","1","0.5","0.5"
"http://prismstandard.org/namespaces/1.2/basic/isbn","isbn","AnnotationProperty","1","2","0","1.0","0.0"
"http://prismstandard.org/namespaces/1.2/basic/issue","issue","AnnotationProperty","1","2","0","1.0","0.0"
"http://prismstandard.org/namespaces/1.2/basic/number","number","AnnotationProperty","1","0","3","0.0","1.0"
"http://prismstandard.org/namespaces/1.2/basic/startingPage","startingPage","AnnotationProperty","1","5","0","1.0","0.0"
"http://prismstandard.org/namespaces/1.2/basic/volume","volume","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/dc/terms/Agent","Agent","","0","0","17","0.0","1.0"
"http://purl.org/dc/terms/partOf","partOf","","0","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/AcademicArticle","AcademicArticle","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/Bill","Bill","Class","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/CollectedDocument","CollectedDocument","","0","0","1","0.0","1.0"
"http://purl.org/ontology/bibo/Document","Document","","0","0","7","0.0","1.0"
"http://purl.org/ontology/bibo/EditedBook","EditedBook","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/Film","Film","Class","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/Image","Image","Class","1","0","1","0.0","1.0"
"http://purl.org/ontology/bibo/LegalDecision","LegalDecision","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/LegalDocument","LegalDocument","Class","1","1","1","0.5","0.5"
"http://purl.org/ontology/bibo/Manuscript","Manuscript","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/Map","Map","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/Slide","Slide","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/Thesis","Thesis","Class","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/annotates","annotates","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/chapter","chapter","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/cites","cites","ObjectProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/content","content","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/court","court","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/distributor","distributor","ObjectProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/edition","edition","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/editor","editor","ObjectProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/editorList","editorList","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/identifier","identifier","AnnotationProperty","1","0","1","0.0","1.0"
"http://purl.org/ontology/bibo/isbn","isbn","AnnotationProperty","1","0","1","0.0","1.0"
"http://purl.org/ontology/bibo/issue","issue","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/issuer","issuer","ObjectProperty","1","3","0","1.0","0.0"
"http://purl.org/ontology/bibo/locator","locator","AnnotationProperty","1","0","1","0.0","1.0"
"http://purl.org/ontology/bibo/pageEnd","pageEnd","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/pageStart","pageStart","AnnotationProperty","1","1","1","0.5","0.5"
"http://purl.org/ontology/bibo/pages","pages","AnnotationProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/presentedAt","presentedAt","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/reversedBy","reversedBy","ObjectProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/section","section","AnnotationProperty","1","3","0","1.0","0.0"
"http://purl.org/ontology/bibo/shortDescription","shortDescription","AnnotationProperty","1","1","0","1.0","0.0"
"http://purl.org/ontology/bibo/translator","translator","ObjectProperty","1","2","0","1.0","0.0"
"http://purl.org/ontology/bibo/volume","volume","AnnotationProperty","1","0","1","0.0","1.0"
"http://rdfs.org/sioc/ns#Container","Container","","0","0","1","0.0","1.0"
"http://rdfs.org/sioc/ns#Item","Item","","0","0","1","0.0","1.0"
"http://rdfs.org/sioc/ns#Space","Space","","0","0","1","0.0","1.0"
"http://rdfs.org/sioc/ns#User","User","","0","1","3","0.25","0.75"
"http://rdfs.org/sioc/ns#Usergroup","Usergroup","","0","0","1","0.0","1.0"
"http://rdfs.org/sioc/ns#avatar","avatar","AnnotationProperty","1","1","0","1.0","0.0"
"http://rdfs.org/sioc/ns#content_encoded","content_encoded","AnnotationProperty","1","2","0","1.0","0.0"
"http://rdfs.org/sioc/ns#created_at","created_at","AnnotationProperty","1","3","0","1.0","0.0"
"http://rdfs.org/sioc/ns#creator_of","creator_of","AnnotationProperty","1","1","0","1.0","0.0"
"http://rdfs.org/sioc/ns#has_container","has_container","","0","1","0","1.0","0.0"
