model,roc_auc,average_precision,accuracy,f1,seed,cv_std
Logistic Regression,0.625,0.5428571428571429,0.5555555555555556,0.6666666666666666,42,
Random Forest,0.625,0.6666666666666666,0.5555555555555556,0.6,42,
MLP Link Predictor,0.575,0.5178571428571428,0.5555555555555556,0.0,42,
XGBoost,0.725,0.775,0.5555555555555556,0.6,42,
LR CrossVal,0.584375,0.584375,0.0,0.0,42,0.06599597525607148
GCN Link Prediction,0.525,0.4928571428571429,0.5555555555555556,0.0,42,
GraphSAGE Link Prediction,0.725,0.6916666666666667,0.5555555555555556,0.0,42,
Logistic Regression,0.3571428571428572,0.25,0.5555555555555556,0.3333333333333333,43,
Random Forest,0.1428571428571429,0.19642857142857142,0.4444444444444444,0.0,43,
MLP Link Predictor,0.7857142857142857,0.7,0.7777777777777778,0.0,43,
XGBoost,0.3571428571428572,0.25,0.5555555555555556,0.3333333333333333,43,
LR CrossVal,0.615625,0.615625,0.0,0.0,43,0.06218671481916374
GCN Link Prediction,0.5714285714285714,0.325,0.7777777777777778,0.0,43,
GraphSAGE Link Prediction,1.0,1.0,0.7777777777777778,0.0,43,
Logistic Regression,0.27499999999999997,0.37797619047619047,0.4444444444444444,0.5454545454545454,44,
Random Forest,0.375,0.41547619047619044,0.4444444444444444,0.4444444444444444,44,
MLP Link Predictor,0.575,0.525,0.5555555555555556,0.0,44,
XGBoost,0.425,0.44047619047619047,0.4444444444444444,0.4444444444444444,44,
LR CrossVal,0.58125,0.58125,0.0,0.0,44,0.18312606654979513
GCN Link Prediction,0.725,0.775,0.5555555555555556,0.0,44,
GraphSAGE Link Prediction,0.27499999999999997,0.37797619047619047,0.5555555555555556,0.0,44,
Logistic Regression,0.75,0.6984126984126984,0.5555555555555556,0.6,45,
Random Forest,0.36111111111111116,0.3206349206349206,0.5555555555555556,0.6,45,
MLP Link Predictor,0.5833333333333334,0.44285714285714284,0.6666666666666666,0.0,45,
XGBoost,0.36111111111111116,0.3206349206349206,0.5555555555555556,0.6,45,
LR CrossVal,0.615625,0.615625,0.0,0.0,45,0.08705242673240075
GCN Link Prediction,0.7222222222222222,0.6666666666666667,0.6666666666666666,0.0,45,
GraphSAGE Link Prediction,0.4444444444444444,0.3595238095238096,0.4444444444444444,0.2857142857142857,45,
Logistic Regression,1.0,1.0,0.1111111111111111,0.2,46,
Random Forest,0.5,0.2,0.4444444444444444,0.2857142857142857,46,
MLP Link Predictor,1.0,1.0,0.8888888888888888,0.0,46,
XGBoost,0.5,0.2,0.2222222222222222,0.2222222222222222,46,
LR CrossVal,0.590625,0.590625,0.0,0.0,46,0.14934753931685651
GCN Link Prediction,0.375,0.16666666666666666,0.3333333333333333,0.25,46,
GraphSAGE Link Prediction,0.375,0.16666666666666666,0.8888888888888888,0.0,46,
