node,type,agg_score,has_totalLikes_raw,has_totalDownloads_raw,has_totalSites_raw
Level_Up,Level,1.0,610.0,3146.0,10037.0
Stash,Reward,0.917244,2003.0,1227.0,736.0
BLockGame,Badge,0.129353,70.0,460.0,1009.0
Tiny_stash,Reward,0.041552,1.0,221.0,63.0
"The targeted audience of a targeted course has targeted educational level to be beginner, intermefdiate, or advanced",unknown,0.0,,,
has_actor,unknown,0.0,,,
TaskJavaExceptions,IndexKey,0.0,,,
contains_forum_post,unknown,0.0,,,
thumbnail,unknown,0.0,,,
_:b224,IndividualPropertyAtom,0.0,,,
_:b132,AtomList,0.0,,,
the latest version released for this game element,unknown,0.0,,,
ressource bonus pour la leçon 5 Méthodes et constructeurs de classe,unknown,0.0,,,
Task_about_Polymorphism,GamifiedResource,0.0,,,
_:b266,AtomList,0.0,,,
pages,AnnotationProperty,0.0,,,
img,unknown,0.0,,,
Mike,Teacher,0.0,,,
_:b126,Imp,0.0,,,
Event_Listeners,GamifiedResource,0.0,,,
_:b131,IndividualPropertyAtom,0.0,,,
bonus material for lesson 2 classes and objects,unknown,0.0,,,
leçon 3 du cours Programmation Orientée Objet,unknown,0.0,,,
_:b11,Class,0.0,,,
socializer,NamedIndividual|_:b18,0.0,,,
_:b245,Imp,0.0,,,
Total number of likes granted for this game element,unknown,0.0,,,
_:b194,AtomList,0.0,,,
_:b221,AtomList,0.0,,,
distributor,ObjectProperty,0.0,,,
firstName,AnnotationProperty,0.0,,,
LearningStyle,Class,0.0,,,
JavaInheritanceComposition,IndexKey,0.0,,,
RFK_L7_R1,ReferenceKey,0.0,,,
_:b136,ClassAtom,0.0,,,
Error1,Class,0.0,,,
RFK_L8_R4,ReferenceKey,0.0,,,
Stimulus,unknown,0.0,,,
offersCourse,TransitiveProperty,0.0,,,
_:b12,Class,0.0,,,
_:b274,IndividualPropertyAtom,0.0,,,
_:b223,AtomList,0.0,,,
has_EndDate,unknown,0.0,,,
hasPart,unknown,0.0,,,
id,AnnotationProperty,0.0,,,
has_Place,unknown,0.0,,,
RFK_L7_R4,ReferenceKey,0.0,,,
Overloading,GamifiedResource,0.0,,,
JavaTryCatch,IndexKey,0.0,,,
_:b171,ClassAtom,0.0,,,
JavaGUIElements,IndexKey,0.0,,,
has_TotalCompletionHours,DatatypeProperty,0.0,,,
True,unknown,0.0,,,
court,AnnotationProperty,0.0,,,
indexed_by,unknown,0.0,,,
_:b82,List,0.0,,,
OnlineAccount,unknown,0.0,,,
brief description of the game element purpose,unknown,0.0,,,
Interactive_Content_–_H5P,GameElementResource,0.0,,,
JavaEventTypes,IndexKey,0.0,,,
_:b72,List,0.0,,,
_:b191,IndividualPropertyAtom,0.0,,,
RF_GE_BloackGame,ReferenceKey,0.0,,,
_:b29,Restriction,0.0,,,
_:b100,DatavaluedPropertyAtom,0.0,,,
RFK_L5_R2,ReferenceKey,0.0,,,
Lesson,unknown,0.0,,,
bonus resource for lesson 8 Exception Handling,unknown,0.0,,,
bonus resource for lesson 7 Event Handler and Listener,unknown,0.0,,,
RFK_L6_R3,ReferenceKey,0.0,,,
Objective,Class,0.0,,,
_:b27,Restriction,0.0,,,
Motivation,unknown,0.0,,,
hasPedagogicalObjective,ObjectProperty,0.0,,,
_:b242,AtomList,0.0,,,
skypeID,AnnotationProperty,0.0,,,
_:b41,Restriction,0.0,,,
_:b200,AtomList,0.0,,,
Property,unknown,0.0,,,
_:b216,IndividualPropertyAtom,0.0,,,
COntentKnowledge,Class,0.0,,,
schoolHomepage,AnnotationProperty,0.0,,,
JavaExtend,IndexKey,0.0,,,
_:b112,AtomList,0.0,,,
Item,unknown,0.0,,,
RFK_L7_R2,ReferenceKey,0.0,,,
accountServiceHomepage,unknown,0.0,,,
_:b55,unknown,0.0,,,
_:b256,ClassAtom,0.0,,,
