source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
Task_about_Java_Basics,Stash,0.8950740526756379,0.20167724860850508,0.9172442572270822,True,GamifiedResource,Reward,0.8995080935859268,0.7480992677262766,1.0,1,direct,0.799540442458553
Task_about_Java_Basics,Level_Up,0.9043326140934885,0.20166778800677335,1.0,True,GamifiedResource,Level,0.923466091274791,0.7405941889221156,1.0,1,direct,0.7979026377320961
Multi-level_inheritance,Level_Up,0.8859160568900603,0.20067766402510634,1.0,True,GamifiedResource,Level,0.9087328455120482,0.7484386827243925,1.0,1,direct,0.7965557636823762
Buil-in_Data_Types,Level_Up,0.8847540703549323,0.19346186067113794,1.0,True,GamifiedResource,Level,0.9078032562839458,0.7430961433475896,1.0,1,direct,0.7926764178001595
Task_about_Java_Basics,BLockGame,0.8696081560415838,0.19351947094807062,0.12935257077791257,True,GamifiedResource,Badge,0.7215570389888496,0.7329124731139275,1.0,1,direct,0.7807559621386072
Functions,Stash,0.853528955801052,0.19246913201517993,0.9172442572270822,True,GamifiedResource,Reward,0.8662720160862581,0.7330736167908065,1.0,1,direct,0.7752329854443925
Buil-in_Data_Types,Tiny_stash,0.8347647973434974,0.22316987488046924,0.0415518252487452,True,GamifiedResource,Reward,0.6761222029245469,0.7430961433475896,1.0,1,direct,0.7751801722461573
Strings,Stash,0.8536176639725861,0.1925058040384176,0.9172442572270822,True,GamifiedResource,Reward,0.8663429826234854,0.7329262013784892,1.0,1,direct,0.775168213286423
Control_Statements,Stash,0.8526529607406583,0.19184405489842352,0.9172442572270822,True,GamifiedResource,Reward,0.8655712200379432,0.7329297750854544,1.0,1,direct,0.7748328900647758
Variables,Level_Up,0.8462152395770788,0.1892758495827941,1.0,True,GamifiedResource,Level,0.8769721916616631,0.7328370330315265,1.0,1,direct,0.7725194053224698
Overloading,Level_Up,0.842632173410993,0.19737954118031867,1.0,True,GamifiedResource,Level,0.8741057387287945,0.7332163253695598,1.0,1,direct,0.7715118721840615
Overriding,Level_Up,0.8391678871232555,0.2012474402792047,1.0,True,GamifiedResource,Level,0.8713343096986044,0.7332831362570934,1.0,1,direct,0.7703427990602502
Overloaded_constructors,Level_Up,0.8003732459879634,0.18085980123759063,1.0,True,GamifiedResource,Level,0.8402985967903709,0.7438129766666716,1.0,1,direct,0.7636090709291237
Control_Statements,BLockGame,0.7756382061019794,0.15359825280349895,0.12935257077791257,True,GamifiedResource,Badge,0.6463810790371661,0.7328767360442747,1.0,1,direct,0.7478432505644714
Loops,BLockGame,0.7692814304562732,0.1489592680881475,0.12935257077791257,True,GamifiedResource,Badge,0.6412956585206011,0.7329862135064303,1.0,1,direct,0.7456895394388754
gr,bonusPoints,0.7886429614519773,0.24996454450829758,0.0,True,GamifiedResource,BonusPoints,0.630914369161582,0.7018913020380473,1.0,1,direct,0.7322543828329228
Variables,Tiny_stash,0.6575043308818451,0.16866522020618474,0.0415518252487452,True,GamifiedResource,Reward,0.5343138297552251,0.7429806080163099,1.0,1,direct,0.7130639110192473
Arithmetic_operations,Stash,0.5475335603764633,0.26588291890376153,0.9172442572270822,True,Resource,Reward,0.6214756997465871,0.7482204033178614,1.0,1,direct,0.677980008288372
LevelGE,Level_Up,0.45716711318099146,0.0988143058214656,1.0,False,ReferenceKey,Level,0.5657336905447932,0.7598795351284644,1.0,1,direct,0.6539301874468488
demo_GR1,Level_Up,0.5632934674802168,0.20414194021132193,1.0,True,GamifiedResource,Level,0.6506347739841735,0.7018913020380473,1.0,1,direct,0.6533820599428066
demo_GR2,Availability_Block_Game_by_level,0.5114994413603102,0.27539710932690903,0.0,True,GamifiedResource,Level,0.4091995530882482,0.7018913020380473,1.0,1,direct,0.6352541508008394
Single_level_inheritance,Level_Up,0.8885032425638888,0.20204771053883108,1.0,False,GamifiedResource,Level,0.9108025940511111,0.41358786625002186,0.5,2,indirect,0.5798082479598752
Super_Keyword,Level_Up,0.8801005825231737,0.19823079503638433,1.0,False,GamifiedResource,Level,0.9040804660185391,0.4137652005627252,0.5,2,indirect,0.5769825842488822
Loops,Level_Up,0.88431761962234,0.19986752090949272,1.0,False,GamifiedResource,Level,0.907454095697872,0.4031977054846349,0.5,2,indirect,0.5715896754328317
Strings,Level_Up,0.8870979303123487,0.20127957421261064,1.0,False,GamifiedResource,Level,0.909678344249879,0.3905504872799276,0.5,2,indirect,0.564342092341275
3.16.0,Level_Up,0.22709544317183822,0.19522106146575813,1.0,False,unknown,Level,0.3816763545374706,0.7430540869180592,1.0,1,direct,0.5624685616068819
Inheritance,Level_Up,0.844835512383618,0.21572275242745007,1.0,False,Lesson,Level,0.8758684099068945,0.40358013571171086,0.5,2,indirect,0.5580195175468783
RF_GE_STash,Stash,0.19761216192535294,0.21462620999289958,0.9172442572270822,False,ReferenceKey,Reward,0.3415385809856988,0.745656012527252,1.0,1,direct,0.5538406648165873
Loops,Stash,0.8490552192433979,0.18925263118570235,0.9172442572270822,False,GamifiedResource,Reward,0.8626930268401348,0.393188972565102,0.5,2,indirect,0.5527421589025056
Java_Basics,Level_Up,0.8450550784304045,0.21552961952136218,1.0,False,Lesson,Level,0.8760440627443236,0.3931235127131284,0.5,2,indirect,0.5512995607141751
