source,total,approved,rejected,mean_score,max_score,n_direct,approval_rate
demo_GR2,11,1,10,0.6352541508008394,0.6352541508008394,1,0.091
Task_about_Java_Basics,11,6,5,0.5276589890401484,0.799540442458553,3,0.545
Buil-in_Data_Types,11,6,5,0.4716179692729683,0.7926764178001595,2,0.545
Control_Statements,11,6,5,0.46698477012565903,0.7748328900647758,2,0.545
Variables,11,6,5,0.4530895770283989,0.7725194053224698,2,0.545
Loops,11,6,5,0.4403551888017532,0.7456895394388754,1,0.545
Strings,11,6,5,0.4400118082869411,0.775168213286423,1,0.545
OOPCourseCommunity,11,6,5,0.43652913134642385,0.488252028100543,0,0.545
Functions,11,6,5,0.4313351832739199,0.7752329854443925,1,0.545
Multi-level_inheritance,11,6,5,0.41836901274825444,0.7965557636823762,1,0.545
gr,11,6,5,0.40980921577613766,0.7322543828329228,1,0.545
nil,11,6,5,0.3991013243418442,0.4334738654498917,0,0.545
Overloading,11,6,5,0.3956361943833157,0.7715118721840615,1,0.545
Java_Basics,11,6,5,0.395489891147244,0.5512995607141751,0,0.545
Overriding,11,6,5,0.39416429358043303,0.7703427990602502,1,0.545
Overloaded_constructors,11,6,5,0.36748551107911714,0.7636090709291237,1,0.545
Single_level_inheritance,11,6,5,0.3628014932068253,0.5798082479598752,0,0.545
Super_Keyword,11,6,5,0.36096701032982376,0.5769825842488822,0,0.545
string,11,6,5,0.35601745885929675,0.397474556778259,0,0.545
Document,11,6,5,0.3502154517522409,0.3978816508032631,0,0.545
Arithmetic_operations,11,6,5,0.3501617746573297,0.677980008288372,1,0.545
Classes_and_Objects,11,6,5,0.3498671226132784,0.47948147702931154,0,0.545
Access_Modifiers,11,6,5,0.3484046002553541,0.4657416275659655,0,0.545
Packages,11,6,5,0.3484027773263105,0.46574119260731084,0,0.545
Class_Instance,11,6,5,0.34840168241427943,0.4657409440500683,0,0.545
ObjectOrientedProgramming,11,6,5,0.3478169912061464,0.47218894934962596,0,0.545
Task_about_Classes_and_Objects,11,6,5,0.34580012179533964,0.4633942770156968,0,0.545
Event_Listeners,11,6,5,0.34259424319390225,0.4286363125495938,0,0.545
Inheritance,11,6,5,0.34153951300880153,0.5580195175468783,0,0.545
demo_GR1,11,6,5,0.3403954149761787,0.6533820599428066,1,0.545
Extend_Keyword,11,6,5,0.3392201056967741,0.5082302240115515,0,0.545
Course,11,6,5,0.3391477892792984,0.43072723761333065,0,0.545
Sara,11,6,5,0.3389007897583665,0.4687113721156021,0,0.545
