source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score,top5_influent_nodes,best_ontology_path
Task_about_Java_Basics,Stash,0.8950740526756379,0.20167724860850508,0.9172442572270822,True,GamifiedResource,Reward,0.8995080935859268,0.7480992677262766,1.0,1,direct,0.799540442458553,Arithmetic_operations | Java_Basics,Task_about_Java_Basics → Stash
Task_about_Java_Basics,Level_Up,0.9043326140934885,0.20166778800677335,1.0,True,GamifiedResource,Level,0.923466091274791,0.7405941889221156,1.0,1,direct,0.7979026377320961,Variables | Strings | Java_Basics | Stash,Task_about_Java_Basics → Level_Up
Multi-level_inheritance,Level_Up,0.8859160568900603,0.20067766402510634,1.0,True,GamifiedResource,Level,0.9087328455120482,0.7484386827243925,1.0,1,direct,0.7965557636823762,Polymorphism | Inheritance | Overloading | Overloaded_constructors,Multi-level_inheritance → Level_Up
Buil-in_Data_Types,Level_Up,0.8847540703549323,0.19346186067113794,1.0,True,GamifiedResource,Level,0.9078032562839458,0.7430961433475896,1.0,1,direct,0.7926764178001595,Tiny_stash | Variables | 3.16.0,Buil-in_Data_Types → Level_Up
Task_about_Java_Basics,BLockGame,0.8696081560415838,0.19351947094807062,0.12935257077791257,True,GamifiedResource,Badge,0.7215570389888496,0.7329124731139275,1.0,1,direct,0.7807559621386072,Control_Statements | Loops | Stash,Task_about_Java_Basics → BLockGame
Functions,Stash,0.853528955801052,0.19246913201517993,0.9172442572270822,True,GamifiedResource,Reward,0.8662720160862581,0.7330736167908065,1.0,1,direct,0.7752329854443925,Strings | Control_Statements,Functions → Stash
Buil-in_Data_Types,Tiny_stash,0.8347647973434974,0.22316987488046924,0.0415518252487452,True,GamifiedResource,Reward,0.6761222029245469,0.7430961433475896,1.0,1,direct,0.7751801722461573,Level_Up | Variables | 3.16.0,Buil-in_Data_Types → Tiny_stash
Strings,Stash,0.8536176639725861,0.1925058040384176,0.9172442572270822,True,GamifiedResource,Reward,0.8663429826234854,0.7329262013784892,1.0,1,direct,0.775168213286423,Functions | Java_Basics | Arithmetic_operations,Strings → Stash
Control_Statements,Stash,0.8526529607406583,0.19184405489842352,0.9172442572270822,True,GamifiedResource,Reward,0.8655712200379432,0.7329297750854544,1.0,1,direct,0.7748328900647758,Functions | Task_about_Java_Basics | BLockGame,Control_Statements → Stash
Variables,Level_Up,0.8462152395770788,0.1892758495827941,1.0,True,GamifiedResource,Level,0.8769721916616631,0.7328370330315265,1.0,1,direct,0.7725194053224698,Task_about_Java_Basics | Java_Basics | Tiny_stash | Buil-in_Data_Types,Variables → Level_Up
Overloading,Level_Up,0.842632173410993,0.19737954118031867,1.0,True,GamifiedResource,Level,0.8741057387287945,0.7332163253695598,1.0,1,direct,0.7715118721840615,Overriding | Polymorphism | Overloaded_constructors,Overloading → Level_Up
Overriding,Level_Up,0.8391678871232555,0.2012474402792047,1.0,True,GamifiedResource,Level,0.8713343096986044,0.7332831362570934,1.0,1,direct,0.7703427990602502,Overloading | Polymorphism | Overloaded_constructors,Overriding → Level_Up
Overloaded_constructors,Level_Up,0.8003732459879634,0.18085980123759063,1.0,True,GamifiedResource,Level,0.8402985967903709,0.7438129766666716,1.0,1,direct,0.7636090709291237,Polymorphism | Overloading | Overriding,Overloaded_constructors → Level_Up
Control_Statements,BLockGame,0.7756382061019794,0.15359825280349895,0.12935257077791257,True,GamifiedResource,Badge,0.6463810790371661,0.7328767360442747,1.0,1,direct,0.7478432505644714,Task_about_Java_Basics | Loops | Stash,Control_Statements → BLockGame
Loops,BLockGame,0.7692814304562732,0.1489592680881475,0.12935257077791257,True,GamifiedResource,Badge,0.6412956585206011,0.7329862135064303,1.0,1,direct,0.7456895394388754,Control_Statements | Task_about_Java_Basics,Loops → BLockGame
gr,bonusPoints,0.7886429614519773,0.24996454450829758,0.0,True,GamifiedResource,BonusPoints,0.630914369161582,0.7018913020380473,1.0,1,direct,0.7322543828329228,,N/A
Variables,Tiny_stash,0.6575043308818451,0.16866522020618474,0.0415518252487452,True,GamifiedResource,Reward,0.5343138297552251,0.7429806080163099,1.0,1,direct,0.7130639110192473,Level_Up | 3.16.0 | Buil-in_Data_Types,Variables → Tiny_stash
Arithmetic_operations,Stash,0.5475335603764633,0.26588291890376153,0.9172442572270822,True,Resource,Reward,0.6214756997465871,0.7482204033178614,1.0,1,direct,0.677980008288372,Task_about_Java_Basics | RFK_L1_R6,Arithmetic_operations → Stash
LevelGE,Level_Up,0.45716711318099146,0.0988143058214656,1.0,False,ReferenceKey,Level,0.5657336905447932,0.7598795351284644,1.0,1,direct,0.6539301874468488,OOPCourseCommunity | DataTypes | ReferenceKey1 | Buil-in_Data_Types | IK_GE_LevelUp,LevelGE → Level_Up
