source,target,probability_mean,probability_std,known_positive,source_type,target_type,symbolic_confidence,neurosymbolic_score
Arithmetic_operations,Stash,0.6162974633485859,0.1928794717709026,True,NamedIndividual,NamedIndividual,1.0,0.8848892390045757
Task_about_Java_Basics,Level_Up,0.6145252492112719,0.2069831386626806,True,NamedIndividual,NamedIndividual,1.0,0.8843575747633815
Task_about_Java_Basics,BLockGame,0.6144163992089832,0.2071010113542279,True,NamedIndividual,NamedIndividual,1.0,0.8843249197626949
Task_about_Java_Basics,Stash,0.6144163992089832,0.2071010113542279,True,NamedIndividual,NamedIndividual,1.0,0.8843249197626949
Buil-in_Data_Types,Level_Up,0.5891580865915041,0.1509397113145924,True,NamedIndividual,NamedIndividual,1.0,0.8767474259774513
Buil-in_Data_Types,Tiny_stash,0.5891109870012026,0.1510004991091959,True,NamedIndividual,NamedIndividual,1.0,0.8767332961003607
Overloading,Level_Up,0.560126192522794,0.1199305167536549,True,NamedIndividual,NamedIndividual,1.0,0.8680378577568382
Variables,Level_Up,0.5585190444318882,0.1443493825605556,True,NamedIndividual,NamedIndividual,1.0,0.8675557133295664
Variables,Tiny_stash,0.5583735614149203,0.1444956389361316,True,NamedIndividual,NamedIndividual,1.0,0.867512068424476
Functions,Stash,0.5556271318862318,0.1144828161979549,True,NamedIndividual,NamedIndividual,1.0,0.8666881395658694
Strings,Stash,0.5536011485122141,0.1117613232702081,True,NamedIndividual,NamedIndividual,1.0,0.8660803445536642
Overriding,Level_Up,0.5452929111629183,0.1122646701882118,True,NamedIndividual,NamedIndividual,1.0,0.8635878733488754
Multi-level_inheritance,Level_Up,0.53950336484733,0.0996483763615367,True,NamedIndividual,NamedIndividual,1.0,0.8618510094541989
Overloaded_constructors,Level_Up,0.5203989336778947,0.1009118551155944,True,NamedIndividual,NamedIndividual,1.0,0.8561196801033684
Control_Statements,Stash,0.5139741050876621,0.1043028388565716,True,NamedIndividual,NamedIndividual,1.0,0.8541922315262985
Control_Statements,BLockGame,0.5139741050876621,0.1043028388565716,True,NamedIndividual,NamedIndividual,1.0,0.8541922315262985
Loops,BLockGame,0.4912236339699202,0.1324571653618118,True,NamedIndividual,NamedIndividual,1.0,0.847367090190976
demo_GR2,Availability_Block_Game_by_level,0.3552515864908822,0.3273134984425116,True,NamedIndividual,NamedIndividual,1.0,0.8065754759472646
gr,bonusPoints,0.3552515864908822,0.3273134984425115,True,NamedIndividual,NamedIndividual,1.0,0.8065754759472646
demo_GR1,Level_Up,0.1653903704618449,0.1515531892175701,True,NamedIndividual,NamedIndividual,1.0,0.7496171111385534
Arithmetic_operations,Level_Up,0.6164653815538472,0.1926932200735025,False,NamedIndividual,NamedIndividual,0.5,0.5349396144661541
Arithmetic_operations,BLockGame,0.6162974633485859,0.1928794717709026,False,NamedIndividual,NamedIndividual,0.5,0.5348892390045757
Variables,Stash,0.5583735614149203,0.1444956389361316,False,NamedIndividual,NamedIndividual,0.5,0.5175120684244761
Functions,BLockGame,0.5556271318862318,0.1144828161979549,False,NamedIndividual,NamedIndividual,0.5,0.5166881395658696
Strings,Level_Up,0.5537036327384409,0.111627153761746,False,NamedIndividual,NamedIndividual,0.5,0.5161110898215322
Strings,Tiny_stash,0.5536011485122141,0.1117613232702081,False,NamedIndividual,NamedIndividual,0.5,0.5160803445536641
Loops,Level_Up,0.4913272566448622,0.1324030777953846,False,NamedIndividual,NamedIndividual,0.5,0.4973981769934587
Loops,Stash,0.4912236339699202,0.1324571653618118,False,NamedIndividual,NamedIndividual,0.5,0.497367090190976
Arithmetic_operations,Tiny_stash,0.6162974633485859,0.1928794717709026,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.41822257233790905
Task_about_Java_Basics,Tiny_stash,0.6144163992089832,0.2071010113542279,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.4176582530960282
Buil-in_Data_Types,Stash,0.5891109870012026,0.1510004991091959,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.4100666294336941
Buil-in_Data_Types,BLockGame,0.5891109870012026,0.1510004991091959,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.4100666294336941
Overloading,Tiny_stash,0.5600099277026952,0.120080878114315,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.40133631164414185
Overloading,Stash,0.5600099277026952,0.120080878114315,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.40133631164414185
Overloading,BLockGame,0.5600099277026952,0.120080878114315,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.40133631164414185
Variables,BLockGame,0.5583735614149203,0.1444956389361316,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.4008454017578094
Functions,Level_Up,0.555727410740602,0.1143524637299561,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.4000515565555139
Functions,Tiny_stash,0.5556271318862318,0.1144828161979549,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.40002147289920287
Strings,BLockGame,0.5536011485122141,0.1117613232702081,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39941367788699755
Overriding,Stash,0.5451901110320743,0.1123975206006964,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39689036664295557
Overriding,Tiny_stash,0.5451901110320743,0.1123975206006964,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39689036664295557
Overriding,BLockGame,0.5451901110320743,0.1123975206006964,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39689036664295557
Multi-level_inheritance,Tiny_stash,0.5394034018975772,0.0997774615013531,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39515435390260645
Multi-level_inheritance,BLockGame,0.5394034018975772,0.0997774615013531,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39515435390260645
Multi-level_inheritance,Stash,0.5394034018975772,0.0997774615013531,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.39515435390260645
Overloaded_constructors,Tiny_stash,0.5203057894995042,0.1010196297199648,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.38942507018318456
Overloaded_constructors,BLockGame,0.5203057894995042,0.1010196297199648,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.38942507018318456
Overloaded_constructors,Stash,0.5203057894995042,0.1010196297199648,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.38942507018318456
Control_Statements,Level_Up,0.5140759277023319,0.1042080015644513,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.38755611164403286
Control_Statements,Tiny_stash,0.5139741050876621,0.1043028388565716,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.3875255648596319
Loops,Tiny_stash,0.4912236339699202,0.1324571653618118,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.38070042352430933
demo_GR1,Stash,0.1653909166592519,0.1515524498290604,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.28295060833110885
demo_GR1,Tiny_stash,0.1653909166592519,0.1515524498290604,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.28295060833110885
demo_GR1,BLockGame,0.1653909166592519,0.1515524498290604,False,NamedIndividual,NamedIndividual,0.3333333333333333,0.28295060833110885
