"source","target","relation","weight","symmetric","transitive"
"Error3","Kind","subClassOf","0.548387","0","0"
"isbn","identifier","subPropertyOf","0.145161","0","0"
"isbn","isbn","subPropertyOf","0.145161","0","0"
"issue","CollectedDocument","domain","1.0","0","0"
"issue","SimpleResource","domain","1.0","0","0"
"startingPage","SimpleResource","domain","1.0","0","0"
"startingPage","Document","domain","1.0","0","0"
"startingPage","number","subPropertyOf","0.145161","0","0"
"startingPage","locator","subPropertyOf","0.145161","0","0"
"startingPage","pageStart","subPropertyOf","0.145161","0","0"
"volume","Document","domain","1.0","0","0"
"volume","volume","subPropertyOf","0.145161","0","0"
"partOf","is_part_of","subPropertyOf","0.145161","0","0"
"AcademicArticle","CreativeWork","subClassOf","0.548387","0","0"
"Bill","Error1","subClassOf","0.548387","0","0"
"Bill","Resource","subClassOf","0.548387","0","0"
"EditedBook","Resource","subClassOf","0.548387","0","0"
"Film","CreativeWork","subClassOf","0.548387","0","0"
"Film","Document","subClassOf","0.548387","0","0"
"LegalDecision","LegalDocument","subClassOf","0.548387","0","0"
"LegalDocument","Document","subClassOf","0.548387","0","0"
"Manuscript","CreativeWork","subClassOf","0.548387","0","0"
"Map","Image","subClassOf","0.548387","0","0"
"Slide","Document","subClassOf","0.548387","0","0"
"Thesis","Resource","subClassOf","0.548387","0","0"
"annotates","Resource","domain","1.0","0","0"
"chapter","Error2","domain","1.0","0","0"
"chapter","Resource","domain","1.0","0","0"
"cites","Resource","domain","1.0","0","0"
"cites","Resource","range","0.629032","0","0"
"content","CreativeWork","domain","1.0","0","0"
"content","Document","domain","1.0","0","0"
"court","SimpleResource","domain","1.0","0","0"
"distributor","Agent","range","0.629032","0","0"
"distributor","Agent","range","0.629032","0","0"
"edition","Document","domain","1.0","0","0"
"editor","Agent","range","0.629032","0","0"
"editorList","Document","domain","1.0","0","0"
"editorList","Document","domain","1.0","0","0"
"issue","Document","domain","1.0","0","0"
"issuer","Agent","range","0.629032","0","0"
"issuer","Agent","range","0.629032","0","0"
"issuer","Agent","range","0.629032","0","0"
"pageEnd","CreativeWork","domain","1.0","0","0"
"pageEnd","Document","domain","1.0","0","0"
"pageStart","Document","domain","1.0","0","0"
"pages","Document","domain","1.0","0","0"
"pages","number","subPropertyOf","0.145161","0","0"
"presentedAt","Resource","domain","1.0","0","0"
"reversedBy","Error1","domain","1.0","0","0"
"section","Document","domain","1.0","0","0"
"section","Document","domain","1.0","0","0"
"section","number","subPropertyOf","0.145161","0","0"
"shortDescription","Resource","domain","1.0","0","0"
"translator","Agent","range","0.629032","0","0"
"translator","Agent","range","0.629032","0","0"
"User","UserAccount","equivalentClass","0.016129","0","0"
"avatar","OnlineAccount","domain","1.0","0","0"
"content_encoded","CreativeWork","domain","1.0","0","0"
"content_encoded","Document","domain","1.0","0","0"
"created_at","Error2","domain","1.0","0","0"
"created_at","Document","domain","1.0","0","0"
"created_at","Resource","domain","1.0","0","0"
"creator_of","OnlineAccount","domain","1.0","0","0"
"has_container","is_part_of","subPropertyOf","0.145161","0","0"
"has_creator","UserAccount","range","0.629032","0","0"
"has_host","Space","range","0.629032","0","0"
"has_host","EducationalInstitution","range","0.629032","0","0"
"has_member","OnlineAccount","range","0.629032","0","0"
"has_moderator","User","range","0.629032","0","0"
"has_owner","User","range","0.629032","0","0"
"has_parent","is_part_of","subPropertyOf","0.145161","0","0"
"num_threads","Container","domain","1.0","0","0"
"shared_by","OnlineAccount","range","0.629032","0","0"
"space_of","Space","domain","1.0","0","0"
"subject","Item","domain","1.0","0","0"
"usergroup_of","UserGroup","domain","1.0","0","0"
"ImageObject","SimpleResource","subClassOf","0.548387","0","0"
"Person","Agent","subClassOf","0.548387","0","0"
"Space","Space","subClassOf","0.548387","0","0"
"UserAccount","User","subClassOf","0.548387","0","0"
"UserGroup","Usergroup","subClassOf","0.548387","0","0"
"Annotation","Resource","subClassOf","0.548387","0","0"
"Chat","Resource","subClassOf","0.548387","0","0"
"CreateResourceActivity","Activity","subClassOf","0.548387","0","0"
"CreateUser","Activity","subClassOf","0.548387","0","0"
"DeleteResourceActivity","Activity","subClassOf","0.548387","0","0"
"Person","Person","subClassOf","0.548387","0","0"
"Person","Person","equivalentClass","0.016129","0","0"
"RDV","Error1","subClassOf","0.548387","0","0"
"RDV","Resource","subClassOf","0.548387","0","0"
"Vcard","Kind","subClassOf","0.548387","0","0"
"about_modify","Activity","domain","1.0","0","0"
"contains_forum_post","CreativeWork","range","0.629032","0","0"
"contains_forum_post","Document","range","0.629032","0","0"
"contains_forum_post","SimpleResource","range","0.629032","0","0"
"create_organization","Activity","domain","1.0","0","0"
"hasTarget","Document","domain","1.0","0","0"
"has_EndDate","Resource","domain","1.0","0","0"
"has_actor","Activity","domain","1.0","0","0"
"has_answer","SimpleResource","domain","1.0","0","0"
"has_answer","Document","domain","1.0","0","0"
"has_answer","SimpleResource","range","0.629032","0","0"
"has_answer","Document","range","0.629032","0","0"
"has_bag","Error3","domain","1.0","0","0"
"has_bag","Resource","domain","1.0","0","0"
"has_bag","Resource","range","0.629032","0","0"
"has_body_for_annotation","CreativeWork","domain","1.0","0","0"
"has_body_for_annotation","Document","domain","1.0","0","0"
"has_body_for_annotation","Document","domain","1.0","0","0"
"has_body_for_annotation","CreativeWork","range","0.629032","0","0"
"has_body_for_annotation","Document","range","0.629032","0","0"
"has_competency","Agent","domain","1.0","0","0"
"has_competency","Person","domain","1.0","0","0"
"has_contact","Agent","domain","1.0","0","0"
"has_contact","Person","domain","1.0","0","0"
"has_contact","Agent","range","0.629032","0","0"
"has_question","SimpleResource","domain","1.0","0","0"
"has_question","SimpleResource","range","0.629032","0","0"
"has_target","CreativeWork","domain","1.0","0","0"
"has_target","Document","domain","1.0","0","0"
"has_type","SimpleResource","domain","1.0","0","0"
"has_user_account","Agent","domain","1.0","0","0"
"indexed_by","Entity","range","0.629032","0","0"
"used","Activity","domain","1.0","0","0"
"was_generated_by","Entity","domain","1.0","0","0"
"view_resource","Agent","domain","1.0","0","0"
"Teacher","Agent","subClassOf","0.548387","0","0"
"consists_of","Course","domain","1.0","0","0"
"consists_of","Lesson","range","0.629032","0","0"
"contain_resource","Lesson","domain","1.0","0","0"
"contain_resource","Resource","range","0.629032","0","0"
"interacts","Agent","domain","1.0","0","0"
"interacts","Agent","domain","1.0","0","0"
"interacts","Person","domain","1.0","0","0"
"interacts","Person","domain","1.0","0","0"
"lives_in","Person","domain","1.0","0","0"
