id,label,type,age,allValuesFrom,argument1,argument2,arguments,body,builtin,cardinality,classPredicate,comment,consists_of,contains,containsGameElement,description,designedWithObjective,disjointWith,domain,equivalentClass,first,hasBehaviouralObjective,hasGamificationExperience,hasObjective,hasPreLesson,hasPreResource,hasTargetAudience,has_PlayingStyle,has_Priority,has_Purpose,has_URL,has_description,has_duration,has_latestRelease,has_latestVersion,has_reference,has_title,has_totalDownloads,has_totalLikes,has_totalSites,has_user_account,has_usergroup,head,imports,index,indexed_by,intersectionOf,isComposedOf,isDefinedBy,isRuleEnabled,is_visible_for,maxCardinality,member_of,minCardinality,minQualifiedCardinality,offersCourse,onProperty,ontology_id,propertyPredicate,range,rest,someValuesFrom,subClassOf,subPropertyOf,teaches,title,unionOf,usergroup_of,versionIRI,works_in
http://www.w3.org/2002/07/owl#cardinality,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hds.utc.fr/tg/tbox,,http://www.w3.org/2002/07/owl#Ontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox|http://www.hds.utc.fr/tco/tbox/1.0,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/tg/tbox/1.0,
http://prismstandard.org/namespaces/1.2/basic/isbn,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://prismstandard.org/namespaces/1.2/basic/issue,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#SimpleResource|http://purl.org/ontology/bibo/CollectedDocument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://prismstandard.org/namespaces/1.2/basic/number,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://prismstandard.org/namespaces/1.2/basic/startingPage,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#SimpleResource|http://xmlns.com/foaf/0.1/Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://prismstandard.org/namespaces/1.2/basic/number|http://purl.org/ontology/bibo/locator|http://purl.org/ontology/bibo/pageStart,,,,,,
http://prismstandard.org/namespaces/1.2/basic/volume,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://purl.org/ontology/bibo/Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.org/ontology/bibo/volume,,,,,,
http://purl.org/ontology/bibo/annotates,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#Resource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/chapter,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/tco/tbox#Resource|http://org.semanticweb.owlapi/error#Error2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/content,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#Document|http://schema.org/CreativeWork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/court,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#SimpleResource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/edition,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/editorList,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://www.hds.utc.fr/mc2/tbox#Document|http://xmlns.com/foaf/0.1/Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/identifier,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/isbn,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/ontology/bibo/issue,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,,,,http://purl.org/ontology/bibo/Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
