node_id,label,importance_score,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
diagnosis_0007,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
status_0003,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
Depth,class,0.0038665868165178342,-0.31459847,-2.1649776,1.0210418,2.6394498,-0.5289352,-0.23932739,0.15903121,0.07079996,-3.6368324e-21,2.0395677e-15,2.6132264e-20,-1.7152014e-21,-1.9973326e-18,-4.3960156e-17,-1.0230349e-20,-4.244932e-17
studentModel_0002,individual,0.0077331736330356685,-0.0461664,0.8908374,0.28380683,-0.0059526362,-0.026430352,0.37853348,-0.16154559,0.07235639,1.4973529e-22,1.1242427e-15,-1.9670064e-23,-9.286881e-23,-3.8632374e-19,-2.7607517e-17,-1.1207902e-23,-2.4084831e-17
progressiveLoop_0010,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
constraints_0002,individual,0.0077331736330356685,-0.0461664,0.8908374,0.28380683,-0.0059526362,-0.026430352,0.37853348,-0.16154559,0.07235639,1.4973529e-22,1.1242427e-15,-1.9670064e-23,-9.286881e-23,-3.8632374e-19,-2.7607517e-17,-1.1207902e-23,-2.4084831e-17
yeeRolePlaying_0003,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
feedback_0001,individual,0.011599760449553503,0.13817412,0.94551384,0.6223949,-0.035405386,-0.032803208,0.781077,-0.28541204,0.08644765,4.050691e-22,1.159037e-15,-7.1573684e-23,-1.8941739e-22,-3.065186e-19,-2.8589887e-17,-9.401928e-24,-2.4833578e-17
gDEDynamic_0004,individual,0.01592743997626616,0.37072656,0.86283433,0.26318142,-0.010185442,-0.01990295,0.34649432,-0.24098204,-0.22065035,1.975339e-22,1.1212748e-15,-3.6383716e-23,-1.1161753e-22,-3.6745775e-19,-2.7273748e-17,-8.375437e-24,-2.3879151e-17
strategy_0009,individual,0.041371585916869465,1.6090288,0.9733472,1.224981,-0.10528047,-0.030100483,1.4789554,-0.7883047,-0.52806914,1.0324471e-21,1.2015397e-15,-2.08e-22,-4.258361e-22,-9.272834e-20,-3.0417135e-17,-5.069788e-25,-2.5886735e-17
knowledgeUnit_0020,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
engagementLoop_0004,individual,0.2300580928031626,11.859242,0.006165396,-0.5683853,-0.2578019,0.26595768,-0.77265924,-1.010749,-0.74783814,1.5271516e-21,9.674504e-16,-2.0570364e-21,-4.3265827e-22,1.8130279e-19,-2.425207e-17,6.977534e-22,-2.078317e-17
hint_0001,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
resource_0019,individual,0.03233609840179938,0.8835499,0.55815417,-0.8223875,0.043786287,-0.026242206,-0.935545,-0.98215586,1.5308851,-3.916602e-22,1.167869e-15,2.424345e-22,1.5561674e-22,-6.037517e-19,-2.7954622e-17,-6.196901e-23,-2.4864919e-17
problemUnit_0002,individual,0.0077331736330356685,-0.0461664,0.8908374,0.28380683,-0.0059526362,-0.026430352,0.37853348,-0.16154559,0.07235639,1.4973529e-22,1.1242427e-15,-1.9670064e-23,-9.286881e-23,-3.8632374e-19,-2.7607517e-17,-1.1207902e-23,-2.4084831e-17
metric_0030,individual,0.004578449246292296,-0.18782346,0.7639149,-0.4108186,0.050716255,-0.010690606,-0.45097548,0.0289368,-0.07449225,-3.3816733e-22,1.0568467e-15,7.862087e-23,9.2161086e-23,-5.4191833e-19,-2.5379643e-17,-1.5044467e-23,-2.2560989e-17
competence_0007,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
gamificationModel_0004,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
progressiveLoop_0006,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
winStates_0003,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
diagnosis_0003,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
metric_0048,individual,0.013094671552079874,0.24149616,0.7335253,-0.43621773,0.0464031,-0.004343593,-0.48863506,-0.062227152,-0.34887844,-2.9098918e-22,1.0536526e-15,6.380727e-23,7.4148375e-23,-5.2335903e-19,-2.5255963e-17,-1.2756272e-23,-2.2570306e-17
tactic_0008,individual,0.02815360746797593,1.4707639,1.0442307,1.3196726,-0.1466409,0.04030171,1.6004081,0.5299947,0.27639052,1.0896416e-21,1.0984573e-15,-9.62086e-22,-4.1141e-22,-3.8507248e-20,-2.7984463e-17,2.8507396e-22,-2.3664913e-17
cooperation_0005,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
concept_0009,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
metric_0012,individual,0.00440048363884868,-0.19469246,0.7652341,-0.40817988,0.050760686,-0.010590899,-0.44786867,0.035419323,-0.08478499,-3.3782437e-22,1.0559794e-15,7.757061e-23,9.175425e-23,-5.414948e-19,-2.5352538e-17,-1.4743615e-23,-2.2547436e-17
problemNext_0007,individual,0.00922808473556204,0.041948196,0.74581784,-0.42932335,0.04846193,-0.007736453,-0.47664016,-0.030906742,-0.18904136,-3.1533277e-22,1.0608169e-15,7.35247e-23,8.404978e-23,-5.353486e-19,-2.5361186e-17,-1.4562246e-23,-2.2474198e-17
domainModel_0008,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
errorBug_0003,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
resolution_0013,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
turns_0002,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
statement_0015,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
problem_0007,individual,0.0,-0.4148475,0.78148437,-0.3933693,0.052952807,-0.013684643,-0.42655346,0.08618732,0.04417396,-3.6113906e-22,1.0599523e-15,8.4137165e-23,1.00435126e-22,-5.52189e-19,-2.5369792e-17,-1.5647031e-23,-2.2651924e-17
