source,target,relation,structural
targetBehavior_0387,metric_0391,hasMetric,False
targetBehavior_0155,metric_0009,hasMetric,False
gamifiedITS_0062,gamModel_0021,hasGamificationModel,False
instrPlan_0175,sequencing_0175,has_Sequencing,False
instrPlan_0079,sequencing_0079,has_Sequencing,False
studentModel_0181,behavKnowledge_0181,hasBehaviouralKnowledge,False
targetBehavior_0082,metric_0489,hasMetric,False
ThingResource,Thing,subClassOf,True
targetBehavior_0312,metric_0566,hasMetric,False
studentModel_0100,player_0100,includes,False
player_0025,playerModel_0025,isClassifiedBy,False
targetBehavior_0004,metric_0440,hasMetric,False
designPractice_0040,theme_0005,hasGameElement,False
designPractice_0041,boss_fights_0018,hasGameElement,False
targetBehavior_0065,metric_0224,hasMetric,False
instrPlan_0025,strategy_0025,strategicTutoring,False
player_0105,playerType_0105,isDescribedByType,False
instrPlan_0129,sequencing_0129,has_Sequencing,False
player_0072,playerModel_0072,isClassifiedBy,False
gamModel_0040,engLoop_0040,hasActivityLoops,False
playerType_0159,player_0159,describesPlayer,False
Tactic,PedagogicalModel,subClassOf,True
playerType_0079,player_0079,describesPlayer,False
playerType_0082,player_0082,describesPlayer,False
player_0046,playerType_0046,isDescribedByType,False
designPractice_0016,leaderboards_0016,hasGameElement,False
playerType_0136,player_0136,describesPlayer,False
studentModel_0093,player_0093,includes,False
targetBehavior_0028,metric_0419,hasMetric,False
instrPlan_0120,sequencing_0120,has_Sequencing,False
targetBehavior_0078,metric_0085,hasMetric,False
targetBehavior_0361,metric_0384,hasMetric,False
gamModel_0004,progLoop_0004,hasActivityLoops,False
targetBehavior_0175,metric_0335,hasMetric,False
targetBehavior_0368,metric_0144,hasMetric,False
designPractice_0013,targetBehavior_0259,hasTargetBehavior,False
playerModel_0012,player_0012,classifiesPlayer,False
studentModel_0101,player_0101,includes,False
studentModel_0077,behavKnowledge_0077,hasBehaviouralKnowledge,False
playerType_0147,player_0147,describesPlayer,False
playerModel_0004,player_0004,classifiesPlayer,False
gamModel_0018,progLoop_0018,hasActivityLoops,False
isUsedBy,Motivation_And_Need_Theory,domain,False
instrPlan_0010,sequencing_0010,has_Sequencing,False
Hint,Thing,subClassOf,True
isUsedBy,Game_Design_Element,domain,False
instrPlan_0062,strategy_0062,strategicTutoring,False
targetBehavior_0054,metric_0256,hasMetric,False
player_0112,playerModel_0112,isClassifiedBy,False
instrPlan_0058,strategy_0058,strategicTutoring,False
studentModel_0076,player_0076,includes,False
player_0175,playerType_0175,isDescribedByType,False
studentModel_0171,behavKnowledge_0171,hasBehaviouralKnowledge,False
instrPlan_0087,strategy_0087,strategicTutoring,False
playerType_0045,player_0045,describesPlayer,False
targetBehavior_0014,metric_0305,hasMetric,False
Rewards,Thing,subClassOf,True
studentModel_0118,behavKnowledge_0118,hasBehaviouralKnowledge,False
targetBehavior_0079,metric_0406,hasMetric,False
playerModel_0090,player_0090,classifiesPlayer,False
player_0047,playerType_0047,isDescribedByType,False
studentModel_0053,player_0053,includes,False
player_0043,playerType_0043,isDescribedByType,False
gamifiedITS_0021,instrPlan_0039,hasPedagogicalModel,False
targetBehavior_0398,metric_0445,hasMetric,False
gamifiedITS_0029,studentModel_0177,hasStudentModel,False
instrPlan_0196,strategy_0196,strategicTutoring,False
targetBehavior_0169,metric_0470,hasMetric,False
studentModel_0017,behavKnowledge_0017,hasBehaviouralKnowledge,False
archetypeBehavior,string,range,False
playerModel_0082,player_0082,classifiesPlayer,False
targetBehavior_0055,metric_0330,hasMetric,False
player_0004,playerType_0004,isDescribedByType,False
designPractice_0031,feedback_0019,hasGameElement,False
designPractice_0018,competition_0010,hasGameElement,False
targetBehavior_0271,metric_0495,hasMetric,False
playerType_0037,player_0037,describesPlayer,False
designPractice_0034,quests_0010,hasGameElement,False
gamifiedITS_0046,studentModel_0138,hasStudentModel,False
targetBehavior_0149,metric_0278,hasMetric,False
playerType_0113,player_0113,describesPlayer,False
leadsToEnjoyment,Quests,domain,False
targetBehavior_0353,metric_0021,hasMetric,False
studentModel_0007,behavKnowledge_0007,hasBehaviouralKnowledge,False
player_0032,playerType_0032,isDescribedByType,False
targetBehavior_0183,metric_0272,hasMetric,False
targetBehavior_0267,metric_0021,hasMetric,False
studentModel_0012,behavKnowledge_0012,hasBehaviouralKnowledge,False
player_0184,playerType_0184,isDescribedByType,False
ResolutionMethod,Thing,subClassOf,True
targetBehavior_0302,metric_0405,hasMetric,False
instrPlan_0007,strategy_0007,strategicTutoring,False
describesPlayer,Player_Type,domain,False
targetBehavior_0323,metric_0040,hasMetric,False
targetBehavior_0014,metric_0177,hasMetric,False
leadsToEnjoyment,CategoryEnjoyment,range,False
playerModel_0007,player_0007,classifiesPlayer,False
hasActivityLoops,GamificationModel,domain,False
targetBehavior_0352,metric_0276,hasMetric,False
studentModel_0077,player_0077,includes,False
player_0104,playerType_0104,isDescribedByType,False
designPractice_0004,targetBehavior_0356,hasTargetBehavior,False
playerType_0197,player_0197,describesPlayer,False
studentModel_0047,behavKnowledge_0047,hasBehaviouralKnowledge,False
gamifiedITS_0012,gamModel_0013,hasGamificationModel,False
targetBehavior_0321,metric_0177,hasMetric,False
designPractice_0003,targetBehavior_0010,hasTargetBehavior,False
studentModel_0062,behavKnowledge_0062,hasBehaviouralKnowledge,False
studentModel_0153,behavKnowledge_0153,hasBehaviouralKnowledge,False
targetBehavior_0099,metric_0440,hasMetric,False
targetBehavior_0314,metric_0536,hasMetric,False
targetBehavior_0204,metric_0392,hasMetric,False
studentModel_0161,player_0161,includes,False
targetBehavior_0136,metric_0591,hasMetric,False
designPractice_0039,targetBehavior_0048,hasTargetBehavior,False
studentModel_0043,behavKnowledge_0043,hasBehaviouralKnowledge,False
targetBehavior_0184,metric_0093,hasMetric,False
designPractice_0008,resource_acquisition_0013,hasGameElement,False
player_0163,playerModel_0163,isClassifiedBy,False
playerType_0187,player_0187,describesPlayer,False
player_0159,playerType_0159,isDescribedByType,False
hasGameElement,DesignPractice,domain,False
playerModel_0046,player_0046,classifiesPlayer,False
playerType_0096,player_0096,describesPlayer,False
gamifiedITS_0004,gamModel_0006,hasGamificationModel,False
Yee_Socializing,Thing,subClassOf,True
targetBehavior_0396,metric_0215,hasMetric,False
playerModel_0128,player_0128,classifiesPlayer,False
targetBehavior_0185,metric_0312,hasMetric,False
instrPlan_0133,sequencing_0133,has_Sequencing,False
instrPlan_0036,sequencing_0036,has_Sequencing,False
designPractice_0037,resource_acquisition_0009,hasGameElement,False
playerModel_0159,player_0159,classifiesPlayer,False
instrPlan_0168,sequencing_0168,has_Sequencing,False
Option,Thing,subClassOf,True
targetBehavior_0284,metric_0492,hasMetric,False
targetBehavior_0103,metric_0531,hasMetric,False
player_0010,playerModel_0010,isClassifiedBy,False
player_0091,playerModel_0091,isClassifiedBy,False
designPractice_0005,targetBehavior_0053,hasTargetBehavior,False
instrPlan_0063,sequencing_0063,has_Sequencing,False
playerType_0083,player_0083,describesPlayer,False
player_0057,playerModel_0057,isClassifiedBy,False
playerType_0163,player_0163,describesPlayer,False
targetBehavior_0370,metric_0415,hasMetric,False
player_0133,playerType_0133,isDescribedByType,False
studentModel_0111,behavKnowledge_0111,hasBehaviouralKnowledge,False
WritingEvaluation,Thing,subClassOf,True
targetBehavior_0368,metric_0414,hasMetric,False
instrPlan_0137,strategy_0137,strategicTutoring,False
courseName,string,range,False
studentModel_0189,behavKnowledge_0189,hasBehaviouralKnowledge,False
instrPlan_0014,strategy_0014,strategicTutoring,False
gamifiedITS_0061,instrPlan_0101,hasPedagogicalModel,False
instrPlan_0034,sequencing_0034,has_Sequencing,False
designPractice_0043,targetBehavior_0357,hasTargetBehavior,False
Relationships,GDE_Dynamic,subClassOf,True
studentModel_0058,behavKnowledge_0058,hasBehaviouralKnowledge,False
playerType_0043,player_0043,describesPlayer,False
Motivation,Thing,subClassOf,True
playerType_0134,player_0134,describesPlayer,False
Social_Graph,Thing,subClassOf,True
instrPlan_0168,strategy_0168,strategicTutoring,False
targetBehavior_0086,metric_0124,hasMetric,False
targetBehavior_0262,metric_0388,hasMetric,False
designPractice_0014,story_0013,hasGameElement,False
instrPlan_0045,strategy_0045,strategicTutoring,False
targetBehavior_0383,metric_0600,hasMetric,False
gamifiedITS_0046,instrPlan_0165,hasPedagogicalModel,False
instrPlan_0142,sequencing_0142,has_Sequencing,False
hasDomainModel,DomainModel,range,False
player_0151,playerType_0151,isDescribedByType,False
targetBehavior_0002,metric_0189,hasMetric,False
player_0148,playerType_0148,isDescribedByType,False
studentModel_0187,player_0187,includes,False
playerType_0032,player_0032,describesPlayer,False
playerType_0012,player_0012,describesPlayer,False
instrPlan_0107,strategy_0107,strategicTutoring,False
player_0013,playerModel_0013,isClassifiedBy,False
targetBehavior_0038,metric_0556,hasMetric,False
studentModel_0125,behavKnowledge_0125,hasBehaviouralKnowledge,False
targetBehavior_0105,metric_0246,hasMetric,False
studentModel_0159,player_0159,includes,False
targetBehavior_0122,metric_0401,hasMetric,False
playerType_0165,player_0165,describesPlayer,False
player_0150,playerModel_0150,isClassifiedBy,False
targetBehavior_0142,metric_0046,hasMetric,False
gamModel_0015,progLoop_0015,hasActivityLoops,False
instrPlan_0096,strategy_0096,strategicTutoring,False
targetBehavior_0051,metric_0098,hasMetric,False
playerType_0150,player_0150,describesPlayer,False
studentModel_0067,player_0067,includes,False
studentModel_0073,player_0073,includes,False
instrPlan_0044,sequencing_0044,has_Sequencing,False
player_0129,playerModel_0129,isClassifiedBy,False
targetBehavior_0271,metric_0347,hasMetric,False
studentModel_0144,behavKnowledge_0144,hasBehaviouralKnowledge,False
player_0181,playerModel_0181,isClassifiedBy,False
targetBehavior_0062,metric_0596,hasMetric,False
gamifiedITS_0028,instrPlan_0021,hasPedagogicalModel,False
player_0003,playerType_0003,isDescribedByType,False
playerType_0047,player_0047,describesPlayer,False
playerType_0058,player_0058,describesPlayer,False
targetBehavior_0338,metric_0178,hasMetric,False
player_0147,playerType_0147,isDescribedByType,False
studentModel_0190,behavKnowledge_0190,hasBehaviouralKnowledge,False
targetBehavior_0237,metric_0340,hasMetric,False
designPractice_0006,targetBehavior_0302,hasTargetBehavior,False
gamifiedITS_0010,studentModel_0034,hasStudentModel,False
composesDynamic,GDE_Dynamic,range,False
studentModel_0042,player_0042,includes,False
designPractice_0029,rewards_0006,hasGameElement,False
targetBehavior_0209,metric_0252,hasMetric,False
its_domain.owl,meututor_domain.owl,imports,False
leadsToParticipation,Badges,domain,False
explorationName,CategoryExploration,domain,False
studentModel_0018,behavKnowledge_0018,hasBehaviouralKnowledge,False
instrPlan_0036,strategy_0036,strategicTutoring,False
player_0021,playerModel_0021,isClassifiedBy,False
instrPlan_0090,sequencing_0090,has_Sequencing,False
targetBehavior_0318,metric_0104,hasMetric,False
player_0022,playerModel_0022,isClassifiedBy,False
playerType_0046,player_0046,describesPlayer,False
playerModel_0095,player_0095,classifiesPlayer,False
playerType_0005,player_0005,describesPlayer,False
has_Sequencing,InstrutionalPlan,domain,False
targetBehavior_0151,metric_0184,hasMetric,False
instrPlan_0163,sequencing_0163,has_Sequencing,False
gamifiedITS_0020,gamModel_0020,hasGamificationModel,False
playerType_0057,player_0057,describesPlayer,False
playerType_0062,player_0062,describesPlayer,False
player_0114,playerModel_0114,isClassifiedBy,False
studentModel_0063,behavKnowledge_0063,hasBehaviouralKnowledge,False
targetBehavior_0126,metric_0465,hasMetric,False
usesResource,Resource,range,False
playerModel_0045,player_0045,classifiesPlayer,False
instrPlan_0034,strategy_0034,strategicTutoring,False
playerModel_0036,player_0036,classifiesPlayer,False
playerType_0121,player_0121,describesPlayer,False
playerModel_0176,player_0176,classifiesPlayer,False
playerModel_0187,player_0187,classifiesPlayer,False
targetBehavior_0189,metric_0267,hasMetric,False
playerModel_0143,player_0143,classifiesPlayer,False
gamifiedITS_0049,gamModel_0016,hasGamificationModel,False
Player_Type,Thing,subClassOf,True
isSatisfiedWith,Self-Determination_Theory,domain,False
describesType,Player_Model,domain,False
targetBehavior_0112,metric_0018,hasMetric,False
targetBehavior_0167,metric_0096,hasMetric,False
type,ResourceUnit,domain,False
targetBehavior_0379,metric_0344,hasMetric,False
designPractice_0046,targetBehavior_0195,hasTargetBehavior,False
player_0157,playerType_0157,isDescribedByType,False
isComposedBy,Player_Action,range,False
instrPlan_0108,strategy_0108,strategicTutoring,False
studentModel_0080,behavKnowledge_0080,hasBehaviouralKnowledge,False
targetBehavior_0369,metric_0303,hasMetric,False
player_0189,playerModel_0189,isClassifiedBy,False
instrPlan_0139,sequencing_0139,has_Sequencing,False
targetBehavior_0334,metric_0528,hasMetric,False
targetBehavior_0246,metric_0179,hasMetric,False
targetBehavior_0129,metric_0141,hasMetric,False
playerModel_0010,player_0010,classifiesPlayer,False
designPractice_0023,status_0001,hasGameElement,False
instrPlan_0167,sequencing_0167,has_Sequencing,False
studentModel_0057,player_0057,includes,False
classifiesPlayer,Player_Model,domain,False
instrPlan_0056,sequencing_0056,has_Sequencing,False
Problem,Thing,subClassOf,True
designPractice_0013,targetBehavior_0302,hasTargetBehavior,False
studentModel_0063,player_0063,includes,False
targetBehavior_0196,metric_0203,hasMetric,False
studentModel_0035,behavKnowledge_0035,hasBehaviouralKnowledge,False
studentModel_0191,player_0191,includes,False
studentModel_0188,player_0188,includes,False
Curriculum,Thing,subClassOf,True
instrPlan_0073,sequencing_0073,has_Sequencing,False
instrPlan_0179,strategy_0179,strategicTutoring,False
instrPlan_0050,strategy_0050,strategicTutoring,False
targetBehavior_0052,metric_0422,hasMetric,False
gamifiedITS_0005,instrPlan_0174,hasPedagogicalModel,False
playerModel_0070,player_0070,classifiesPlayer,False
isTiedTo,tiesComponent,inverseOf,False
player_0075,playerModel_0075,isClassifiedBy,False
gamModel_0019,progLoop_0019,hasActivityLoops,False
hasStudentModel,StudentModel,range,False
designPractice_0048,targetBehavior_0058,hasTargetBehavior,False
player_0021,playerType_0021,isDescribedByType,False
player_0082,playerType_0082,isDescribedByType,False
player_0161,playerType_0161,isDescribedByType,False
targetBehavior_0015,metric_0138,hasMetric,False
studentModel_0048,behavKnowledge_0048,hasBehaviouralKnowledge,False
player_0173,playerType_0173,isDescribedByType,False
targetBehavior_0267,metric_0327,hasMetric,False
targetBehavior_0277,metric_0305,hasMetric,False
playerModel_0130,player_0130,classifiesPlayer,False
instrPlan_0081,strategy_0081,strategicTutoring,False
has_ProblemNext,ProblemNext,range,False
studentModel_0051,behavKnowledge_0051,hasBehaviouralKnowledge,False
targetBehavior_0014,metric_0087,hasMetric,False
instrPlan_0182,strategy_0182,strategicTutoring,False
designPractice_0013,status_0004,hasGameElement,False
gamModel_0014,engLoop_0014,hasActivityLoops,False
gamifiedITS_0066,gamModel_0011,hasGamificationModel,False
player_0016,playerModel_0016,isClassifiedBy,False
targetBehavior_0070,metric_0352,hasMetric,False
gamifiedITS_0045,gamModel_0037,hasGamificationModel,False
competionName,CategoryCompetition,domain,False
targetBehavior_0249,metric_0182,hasMetric,False
studentModel_0178,player_0178,includes,False
studentModel_0047,player_0047,includes,False
gamifiedITS_0060,gamModel_0038,hasGamificationModel,False
